time,Dallas,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. Z. Pachulia (M. Conley gains possession),,,,Jump ball: M. Gasol vs. Z. Pachulia (M. Conley gains possession)
11:39.0,,,0-0,,Shooting foul by Z. Pachulia (drawn by Z. Randolph)
11:39.0,,,0-0,,Z. Randolph misses free throw 1 of 2
11:39.0,,,0-0,,Offensive rebound by Team
11:39.0,,,0-1,1,Z. Randolph makes free throw 2 of 2
11:27.0,,,0-1,,Personal foul by C. Lee (drawn by D. Williams)
11:11.0,C. Parsons makes 2-pt shot from 20 ft (assist by D. Williams),2,2-1,,
10:43.0,,,2-3,2,M. Conley makes 2-pt shot from 17 ft
10:19.0,D. Nowitzki misses 3-pt shot from 24 ft,,2-3,,
10:19.0,,,2-3,,Defensive rebound by T. Allen
10:06.0,,,2-5,2,Z. Randolph makes 2-pt shot at rim
9:53.0,D. Nowitzki misses 2-pt shot from 12 ft,,2-5,,
9:53.0,,,2-5,,Defensive rebound by M. Gasol
9:53.0,Loose ball foul by Z. Pachulia (drawn by M. Gasol),,2-5,,
9:53.0,J. McGee enters the game for Z. Pachulia,,2-5,,
9:36.0,,,2-7,2,M. Gasol makes 2-pt shot from 15 ft (assist by Z. Randolph)
9:09.0,Shooting foul by M. Gasol (drawn by W. Matthews),,2-7,,
9:09.0,W. Matthews makes free throw 1 of 2,1,3-7,,
9:09.0,W. Matthews makes free throw 2 of 2,1,4-7,,
8:55.0,,,4-10,3,C. Lee makes 3-pt shot from 26 ft (assist by M. Gasol)
8:31.0,J. McGee misses 2-pt shot from 5 ft,,4-10,,
8:28.0,,,4-10,,Defensive rebound by M. Conley
8:12.0,,,4-12,2,M. Gasol makes 2-pt shot from 6 ft
8:11.0,Dallas full timeout,,4-12,,
7:53.0,D. Williams makes 2-pt shot from 19 ft,2,6-12,,
7:35.0,,,6-14,2,M. Gasol makes 2-pt shot from 12 ft (assist by C. Lee)
7:19.0,D. Williams makes 3-pt shot from 22 ft (assist by C. Parsons),3,9-14,,
7:02.0,,,9-14,,Shooting foul by D. Williams (drawn by M. Gasol)
7:02.0,,,9-14,,M. Gasol misses free throw 1 of 2
7:02.0,,,9-14,,Offensive rebound by Team
7:02.0,,,9-15,1,M. Gasol makes free throw 2 of 2
6:48.0,D. Williams makes 2-pt shot from 19 ft (assist by J. McGee),2,11-15,,
6:28.0,,,11-15,,C. Lee misses 2-pt shot from 14 ft
6:27.0,Defensive rebound by D. Nowitzki,,11-15,,
6:16.0,D. Nowitzki makes 2-pt shot from 6 ft (assist by W. Matthews),2,13-15,,
6:16.0,Shooting foul by Z. Randolph (drawn by D. Nowitzki),,13-15,,
6:16.0,D. Nowitzki makes free throw 1 of 1,1,14-15,,
5:57.0,,,14-15,,Turnover by Z. Randolph (traveling)
5:33.0,C. Parsons misses 3-pt shot from 24 ft,,14-15,,
5:32.0,,,14-15,,Defensive rebound by Z. Randolph
5:22.0,Def 3 sec tech foul by D. Nowitzki,,14-15,,
5:22.0,,,14-15,,C. Lee misses technical free throw
5:22.0,,,14-15,,Offensive rebound by Team
5:22.0,,,14-15,,M. Chalmers enters the game for M. Conley
5:22.0,R. Felton enters the game for D. Nowitzki,,14-15,,
5:14.0,,,14-17,2,M. Gasol makes 2-pt shot from 19 ft (assist by M. Chalmers)
5:04.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,17-17,,
4:55.0,,,17-17,,Memphis full timeout
4:39.0,,,17-19,2,Z. Randolph makes 2-pt shot from 2 ft
4:22.0,Turnover by C. Parsons (bad pass; steal by T. Allen),,17-19,,
4:09.0,,,17-19,,Z. Randolph misses 2-pt shot from 4 ft
4:07.0,,,17-19,,Offensive rebound by Z. Randolph
4:07.0,,,17-21,2,Z. Randolph makes 2-pt shot from 4 ft
3:57.0,C. Parsons makes 3-pt shot from 23 ft,3,20-21,,
3:37.0,,,20-21,,M. Gasol misses 2-pt shot from 12 ft
3:33.0,Defensive rebound by J. McGee,,20-21,,
3:25.0,Shooting foul by M. Chalmers (drawn by D. Williams),,20-21,,
3:25.0,D. Williams makes free throw 1 of 2,1,21-21,,
3:25.0,,,21-21,,M. Barnes enters the game for T. Allen
3:25.0,,,21-21,,J. Green enters the game for M. Gasol
3:25.0,D. Williams misses free throw 2 of 2,,21-21,,
3:23.0,,,21-21,,Defensive rebound by Z. Randolph
3:04.0,,,21-23,2,Z. Randolph makes 2-pt shot from 1 ft
2:50.0,R. Felton misses 3-pt shot from 23 ft,,21-23,,
2:49.0,,,21-23,,Defensive rebound by M. Chalmers
2:41.0,,,21-25,2,Z. Randolph makes 2-pt shot from 17 ft (assist by C. Lee)
2:40.0,Dallas full timeout,,21-25,,
2:40.0,J. Anderson enters the game for C. Parsons,,21-25,,
2:40.0,J. Barea enters the game for W. Matthews,,21-25,,
2:40.0,Z. Pachulia enters the game for D. Williams,,21-25,,
2:40.0,D. Nowitzki enters the game for J. McGee,,21-25,,
2:24.0,J. Anderson misses 3-pt shot from 24 ft,,21-25,,
2:21.0,Offensive rebound by D. Nowitzki,,21-25,,
2:21.0,D. Nowitzki misses 2-pt shot from 1 ft,,21-25,,
2:20.0,Offensive rebound by D. Nowitzki,,21-25,,
2:20.0,D. Nowitzki misses 2-pt shot from 1 ft,,21-25,,
2:18.0,,,21-25,,Defensive rebound by C. Lee
2:11.0,,,21-28,3,M. Barnes makes 3-pt shot from 23 ft (assist by M. Chalmers)
1:48.0,J. Anderson makes 2-pt shot from 2 ft,2,23-28,,
1:32.0,,,23-28,,M. Barnes misses 2-pt shot from 16 ft
1:31.0,Defensive rebound by Z. Pachulia,,23-28,,
1:20.0,J. Anderson misses 2-pt shot from 17 ft,,23-28,,
1:19.0,,,23-28,,Defensive rebound by M. Chalmers
1:03.0,,,23-28,,Z. Randolph misses 2-pt shot from 19 ft
1:01.0,Defensive rebound by R. Felton,,23-28,,
0:57.0,Shooting foul by C. Lee (drawn by R. Felton),,23-28,,
0:57.0,R. Felton misses free throw 1 of 2,,23-28,,
0:57.0,Offensive rebound by Team,,23-28,,
0:57.0,,,23-28,,V. Carter enters the game for C. Lee
0:57.0,,,23-28,,R. Hollins enters the game for Z. Randolph
0:57.0,S. Mejri enters the game for Z. Pachulia,,23-28,,
0:57.0,R. Felton makes free throw 2 of 2,1,24-28,,
0:37.0,,,24-28,,J. Green misses 2-pt shot from 3 ft
0:37.0,,,24-28,,Offensive rebound by J. Green
0:37.0,Loose ball foul by D. Nowitzki (drawn by J. Green),,24-28,,
0:32.0,,,24-30,2,R. Hollins makes 2-pt shot at rim (assist by M. Chalmers)
0:21.0,,,24-30,,Personal foul by M. Chalmers
0:21.0,,,24-30,,Violation by R. Hollins (lane)
0:21.0,J. Barea makes free throw 1 of 2,1,25-30,,
0:21.0,D. Powell enters the game for D. Nowitzki,,25-30,,
0:21.0,Turnover by S. Mejri (lane violation.),,25-30,,
0:00.0,,,25-30,,M. Barnes misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by S. Mejri,,25-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Violation by Team (delay of game),,25-30,,
11:45.0,J. Barea misses 2-pt shot from 22 ft,,25-30,,
11:44.0,,,25-30,,Defensive rebound by M. Barnes
11:35.0,,,25-30,,V. Carter misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by S. Mejri,,25-30,,
11:27.0,R. Felton makes 3-pt shot from 24 ft (assist by J. Barea),3,28-30,,
11:20.0,Personal foul by J. Barea,,28-30,,
11:07.0,,,28-30,,J. Green misses 2-pt shot from 6 ft
11:05.0,Defensive rebound by D. Nowitzki,,28-30,,
10:56.0,R. Felton misses 3-pt shot from 25 ft,,28-30,,
10:55.0,,,28-30,,Defensive rebound by R. Hollins
10:46.0,,,28-30,,M. Chalmers misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by J. Anderson,,28-30,,
10:36.0,J. Anderson misses 3-pt shot from 22 ft,,28-30,,
10:34.0,,,28-30,,Defensive rebound by M. Barnes
10:24.0,,,28-30,,Shooting foul by R. Felton (drawn by R. Hollins)
10:24.0,,,28-31,1,R. Hollins makes free throw 1 of 2
10:24.0,,,28-32,1,R. Hollins makes free throw 2 of 2
10:02.0,D. Nowitzki misses 2-pt shot from 20 ft,,28-32,,
10:02.0,,,28-32,,Defensive rebound by J. Green
9:55.0,,,28-35,3,M. Barnes makes 3-pt shot from 24 ft (assist by J. Green)
9:54.0,Dallas full timeout,,28-35,,
9:54.0,Technical foul by Team,,28-35,,
9:54.0,,,28-35,,M. Chalmers misses technical free throw
9:54.0,Offensive rebound by Team,,28-35,,
9:35.0,D. Nowitzki makes 2-pt shot from 11 ft,2,30-35,,
9:18.0,,,30-35,,J. Green misses 2-pt shot from 11 ft
9:17.0,Defensive rebound by D. Nowitzki,,30-35,,
9:09.0,J. Barea misses 2-pt shot from 3 ft,,30-35,,
9:05.0,,,30-35,,Defensive rebound by R. Hollins
9:01.0,,,30-37,2,M. Chalmers makes 2-pt shot from 9 ft
8:40.0,,,30-37,,Violation by M. Barnes (def goaltending)
8:40.0,R. Felton makes 2-pt shot from 2 ft,2,32-37,,
