time,Houston,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Plumlee (J. Smith gains possession),,,,Jump ball: D. Howard vs. M. Plumlee (J. Smith gains possession)
11:40.0,P. Beverley makes 2-pt shot from 5 ft (assist by J. Harden),2,2-0,,
11:12.0,,,2-0,,A. Aminu misses 3-pt shot from 27 ft
11:11.0,Defensive rebound by D. Howard,,2-0,,
11:05.0,T. Ariza misses 3-pt shot from 22 ft,,2-0,,
11:04.0,Offensive rebound by P. Beverley,,2-0,,
11:00.0,Turnover by T. Ariza (step out of bounds),,2-0,,
10:44.0,,,2-0,,C. McCollum misses 2-pt shot from 18 ft
10:43.0,,,2-0,,Offensive rebound by A. Aminu
10:22.0,,,2-0,,N. Vonleh misses 3-pt shot from 24 ft
10:21.0,,,2-0,,Offensive rebound by A. Aminu
10:18.0,,,2-0,,N. Vonleh misses 2-pt shot from 4 ft (block by D. Howard)
10:17.0,Defensive rebound by D. Howard,,2-0,,
10:11.0,J. Harden misses 3-pt shot from 25 ft,,2-0,,
10:08.0,,,2-0,,Defensive rebound by Team
9:54.0,,,2-3,3,D. Lillard makes 3-pt shot from 25 ft
9:41.0,J. Smith makes 2-pt shot from 1 ft (assist by J. Harden),2,4-3,,
9:30.0,,,4-5,2,C. McCollum makes 2-pt shot from 15 ft
9:20.0,J. Smith misses 3-pt shot from 26 ft,,4-5,,
9:20.0,,,4-5,,Defensive rebound by D. Lillard
9:12.0,,,4-5,,D. Lillard misses 2-pt shot from 4 ft (block by D. Howard)
9:11.0,,,4-5,,Offensive rebound by N. Vonleh
9:07.0,,,4-5,,C. McCollum misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by D. Howard,,4-5,,
8:58.0,D. Howard makes 2-pt shot at rim (assist by J. Smith),2,6-5,,
8:45.0,Personal foul by J. Harden (drawn by A. Aminu),,6-5,,
8:31.0,,,6-7,2,M. Plumlee makes 2-pt shot from 18 ft (assist by A. Aminu)
8:20.0,Turnover by D. Howard (bad pass),,6-7,,
