time,Brooklyn,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Lopez (T. Young gains possession),,,,Jump ball: A. Horford vs. B. Lopez (T. Young gains possession)
11:42.0,W. Ellington makes 2-pt shot from 19 ft,2,2-0,,
11:19.0,,,2-3,3,K. Bazemore makes 3-pt shot from 23 ft (assist by A. Horford)
11:00.0,T. Young misses 2-pt shot from 1 ft,,2-3,,
10:59.0,,,2-3,,Defensive rebound by P. Millsap
10:46.0,,,2-6,3,J. Teague makes 3-pt shot from 25 ft (assist by P. Millsap)
10:25.0,B. Lopez makes 2-pt shot from 2 ft (assist by D. Sloan),2,4-6,,
10:09.0,,,4-6,,Turnover by J. Teague (bad pass; steal by T. Young)
10:05.0,Turnover by T. Young (bad pass; steal by K. Korver),,4-6,,
9:50.0,,,4-8,2,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague)
9:33.0,,,4-8,,Def 3 sec tech foul by P. Millsap
9:33.0,J. Johnson makes technical free throw,1,5-8,,
9:24.0,W. Ellington misses 2-pt shot from 20 ft,,5-8,,
9:23.0,,,5-8,,Defensive rebound by K. Bazemore
9:12.0,,,5-8,,Shooting foul by T. Young (drawn by P. Millsap)
9:12.0,,,5-9,1,P. Millsap makes free throw 1 of 2
9:12.0,,,5-10,1,P. Millsap makes free throw 2 of 2
8:59.0,T. Young makes 2-pt shot from 18 ft (assist by D. Sloan),2,7-10,,
8:49.0,,,7-10,,A. Horford misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by T. Young,,7-10,,
8:41.0,Shooting foul by K. Korver (drawn by T. Young),,7-10,,
8:41.0,T. Young makes free throw 1 of 2,1,8-10,,
8:41.0,T. Young makes free throw 2 of 2,1,9-10,,
8:32.0,,,9-12,2,J. Teague makes 2-pt shot from 1 ft
8:19.0,T. Young makes 2-pt shot from 17 ft (assist by D. Sloan),2,11-12,,
8:02.0,,,11-12,,K. Bazemore misses 3-pt shot from 24 ft
8:00.0,,,11-12,,Offensive rebound by P. Millsap
7:56.0,,,11-14,2,K. Korver makes 2-pt shot from 21 ft (assist by P. Millsap)
7:41.0,T. Young makes 2-pt shot from 3 ft (assist by D. Sloan),2,13-14,,
7:30.0,,,13-16,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
7:14.0,W. Ellington makes 3-pt shot from 24 ft (assist by D. Sloan),3,16-16,,
6:45.0,,,16-16,,P. Millsap misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by T. Young,,16-16,,
6:31.0,B. Lopez misses 2-pt shot from 1 ft (block by P. Millsap),,16-16,,
6:29.0,,,16-16,,Defensive rebound by K. Bazemore
6:26.0,,,16-16,,Atlanta full timeout
6:26.0,,,16-16,,T. Sefolosha enters the game for K. Bazemore
6:26.0,,,16-16,,T. Splitter enters the game for A. Horford
6:20.0,Personal foul by J. Johnson (drawn by T. Splitter),,16-16,,
6:12.0,,,16-16,,P. Millsap misses 2-pt shot from 1 ft (block by T. Young)
6:09.0,,,16-16,,Offensive rebound by T. Splitter
6:05.0,,,16-16,,T. Sefolosha misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by D. Sloan,,16-16,,
5:49.0,T. Young misses 2-pt shot from 9 ft,,16-16,,
5:47.0,,,16-16,,Defensive rebound by T. Sefolosha
5:40.0,,,16-18,2,T. Splitter makes 2-pt shot from 1 ft (assist by T. Sefolosha)
5:32.0,,,16-18,,Personal foul by T. Splitter (drawn by B. Lopez)
5:32.0,S. Larkin enters the game for B. Lopez,,16-18,,
5:32.0,T. Robinson enters the game for D. Sloan,,16-18,,
5:23.0,T. Young misses 2-pt shot from 17 ft,,16-18,,
5:21.0,,,16-18,,Defensive rebound by J. Teague
5:06.0,,,16-18,,K. Korver misses 2-pt shot from 21 ft
5:05.0,Defensive rebound by J. Johnson,,16-18,,
4:44.0,T. Robinson misses 2-pt shot from 4 ft,,16-18,,
4:42.0,,,16-18,,Defensive rebound by T. Splitter
4:34.0,,,16-18,,J. Teague misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by J. Johnson,,16-18,,
4:21.0,T. Young misses 2-pt shot from 19 ft,,16-18,,
4:19.0,,,16-18,,Defensive rebound by T. Sefolosha
4:12.0,,,16-20,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by P. Millsap)
3:54.0,S. Larkin makes 2-pt shot from 15 ft,2,18-20,,
3:38.0,,,18-20,,T. Splitter misses 2-pt shot from 2 ft (block by T. Robinson)
3:38.0,,,18-20,,Offensive rebound by Team
3:38.0,,,18-20,,D. Schroder enters the game for J. Teague
3:38.0,,,18-20,,K. Bazemore enters the game for K. Korver
3:38.0,B. Bogdanovic enters the game for J. Johnson,,18-20,,
3:34.0,,,18-20,,Offensive charge foul by P. Millsap
3:34.0,,,18-20,,Turnover by P. Millsap (offensive foul)
3:22.0,W. Ellington makes 2-pt shot from 17 ft,2,20-20,,
3:10.0,,,20-20,,Shooting foul by T. Robinson (drawn by T. Sefolosha)
3:10.0,,,20-20,,T. Sefolosha misses free throw 1 of 2
3:10.0,,,20-20,,Offensive rebound by Team
3:10.0,,,20-20,,M. Scott enters the game for P. Millsap
3:10.0,,,20-21,1,T. Sefolosha makes free throw 2 of 2
2:51.0,S. Larkin misses 2-pt shot from 8 ft (block by T. Sefolosha),,20-21,,
2:49.0,,,20-21,,Defensive rebound by T. Sefolosha
2:47.0,,,20-23,2,K. Bazemore makes 2-pt shot at rim (assist by T. Sefolosha)
2:47.0,Brooklyn full timeout,,20-23,,
2:47.0,B. Lopez enters the game for T. Young,,20-23,,
2:47.0,S. Karasev enters the game for W. Ellington,,20-23,,
2:22.0,B. Bogdanovic misses 3-pt shot from 26 ft,,20-23,,
2:22.0,Offensive rebound by Team,,20-23,,
2:22.0,,,20-23,,Loose ball foul by M. Scott (drawn by T. Robinson)
2:09.0,S. Larkin misses 2-pt shot from 9 ft,,20-23,,
2:06.0,,,20-23,,Defensive rebound by T. Sefolosha
1:52.0,,,20-23,,Shooting foul by T. Robinson (drawn by T. Sefolosha)
1:52.0,,,20-24,1,T. Sefolosha makes free throw 1 of 2
1:52.0,,,20-24,,A. Horford enters the game for T. Splitter
1:52.0,,,20-25,1,T. Sefolosha makes free throw 2 of 2
1:41.0,B. Lopez misses 2-pt shot from 3 ft (block by A. Horford),,20-25,,
1:38.0,,,20-25,,Defensive rebound by D. Schroder
1:31.0,,,20-25,,M. Scott misses 2-pt shot from 6 ft
1:30.0,Defensive rebound by S. Karasev,,20-25,,
1:20.0,,,20-25,,Personal foul by A. Horford (drawn by B. Lopez)
1:12.0,Turnover by B. Bogdanovic (bad pass; steal by T. Sefolosha),,20-25,,
1:09.0,,,20-25,,Turnover by M. Scott (lost ball; steal by S. Larkin)
1:06.0,Offensive charge foul by T. Robinson,,20-25,,
1:06.0,Turnover by T. Robinson (offensive foul),,20-25,,
1:06.0,T. Young enters the game for T. Robinson,,20-25,,
0:54.0,,,20-27,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
0:54.0,Brooklyn full timeout,,20-27,,
0:38.0,,,20-27,,Def 3 sec tech foul by K. Bazemore
0:38.0,B. Bogdanovic makes technical free throw,1,21-27,,
0:35.0,,,21-27,,Personal foul by K. Bazemore (drawn by S. Karasev)
0:35.0,S. Karasev makes free throw 1 of 2,1,22-27,,
0:35.0,S. Karasev makes free throw 2 of 2,1,23-27,,
0:29.0,,,23-27,,Turnover by D. Schroder (bad pass; steal by T. Young)
0:29.0,,,23-27,,Personal foul by A. Horford (drawn by T. Young)
0:29.0,T. Young misses free throw 1 of 2,,23-27,,
0:29.0,Offensive rebound by Team,,23-27,,
0:29.0,T. Young misses free throw 2 of 2,,23-27,,
0:26.0,Offensive rebound by S. Karasev,,23-27,,
0:18.0,S. Larkin misses 3-pt shot from 24 ft,,23-27,,
0:15.0,,,23-27,,Defensive rebound by M. Scott
0:01.0,,,23-27,,D. Schroder misses 2-pt shot from 6 ft (block by S. Larkin)
0:01.0,Defensive rebound by S. Larkin,,23-27,,
0:00.0,S. Larkin misses 3-pt shot from 35 ft,,23-27,,
0:00.0,Offensive rebound by Team,,23-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-29,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
11:35.0,Turnover by S. Larkin (bad pass),,23-29,,
11:20.0,D. Sloan enters the game for S. Larkin,,23-29,,
11:18.0,,,23-31,2,D. Schroder makes 2-pt shot from 17 ft (assist by K. Bazemore)
11:01.0,A. Bargnani makes 2-pt shot from 19 ft (assist by D. Sloan),2,25-31,,
10:49.0,,,25-31,,M. Scott misses 2-pt shot from 15 ft
10:47.0,Defensive rebound by B. Bogdanovic,,25-31,,
10:37.0,Turnover by D. Sloan (bad pass; steal by D. Schroder),,25-31,,
10:33.0,,,25-33,2,D. Schroder makes 2-pt shot from 1 ft
10:07.0,Turnover by B. Lopez (bad pass; steal by K. Bazemore),,25-33,,
10:00.0,,,25-36,3,K. Bazemore makes 3-pt shot from 22 ft (assist by D. Schroder)
10:00.0,Brooklyn full timeout,,25-36,,
10:00.0,J. Johnson enters the game for B. Bogdanovic,,25-36,,
