time,Toronto,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas,,,,Jump ball: A. Drummond vs. J. Valanciunas
11:47.0,D. DeRozan misses 2-pt shot from 8 ft (block by M. Morris),,0-0,,
11:45.0,Offensive rebound by D. DeRozan,,0-0,,
11:36.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan),2,2-0,,
11:16.0,,,2-3,3,M. Morris makes 3-pt shot from 23 ft (assist by A. Drummond)
11:00.0,D. DeRozan misses 2-pt shot at rim,,2-3,,
10:59.0,,,2-3,,Defensive rebound by M. Morris
10:50.0,,,2-3,,A. Drummond misses 2-pt shot at rim
10:45.0,Defensive rebound by D. DeRozan,,2-3,,
10:41.0,D. DeRozan misses 2-pt shot from 7 ft,,2-3,,
10:41.0,,,2-3,,Defensive rebound by A. Drummond
10:30.0,,,2-3,,S. Johnson misses 2-pt shot from 13 ft (block by J. Valanciunas)
10:28.0,Defensive rebound by J. Valanciunas,,2-3,,
10:14.0,Turnover by K. Lowry (bad pass),,2-3,,
10:02.0,Personal foul by N. Powell (drawn by S. Johnson),,2-3,,
9:54.0,,,2-3,,E. Ilyasova misses 2-pt shot from 19 ft
9:54.0,Defensive rebound by J. Valanciunas,,2-3,,
9:40.0,L. Scola makes 3-pt shot from 25 ft (assist by D. DeRozan),3,5-3,,
9:16.0,,,5-5,2,R. Jackson makes 2-pt shot from 19 ft
8:56.0,,,5-5,,Violation by M. Morris (kicked ball)
8:44.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,7-5,,
8:26.0,,,7-5,,R. Jackson misses 2-pt shot from 18 ft
8:26.0,Defensive rebound by N. Powell,,7-5,,
8:17.0,Turnover by D. DeRozan (lost ball),,7-5,,
8:11.0,,,7-7,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
7:56.0,Offensive charge foul by N. Powell,,7-7,,
7:56.0,Turnover by N. Powell (offensive foul),,7-7,,
7:56.0,T. Ross enters the game for N. Powell,,7-7,,
7:41.0,,,7-9,2,E. Ilyasova makes 2-pt shot from 15 ft (assist by M. Morris)
7:30.0,,,7-9,,Personal foul by E. Ilyasova (drawn by L. Scola)
7:19.0,K. Lowry misses 3-pt shot from 27 ft,,7-9,,
7:19.0,,,7-9,,Defensive rebound by A. Drummond
7:09.0,,,7-9,,Turnover by R. Jackson (lost ball; steal by K. Lowry)
7:08.0,,,7-9,,Personal foul by A. Drummond (drawn by K. Lowry)
6:50.0,L. Scola misses 2-pt shot from 11 ft,,7-9,,
6:47.0,,,7-9,,Defensive rebound by S. Johnson
6:33.0,,,7-9,,R. Jackson misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by T. Ross,,7-9,,
6:19.0,Turnover by J. Valanciunas (traveling),,7-9,,
6:00.0,,,7-12,3,E. Ilyasova makes 3-pt shot from 27 ft
5:44.0,J. Valanciunas makes 2-pt shot from 14 ft (assist by T. Ross),2,9-12,,
5:31.0,,,9-12,,Shooting foul by J. Valanciunas (drawn by A. Drummond)
5:31.0,,,9-12,,Detroit full timeout
5:31.0,,,9-13,1,A. Drummond makes free throw 1 of 2
5:31.0,,,9-13,,A. Drummond misses free throw 2 of 2
5:29.0,Defensive rebound by J. Valanciunas,,9-13,,
5:14.0,J. Valanciunas misses 2-pt shot at rim,,9-13,,
5:13.0,,,9-13,,Defensive rebound by A. Drummond
5:00.0,,,9-13,,E. Ilyasova misses 3-pt shot from 26 ft
4:59.0,Defensive rebound by D. DeRozan,,9-13,,
4:48.0,K. Lowry misses 3-pt shot from 26 ft,,9-13,,
4:48.0,,,9-13,,Defensive rebound by E. Ilyasova
4:38.0,,,9-13,,R. Jackson misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by J. Valanciunas,,9-13,,
4:26.0,L. Scola misses 2-pt shot from 12 ft,,9-13,,
4:26.0,,,9-13,,Defensive rebound by M. Morris
4:23.0,,,9-13,,Shooting foul by L. Scola (drawn by E. Ilyasova)
4:23.0,,,9-13,,E. Ilyasova misses free throw 1 of 2
4:23.0,,,9-13,,Offensive rebound by Team
4:23.0,,,9-13,,D. Hilliard enters the game for S. Johnson
4:23.0,P. Patterson enters the game for L. Scola,,9-13,,
4:23.0,,,9-14,1,E. Ilyasova makes free throw 2 of 2
4:06.0,K. Lowry misses 2-pt shot from 5 ft,,9-14,,
