time,Brooklyn,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. B. Lopez (J. Jack gains possession),,,,Jump ball: T. Duncan vs. B. Lopez (J. Jack gains possession)
11:46.0,T. Young makes 3-pt shot from 24 ft (assist by J. Jack),3,3-0,,
11:27.0,,,3-2,2,L. Aldridge makes 2-pt shot from 12 ft
11:09.0,J. Jack misses 2-pt shot from 9 ft,,3-2,,
11:08.0,,,3-2,,Defensive rebound by Team
10:51.0,,,3-2,,K. Leonard misses 2-pt shot from 16 ft
10:50.0,Defensive rebound by J. Jack,,3-2,,
10:27.0,J. Jack misses 3-pt shot from 25 ft,,3-2,,
10:26.0,,,3-2,,Defensive rebound by T. Duncan
10:16.0,,,3-4,2,T. Parker makes 2-pt shot from 16 ft
10:02.0,B. Lopez makes 2-pt shot from 12 ft,2,5-4,,
9:44.0,,,5-6,2,T. Duncan makes 2-pt shot from 2 ft (assist by T. Parker)
9:31.0,T. Young misses 2-pt shot from 18 ft,,5-6,,
9:30.0,,,5-6,,Defensive rebound by T. Parker
9:22.0,,,5-6,,T. Parker misses 2-pt shot from 2 ft
9:21.0,,,5-6,,Offensive rebound by L. Aldridge
9:19.0,,,5-9,3,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge)
9:00.0,W. Ellington misses 3-pt shot from 22 ft,,5-9,,
8:59.0,,,5-9,,Defensive rebound by K. Leonard
8:49.0,,,5-9,,Shooting foul by B. Lopez (drawn by T. Duncan)
8:49.0,,,5-10,1,T. Duncan makes free throw 1 of 2
8:49.0,,,5-11,1,T. Duncan makes free throw 2 of 2
8:37.0,,,5-11,,Personal foul by T. Duncan (drawn by B. Lopez)
8:31.0,T. Young misses 2-pt shot from 4 ft,,5-11,,
8:30.0,,,5-11,,Defensive rebound by T. Duncan
8:22.0,,,5-11,,T. Parker misses 2-pt shot from 18 ft
8:21.0,Defensive rebound by J. Johnson,,5-11,,
8:08.0,J. Johnson misses 2-pt shot from 4 ft,,5-11,,
8:07.0,,,5-11,,Defensive rebound by T. Duncan
7:54.0,,,5-11,,L. Aldridge misses 2-pt shot from 11 ft
7:53.0,Defensive rebound by J. Jack,,5-11,,
7:48.0,J. Jack misses 2-pt shot from 14 ft,,5-11,,
7:47.0,,,5-11,,Defensive rebound by D. Green
7:35.0,,,5-11,,K. Leonard misses 2-pt shot from 17 ft
7:34.0,Defensive rebound by B. Lopez,,5-11,,
7:23.0,T. Young misses 3-pt shot from 24 ft,,5-11,,
7:22.0,,,5-11,,Defensive rebound by T. Duncan
7:11.0,,,5-11,,K. Leonard misses 2-pt shot from 17 ft
7:10.0,Defensive rebound by W. Ellington,,5-11,,
7:04.0,Brooklyn full timeout,,5-11,,
6:58.0,B. Lopez makes 2-pt shot from 19 ft (assist by J. Jack),2,7-11,,
6:41.0,,,7-11,,Turnover by T. Parker (bad pass; steal by W. Ellington)
6:31.0,B. Lopez misses 2-pt shot from 21 ft,,7-11,,
6:30.0,,,7-11,,Defensive rebound by K. Leonard
6:12.0,,,7-11,,Shooting foul by J. Johnson (drawn by K. Leonard)
6:12.0,,,7-12,1,K. Leonard makes free throw 1 of 2
6:12.0,,,7-13,1,K. Leonard makes free throw 2 of 2
6:03.0,W. Ellington misses 3-pt shot from 26 ft,,7-13,,
6:02.0,,,7-13,,Defensive rebound by K. Leonard
5:53.0,,,7-15,2,T. Duncan makes 2-pt shot from 19 ft (assist by K. Leonard)
5:36.0,J. Jack makes 2-pt shot from 17 ft,2,9-15,,
5:16.0,,,9-15,,K. Leonard misses 3-pt shot from 24 ft
5:15.0,,,9-15,,Offensive rebound by K. Leonard
5:09.0,,,9-15,,Turnover by K. Leonard (kicked ball)
5:09.0,S. Larkin enters the game for J. Jack,,9-15,,
5:09.0,B. Bogdanovic enters the game for W. Ellington,,9-15,,
5:09.0,,,9-15,,P. Mills enters the game for T. Parker
5:09.0,,,9-15,,M. Ginobili enters the game for D. Green
5:09.0,,,9-15,,B. Diaw enters the game for T. Duncan
4:50.0,B. Bogdanovic makes 2-pt shot at rim (assist by B. Lopez),2,11-15,,
4:32.0,,,11-15,,K. Leonard misses 2-pt shot from 4 ft
4:31.0,Defensive rebound by B. Lopez,,11-15,,
4:21.0,B. Bogdanovic misses 2-pt shot from 6 ft,,11-15,,
4:19.0,,,11-15,,Defensive rebound by K. Leonard
4:00.0,Personal foul by J. Johnson (drawn by M. Ginobili),,11-15,,
4:00.0,,,11-15,,K. Anderson enters the game for K. Leonard
4:00.0,R. Hollis-Jefferson enters the game for J. Johnson,,11-15,,
3:52.0,,,11-15,,L. Aldridge misses 2-pt shot from 10 ft
3:51.0,Defensive rebound by T. Young,,11-15,,
3:30.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by B. Lopez),2,13-15,,
3:30.0,,,13-15,,San Antonio full timeout
3:30.0,A. Bargnani enters the game for B. Lopez,,13-15,,
3:19.0,,,13-15,,M. Ginobili misses 2-pt shot from 2 ft
3:18.0,Defensive rebound by T. Young,,13-15,,
3:10.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by S. Larkin),2,15-15,,
2:43.0,,,15-15,,P. Mills misses 3-pt shot from 24 ft
2:41.0,,,15-15,,Offensive rebound by L. Aldridge
2:41.0,,,15-17,2,L. Aldridge makes 2-pt shot from 3 ft
2:30.0,Turnover by B. Bogdanovic (lost ball),,15-17,,
2:30.0,,,15-17,,D. West enters the game for L. Aldridge
2:30.0,,,15-17,,R. Butler enters the game for K. Anderson
2:11.0,,,15-20,3,P. Mills makes 3-pt shot from 23 ft (assist by M. Ginobili)
1:59.0,S. Larkin makes 2-pt shot from 21 ft,2,17-20,,
1:53.0,,,17-20,,Turnover by M. Ginobili (bad pass)
1:38.0,Turnover by T. Young (bad pass),,17-20,,
1:22.0,,,17-20,,R. Butler misses 3-pt shot from 27 ft
1:21.0,Defensive rebound by B. Bogdanovic,,17-20,,
1:09.0,S. Larkin makes 2-pt shot from 17 ft,2,19-20,,
0:56.0,,,19-20,,D. West misses 2-pt shot from 16 ft
