time,Portland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:36.0,,,0-0,,R. Hood misses 2-pt shot from 8 ft
12:00.0,Jump ball: M. Plumlee vs. J. Withey (T. Lyles gains possession),,,,Jump ball: M. Plumlee vs. J. Withey (T. Lyles gains possession)
11:36.0,,,0-0,,Offensive rebound by R. Neto
11:28.0,,,0-2,2,T. Lyles makes 2-pt shot from 7 ft
11:10.0,Turnover by C. McCollum (bad pass; steal by J. Withey),,0-2,,
10:56.0,,,0-5,3,T. Lyles makes 3-pt shot from 23 ft (assist by R. Neto)
10:39.0,C. McCollum makes 2-pt shot from 14 ft,2,2-5,,
10:22.0,,,2-7,2,R. Neto makes 2-pt shot from 19 ft
10:04.0,M. Plumlee makes 2-pt shot from 8 ft,2,4-7,,
9:40.0,,,4-7,,J. Withey misses 2-pt shot from 2 ft
9:39.0,Defensive rebound by N. Vonleh,,4-7,,
9:33.0,C. McCollum makes 2-pt shot from 2 ft,2,6-7,,
9:11.0,,,6-7,,T. Lyles misses 2-pt shot from 21 ft
9:10.0,Defensive rebound by M. Plumlee,,6-7,,
8:58.0,C. McCollum misses 3-pt shot from 24 ft,,6-7,,
8:57.0,,,6-7,,Defensive rebound by G. Hayward
8:43.0,,,6-7,,G. Hayward misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by A. Aminu,,6-7,,
8:33.0,C. McCollum makes 3-pt shot from 24 ft (assist by N. Vonleh),3,9-7,,
8:08.0,,,9-9,2,R. Hood makes 2-pt shot from 7 ft
7:50.0,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Plumlee),3,12-9,,
7:28.0,,,12-9,,T. Lyles misses 2-pt shot from 22 ft
7:28.0,Defensive rebound by M. Plumlee,,12-9,,
7:18.0,A. Crabbe misses 2-pt shot from 3 ft,,12-9,,
7:17.0,,,12-9,,Defensive rebound by R. Hood
6:57.0,,,12-12,3,R. Hood makes 3-pt shot from 24 ft
6:41.0,Shooting foul by R. Hood (drawn by A. Crabbe),,12-12,,
6:41.0,A. Crabbe misses free throw 1 of 2,,12-12,,
6:41.0,Offensive rebound by Team,,12-12,,
6:41.0,,,12-12,,T. Booker enters the game for J. Withey
6:41.0,A. Crabbe makes free throw 2 of 2,1,13-12,,
6:27.0,,,13-12,,T. Booker misses 2-pt shot from 18 ft
6:26.0,,,13-12,,Offensive rebound by R. Hood
6:22.0,,,13-12,,R. Hood misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by A. Aminu,,13-12,,
6:12.0,A. Aminu misses 2-pt shot from 4 ft,,13-12,,
6:11.0,,,13-12,,Defensive rebound by R. Neto
6:03.0,,,13-12,,G. Hayward misses 2-pt shot from 16 ft
6:01.0,Defensive rebound by C. McCollum,,13-12,,
5:53.0,Shooting foul by T. Lyles (drawn by N. Vonleh),,13-12,,
5:53.0,,,13-12,,Utah full timeout
5:53.0,,,13-12,,T. Burke enters the game for R. Neto
5:53.0,,,13-12,,C. Johnson enters the game for R. Hood
5:53.0,N. Vonleh makes free throw 1 of 2,1,14-12,,
5:53.0,N. Vonleh makes free throw 2 of 2,1,15-12,,
5:40.0,,,15-12,,G. Hayward misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by C. McCollum,,15-12,,
5:29.0,C. McCollum misses 3-pt shot from 24 ft,,15-12,,
5:28.0,,,15-12,,Defensive rebound by Team
5:27.0,G. Henderson enters the game for A. Crabbe,,15-12,,
5:07.0,,,15-14,2,T. Burke makes 2-pt shot from 17 ft
4:50.0,,,15-14,,Def 3 sec tech foul by T. Lyles
4:50.0,C. McCollum misses technical free throw,,15-14,,
4:50.0,Offensive rebound by Team,,15-14,,
4:50.0,M. Leonard enters the game for N. Vonleh,,15-14,,
4:50.0,E. Davis enters the game for M. Plumlee,,15-14,,
4:41.0,C. McCollum misses 2-pt shot from 14 ft,,15-14,,
4:41.0,Offensive rebound by M. Leonard,,15-14,,
4:33.0,C. McCollum makes 2-pt shot from 7 ft,2,17-14,,
4:12.0,,,17-14,,T. Booker misses 2-pt shot from 19 ft
4:12.0,Defensive rebound by M. Leonard,,17-14,,
3:56.0,G. Henderson misses 2-pt shot from 12 ft,,17-14,,
3:55.0,,,17-14,,Defensive rebound by C. Johnson
