time,Miami,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Deng vs. R. Lopez (G. Dragic gains possession),,,,Jump ball: L. Deng vs. R. Lopez (G. Dragic gains possession)
11:42.0,A. Stoudemire makes 2-pt shot from 17 ft (assist by D. Wade),2,2-0,,
11:24.0,,,2-0,,L. Galloway misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by A. Stoudemire,,2-0,,
11:12.0,L. Deng makes 2-pt shot from 1 ft (assist by J. Johnson),2,4-0,,
11:03.0,,,4-0,,Turnover by J. Calderon (bad pass; steal by G. Dragic)
10:58.0,D. Wade makes 2-pt shot at rim (assist by A. Stoudemire),2,6-0,,
10:33.0,,,6-0,,J. Calderon misses 2-pt shot from 14 ft
10:33.0,Defensive rebound by L. Deng,,6-0,,
10:22.0,D. Wade misses 2-pt shot from 20 ft,,6-0,,
10:21.0,,,6-0,,Defensive rebound by C. Anthony
9:59.0,,,6-0,,C. Anthony misses 2-pt shot from 7 ft
9:58.0,Defensive rebound by L. Deng,,6-0,,
9:40.0,Turnover by D. Wade (bad pass),,6-0,,
9:34.0,,,6-0,,L. Galloway misses 2-pt shot from 21 ft
9:33.0,Defensive rebound by A. Stoudemire,,6-0,,
9:25.0,G. Dragic makes 2-pt shot from 9 ft,2,8-0,,
9:25.0,Shooting foul by J. Calderon (drawn by G. Dragic),,8-0,,
9:25.0,G. Dragic misses free throw 1 of 1,,8-0,,
9:24.0,,,8-0,,Defensive rebound by K. Porzingis
9:08.0,,,8-2,2,K. Porzingis makes 2-pt shot from 21 ft (assist by L. Galloway)
8:50.0,A. Stoudemire misses 2-pt shot from 3 ft (block by K. Porzingis),,8-2,,
8:50.0,Offensive rebound by A. Stoudemire,,8-2,,
8:42.0,J. Johnson makes 3-pt shot from 22 ft (assist by G. Dragic),3,11-2,,
8:31.0,,,11-2,,Turnover by J. Calderon (bad pass; steal by D. Wade)
