time,Milwaukee,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. G. Monroe (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. G. Monroe (R. Jackson gains possession)
11:37.0,Personal foul by J. Bayless (drawn by R. Jackson),,0-0,,
11:24.0,,,0-2,2,E. Ilyasova makes 2-pt shot from 17 ft (assist by K. Caldwell-Pope)
11:03.0,O. Mayo misses 2-pt shot from 7 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by E. Ilyasova
10:57.0,Personal foul by G. Antetokounmpo (drawn by A. Drummond),,0-2,,
10:47.0,,,0-2,,M. Morris misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by G. Antetokounmpo,,0-2,,
10:29.0,G. Monroe makes 2-pt shot from 16 ft (assist by J. Bayless),2,2-2,,
10:15.0,,,2-2,,E. Ilyasova misses 2-pt shot from 18 ft
10:14.0,Defensive rebound by G. Monroe,,2-2,,
10:06.0,K. Middleton misses 3-pt shot from 22 ft,,2-2,,
10:06.0,,,2-2,,Defensive rebound by K. Caldwell-Pope
9:43.0,,,2-4,2,E. Ilyasova makes 2-pt shot from 20 ft (assist by R. Jackson)
9:27.0,G. Monroe misses 2-pt shot from 9 ft,,2-4,,
9:27.0,,,2-4,,Defensive rebound by R. Jackson
9:07.0,,,2-6,2,M. Morris makes 2-pt shot from 1 ft
8:48.0,J. Bayless makes 3-pt shot from 27 ft (assist by O. Mayo),3,5-6,,
8:25.0,,,5-6,,R. Jackson misses 2-pt shot at rim
8:24.0,Defensive rebound by J. Bayless,,5-6,,
8:12.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,5-6,,
8:11.0,,,5-6,,Defensive rebound by A. Drummond
8:01.0,,,5-8,2,M. Morris makes 2-pt shot from 15 ft
7:47.0,J. Bayless misses 3-pt shot from 27 ft,,5-8,,
7:47.0,,,5-8,,Defensive rebound by A. Drummond
7:23.0,,,5-8,,K. Caldwell-Pope misses 2-pt shot from 6 ft
7:16.0,Defensive rebound by G. Monroe,,5-8,,
7:12.0,J. Bayless misses 3-pt shot from 23 ft,,5-8,,
7:11.0,,,5-8,,Defensive rebound by A. Drummond
7:08.0,Violation by G. Monroe (def goaltending),,5-8,,
7:08.0,,,5-10,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
6:52.0,G. Monroe misses 2-pt shot from 17 ft,,5-10,,
6:51.0,,,5-10,,Defensive rebound by A. Drummond
6:30.0,,,5-10,,M. Morris misses 2-pt shot from 4 ft (block by G. Monroe)
6:28.0,Defensive rebound by J. Bayless,,5-10,,
6:17.0,K. Middleton misses 2-pt shot from 8 ft,,5-10,,
6:16.0,,,5-10,,Defensive rebound by E. Ilyasova
6:06.0,,,5-10,,A. Drummond misses 2-pt shot from 5 ft
6:05.0,Defensive rebound by G. Antetokounmpo,,5-10,,
5:56.0,Offensive charge foul by G. Antetokounmpo,,5-10,,
5:56.0,Turnover by G. Antetokounmpo (offensive foul),,5-10,,
5:56.0,,,5-10,,Detroit full timeout
5:56.0,,,5-10,,Technical foul by M. Morris
5:56.0,J. Parker enters the game for G. Antetokounmpo,,5-10,,
5:56.0,O. Mayo makes technical free throw,1,6-10,,
5:39.0,,,6-13,3,R. Jackson makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
5:21.0,J. Bayless misses 3-pt shot from 25 ft,,6-13,,
5:21.0,,,6-13,,Defensive rebound by A. Drummond
5:12.0,,,6-13,,E. Ilyasova misses 3-pt shot from 26 ft
5:12.0,Defensive rebound by K. Middleton,,6-13,,
4:58.0,O. Mayo misses 3-pt shot from 28 ft,,6-13,,
4:58.0,,,6-13,,Defensive rebound by A. Drummond
4:51.0,,,6-13,,Turnover by R. Jackson (bad pass)
