time,Brooklyn,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Valanciunas (T. Young gains possession),,,,Jump ball: B. Lopez vs. J. Valanciunas (T. Young gains possession)
11:44.0,B. Lopez makes 2-pt shot from 13 ft,2,2-0,,
11:26.0,,,2-0,,D. DeRozan misses 2-pt shot from 15 ft
11:26.0,Defensive rebound by W. Ellington,,2-0,,
11:17.0,T. Young makes 2-pt shot from 19 ft (assist by W. Ellington),2,4-0,,
10:57.0,,,4-0,,J. Valanciunas misses 2-pt shot from 4 ft
10:57.0,Defensive rebound by B. Lopez,,4-0,,
10:48.0,W. Ellington misses 2-pt shot from 14 ft,,4-0,,
10:48.0,,,4-0,,Defensive rebound by J. Valanciunas
10:38.0,,,4-0,,N. Powell misses 3-pt shot from 23 ft (block by B. Lopez)
10:38.0,,,4-0,,Offensive rebound by N. Powell
10:34.0,,,4-0,,N. Powell misses 2-pt shot from 4 ft
10:33.0,Defensive rebound by B. Lopez,,4-0,,
10:18.0,B. Bogdanovic misses 2-pt shot from 4 ft (block by J. Thompson),,4-0,,
10:16.0,,,4-0,,Defensive rebound by D. DeRozan
10:00.0,,,4-2,2,J. Valanciunas makes 2-pt shot from 1 ft
9:48.0,Turnover by B. Lopez (lost ball; steal by J. Thompson),,4-2,,
9:43.0,,,4-2,,Shooting foul by W. Ellington (drawn by N. Powell)
9:43.0,,,4-3,1,N. Powell makes free throw 1 of 2
9:43.0,,,4-4,1,N. Powell makes free throw 2 of 2
9:34.0,T. Young makes 2-pt shot from 18 ft (assist by D. Sloan),2,6-4,,
9:19.0,,,6-6,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
9:08.0,B. Lopez makes 2-pt shot from 21 ft (assist by D. Sloan),2,8-6,,
8:49.0,,,8-6,,Turnover by N. Powell (lost ball; steal by B. Lopez)
8:39.0,T. Young misses 2-pt shot from 17 ft,,8-6,,
8:39.0,,,8-6,,Defensive rebound by D. DeRozan
8:29.0,,,8-8,2,D. DeRozan makes 2-pt shot from 16 ft
8:14.0,B. Lopez makes 2-pt shot from 16 ft,2,10-8,,
7:49.0,,,10-8,,J. Valanciunas misses 2-pt shot from 13 ft
7:48.0,Defensive rebound by T. Young,,10-8,,
7:41.0,D. Sloan makes 2-pt shot from 4 ft,2,12-8,,
7:28.0,,,12-8,,D. DeRozan misses 3-pt shot from 23 ft
7:28.0,,,12-8,,Offensive rebound by J. Thompson
7:24.0,,,12-10,2,J. Valanciunas makes 2-pt shot at rim (assist by J. Thompson)
7:07.0,D. Sloan misses 2-pt shot from 18 ft,,12-10,,
7:07.0,,,12-10,,Defensive rebound by J. Valanciunas
6:53.0,,,12-12,2,J. Thompson makes 2-pt shot from 17 ft (assist by D. DeRozan)
6:34.0,W. Ellington misses 3-pt shot from 24 ft,,12-12,,
6:34.0,Offensive rebound by W. Ellington,,12-12,,
6:30.0,W. Ellington misses 2-pt shot from 12 ft,,12-12,,
6:29.0,,,12-12,,Defensive rebound by J. Thompson
6:20.0,,,12-12,,K. Lowry misses 3-pt shot from 27 ft
6:19.0,Defensive rebound by B. Bogdanovic,,12-12,,
6:00.0,T. Young makes 2-pt shot from 1 ft (assist by W. Ellington),2,14-12,,
6:00.0,,,14-12,,Toronto full timeout
5:37.0,,,14-14,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
5:17.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by B. Lopez),2,16-14,,
5:03.0,Personal block foul by W. Ellington,,16-14,,
5:03.0,M. Brown enters the game for W. Ellington,,16-14,,
4:49.0,,,16-14,,Turnover by Team (shot clock)
4:35.0,T. Young makes 2-pt shot from 18 ft,2,18-14,,
4:13.0,,,18-17,3,J. Thompson makes 3-pt shot from 25 ft (assist by N. Powell)
3:53.0,B. Bogdanovic makes 3-pt shot from 27 ft (assist by M. Brown),3,21-17,,
3:42.0,,,21-17,,Turnover by D. DeRozan (bad pass)
3:23.0,T. Young misses 2-pt shot from 8 ft,,21-17,,
3:22.0,,,21-17,,Defensive rebound by K. Lowry
3:11.0,,,21-19,2,K. Lowry makes 2-pt shot from 4 ft
2:49.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by N. Powell),,21-19,,
2:48.0,,,21-19,,Defensive rebound by J. Thompson
2:47.0,Personal foul by D. Sloan,,21-19,,
2:47.0,Brooklyn full timeout,,21-19,,
2:47.0,T. Robinson enters the game for B. Lopez,,21-19,,
2:47.0,,,21-19,,B. Biyombo enters the game for N. Powell
2:47.0,,,21-19,,P. Patterson enters the game for J. Thompson
2:47.0,,,21-19,,C. Joseph enters the game for J. Valanciunas
2:47.0,,,21-19,,T. Ross enters the game for K. Lowry
2:34.0,,,21-21,2,D. DeRozan makes 2-pt shot at rim (assist by T. Ross)
2:07.0,T. Young makes 2-pt shot from 5 ft,2,23-21,,
1:43.0,,,23-24,3,T. Ross makes 3-pt shot from 26 ft (assist by D. DeRozan)
1:21.0,T. Young misses 2-pt shot from 14 ft,,23-24,,
1:20.0,,,23-24,,Defensive rebound by C. Joseph
1:05.0,,,23-26,2,P. Patterson makes 2-pt shot from 5 ft
0:54.0,D. Sloan misses 2-pt shot from 4 ft,,23-26,,
0:53.0,,,23-26,,Defensive rebound by T. Ross
0:42.0,,,23-26,,T. Ross misses 3-pt shot from 26 ft
0:41.0,Defensive rebound by T. Young,,23-26,,
0:31.0,Turnover by D. Sloan (bad pass),,23-26,,
0:31.0,S. Larkin enters the game for B. Bogdanovic,,23-26,,
0:31.0,S. Kilpatrick enters the game for D. Sloan,,23-26,,
0:09.0,,,23-26,,D. DeRozan misses 2-pt shot from 3 ft
0:09.0,,,23-26,,Offensive rebound by P. Patterson
0:08.0,,,23-26,,Shooting foul by T. Robinson (drawn by P. Patterson)
0:08.0,,,23-27,1,P. Patterson makes free throw 1 of 2
0:08.0,,,23-28,1,P. Patterson makes free throw 2 of 2
0:02.0,S. Larkin misses 2-pt shot from 6 ft (block by T. Ross),,23-28,,
0:02.0,Offensive rebound by Team,,23-28,,
0:01.0,T. Robinson misses 2-pt shot from 2 ft,,23-28,,
0:00.0,,,23-28,,Defensive rebound by T. Ross
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,23-28,,T. Ross misses 3-pt shot from 23 ft
11:41.0,Defensive rebound by Team,,23-28,,
11:28.0,W. Reed makes 2-pt shot from 8 ft (assist by M. Brown),2,25-28,,
11:10.0,,,25-28,,C. Joseph misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by T. Robinson,,25-28,,
10:48.0,S. Kilpatrick makes 3-pt shot from 26 ft,3,28-28,,
10:26.0,,,28-28,,Turnover by K. Lowry (bad pass)
10:15.0,W. Reed misses 2-pt shot from 9 ft,,28-28,,
10:15.0,Offensive rebound by T. Robinson,,28-28,,
10:12.0,T. Robinson misses 2-pt shot from 2 ft,,28-28,,
10:12.0,Offensive rebound by W. Reed,,28-28,,
10:09.0,W. Reed makes 2-pt shot from 1 ft,2,30-28,,
10:03.0,,,30-28,,Toronto full timeout
9:49.0,,,30-30,2,P. Patterson makes 2-pt shot from 17 ft (assist by K. Lowry)
9:49.0,,,30-30,,Shooting foul by T. Robinson (drawn by P. Patterson)
9:49.0,,,30-30,,P. Patterson misses free throw 1 of 1
9:48.0,Defensive rebound by T. Robinson,,30-30,,
9:30.0,S. Larkin misses 3-pt shot from 26 ft,,30-30,,
9:30.0,,,30-30,,Defensive rebound by T. Ross
9:22.0,,,30-30,,K. Lowry misses 3-pt shot from 26 ft
9:21.0,Defensive rebound by T. Robinson,,30-30,,
9:04.0,,,30-30,,Personal foul by C. Joseph
8:59.0,Turnover by S. Larkin (lost ball; steal by P. Patterson),,30-30,,
8:44.0,,,30-30,,Turnover by K. Lowry (lost ball; steal by W. Reed)
8:38.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by M. Brown),3,33-30,,
8:24.0,,,33-30,,Turnover by B. Biyombo (offensive foul)
8:24.0,,,33-30,,Offensive foul by B. Biyombo
8:13.0,,,33-30,,Violation by P. Patterson (kicked ball)
8:00.0,M. Brown misses 2-pt shot from 5 ft,,33-30,,
8:00.0,Offensive rebound by W. Reed,,33-30,,
7:55.0,W. Reed makes 2-pt shot at rim,2,35-30,,
7:46.0,,,35-30,,T. Ross misses 2-pt shot from 18 ft
7:45.0,,,35-30,,Offensive rebound by B. Biyombo
7:44.0,,,35-30,,Turnover by B. Biyombo (bad pass)
7:35.0,,,35-30,,Personal foul by C. Joseph
7:35.0,,,35-30,,D. DeRozan enters the game for C. Joseph
7:27.0,W. Reed misses 2-pt shot from 13 ft,,35-30,,
7:26.0,,,35-30,,Defensive rebound by T. Ross
7:19.0,Shooting block foul by S. Kilpatrick (drawn by K. Lowry),,35-30,,
7:19.0,,,35-30,,K. Lowry misses free throw 1 of 2
7:19.0,,,35-30,,Offensive rebound by Team
7:19.0,,,35-31,1,K. Lowry makes free throw 2 of 2
7:07.0,M. Brown misses 2-pt shot from 21 ft,,35-31,,
7:07.0,,,35-31,,Defensive rebound by B. Biyombo
6:59.0,,,35-31,,Turnover by K. Lowry (lost ball; steal by T. Robinson)
6:55.0,W. Reed makes 2-pt shot at rim (assist by T. Robinson),2,37-31,,
6:34.0,,,37-31,,K. Lowry misses 2-pt shot from 6 ft
6:34.0,,,37-31,,Offensive rebound by T. Ross
6:28.0,,,37-31,,P. Patterson misses 3-pt shot from 23 ft
6:24.0,Defensive rebound by T. Robinson,,37-31,,
6:23.0,S. Larkin makes 2-pt shot from 2 ft (assist by T. Robinson),2,39-31,,
6:23.0,,,39-31,,Violation by P. Patterson (def goaltending)
6:15.0,Personal foul by M. Brown,,39-31,,
6:06.0,,,39-31,,Shooting foul by S. Kilpatrick (drawn by D. DeRozan)
6:06.0,,,39-32,1,D. DeRozan makes free throw 1 of 2
6:06.0,,,39-33,1,D. DeRozan makes free throw 2 of 2
5:56.0,S. Kilpatrick misses 2-pt shot from 4 ft (block by B. Biyombo),,39-33,,
5:56.0,Offensive rebound by Team,,39-33,,
5:56.0,Official timeout,,39-33,,
5:49.0,,,39-33,,Personal foul by P. Patterson
