time,Boston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. A. Johnson (J. Crowder gains possession),,,,Jump ball: T. Duncan vs. A. Johnson (J. Crowder gains possession)
11:46.0,A. Bradley makes 2-pt shot from 19 ft (assist by J. Crowder),2,2-0,,
11:30.0,,,2-0,,L. Aldridge misses 2-pt shot from 5 ft
11:29.0,Defensive rebound by I. Thomas,,2-0,,
11:20.0,A. Bradley makes 2-pt shot from 20 ft (assist by I. Thomas),2,4-0,,
10:58.0,,,4-0,,T. Parker misses 2-pt shot from 9 ft
10:57.0,,,4-0,,Offensive rebound by T. Duncan
10:44.0,,,4-0,,D. Green misses 2-pt shot from 9 ft
10:43.0,Defensive rebound by A. Johnson,,4-0,,
10:32.0,A. Bradley misses 2-pt shot from 19 ft (block by T. Duncan),,4-0,,
10:30.0,,,4-0,,Defensive rebound by K. Leonard
10:14.0,Personal foul by A. Johnson (drawn by L. Aldridge),,4-0,,
10:07.0,,,4-2,2,D. Green makes 2-pt shot from 22 ft (assist by T. Parker)
9:52.0,A. Bradley makes 3-pt shot from 25 ft (assist by J. Sullinger),3,7-2,,
9:35.0,,,7-4,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
9:20.0,J. Sullinger misses 3-pt shot from 26 ft,,7-4,,
9:18.0,Offensive rebound by A. Johnson,,7-4,,
9:16.0,A. Johnson misses 2-pt shot from 2 ft,,7-4,,
9:15.0,,,7-4,,Defensive rebound by T. Duncan
9:05.0,,,7-4,,T. Parker misses 2-pt shot from 2 ft (block by J. Sullinger)
9:02.0,Defensive rebound by A. Bradley,,7-4,,
8:53.0,A. Johnson makes 3-pt shot from 24 ft (assist by I. Thomas),3,10-4,,
8:39.0,,,10-4,,K. Leonard misses 2-pt shot from 11 ft
8:38.0,Defensive rebound by J. Crowder,,10-4,,
8:22.0,A. Johnson misses 3-pt shot from 24 ft,,10-4,,
8:21.0,,,10-4,,Defensive rebound by T. Parker
8:09.0,,,10-4,,Turnover by T. Duncan (bad pass; steal by I. Thomas)
8:05.0,Turnover by J. Crowder (bad pass; steal by K. Leonard),,10-4,,
7:56.0,,,10-6,2,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Parker)
7:39.0,I. Thomas makes 2-pt shot from 18 ft (assist by J. Sullinger),2,12-6,,
7:38.0,,,12-6,,San Antonio full timeout
7:20.0,,,12-8,2,D. Green makes 2-pt shot from 12 ft (assist by K. Leonard)
7:06.0,I. Thomas misses 2-pt shot from 11 ft,,12-8,,
7:05.0,,,12-8,,Defensive rebound by L. Aldridge
6:52.0,,,12-8,,T. Duncan misses 2-pt shot from 6 ft
6:50.0,Defensive rebound by J. Sullinger,,12-8,,
6:37.0,A. Bradley makes 2-pt shot from 17 ft (assist by A. Johnson),2,14-8,,
6:16.0,,,14-8,,Turnover by T. Parker (bad pass; steal by I. Thomas)
6:11.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,16-8,,
6:03.0,,,16-8,,K. Leonard misses 2-pt shot from 5 ft (block by A. Johnson)
5:59.0,Defensive rebound by A. Johnson,,16-8,,
