time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. T. Duncan (T. Parker gains possession),,,,Jump ball: C. Andersen vs. T. Duncan (T. Parker gains possession)
11:39.0,,,0-0,,L. Aldridge misses 2-pt shot from 14 ft
11:38.0,Defensive rebound by V. Carter,,0-0,,
11:25.0,,,0-0,,Violation by D. Green (kicked ball)
11:12.0,Turnover by C. Andersen (lost ball; steal by K. Leonard),,0-0,,
11:07.0,,,0-2,2,K. Leonard makes 2-pt shot at rim
10:56.0,,,0-2,,Personal foul by L. Aldridge
10:46.0,Z. Randolph misses 2-pt shot from 18 ft,,0-2,,
10:45.0,Offensive rebound by C. Andersen,,0-2,,
10:37.0,J. Farmar misses 2-pt shot from 10 ft,,0-2,,
10:35.0,,,0-2,,Defensive rebound by T. Duncan
10:27.0,,,0-2,,T. Parker misses 2-pt shot from 2 ft (block by C. Andersen)
10:25.0,Defensive rebound by Z. Randolph,,0-2,,
10:18.0,V. Carter makes 3-pt shot from 26 ft (assist by J. Farmar),3,3-2,,
9:53.0,,,3-5,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker)
9:33.0,C. Andersen misses 2-pt shot from 18 ft,,3-5,,
9:32.0,,,3-5,,Defensive rebound by Team
9:11.0,,,3-5,,L. Aldridge misses 2-pt shot from 16 ft
9:10.0,Defensive rebound by V. Carter,,3-5,,
9:03.0,M. Barnes misses 3-pt shot from 26 ft,,3-5,,
9:01.0,,,3-5,,Defensive rebound by T. Duncan
8:55.0,,,3-5,,T. Parker misses 2-pt shot from 3 ft (block by V. Carter)
8:54.0,Defensive rebound by M. Barnes,,3-5,,
8:43.0,Z. Randolph misses 2-pt shot from 2 ft (block by T. Duncan),,3-5,,
8:38.0,Offensive rebound by Z. Randolph,,3-5,,
8:35.0,Z. Randolph misses 2-pt shot from 1 ft,,3-5,,
8:34.0,,,3-5,,Defensive rebound by T. Duncan
8:30.0,,,3-5,,Shooting foul by C. Andersen (drawn by T. Duncan)
8:30.0,,,3-5,,T. Duncan misses free throw 1 of 2
8:30.0,,,3-5,,Offensive rebound by Team
8:30.0,,,3-6,1,T. Duncan makes free throw 2 of 2
8:07.0,M. Barnes misses 2-pt shot from 4 ft,,3-6,,
8:06.0,Offensive rebound by C. Andersen,,3-6,,
8:03.0,C. Andersen misses 2-pt shot at rim,,3-6,,
8:03.0,,,3-6,,Defensive rebound by T. Duncan
7:58.0,,,3-6,,Turnover by T. Parker (bad pass)
7:46.0,Shooting foul by D. Green (drawn by V. Carter),,3-6,,
7:46.0,V. Carter makes free throw 1 of 2,1,4-6,,
7:46.0,V. Carter makes free throw 2 of 2,1,5-6,,
7:31.0,,,5-6,,Shooting foul by J. Farmar (drawn by T. Parker)
7:31.0,,,5-7,1,T. Parker makes free throw 1 of 2
7:31.0,,,5-8,1,T. Parker makes free throw 2 of 2
7:16.0,M. Barnes misses 2-pt shot from 22 ft (block by K. Leonard),,5-8,,
7:15.0,,,5-8,,Defensive rebound by T. Duncan
7:10.0,,,5-10,2,T. Parker makes 2-pt shot from 1 ft
6:51.0,Z. Randolph misses 2-pt shot from 5 ft (block by K. Leonard),,5-10,,
6:49.0,,,5-10,,Defensive rebound by D. Green
6:33.0,,,5-10,,L. Aldridge misses 2-pt shot from 1 ft
6:32.0,Defensive rebound by C. Andersen,,5-10,,
6:15.0,V. Carter makes 2-pt shot from 3 ft (assist by J. Farmar),2,7-10,,
6:15.0,,,7-10,,San Antonio full timeout
5:59.0,Personal foul by Z. Randolph,,7-10,,
5:59.0,,,7-10,,M. Ginobili enters the game for D. Green
5:46.0,,,7-10,,M. Ginobili misses 3-pt shot from 23 ft
5:45.0,Defensive rebound by C. Andersen,,7-10,,
5:28.0,V. Carter misses 3-pt shot from 25 ft,,7-10,,
5:26.0,,,7-10,,Defensive rebound by Team
5:26.0,T. Allen enters the game for V. Carter,,7-10,,
5:26.0,,,7-10,,D. West enters the game for T. Duncan
5:10.0,,,7-10,,K. Leonard misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by J. Farmar,,7-10,,
5:05.0,Offensive foul by M. Barnes,,7-10,,
5:05.0,Turnover by M. Barnes (offensive foul),,7-10,,
5:05.0,,,7-10,,P. Mills enters the game for T. Parker
4:50.0,,,7-12,2,L. Aldridge makes 2-pt shot from 17 ft (assist by M. Ginobili)
4:31.0,M. Barnes makes 2-pt shot from 1 ft (assist by Z. Randolph),2,9-12,,
4:18.0,,,9-12,,K. Leonard misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by C. Andersen,,9-12,,
4:04.0,Z. Randolph makes 2-pt shot from 7 ft,2,11-12,,
3:52.0,,,11-12,,L. Aldridge misses 2-pt shot from 15 ft
3:52.0,Defensive rebound by M. Barnes,,11-12,,
3:35.0,Z. Randolph misses 2-pt shot at rim,,11-12,,
3:35.0,,,11-12,,Defensive rebound by K. Leonard
3:13.0,,,11-12,,L. Aldridge misses 2-pt shot from 1 ft (block by T. Allen)
3:12.0,,,11-12,,Offensive rebound by L. Aldridge
3:08.0,,,11-12,,K. Leonard misses 3-pt shot from 24 ft
3:08.0,Defensive rebound by C. Andersen,,11-12,,
3:01.0,J. Farmar misses 3-pt shot from 26 ft,,11-12,,
2:59.0,,,11-12,,Defensive rebound by P. Mills
