time,Utah,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Gobert,,,,Jump ball: A. Drummond vs. R. Gobert
11:47.0,G. Hayward makes 2-pt shot from 4 ft,2,2-0,,
11:29.0,,,2-0,,Offensive foul by M. Morris
11:29.0,,,2-0,,Turnover by M. Morris (offensive foul)
11:12.0,G. Hayward misses 2-pt shot from 3 ft,,2-0,,
11:11.0,,,2-0,,Defensive rebound by A. Drummond
11:01.0,,,2-3,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson)
10:47.0,Turnover by R. Gobert (bad pass),,2-3,,
10:26.0,,,2-3,,M. Morris misses 2-pt shot from 16 ft
10:25.0,Defensive rebound by R. Gobert,,2-3,,
10:06.0,D. Favors makes 2-pt shot from 12 ft (assist by R. Neto),2,4-3,,
9:45.0,,,4-3,,R. Jackson misses 2-pt shot from 11 ft
9:43.0,Defensive rebound by R. Gobert,,4-3,,
9:31.0,R. Hood misses 3-pt shot from 25 ft,,4-3,,
9:30.0,,,4-3,,Defensive rebound by K. Caldwell-Pope
9:12.0,,,4-3,,M. Morris misses 2-pt shot from 4 ft
9:11.0,Defensive rebound by R. Gobert,,4-3,,
8:51.0,R. Gobert misses 2-pt shot from 3 ft,,4-3,,
8:50.0,Offensive rebound by Team,,4-3,,
8:43.0,R. Hood misses 3-pt shot from 25 ft,,4-3,,
8:42.0,,,4-3,,Defensive rebound by M. Morris
8:33.0,,,4-5,2,E. Ilyasova makes 2-pt shot from 19 ft (assist by R. Jackson)
8:10.0,R. Neto misses 2-pt shot from 20 ft,,4-5,,
8:09.0,,,4-5,,Defensive rebound by E. Ilyasova
7:58.0,,,4-5,,R. Jackson misses 2-pt shot from 13 ft
7:57.0,Defensive rebound by D. Favors,,4-5,,
7:47.0,R. Gobert makes 2-pt shot at rim (assist by R. Neto),2,6-5,,
7:21.0,,,6-5,,K. Caldwell-Pope misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by R. Gobert,,6-5,,
7:10.0,Offensive charge foul by G. Hayward,,6-5,,
7:10.0,Turnover by G. Hayward (offensive foul),,6-5,,
6:57.0,,,6-5,,Turnover by R. Jackson (bad pass; steal by R. Gobert)
6:51.0,G. Hayward makes 2-pt shot at rim (assist by R. Hood),2,8-5,,
6:35.0,,,8-5,,E. Ilyasova misses 3-pt shot from 26 ft
6:34.0,Defensive rebound by R. Hood,,8-5,,
6:16.0,R. Hood misses 3-pt shot from 26 ft,,8-5,,
6:15.0,,,8-5,,Defensive rebound by A. Drummond
6:06.0,Personal foul by R. Hood (drawn by M. Morris),,8-5,,
6:06.0,T. Burke enters the game for R. Neto,,8-5,,
5:55.0,,,8-5,,A. Drummond misses 2-pt shot from 4 ft
5:53.0,Defensive rebound by R. Gobert,,8-5,,
5:38.0,D. Favors makes 2-pt shot at rim,2,10-5,,
5:35.0,,,10-5,,Detroit full timeout
5:23.0,,,10-5,,Turnover by K. Caldwell-Pope (lost ball)
5:10.0,D. Favors makes 2-pt shot from 7 ft (assist by R. Hood),2,12-5,,
4:55.0,,,12-5,,E. Ilyasova misses 2-pt shot from 5 ft (block by R. Gobert)
4:52.0,Defensive rebound by R. Hood,,12-5,,
4:29.0,R. Gobert misses 2-pt shot from 7 ft,,12-5,,
4:27.0,,,12-5,,Defensive rebound by M. Morris
4:21.0,,,12-5,,R. Jackson misses 2-pt shot from 13 ft
4:19.0,Defensive rebound by G. Hayward,,12-5,,
4:09.0,Turnover by R. Hood (lost ball; steal by E. Ilyasova),,12-5,,
3:56.0,,,12-7,2,M. Morris makes 2-pt shot from 11 ft (assist by K. Caldwell-Pope)
3:32.0,Shooting foul by E. Ilyasova (drawn by D. Favors),,12-7,,
3:32.0,D. Favors misses free throw 1 of 2,,12-7,,
3:32.0,Offensive rebound by Team,,12-7,,
3:32.0,A. Burks enters the game for R. Hood,,12-7,,
3:32.0,T. Lyles enters the game for R. Gobert,,12-7,,
3:32.0,,,12-7,,J. Meeks enters the game for K. Caldwell-Pope
3:32.0,D. Favors makes free throw 2 of 2,1,13-7,,
3:18.0,,,13-7,,M. Morris misses 2-pt shot at rim
3:16.0,Defensive rebound by D. Favors,,13-7,,
2:59.0,Turnover by D. Favors (traveling),,13-7,,
2:59.0,Utah full timeout,,13-7,,
2:59.0,,,13-7,,S. Blake enters the game for E. Ilyasova
2:59.0,,,13-7,,A. Tolliver enters the game for R. Jackson
2:59.0,J. Ingles enters the game for G. Hayward,,13-7,,
2:41.0,,,13-7,,A. Drummond misses 2-pt shot from 4 ft
2:39.0,Defensive rebound by A. Burks,,13-7,,
2:25.0,T. Burke misses 2-pt shot from 17 ft,,13-7,,
2:22.0,,,13-7,,Defensive rebound by A. Tolliver
2:14.0,,,13-7,,Shooting foul by T. Burke (drawn by A. Drummond)
2:14.0,,,13-8,1,A. Drummond makes free throw 1 of 2
2:14.0,R. Gobert enters the game for D. Favors,,13-8,,
2:14.0,,,13-9,1,A. Drummond makes free throw 2 of 2
2:07.0,,,13-9,,Personal foul by J. Meeks (drawn by A. Burks)
2:01.0,A. Burks misses 2-pt shot from 12 ft,,13-9,,
2:01.0,,,13-9,,Defensive rebound by A. Tolliver
1:47.0,,,13-12,3,M. Morris makes 3-pt shot from 25 ft (assist by A. Tolliver)
1:25.0,T. Lyles misses 2-pt shot from 14 ft,,13-12,,
1:19.0,,,13-12,,Defensive rebound by A. Drummond
1:17.0,,,13-12,,Shooting foul by A. Burks (drawn by A. Drummond)
1:17.0,,,13-13,1,A. Drummond makes free throw 1 of 2
1:17.0,,,13-14,1,A. Drummond makes free throw 2 of 2
1:02.0,A. Burks makes 2-pt shot at rim,2,15-14,,
0:48.0,,,15-14,,A. Drummond misses 2-pt shot from 4 ft
0:47.0,Defensive rebound by R. Gobert,,15-14,,
0:29.0,R. Gobert misses 2-pt shot from 8 ft,,15-14,,
0:28.0,,,15-14,,Defensive rebound by Team
0:09.0,,,15-14,,S. Blake misses 2-pt shot from 4 ft
0:08.0,,,15-14,,Offensive rebound by A. Drummond
0:08.0,,,15-16,2,A. Drummond makes 2-pt shot at rim
0:01.0,A. Burks misses 2-pt shot at rim,,15-16,,
0:00.0,,,15-16,,Defensive rebound by A. Drummond
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,15-16,,J. Meeks misses 2-pt shot from 21 ft
11:47.0,,,15-16,,Offensive rebound by A. Baynes
11:43.0,,,15-16,,Turnover by S. Blake (lost ball; steal by E. Millsap)
11:35.0,J. Ingles misses 3-pt shot from 26 ft,,15-16,,
11:34.0,,,15-16,,Defensive rebound by A. Tolliver
11:28.0,,,15-16,,S. Johnson misses 2-pt shot from 1 ft
11:27.0,Defensive rebound by R. Gobert,,15-16,,
11:06.0,Shooting foul by S. Johnson (drawn by A. Burks),,15-16,,
11:06.0,A. Burks makes free throw 1 of 2,1,16-16,,
11:06.0,A. Burks makes free throw 2 of 2,1,17-16,,
10:47.0,,,17-18,2,A. Baynes makes 2-pt shot at rim (assist by S. Blake)
10:29.0,T. Burke misses 2-pt shot from 2 ft (block by A. Baynes),,17-18,,
10:27.0,,,17-18,,Defensive rebound by S. Johnson
10:16.0,,,17-18,,A. Baynes misses 2-pt shot from 14 ft
10:16.0,Defensive rebound by A. Burks,,17-18,,
10:16.0,,,17-18,,Loose ball foul by A. Baynes (drawn by E. Millsap)
9:55.0,J. Ingles makes 2-pt shot from 15 ft,2,19-18,,
9:32.0,,,19-18,,K. Caldwell-Pope enters the game for J. Meeks
9:31.0,,,19-18,,Shooting foul by J. Ingles (drawn by A. Tolliver)
9:31.0,,,19-18,,A. Tolliver misses free throw 1 of 3
9:31.0,,,19-18,,Offensive rebound by Team
9:31.0,,,19-18,,A. Tolliver misses free throw 2 of 3
9:31.0,,,19-18,,Offensive rebound by Team
9:31.0,,,19-18,,A. Tolliver misses free throw 3 of 3
9:29.0,Defensive rebound by T. Burke,,19-18,,
9:12.0,A. Burks makes 2-pt shot from 19 ft,2,21-18,,
8:51.0,,,21-21,3,S. Johnson makes 3-pt shot from 26 ft (assist by S. Blake)
8:33.0,J. Ingles misses 2-pt shot from 18 ft,,21-21,,
8:32.0,,,21-21,,Defensive rebound by S. Blake
8:19.0,,,21-23,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Blake)
8:19.0,Utah full timeout,,21-23,,
8:19.0,R. Hood enters the game for T. Burke,,21-23,,
8:19.0,R. Neto enters the game for E. Millsap,,21-23,,
8:05.0,R. Hood makes 2-pt shot from 6 ft,2,23-23,,
7:52.0,,,23-23,,S. Johnson misses 2-pt shot from 4 ft
7:51.0,,,23-23,,Offensive rebound by A. Baynes
7:32.0,,,23-23,,K. Caldwell-Pope misses 3-pt shot from 25 ft
7:32.0,,,23-23,,Offensive rebound by S. Johnson
7:13.0,,,23-23,,A. Baynes misses 2-pt shot from 2 ft
7:13.0,Defensive rebound by J. Ingles,,23-23,,
6:59.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,25-23,,
6:36.0,,,25-23,,Shooting foul by A. Burks (drawn by A. Baynes)
6:36.0,,,25-24,1,A. Baynes makes free throw 1 of 2
6:36.0,D. Favors enters the game for A. Burks,,25-24,,
6:36.0,G. Hayward enters the game for R. Gobert,,25-24,,
