time,Milwaukee,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. J. Valanciunas (D. Carroll gains possession),,,,Jump ball: G. Monroe vs. J. Valanciunas (D. Carroll gains possession)
11:42.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
11:29.0,Turnover by G. Monroe (lost ball; steal by K. Lowry),,0-2,,
11:23.0,,,0-2,,Turnover by D. DeRozan (lost ball; steal by G. Monroe)
11:20.0,,,0-2,,Violation by K. Lowry (def goaltending)
11:20.0,G. Monroe makes 2-pt shot from 2 ft,2,2-2,,
11:05.0,,,2-2,,J. Valanciunas misses 2-pt shot at rim
11:04.0,,,2-2,,Offensive rebound by Team
10:54.0,,,2-4,2,K. Lowry makes 2-pt shot from 3 ft (assist by D. DeRozan)
10:30.0,G. Monroe misses 2-pt shot from 5 ft,,2-4,,
10:29.0,Offensive rebound by G. Monroe,,2-4,,
10:25.0,G. Monroe makes 2-pt shot at rim,2,4-4,,
10:07.0,,,4-4,,D. Carroll misses 2-pt shot from 20 ft
10:06.0,Defensive rebound by J. O'Bryant,,4-4,,
9:50.0,M. Carter-Williams misses 2-pt shot from 16 ft,,4-4,,
9:49.0,,,4-4,,Defensive rebound by K. Lowry
9:35.0,,,4-4,,K. Lowry misses 3-pt shot from 27 ft
9:35.0,Defensive rebound by G. Antetokounmpo,,4-4,,
9:25.0,K. Middleton makes 2-pt shot from 1 ft (assist by G. Monroe),2,6-4,,
9:01.0,,,6-4,,Shooting foul by G. Monroe (drawn by J. Valanciunas)
9:01.0,,,6-5,1,J. Valanciunas makes free throw 1 of 2
9:01.0,,,6-5,,J. Valanciunas misses free throw 2 of 2
9:00.0,Defensive rebound by G. Monroe,,6-5,,
8:47.0,J. O'Bryant makes 2-pt shot from 16 ft (assist by M. Carter-Williams),2,8-5,,
8:20.0,,,8-5,,L. Scola misses 2-pt shot from 5 ft
8:20.0,Defensive rebound by G. Antetokounmpo,,8-5,,
8:01.0,K. Middleton misses 3-pt shot from 26 ft,,8-5,,
8:00.0,,,8-5,,Defensive rebound by J. Valanciunas
7:52.0,,,8-7,2,J. Valanciunas makes 2-pt shot from 19 ft (assist by K. Lowry)
7:35.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe),2,10-7,,
7:13.0,,,10-9,2,D. DeRozan makes 2-pt shot from 5 ft
6:58.0,K. Middleton misses 2-pt shot from 16 ft,,10-9,,
6:58.0,,,10-9,,Defensive rebound by K. Lowry
6:42.0,,,10-9,,L. Scola misses 2-pt shot from 18 ft
6:41.0,,,10-9,,Offensive rebound by K. Lowry
6:37.0,,,10-12,3,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry)
6:18.0,M. Carter-Williams misses 2-pt shot from 7 ft (block by D. DeRozan),,10-12,,
6:18.0,Offensive rebound by M. Carter-Williams,,10-12,,
6:17.0,Jump ball: M. Carter-Williams vs. D. DeRozan (K. Middleton gains possession),,,,Jump ball: M. Carter-Williams vs. D. DeRozan (K. Middleton gains possession)
6:09.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,10-12,,
6:08.0,,,10-12,,Defensive rebound by L. Scola
