time,Memphis,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (T. Allen gains possession),,,,Jump ball: A. Davis vs. M. Gasol (T. Allen gains possession)
11:39.0,J. Green misses 2-pt shot from 6 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by Team
11:19.0,,,0-3,3,J. Holiday makes 3-pt shot from 25 ft (assist by A. Davis)
11:01.0,M. Gasol makes 2-pt shot from 17 ft (assist by T. Allen),2,2-3,,
10:38.0,,,2-3,,A. Davis misses 2-pt shot from 16 ft
10:36.0,Defensive rebound by M. Conley,,2-3,,
10:31.0,Turnover by M. Conley (bad pass; steal by J. Holiday),,2-3,,
10:25.0,,,2-5,2,A. Gee makes 2-pt shot from 2 ft (assist by T. Evans)
10:07.0,M. Gasol misses 2-pt shot from 5 ft,,2-5,,
10:07.0,,,2-5,,Defensive rebound by Team
9:58.0,,,2-8,3,T. Evans makes 3-pt shot from 23 ft
9:30.0,M. Conley makes 3-pt shot from 24 ft,3,5-8,,
9:15.0,,,5-10,2,A. Ajinca makes 2-pt shot from 16 ft (assist by T. Evans)
9:02.0,Z. Randolph makes 2-pt shot from 17 ft,2,7-10,,
8:56.0,,,7-12,2,J. Holiday makes 2-pt shot from 6 ft
8:42.0,T. Allen misses 2-pt shot from 21 ft,,7-12,,
8:42.0,,,7-12,,Defensive rebound by T. Evans
8:28.0,Jump ball: T. Evans vs. Z. Randolph (J. Holiday gains possession),,,,Jump ball: T. Evans vs. Z. Randolph (J. Holiday gains possession)
8:20.0,,,7-14,2,A. Gee makes 2-pt shot at rim (assist by J. Holiday)
8:00.0,Shooting foul by A. Ajinca (drawn by M. Gasol),,7-14,,
8:00.0,M. Gasol makes free throw 1 of 2,1,8-14,,
8:00.0,M. Gasol makes free throw 2 of 2,1,9-14,,
7:41.0,,,9-14,,A. Davis misses 2-pt shot from 2 ft
7:40.0,,,9-14,,Offensive rebound by A. Ajinca
7:40.0,,,9-16,2,A. Ajinca makes 2-pt shot from 1 ft
7:23.0,Shooting foul by A. Ajinca (drawn by M. Gasol),,9-16,,
7:23.0,M. Gasol makes free throw 1 of 2,1,10-16,,
7:23.0,,,10-16,,R. Anderson enters the game for A. Ajinca
7:23.0,M. Gasol makes free throw 2 of 2,1,11-16,,
7:10.0,,,11-18,2,T. Evans makes 2-pt shot from 1 ft
7:01.0,Memphis full timeout,,11-18,,
6:46.0,M. Conley misses 3-pt shot from 24 ft,,11-18,,
6:45.0,,,11-18,,Defensive rebound by A. Davis
6:29.0,,,11-18,,A. Davis misses 2-pt shot from 14 ft
6:28.0,Defensive rebound by J. Green,,11-18,,
6:17.0,J. Green makes 2-pt shot from 1 ft,2,13-18,,
6:07.0,,,13-18,,Shooting foul by T. Allen (drawn by T. Evans)
6:07.0,,,13-19,1,T. Evans makes free throw 1 of 2
6:07.0,C. Lee enters the game for T. Allen,,13-19,,
6:07.0,M. Barnes enters the game for M. Gasol,,13-19,,
6:07.0,,,13-20,1,T. Evans makes free throw 2 of 2
5:51.0,M. Conley misses 2-pt shot from 16 ft,,13-20,,
5:51.0,,,13-20,,Defensive rebound by A. Davis
5:51.0,Personal foul by Z. Randolph (drawn by A. Davis),,13-20,,
5:51.0,,,13-20,,E. Gordon enters the game for T. Evans
5:33.0,,,13-22,2,J. Holiday makes 2-pt shot from 1 ft (assist by A. Davis)
5:16.0,Z. Randolph makes 2-pt shot from 5 ft,2,15-22,,
5:13.0,Personal foul by J. Green (drawn by A. Davis),,15-22,,
5:08.0,,,15-24,2,E. Gordon makes 2-pt shot from 2 ft (assist by J. Holiday)
5:01.0,,,15-24,,Personal foul by R. Anderson (drawn by Z. Randolph)
5:01.0,M. Chalmers enters the game for M. Conley,,15-24,,
5:01.0,,,15-24,,N. Cole enters the game for J. Holiday
4:50.0,Z. Randolph misses 2-pt shot from 14 ft,,15-24,,
4:49.0,Offensive rebound by Z. Randolph,,15-24,,
4:47.0,Z. Randolph makes 2-pt shot from 2 ft,2,17-24,,
4:23.0,,,17-24,,N. Cole misses 2-pt shot from 17 ft
4:22.0,Defensive rebound by Z. Randolph,,17-24,,
4:12.0,J. Green makes 2-pt shot from 1 ft (assist by M. Barnes),2,19-24,,
3:51.0,,,19-26,2,A. Gee makes 2-pt shot at rim (assist by N. Cole)
3:39.0,M. Barnes misses 3-pt shot from 25 ft,,19-26,,
3:38.0,Offensive rebound by C. Lee,,19-26,,
3:37.0,Turnover by C. Lee (lost ball),,19-26,,
3:25.0,,,19-26,,Shooting foul by M. Barnes (drawn by R. Anderson)
3:25.0,,,19-27,1,R. Anderson makes free throw 1 of 2
3:25.0,,,19-28,1,R. Anderson makes free throw 2 of 2
3:09.0,J. Green misses 2-pt shot from 2 ft (block by A. Davis),,19-28,,
3:09.0,Offensive rebound by Team,,19-28,,
3:01.0,J. Green misses 3-pt shot from 25 ft,,19-28,,
3:01.0,,,19-28,,Defensive rebound by A. Davis
2:52.0,,,19-28,,Shooting foul by J. Green (drawn by A. Davis)
2:52.0,,,19-28,,New Orleans full timeout
