time,Milwaukee,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: G. Monroe vs. N. Vucevic (C. Frye gains possession)
11:39.0,,,0-0,,E. Fournier misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by G. Monroe,,0-0,,
11:22.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,2-0,,
11:00.0,,,2-0,,C. Frye misses 2-pt shot from 3 ft
10:58.0,,,2-0,,Offensive rebound by N. Vucevic
10:55.0,,,2-0,,T. Harris misses 3-pt shot from 23 ft
10:54.0,Defensive rebound by G. Antetokounmpo,,2-0,,
10:41.0,J. Parker misses 2-pt shot at rim,,2-0,,
10:40.0,,,2-0,,Defensive rebound by N. Vucevic
10:31.0,,,2-3,3,T. Harris makes 3-pt shot from 26 ft (assist by E. Payton)
10:12.0,G. Monroe misses 2-pt shot from 3 ft,,2-3,,
10:11.0,Offensive rebound by G. Monroe,,2-3,,
10:08.0,G. Monroe misses 2-pt shot from 1 ft (block by T. Harris),,2-3,,
10:06.0,,,2-3,,Defensive rebound by E. Fournier
9:58.0,,,2-5,2,N. Vucevic makes 2-pt shot from 21 ft (assist by T. Harris)
9:41.0,Turnover by K. Middleton (bad pass; steal by E. Payton),,2-5,,
9:38.0,Violation by G. Antetokounmpo (def goaltending),,2-5,,
9:38.0,,,2-7,2,E. Payton makes 2-pt shot at rim
9:23.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,4-7,,
8:57.0,,,4-10,3,C. Frye makes 3-pt shot from 26 ft (assist by E. Payton)
8:44.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,6-10,,
8:37.0,,,6-10,,Turnover by T. Harris (bad pass)
8:24.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,8-10,,
8:13.0,,,8-10,,N. Vucevic misses 2-pt shot from 6 ft
8:12.0,,,8-10,,Offensive rebound by C. Frye
8:12.0,,,8-10,,C. Frye misses 2-pt shot from 1 ft
8:11.0,Defensive rebound by K. Middleton,,8-10,,
8:01.0,Turnover by G. Antetokounmpo (lost ball),,8-10,,
7:44.0,,,8-10,,T. Harris misses 2-pt shot from 12 ft
7:43.0,,,8-10,,Offensive rebound by E. Fournier
7:41.0,,,8-12,2,E. Fournier makes 2-pt shot from 3 ft
7:21.0,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo),2,10-12,,
7:09.0,,,10-15,3,T. Harris makes 3-pt shot from 23 ft (assist by N. Vucevic)
6:51.0,Shooting foul by E. Payton (drawn by M. Carter-Williams),,10-15,,
6:51.0,M. Carter-Williams misses free throw 1 of 2,,10-15,,
6:51.0,Offensive rebound by Team,,10-15,,
6:51.0,M. Carter-Williams makes free throw 2 of 2,1,11-15,,
6:41.0,,,11-18,3,E. Fournier makes 3-pt shot from 27 ft (assist by E. Payton)
6:23.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by J. Parker),2,13-18,,
6:06.0,,,13-18,,E. Payton misses 2-pt shot from 20 ft
6:04.0,Defensive rebound by G. Monroe,,13-18,,
6:00.0,,,13-18,,Personal foul by E. Payton (drawn by M. Carter-Williams)
6:00.0,,,13-18,,S. Napier enters the game for E. Payton
6:00.0,,,13-18,,A. Nicholson enters the game for C. Frye
5:54.0,M. Carter-Williams misses 2-pt shot from 10 ft,,13-18,,
5:53.0,,,13-18,,Defensive rebound by Team
5:53.0,,,13-18,,Orlando full timeout
5:53.0,J. Bayless enters the game for J. Parker,,13-18,,
5:40.0,,,13-18,,Turnover by A. Nicholson (3 sec)
5:23.0,G. Monroe misses 2-pt shot from 4 ft,,13-18,,
