time,New York,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,M. Morris misses 2-pt shot from 15 ft
12:00.0,Jump ball: A. Drummond vs. R. Lopez (E. Ilyasova gains possession),,,,Jump ball: A. Drummond vs. R. Lopez (E. Ilyasova gains possession)
11:43.0,Defensive rebound by K. Porzingis,,0-0,,
11:31.0,C. Anthony misses 2-pt shot from 18 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by Team
11:17.0,,,0-3,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by M. Morris)
10:56.0,J. Calderon misses 2-pt shot from 12 ft,,0-3,,
10:55.0,,,0-3,,Defensive rebound by A. Drummond
10:49.0,,,0-6,3,M. Morris makes 3-pt shot from 22 ft (assist by S. Johnson)
10:24.0,K. Porzingis misses 3-pt shot from 23 ft,,0-6,,
10:23.0,,,0-6,,Defensive rebound by A. Drummond
10:09.0,,,0-9,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by M. Morris)
10:08.0,New York full timeout,,0-9,,
9:47.0,A. Afflalo makes 2-pt shot from 12 ft (assist by J. Calderon),2,2-9,,
9:28.0,,,2-12,3,R. Jackson makes 3-pt shot from 25 ft
9:03.0,Turnover by J. Calderon (bad pass; steal by R. Jackson),,2-12,,
8:56.0,,,2-12,,R. Jackson misses 2-pt shot from 1 ft
8:55.0,Defensive rebound by R. Lopez,,2-12,,
8:49.0,Turnover by A. Afflalo (lost ball; steal by S. Johnson),,2-12,,
8:34.0,,,2-12,,Turnover by R. Jackson (bad pass; steal by J. Calderon)
8:27.0,C. Anthony misses 3-pt shot from 25 ft,,2-12,,
8:26.0,,,2-12,,Defensive rebound by M. Morris
8:09.0,,,2-12,,S. Johnson misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by K. Porzingis,,2-12,,
7:59.0,C. Anthony misses 2-pt shot at rim (block by A. Drummond),,2-12,,
7:58.0,,,2-12,,Defensive rebound by M. Morris
7:51.0,,,2-12,,Turnover by E. Ilyasova (lost ball; steal by A. Afflalo)
7:42.0,K. Porzingis misses 2-pt shot from 15 ft,,2-12,,
7:41.0,,,2-12,,Defensive rebound by S. Johnson
7:31.0,,,2-12,,R. Jackson misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by C. Anthony,,2-12,,
7:17.0,K. Porzingis misses 2-pt shot at rim,,2-12,,
7:16.0,,,2-12,,Defensive rebound by A. Drummond
7:05.0,,,2-12,,M. Morris misses 2-pt shot from 19 ft
7:04.0,Defensive rebound by C. Anthony,,2-12,,
6:53.0,Turnover by C. Anthony (bad pass; steal by S. Johnson),,2-12,,
6:50.0,,,2-12,,Turnover by S. Johnson (bad pass; steal by A. Afflalo)
6:35.0,A. Afflalo misses 3-pt shot from 26 ft,,2-12,,
6:34.0,Offensive rebound by R. Lopez,,2-12,,
6:33.0,R. Lopez misses 2-pt shot at rim,,2-12,,
6:32.0,,,2-12,,Defensive rebound by E. Ilyasova
6:31.0,,,2-12,,Turnover by E. Ilyasova (lost ball)
6:31.0,L. Thomas enters the game for K. Porzingis,,2-12,,
6:31.0,L. Galloway enters the game for J. Calderon,,2-12,,
6:21.0,C. Anthony makes 2-pt shot from 16 ft (assist by L. Thomas),2,4-12,,
6:02.0,,,4-12,,R. Jackson misses 2-pt shot at rim
6:00.0,Defensive rebound by R. Lopez,,4-12,,
5:58.0,Shooting foul by R. Jackson (drawn by L. Galloway),,4-12,,
5:58.0,L. Galloway misses free throw 1 of 2,,4-12,,
5:58.0,Offensive rebound by Team,,4-12,,
5:58.0,L. Galloway makes free throw 2 of 2,1,5-12,,
5:43.0,,,5-12,,S. Johnson misses 2-pt shot from 7 ft
5:41.0,,,5-12,,Offensive rebound by A. Drummond
5:39.0,,,5-14,2,A. Drummond makes 2-pt shot at rim
5:23.0,R. Lopez makes 2-pt shot at rim (assist by C. Anthony),2,7-14,,
5:08.0,,,7-16,2,R. Jackson makes 2-pt shot at rim
4:52.0,A. Afflalo misses 2-pt shot from 1 ft,,7-16,,
4:49.0,Offensive rebound by R. Lopez,,7-16,,
4:47.0,R. Lopez makes 2-pt shot from 1 ft,2,9-16,,
4:47.0,,,9-18,2,S. Johnson makes 2-pt shot at rim
4:47.0,,,9-18,,Shooting foul by R. Lopez (drawn by S. Johnson)
4:47.0,,,9-19,1,S. Johnson makes free throw 1 of 1
4:22.0,C. Anthony makes 3-pt shot from 27 ft (assist by A. Afflalo),3,12-19,,
3:56.0,,,12-19,,E. Ilyasova misses 2-pt shot from 21 ft
3:55.0,Defensive rebound by L. Galloway,,12-19,,
3:53.0,Turnover by L. Galloway (bad pass; steal by E. Ilyasova),,12-19,,
3:47.0,,,12-21,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
3:16.0,C. Anthony misses 2-pt shot from 12 ft,,12-21,,
3:15.0,Offensive rebound by L. Galloway,,12-21,,
3:12.0,L. Galloway makes 2-pt shot at rim,2,14-21,,
2:43.0,,,14-23,2,A. Drummond makes 2-pt shot from 6 ft
2:28.0,Turnover by C. Anthony (bad pass; steal by A. Drummond),,14-23,,
2:19.0,,,14-23,,R. Jackson misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by A. Afflalo,,14-23,,
1:54.0,L. Thomas misses 2-pt shot from 19 ft,,14-23,,
1:53.0,,,14-23,,Defensive rebound by A. Drummond
1:37.0,,,14-25,2,E. Ilyasova makes 2-pt shot from 15 ft (assist by R. Jackson)
1:37.0,New York full timeout,,14-25,,
1:37.0,,,14-25,,Detroit full timeout
1:37.0,,,14-25,,D. Hilliard enters the game for S. Johnson
1:37.0,,,14-25,,B. Jennings enters the game for R. Jackson
1:37.0,S. Vujacic enters the game for C. Anthony,,14-25,,
1:37.0,K. Porzingis enters the game for R. Lopez,,14-25,,
1:37.0,D. Williams enters the game for A. Afflalo,,14-25,,
1:26.0,,,14-25,,Personal foul by D. Hilliard (drawn by L. Thomas)
1:15.0,L. Thomas misses 2-pt shot from 12 ft,,14-25,,
1:14.0,,,14-25,,Defensive rebound by A. Drummond
1:08.0,Personal foul by L. Thomas (drawn by M. Morris),,14-25,,
0:57.0,,,14-25,,M. Morris misses 2-pt shot from 9 ft
0:57.0,Defensive rebound by D. Williams,,14-25,,
0:53.0,Shooting foul by A. Drummond (drawn by D. Williams),,14-25,,
0:53.0,D. Williams makes free throw 1 of 2,1,15-25,,
0:53.0,D. Williams misses free throw 2 of 2,,15-25,,
0:52.0,,,15-25,,Defensive rebound by A. Drummond
0:51.0,Personal take foul by S. Vujacic (drawn by A. Drummond),,15-25,,
0:51.0,,,15-25,,A. Drummond misses free throw 1 of 2
0:51.0,,,15-25,,Offensive rebound by Team
0:51.0,,,15-26,1,A. Drummond makes free throw 2 of 2
0:28.0,S. Vujacic misses 2-pt shot from 19 ft,,15-26,,
0:27.0,,,15-26,,Defensive rebound by A. Drummond
0:12.0,Personal foul by L. Thomas (drawn by A. Drummond),,15-26,,
0:12.0,,,15-27,1,A. Drummond makes free throw 1 of 2
0:12.0,,,15-27,,A. Drummond misses free throw 2 of 2
0:11.0,,,15-27,,Offensive rebound by Team
0:00.0,,,15-27,,Turnover by A. Drummond (offensive goaltending)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:32.0,D. Williams makes 2-pt shot from 15 ft,2,17-27,,
11:09.0,,,17-30,3,S. Johnson makes 3-pt shot from 25 ft
10:57.0,D. Williams misses 3-pt shot from 25 ft,,17-30,,
10:56.0,,,17-30,,Defensive rebound by S. Johnson
10:53.0,,,17-30,,Turnover by B. Jennings (bad pass; steal by L. Galloway)
10:45.0,D. Williams misses 2-pt shot at rim,,17-30,,
10:44.0,,,17-30,,Defensive rebound by B. Jennings
10:41.0,Violation by L. Thomas (def goaltending),,17-30,,
10:41.0,,,17-32,2,D. Hilliard makes 2-pt shot at rim (assist by B. Jennings)
10:28.0,S. Vujacic misses 2-pt shot from 15 ft,,17-32,,
10:27.0,,,17-32,,Defensive rebound by B. Jennings
10:14.0,,,17-34,2,D. Hilliard makes 2-pt shot from 20 ft
9:51.0,K. Porzingis misses 2-pt shot at rim,,17-34,,
9:50.0,,,17-34,,Defensive rebound by A. Tolliver
9:42.0,,,17-34,,A. Baynes misses 2-pt shot from 5 ft
9:42.0,Defensive rebound by S. Vujacic,,17-34,,
9:33.0,K. Porzingis makes 3-pt shot from 27 ft (assist by S. Vujacic),3,20-34,,
9:11.0,,,20-36,2,S. Johnson makes 2-pt shot from 16 ft
9:01.0,K. Porzingis misses 3-pt shot from 27 ft,,20-36,,
9:01.0,,,20-36,,Defensive rebound by S. Johnson
8:57.0,Official timeout,,20-36,,
8:57.0,K. O'Quinn enters the game for K. Porzingis,,20-36,,
8:57.0,A. Afflalo enters the game for L. Thomas,,20-36,,
8:57.0,C. Anthony enters the game for L. Galloway,,20-36,,
8:57.0,J. Calderon enters the game for D. Williams,,20-36,,
8:53.0,,,20-39,3,B. Jennings makes 3-pt shot from 24 ft (assist by S. Johnson)
8:36.0,C. Anthony misses 2-pt shot from 7 ft,,20-39,,
8:36.0,,,20-39,,Defensive rebound by S. Johnson
8:32.0,,,20-39,,Shooting foul by J. Calderon (drawn by B. Jennings)
8:32.0,,,20-40,1,B. Jennings makes free throw 1 of 2
8:32.0,,,20-41,1,B. Jennings makes free throw 2 of 2
8:16.0,,,20-41,,Personal foul by A. Tolliver (drawn by C. Anthony)
8:09.0,K. O'Quinn misses 2-pt shot from 19 ft,,20-41,,
8:08.0,,,20-41,,Defensive rebound by B. Jennings
8:00.0,,,20-41,,B. Jennings misses 3-pt shot from 26 ft
7:59.0,Defensive rebound by Team,,20-41,,
7:41.0,C. Anthony misses 2-pt shot at rim (block by A. Baynes),,20-41,,
7:40.0,,,20-41,,Defensive rebound by A. Tolliver
7:24.0,,,20-41,,Turnover by B. Jennings (bad pass; steal by S. Vujacic)
7:19.0,S. Vujacic misses 3-pt shot from 25 ft,,20-41,,
7:18.0,,,20-41,,Defensive rebound by D. Hilliard
7:07.0,,,20-41,,D. Hilliard misses 2-pt shot at rim
7:05.0,Defensive rebound by C. Anthony,,20-41,,
6:58.0,J. Calderon misses 3-pt shot from 23 ft,,20-41,,
6:57.0,,,20-41,,Defensive rebound by A. Tolliver
6:51.0,,,20-43,2,S. Johnson makes 2-pt shot from 5 ft
6:51.0,,,20-43,,Shooting foul by S. Vujacic (drawn by S. Johnson)
6:51.0,R. Lopez enters the game for K. O'Quinn,,20-43,,
6:51.0,,,20-44,1,S. Johnson makes free throw 1 of 1
6:36.0,Shooting foul by A. Tolliver (drawn by C. Anthony),,20-44,,
6:36.0,C. Anthony misses free throw 1 of 2,,20-44,,
6:36.0,Offensive rebound by Team,,20-44,,
6:36.0,L. Galloway enters the game for S. Vujacic,,20-44,,
6:36.0,C. Anthony makes free throw 2 of 2,1,21-44,,
6:22.0,,,21-46,2,D. Hilliard makes 2-pt shot from 13 ft
6:12.0,,,21-46,,Personal foul by A. Tolliver (drawn by C. Anthony)
6:12.0,,,21-46,,M. Morris enters the game for A. Tolliver
6:07.0,J. Calderon misses 2-pt shot from 14 ft,,21-46,,
6:06.0,,,21-46,,Defensive rebound by S. Johnson
5:58.0,,,21-48,2,A. Baynes makes 2-pt shot at rim (assist by B. Jennings)
5:58.0,New York full timeout,,21-48,,
5:58.0,,,21-48,,A. Drummond enters the game for B. Jennings
5:58.0,,,21-48,,R. Jackson enters the game for A. Baynes
5:58.0,L. Thomas enters the game for J. Calderon,,21-48,,
5:44.0,Shooting foul by R. Jackson (drawn by A. Afflalo),,21-48,,
5:44.0,A. Afflalo misses free throw 1 of 2,,21-48,,
5:44.0,Offensive rebound by Team,,21-48,,
5:44.0,A. Afflalo makes free throw 2 of 2,1,22-48,,
5:30.0,,,22-48,,Shooting foul by L. Galloway (drawn by R. Jackson)
5:30.0,,,22-48,,R. Jackson misses free throw 1 of 2
5:30.0,,,22-48,,Offensive rebound by Team
