time,Washington,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Noel (R. Covington gains possession),,,,Jump ball: M. Gortat vs. N. Noel (R. Covington gains possession)
11:41.0,,,0-2,2,J. Okafor makes 2-pt shot from 8 ft (assist by I. Smith)
11:23.0,M. Gortat misses 2-pt shot from 3 ft (block by R. Covington),,0-2,,
11:21.0,,,0-2,,Defensive rebound by R. Covington
11:10.0,,,0-4,2,N. Noel makes 2-pt shot from 5 ft (assist by N. Stauskas)
10:51.0,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall),3,3-4,,
10:36.0,,,3-4,,J. Okafor misses 2-pt shot from 12 ft
10:34.0,Defensive rebound by J. Wall,,3-4,,
10:28.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,5-4,,
10:07.0,,,5-4,,N. Noel misses 2-pt shot from 3 ft
10:05.0,Defensive rebound by M. Gortat,,5-4,,
10:00.0,J. Wall misses 2-pt shot from 3 ft,,5-4,,
9:57.0,,,5-4,,Defensive rebound by N. Noel
9:49.0,,,5-4,,N. Stauskas misses 3-pt shot from 22 ft
9:48.0,Defensive rebound by M. Gortat,,5-4,,
9:42.0,O. Porter misses 3-pt shot from 23 ft,,5-4,,
9:40.0,,,5-4,,Defensive rebound by N. Noel
9:25.0,,,5-4,,R. Covington misses 3-pt shot from 29 ft
9:23.0,Defensive rebound by M. Gortat,,5-4,,
9:03.0,J. Dudley misses 2-pt shot from 18 ft,,5-4,,
9:02.0,,,5-4,,Defensive rebound by N. Noel
8:56.0,,,5-4,,Turnover by I. Smith (bad pass)
8:45.0,,,5-4,,Violation by N. Noel (kicked ball)
8:39.0,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter),2,7-4,,
8:22.0,,,7-4,,R. Covington misses 3-pt shot from 23 ft
8:21.0,Defensive rebound by M. Gortat,,7-4,,
8:17.0,,,7-4,,Violation by R. Covington (kicked ball)
8:12.0,O. Porter misses 2-pt shot from 17 ft (block by J. Okafor),,7-4,,
8:09.0,,,7-4,,Defensive rebound by J. Okafor
8:00.0,,,7-4,,J. Okafor misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by M. Gortat,,7-4,,
7:53.0,J. Dudley misses 3-pt shot from 26 ft,,7-4,,
7:52.0,,,7-4,,Defensive rebound by I. Smith
7:42.0,,,7-6,2,J. Okafor makes 2-pt shot from 7 ft (assist by I. Smith)
7:29.0,G. Temple misses 2-pt shot from 16 ft,,7-6,,
7:27.0,,,7-6,,Defensive rebound by I. Smith
7:21.0,Personal foul by M. Gortat (drawn by J. Okafor),,7-6,,
7:09.0,Shooting block foul by J. Dudley (drawn by N. Stauskas),,7-6,,
7:09.0,,,7-7,1,N. Stauskas makes free throw 1 of 2
