time,Orlando,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: S. Adams vs. N. Vucevic (E. Payton gains possession)
11:36.0,A. Gordon misses 2-pt shot from 10 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by R. Westbrook
11:21.0,,,0-2,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
11:05.0,N. Vucevic makes 2-pt shot from 16 ft,2,2-2,,
10:45.0,,,2-4,2,D. Waiters makes 2-pt shot at rim
10:24.0,E. Payton misses 2-pt shot from 17 ft,,2-4,,
10:24.0,,,2-4,,Defensive rebound by K. Durant
10:14.0,Personal foul by E. Payton (drawn by R. Westbrook),,2-4,,
10:02.0,,,2-4,,R. Westbrook misses 2-pt shot from 11 ft
10:01.0,Defensive rebound by V. Oladipo,,2-4,,
9:52.0,N. Vucevic makes 2-pt shot from 4 ft,2,4-4,,
9:26.0,,,4-4,,K. Durant misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by T. Harris,,4-4,,
9:09.0,T. Harris misses 3-pt shot from 22 ft,,4-4,,
9:09.0,,,4-4,,Defensive rebound by R. Westbrook
9:03.0,,,4-6,2,R. Westbrook makes 2-pt shot from 14 ft
8:42.0,T. Harris misses 3-pt shot from 24 ft,,4-6,,
8:42.0,,,4-6,,Defensive rebound by R. Westbrook
8:27.0,,,4-6,,Turnover by S. Adams (lost ball)
8:17.0,N. Vucevic misses 2-pt shot from 1 ft (block by S. Ibaka),,4-6,,
8:16.0,,,4-6,,Defensive rebound by S. Ibaka
8:11.0,,,4-6,,S. Adams misses 2-pt shot at rim
8:10.0,Defensive rebound by E. Payton,,4-6,,
8:04.0,T. Harris makes 2-pt shot at rim (assist by V. Oladipo),2,6-6,,
7:54.0,Personal foul by E. Payton (drawn by R. Westbrook),,6-6,,
7:54.0,M. Hezonja enters the game for E. Payton,,6-6,,
7:43.0,,,6-8,2,S. Ibaka makes 2-pt shot from 8 ft (assist by R. Westbrook)
7:27.0,A. Gordon misses 3-pt shot from 24 ft,,6-8,,
7:26.0,,,6-8,,Defensive rebound by K. Durant
7:20.0,,,6-10,2,R. Westbrook makes 2-pt shot from 13 ft (assist by K. Durant)
7:07.0,M. Hezonja makes 2-pt shot at rim,2,8-10,,
6:57.0,,,8-10,,Shooting foul by T. Harris (drawn by K. Durant)
6:57.0,,,8-11,1,K. Durant makes free throw 1 of 2
6:57.0,,,8-12,1,K. Durant makes free throw 2 of 2
6:41.0,T. Harris misses 2-pt shot from 4 ft (block by K. Durant),,8-12,,
6:41.0,Offensive rebound by Team,,8-12,,
6:34.0,T. Harris makes 2-pt shot from 19 ft (assist by M. Hezonja),2,10-12,,
6:20.0,,,10-12,,S. Adams misses 2-pt shot at rim
6:18.0,,,10-12,,Offensive rebound by S. Adams
6:17.0,,,10-14,2,S. Adams makes 2-pt shot from 1 ft
6:03.0,M. Hezonja misses 2-pt shot from 9 ft,,10-14,,
6:02.0,,,10-14,,Defensive rebound by S. Ibaka
5:59.0,,,10-14,,K. Durant misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by A. Gordon,,10-14,,
5:48.0,V. Oladipo misses 2-pt shot from 17 ft,,10-14,,
5:48.0,,,10-14,,Defensive rebound by S. Adams
5:40.0,,,10-16,2,S. Ibaka makes 2-pt shot from 13 ft (assist by R. Westbrook)
5:21.0,,,10-16,,Personal foul by S. Adams (drawn by N. Vucevic)
5:21.0,,,10-16,,Oklahoma City full timeout
5:10.0,N. Vucevic makes 2-pt shot from 12 ft,2,12-16,,
4:56.0,,,12-18,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
4:48.0,V. Oladipo makes 2-pt shot from 23 ft,2,14-18,,
4:34.0,,,14-20,2,R. Westbrook makes 2-pt shot from 11 ft
4:21.0,M. Hezonja makes 3-pt shot from 26 ft (assist by T. Harris),3,17-20,,
4:07.0,,,17-22,2,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook)
3:47.0,N. Vucevic misses 2-pt shot from 4 ft,,17-22,,
3:47.0,,,17-22,,Defensive rebound by S. Ibaka
3:34.0,,,17-24,2,R. Westbrook makes 2-pt shot from 1 ft (assist by K. Durant)
3:25.0,V. Oladipo makes 2-pt shot from 14 ft,2,19-24,,
3:11.0,,,19-26,2,S. Ibaka makes 2-pt shot from 14 ft (assist by R. Westbrook)
2:51.0,V. Oladipo makes 2-pt shot at rim,2,21-26,,
2:26.0,,,21-28,2,R. Westbrook makes 2-pt shot at rim (assist by K. Durant)
2:14.0,N. Vucevic makes 2-pt shot from 20 ft (assist by V. Oladipo),2,23-28,,
1:54.0,,,23-28,,K. Durant misses 2-pt shot from 5 ft
1:53.0,Defensive rebound by A. Gordon,,23-28,,
1:45.0,A. Gordon misses 2-pt shot from 1 ft,,23-28,,
1:45.0,Offensive rebound by T. Harris,,23-28,,
1:43.0,T. Harris misses 2-pt shot from 1 ft (block by S. Ibaka),,23-28,,
1:40.0,Offensive rebound by A. Gordon,,23-28,,
1:40.0,A. Gordon makes 2-pt shot from 1 ft,2,25-28,,
1:33.0,,,25-28,,Oklahoma City full timeout
1:33.0,,,25-28,,K. Singler enters the game for S. Ibaka
1:33.0,,,25-28,,C. Payne enters the game for S. Adams
1:33.0,,,25-28,,E. Kanter enters the game for R. Westbrook
1:33.0,E. Fournier enters the game for T. Harris,,25-28,,
1:33.0,C. Frye enters the game for A. Gordon,,25-28,,
1:33.0,J. Smith enters the game for N. Vucevic,,25-28,,
1:22.0,,,25-28,,K. Singler misses 3-pt shot from 22 ft
1:20.0,,,25-28,,Offensive rebound by E. Kanter
1:12.0,,,25-28,,Shooting foul by E. Fournier (drawn by K. Durant)
1:12.0,,,25-29,1,K. Durant makes free throw 1 of 2
1:12.0,T. Harris enters the game for V. Oladipo,,25-29,,
1:12.0,,,25-30,1,K. Durant makes free throw 2 of 2
0:59.0,C. Frye misses 2-pt shot from 4 ft,,25-30,,
0:58.0,Offensive rebound by J. Smith,,25-30,,
0:56.0,J. Smith makes 2-pt shot at rim,2,27-30,,
0:45.0,,,27-32,2,C. Payne makes 2-pt shot from 16 ft
0:24.0,T. Harris makes 2-pt shot from 1 ft,2,29-32,,
0:04.0,,,29-32,,Turnover by K. Durant (lost ball; steal by J. Smith)
0:00.0,M. Hezonja makes 3-pt shot from 24 ft,3,32-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,32-32,,Shooting foul by J. Smith (drawn by C. Payne)
11:48.0,,,32-33,1,C. Payne makes free throw 1 of 2
11:48.0,,,32-34,1,C. Payne makes free throw 2 of 2
11:31.0,M. Hezonja misses 2-pt shot from 17 ft,,32-34,,
11:31.0,,,32-34,,Defensive rebound by E. Kanter
11:25.0,,,32-34,,Offensive foul by D. Waiters
11:25.0,,,32-34,,Turnover by D. Waiters (offensive foul)
11:25.0,,,32-34,,S. Adams enters the game for D. Waiters
11:12.0,E. Fournier makes 2-pt shot from 1 ft,2,34-34,,
10:59.0,,,34-36,2,K. Singler makes 2-pt shot from 12 ft (assist by C. Payne)
10:38.0,Shooting foul by K. Singler (drawn by E. Fournier),,34-36,,
10:38.0,E. Fournier makes free throw 1 of 2,1,35-36,,
10:38.0,V. Oladipo enters the game for T. Harris,,35-36,,
10:38.0,E. Fournier makes free throw 2 of 2,1,36-36,,
10:27.0,,,36-39,3,A. Morrow makes 3-pt shot from 25 ft (assist by C. Payne)
10:06.0,J. Smith makes 2-pt shot from 19 ft (assist by E. Fournier),2,38-39,,
9:50.0,,,38-42,3,K. Singler makes 3-pt shot from 22 ft (assist by C. Payne)
9:37.0,M. Hezonja makes 3-pt shot from 23 ft (assist by C. Frye),3,41-42,,
9:22.0,,,41-42,,A. Morrow misses 2-pt shot from 6 ft
9:21.0,,,41-42,,Offensive rebound by E. Kanter
9:21.0,,,41-44,2,E. Kanter makes 2-pt shot from 1 ft
9:12.0,C. Frye misses 3-pt shot from 24 ft,,41-44,,
9:11.0,Offensive rebound by M. Hezonja,,41-44,,
8:57.0,E. Fournier makes 3-pt shot from 23 ft (assist by C. Frye),3,44-44,,
8:36.0,Personal foul by C. Frye (drawn by E. Kanter),,44-44,,
8:36.0,Official timeout,,44-44,,
8:36.0,,,44-44,,R. Westbrook enters the game for E. Kanter
8:36.0,,,44-44,,S. Ibaka enters the game for C. Payne
8:36.0,E. Payton enters the game for M. Hezonja,,44-44,,
