time,Sacramento,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. D. Howard (P. Beverley gains possession),,,,Jump ball: D. Cousins vs. D. Howard (P. Beverley gains possession)
11:36.0,,,0-0,,J. Harden misses 3-pt shot from 22 ft
11:35.0,Defensive rebound by O. Casspi,,0-0,,
11:27.0,D. Cousins makes 2-pt shot from 17 ft (assist by R. Rondo),2,2-0,,
11:12.0,,,2-0,,J. Harden misses 2-pt shot from 4 ft
11:11.0,Defensive rebound by D. Cousins,,2-0,,
11:03.0,B. McLemore makes 2-pt shot at rim (assist by R. Rondo),2,4-0,,
10:48.0,,,4-3,3,P. Beverley makes 3-pt shot from 25 ft
10:34.0,D. Cousins misses 3-pt shot from 23 ft,,4-3,,
10:33.0,,,4-3,,Defensive rebound by Team
10:22.0,,,4-3,,P. Beverley misses 2-pt shot from 6 ft
10:21.0,Defensive rebound by D. Cousins,,4-3,,
10:18.0,Shooting foul by J. Harden (drawn by O. Casspi),,4-3,,
10:18.0,O. Casspi makes free throw 1 of 2,1,5-3,,
10:18.0,O. Casspi makes free throw 2 of 2,1,6-3,,
9:57.0,,,6-5,2,D. Howard makes 2-pt shot at rim (assist by C. Capela)
9:37.0,B. McLemore misses 3-pt shot from 25 ft,,6-5,,
9:37.0,,,6-5,,Defensive rebound by C. Capela
9:23.0,,,6-8,3,P. Beverley makes 3-pt shot from 24 ft
9:10.0,Turnover by R. Gay (bad pass; steal by D. Howard),,6-8,,
9:10.0,Personal foul by R. Gay (drawn by D. Howard),,6-8,,
8:52.0,Personal foul by D. Cousins (drawn by D. Howard),,6-8,,
8:45.0,,,6-10,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
8:35.0,Turnover by O. Casspi (step out of bounds),,6-10,,
8:27.0,,,6-10,,J. Harden misses 2-pt shot from 8 ft
8:26.0,Defensive rebound by D. Cousins,,6-10,,
8:23.0,R. Gay makes 2-pt shot from 2 ft (assist by D. Cousins),2,8-10,,
