time,Chicago,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. C. Felicio (J. Ennis gains possession),,,,Jump ball: O. Asik vs. C. Felicio (J. Ennis gains possession)
11:41.0,,,0-2,2,T. Douglas makes 2-pt shot from 1 ft
11:32.0,J. Holiday makes 2-pt shot from 1 ft,2,2-2,,
11:13.0,,,2-2,,L. Babbitt misses 2-pt shot from 9 ft
11:12.0,Defensive rebound by M. Dunleavy,,2-2,,
11:07.0,,,2-2,,Personal foul by T. Douglas
11:07.0,,,2-2,,T. Frazier enters the game for T. Douglas
11:01.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by N. Mirotic),3,5-2,,
10:52.0,,,5-2,,Turnover by T. Frazier (lost ball; steal by M. Dunleavy)
10:50.0,M. Dunleavy makes 2-pt shot from 1 ft,2,7-2,,
10:30.0,,,7-2,,O. Asik misses 2-pt shot from 1 ft (block by J. Butler)
10:29.0,,,7-2,,Offensive rebound by Team
10:25.0,,,7-2,,L. Babbitt misses 2-pt shot from 2 ft
10:21.0,,,7-2,,Offensive rebound by J. Ennis
10:21.0,,,7-2,,J. Ennis misses 2-pt shot from 1 ft
10:21.0,,,7-2,,Offensive rebound by L. Babbitt
10:21.0,,,7-4,2,L. Babbitt makes 2-pt shot at rim
10:04.0,J. Holiday makes 2-pt shot from 13 ft,2,9-4,,
9:59.0,Personal block foul by J. Holiday,,9-4,,
9:59.0,,,9-4,,T. Douglas enters the game for T. Frazier
9:45.0,,,9-6,2,D. Cunningham makes 2-pt shot at rim
9:21.0,M. Dunleavy makes 2-pt shot from 18 ft,2,11-6,,
9:08.0,,,11-8,2,O. Asik makes 2-pt shot at rim (assist by L. Babbitt)
8:47.0,J. Holiday makes 3-pt shot from 24 ft (assist by J. Butler),3,14-8,,
8:36.0,,,14-10,2,O. Asik makes 2-pt shot from 2 ft (assist by L. Babbitt)
8:16.0,,,14-10,,Def 3 sec tech foul by O. Asik
8:16.0,J. Butler makes technical free throw,1,15-10,,
8:05.0,,,15-10,,Personal foul by D. Cunningham
7:51.0,C. Felicio makes 2-pt shot from 2 ft (assist by J. Butler),2,17-10,,
7:29.0,,,17-10,,Shooting foul by C. Felicio (drawn by J. Ennis)
7:29.0,,,17-11,1,J. Ennis makes free throw 1 of 2
7:29.0,,,17-12,1,J. Ennis makes free throw 2 of 2
7:17.0,Turnover by J. Butler (lost ball; steal by O. Asik),,17-12,,
7:10.0,,,17-12,,J. Ennis misses 3-pt shot from 23 ft
7:09.0,Defensive rebound by J. Holiday,,17-12,,
7:04.0,M. Dunleavy misses 3-pt shot from 24 ft,,17-12,,
7:04.0,,,17-12,,Defensive rebound by O. Asik
6:53.0,,,17-15,3,T. Douglas makes 3-pt shot from 24 ft
6:38.0,J. Butler makes 2-pt shot from 17 ft,2,19-15,,
6:24.0,,,19-15,,Offensive foul by O. Asik
6:24.0,,,19-15,,Turnover by O. Asik (offensive foul)
6:13.0,N. Mirotic misses 2-pt shot from 9 ft,,19-15,,
6:11.0,,,19-15,,Defensive rebound by T. Douglas
5:58.0,,,19-17,2,D. Cunningham makes 2-pt shot at rim (assist by L. Babbitt)
5:43.0,C. Felicio makes 2-pt shot from 18 ft (assist by J. Butler),2,21-17,,
5:28.0,,,21-17,,Shooting foul by J. Holiday (drawn by O. Asik)
5:28.0,,,21-17,,New Orleans full timeout
5:28.0,D. McDermott enters the game for J. Holiday,,21-17,,
5:28.0,,,21-18,1,O. Asik makes free throw 1 of 2
5:28.0,,,21-18,,O. Asik misses free throw 2 of 2
5:26.0,Defensive rebound by N. Mirotic,,21-18,,
5:13.0,J. Butler makes 2-pt shot from 20 ft,2,23-18,,
5:01.0,,,23-20,2,T. Douglas makes 2-pt shot at rim (assist by O. Asik)
4:48.0,Turnover by J. Butler (lost ball; steal by O. Asik),,23-20,,
4:44.0,,,23-20,,L. Babbitt misses 2-pt shot from 2 ft
4:43.0,,,23-20,,Offensive rebound by L. Babbitt
4:42.0,,,23-20,,L. Babbitt misses 2-pt shot from 2 ft
4:41.0,,,23-20,,Offensive rebound by L. Babbitt
4:41.0,,,23-20,,L. Babbitt misses 2-pt shot from 2 ft
4:40.0,Defensive rebound by N. Mirotic,,23-20,,
4:28.0,N. Mirotic misses 3-pt shot from 25 ft,,23-20,,
4:26.0,Offensive rebound by Team,,23-20,,
4:04.0,N. Mirotic misses 3-pt shot from 25 ft,,23-20,,
4:03.0,,,23-20,,Defensive rebound by T. Douglas
3:51.0,,,23-22,2,O. Asik makes 2-pt shot from 2 ft (assist by J. Ennis)
3:36.0,N. Mirotic misses 2-pt shot from 7 ft,,23-22,,
3:35.0,,,23-22,,Defensive rebound by O. Asik
3:30.0,,,23-22,,D. Cunningham misses 2-pt shot from 1 ft (block by M. Dunleavy)
3:30.0,,,23-22,,Offensive rebound by Team
3:30.0,B. Portis enters the game for N. Mirotic,,23-22,,
3:30.0,A. Brooks enters the game for J. Butler,,23-22,,
3:21.0,,,23-22,,J. Ennis misses 2-pt shot from 15 ft
3:21.0,Defensive rebound by M. Dunleavy,,23-22,,
3:01.0,B. Portis misses 2-pt shot from 9 ft,,23-22,,
3:01.0,,,23-22,,Defensive rebound by O. Asik
2:51.0,,,23-22,,Shooting foul by D. McDermott (drawn by J. Ennis)
2:51.0,Chicago full timeout,,23-22,,
2:51.0,T. Snell enters the game for M. Dunleavy,,23-22,,
2:51.0,,,23-22,,T. Frazier enters the game for D. Cunningham
2:51.0,,,23-22,,J. Hamilton enters the game for T. Douglas
2:51.0,,,23-23,1,J. Ennis makes free throw 1 of 2
2:51.0,,,23-24,1,J. Ennis makes free throw 2 of 2
2:29.0,A. Brooks misses 2-pt shot from 10 ft,,23-24,,
2:27.0,,,23-24,,Defensive rebound by J. Ennis
2:11.0,,,23-27,3,J. Ennis makes 3-pt shot from 25 ft (assist by T. Frazier)
1:55.0,T. Snell misses 2-pt shot from 8 ft,,23-27,,
1:51.0,,,23-27,,Defensive rebound by O. Asik
1:41.0,,,23-27,,O. Asik misses 2-pt shot from 1 ft
1:41.0,Defensive rebound by B. Portis,,23-27,,
1:34.0,T. Snell makes 2-pt shot from 20 ft (assist by B. Portis),2,25-27,,
1:15.0,Personal foul by A. Brooks,,25-27,,
1:15.0,,,25-27,,T. Frazier misses free throw 1 of 2
1:15.0,,,25-27,,Offensive rebound by Team
1:15.0,,,25-27,,K. Perkins enters the game for O. Asik
1:15.0,,,25-28,1,T. Frazier makes free throw 2 of 2
1:00.0,B. Portis makes 2-pt shot from 20 ft (assist by D. McDermott),2,27-28,,
0:51.0,,,27-28,,Shooting foul by T. Snell (drawn by J. Hamilton)
0:51.0,,,27-29,1,J. Hamilton makes free throw 1 of 2
0:51.0,,,27-29,,J. Hamilton misses free throw 2 of 2
0:48.0,Defensive rebound by C. Felicio,,27-29,,
0:39.0,,,27-29,,Personal foul by T. Frazier
0:27.0,C. Felicio misses 2-pt shot from 16 ft,,27-29,,
0:26.0,,,27-29,,Defensive rebound by T. Frazier
0:02.0,,,27-29,,J. Hamilton misses 2-pt shot from 12 ft
0:01.0,Defensive rebound by B. Portis,,27-29,,
0:00.0,B. Portis misses 3-pt shot from 47 ft,,27-29,,
0:00.0,Offensive rebound by Team,,27-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. McDermott misses 2-pt shot from 8 ft (block by K. Perkins),,27-29,,
11:39.0,,,27-29,,Defensive rebound by K. Perkins
11:25.0,,,27-29,,T. Douglas misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by B. Portis,,27-29,,
11:07.0,,,27-29,,Personal foul by K. Perkins
11:05.0,B. Portis makes 2-pt shot from 20 ft (assist by D. McDermott),2,29-29,,
10:42.0,,,29-29,,D. Cunningham misses 2-pt shot from 5 ft
10:39.0,Defensive rebound by T. Snell,,29-29,,
10:33.0,A. Brooks makes 3-pt shot from 25 ft (assist by T. Snell),3,32-29,,
10:16.0,,,32-32,3,J. Hamilton makes 3-pt shot from 25 ft (assist by D. Cunningham)
10:00.0,D. McDermott misses 2-pt shot from 2 ft,,32-32,,
9:59.0,,,32-32,,Defensive rebound by K. Perkins
9:53.0,,,32-34,2,T. Frazier makes 2-pt shot from 1 ft
9:41.0,Turnover by N. Mirotic (lost ball; steal by T. Frazier),,32-34,,
9:38.0,Personal foul by A. Brooks,,32-34,,
9:22.0,,,32-34,,Turnover by J. Hamilton (lost ball; steal by N. Mirotic)
9:14.0,D. McDermott misses 2-pt shot from 1 ft,,32-34,,
9:13.0,,,32-34,,Defensive rebound by D. Cunningham
9:07.0,,,32-36,2,D. Cunningham makes 2-pt shot from 19 ft (assist by T. Frazier)
8:55.0,N. Mirotic misses 3-pt shot from 24 ft,,32-36,,
8:54.0,,,32-36,,Defensive rebound by T. Frazier
8:41.0,,,32-39,3,T. Frazier makes 3-pt shot from 24 ft (assist by D. Cunningham)
8:40.0,Chicago full timeout,,32-39,,
