time,Sacramento,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. M. Gasol (M. Conley gains possession),,,,Jump ball: W. Cauley-Stein vs. M. Gasol (M. Conley gains possession)
11:34.0,,,0-2,2,M. Gasol makes 2-pt shot from 7 ft
11:13.0,B. McLemore makes 2-pt shot from 13 ft,2,2-2,,
10:52.0,Personal foul by W. Cauley-Stein (drawn by M. Gasol),,2-2,,
10:38.0,,,2-4,2,Z. Randolph makes 2-pt shot from 12 ft (assist by M. Gasol)
10:30.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,4-4,,
10:16.0,,,4-6,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol)
10:01.0,B. McLemore misses 2-pt shot from 15 ft,,4-6,,
10:00.0,Offensive rebound by D. Cousins,,4-6,,
9:57.0,D. Cousins misses 2-pt shot at rim (block by M. Gasol),,4-6,,
9:56.0,,,4-6,,Defensive rebound by M. Gasol
9:52.0,,,4-9,3,C. Lee makes 3-pt shot from 24 ft (assist by M. Gasol)
9:39.0,Turnover by R. Rondo (bad pass; steal by T. Allen),,4-9,,
9:36.0,,,4-9,,Shooting foul by D. Cousins (drawn by T. Allen)
9:36.0,,,4-10,1,T. Allen makes free throw 1 of 2
9:36.0,,,4-11,1,T. Allen makes free throw 2 of 2
9:24.0,Turnover by R. Rondo (bad pass; steal by Z. Randolph),,4-11,,
9:16.0,,,4-13,2,T. Allen makes 2-pt shot at rim (assist by M. Conley)
8:57.0,R. Rondo makes 2-pt shot from 1 ft,2,6-13,,
8:36.0,,,6-13,,Turnover by Z. Randolph (bad pass; steal by W. Cauley-Stein)
8:28.0,R. Gay misses 2-pt shot from 15 ft,,6-13,,
8:27.0,Offensive rebound by W. Cauley-Stein,,6-13,,
8:24.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by M. Gasol),,6-13,,
8:23.0,,,6-13,,Defensive rebound by Z. Randolph
8:06.0,,,6-13,,M. Gasol misses 2-pt shot from 18 ft
8:06.0,Defensive rebound by R. Rondo,,6-13,,
8:02.0,Shooting foul by M. Conley (drawn by B. McLemore),,6-13,,
8:02.0,B. McLemore misses free throw 1 of 2,,6-13,,
8:02.0,Offensive rebound by Team,,6-13,,
8:02.0,K. Koufos enters the game for W. Cauley-Stein,,6-13,,
8:02.0,B. McLemore makes free throw 2 of 2,1,7-13,,
7:45.0,,,7-15,2,M. Gasol makes 2-pt shot from 7 ft
7:28.0,R. Gay makes 3-pt shot from 24 ft (assist by R. Rondo),3,10-15,,
7:11.0,,,10-15,,Z. Randolph misses 2-pt shot from 17 ft
7:10.0,Defensive rebound by R. Gay,,10-15,,
6:53.0,D. Cousins misses 2-pt shot from 2 ft,,10-15,,
6:51.0,,,10-15,,Defensive rebound by Z. Randolph
6:44.0,,,10-15,,Turnover by Z. Randolph (bad pass)
6:29.0,R. Rondo misses 2-pt shot at rim,,10-15,,
6:28.0,,,10-15,,Defensive rebound by M. Conley
6:24.0,,,10-17,2,C. Lee makes 2-pt shot from 2 ft (assist by M. Conley)
6:16.0,K. Koufos misses 2-pt shot from 6 ft (block by M. Gasol),,10-17,,
6:14.0,,,10-17,,Defensive rebound by M. Conley
6:08.0,,,10-17,,T. Allen misses 2-pt shot from 13 ft
6:06.0,Defensive rebound by R. Rondo,,10-17,,
6:05.0,Sacramento full timeout,,10-17,,
6:05.0,,,10-17,,M. Chalmers enters the game for M. Conley
5:54.0,R. Gay misses 2-pt shot from 11 ft,,10-17,,
5:52.0,Offensive rebound by K. Koufos,,10-17,,
5:46.0,B. McLemore misses 3-pt shot from 22 ft,,10-17,,
5:45.0,,,10-17,,Defensive rebound by T. Allen
5:23.0,,,10-20,3,C. Lee makes 3-pt shot from 25 ft (assist by M. Gasol)
5:12.0,Shooting foul by Z. Randolph (drawn by D. Cousins),,10-20,,
5:12.0,D. Cousins makes free throw 1 of 2,1,11-20,,
5:12.0,D. Cousins makes free throw 2 of 2,1,12-20,,
4:59.0,,,12-20,,M. Gasol misses 2-pt shot from 5 ft
4:57.0,,,12-20,,Offensive rebound by Team
4:57.0,,,12-20,,J. Green enters the game for T. Allen
4:50.0,,,12-20,,M. Chalmers misses 2-pt shot from 6 ft
4:49.0,Defensive rebound by K. Koufos,,12-20,,
4:43.0,R. Rondo makes 2-pt shot from 1 ft,2,14-20,,
4:18.0,,,14-22,2,J. Green makes 2-pt shot from 17 ft
4:04.0,D. Cousins makes 2-pt shot from 1 ft,2,16-22,,
3:57.0,Personal foul by K. Koufos (drawn by M. Chalmers),,16-22,,
3:57.0,D. Collison enters the game for B. McLemore,,16-22,,
3:57.0,W. Cauley-Stein enters the game for D. Cousins,,16-22,,
3:47.0,,,16-24,2,Z. Randolph makes 2-pt shot from 1 ft
3:26.0,K. Koufos makes 2-pt shot from 5 ft (assist by R. Gay),2,18-24,,
3:26.0,,,18-24,,Memphis full timeout
3:26.0,,,18-24,,M. Barnes enters the game for Z. Randolph
