time,Phoenix,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Len (M. Conley gains possession),,,,Jump ball: M. Gasol vs. A. Len (M. Conley gains possession)
11:39.0,,,0-0,,Turnover by M. Conley (lost ball)
11:23.0,P. Tucker misses 3-pt shot from 23 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by Z. Randolph
11:10.0,,,0-0,,T. Allen misses 2-pt shot from 21 ft
11:09.0,Defensive rebound by E. Bledsoe,,0-0,,
11:00.0,E. Bledsoe misses 2-pt shot from 3 ft,,0-0,,
10:56.0,Offensive rebound by A. Len,,0-0,,
10:56.0,A. Len misses 2-pt shot at rim,,0-0,,
10:54.0,Offensive rebound by E. Bledsoe,,0-0,,
10:50.0,B. Knight misses 3-pt shot from 24 ft,,0-0,,
10:50.0,Offensive rebound by P. Tucker,,0-0,,
10:46.0,B. Knight makes 3-pt shot from 22 ft (assist by P. Tucker),3,3-0,,
10:24.0,,,3-0,,T. Allen misses 2-pt shot from 2 ft
10:23.0,Defensive rebound by J. Leuer,,3-0,,
10:17.0,B. Knight makes 2-pt shot from 2 ft,2,5-0,,
9:57.0,,,5-0,,J. Green misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by Team,,5-0,,
9:56.0,,,5-0,,Loose ball foul by M. Gasol (drawn by E. Bledsoe)
9:46.0,J. Leuer misses 2-pt shot from 16 ft,,5-0,,
9:45.0,,,5-0,,Defensive rebound by J. Green
9:37.0,,,5-2,2,Z. Randolph makes 2-pt shot from 16 ft (assist by M. Conley)
9:24.0,A. Len makes 2-pt shot at rim (assist by J. Leuer),2,7-2,,
9:24.0,,,7-2,,Memphis full timeout
9:00.0,,,7-2,,Turnover by Team (shot clock)
8:52.0,B. Knight makes 2-pt shot from 1 ft (assist by A. Len),2,9-2,,
8:52.0,Shooting foul by M. Conley (drawn by B. Knight),,9-2,,
8:52.0,B. Knight makes free throw 1 of 1,1,10-2,,
8:37.0,,,10-2,,Turnover by Z. Randolph (lost ball; steal by P. Tucker)
8:24.0,E. Bledsoe makes 2-pt shot from 21 ft,2,12-2,,
8:13.0,,,12-4,2,M. Gasol makes 2-pt shot from 4 ft (assist by M. Conley)
7:59.0,J. Leuer misses 2-pt shot from 8 ft,,12-4,,
7:57.0,,,12-4,,Defensive rebound by M. Gasol
