time,Phoenix,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. T. Chandler (M. Conley gains possession),,,,Jump ball: C. Andersen vs. T. Chandler (M. Conley gains possession)
11:43.0,,,0-2,2,M. Conley makes 2-pt shot from 11 ft (assist by M. Barnes)
11:27.0,T. Chandler makes 2-pt shot at rim (assist by A. Len),2,2-2,,
11:10.0,Def 3 sec tech foul by A. Len,,2-2,,
11:10.0,,,2-3,1,M. Conley makes technical free throw
11:01.0,,,2-3,,M. Conley misses 2-pt shot from 22 ft
11:00.0,,,2-3,,Offensive rebound by C. Andersen
10:57.0,,,2-3,,Turnover by C. Andersen (bad pass; steal by D. Booker)
10:52.0,D. Booker misses 2-pt shot from 12 ft,,2-3,,
10:50.0,,,2-3,,Defensive rebound by M. Barnes
10:43.0,,,2-5,2,M. Barnes makes 2-pt shot from 1 ft (assist by M. Conley)
10:19.0,D. Booker misses 3-pt shot from 25 ft,,2-5,,
10:18.0,,,2-5,,Defensive rebound by M. Barnes
10:10.0,,,2-8,3,M. Barnes makes 3-pt shot from 25 ft
9:56.0,Turnover by T. Chandler (3 sec),,2-8,,
9:43.0,,,2-8,,M. Barnes misses 2-pt shot from 21 ft
9:42.0,Defensive rebound by T. Chandler,,2-8,,
9:31.0,Turnover by P. Tucker (bad pass; steal by M. Conley),,2-8,,
9:25.0,,,2-8,,Turnover by P. Hairston (dbl dribble)
9:12.0,T. Chandler makes 2-pt shot from 15 ft (assist by D. Booker),2,4-8,,
8:56.0,,,4-10,2,Z. Randolph makes 2-pt shot from 7 ft
8:47.0,,,4-10,,Personal foul by P. Hairston (drawn by P. Tucker)
8:41.0,T. Chandler misses 2-pt shot from 15 ft,,4-10,,
8:40.0,,,4-10,,Defensive rebound by C. Andersen
8:30.0,,,4-10,,M. Conley misses 2-pt shot from 21 ft
8:28.0,,,4-10,,Offensive rebound by C. Andersen
8:16.0,,,4-10,,M. Barnes misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by P. Tucker,,4-10,,
8:08.0,D. Booker makes 3-pt shot from 24 ft (assist by R. Price),3,7-10,,
7:57.0,,,7-10,,Z. Randolph misses 2-pt shot from 21 ft
7:57.0,Defensive rebound by P. Tucker,,7-10,,
7:44.0,A. Len misses 2-pt shot from 18 ft,,7-10,,
7:43.0,,,7-10,,Defensive rebound by M. Barnes
7:40.0,Personal foul by R. Price (drawn by M. Conley),,7-10,,
7:34.0,,,7-10,,M. Conley misses 2-pt shot from 8 ft
7:33.0,,,7-10,,Offensive rebound by C. Andersen
7:33.0,,,7-12,2,C. Andersen makes 2-pt shot from 1 ft
7:22.0,A. Len makes 2-pt shot from 18 ft (assist by D. Booker),2,9-12,,
7:00.0,,,9-14,2,M. Barnes makes 2-pt shot from 1 ft (assist by Z. Randolph)
6:50.0,A. Len makes 2-pt shot from 17 ft (assist by R. Price),2,11-14,,
6:23.0,,,11-14,,Z. Randolph misses 2-pt shot from 7 ft
6:23.0,Defensive rebound by T. Chandler,,11-14,,
6:11.0,Turnover by D. Booker (bad pass),,11-14,,
5:52.0,Personal foul by P. Tucker (drawn by P. Hairston),,11-14,,
5:52.0,,,11-14,,Memphis full timeout
5:52.0,,,11-14,,R. Hollins enters the game for C. Andersen
5:52.0,,,11-14,,M. Chalmers enters the game for M. Conley
5:38.0,,,11-14,,M. Chalmers misses 2-pt shot at rim
5:37.0,,,11-14,,Offensive rebound by M. Chalmers
5:37.0,,,11-16,2,M. Chalmers makes 2-pt shot at rim
5:27.0,,,11-16,,Personal foul by M. Barnes (drawn by D. Booker)
5:18.0,A. Len misses 2-pt shot from 10 ft,,11-16,,
5:18.0,,,11-16,,Defensive rebound by Z. Randolph
5:05.0,,,11-16,,Z. Randolph misses 2-pt shot from 21 ft
5:05.0,Defensive rebound by A. Len,,11-16,,
4:54.0,R. Price misses 2-pt shot from 11 ft,,11-16,,
4:52.0,Offensive rebound by A. Len,,11-16,,
4:45.0,,,11-16,,Personal foul by R. Hollins (drawn by A. Len)
4:45.0,,,11-16,,L. Stephenson enters the game for M. Barnes
4:33.0,P. Tucker makes 2-pt shot from 7 ft,2,13-16,,
4:08.0,,,13-16,,R. Hollins misses 2-pt shot from 8 ft
4:06.0,,,13-16,,Offensive rebound by Z. Randolph
4:03.0,,,13-18,2,Z. Randolph makes 2-pt shot from 1 ft
3:49.0,T. Chandler misses 2-pt shot from 4 ft (block by R. Hollins),,13-18,,
3:48.0,Offensive rebound by A. Len,,13-18,,
3:40.0,P. Tucker makes 2-pt shot from 14 ft (assist by D. Booker),2,15-18,,
3:18.0,Personal foul by R. Price (drawn by M. Chalmers),,15-18,,
3:18.0,,,15-18,,V. Carter enters the game for P. Hairston
3:18.0,A. Goodwin enters the game for T. Chandler,,15-18,,
3:18.0,M. Teletovic enters the game for R. Price,,15-18,,
3:05.0,,,15-18,,Turnover by L. Stephenson (traveling)
2:54.0,D. Booker makes 2-pt shot from 17 ft,2,17-18,,
2:34.0,,,17-18,,Z. Randolph misses 2-pt shot from 7 ft
2:34.0,Defensive rebound by D. Booker,,17-18,,
2:16.0,M. Teletovic misses 3-pt shot from 25 ft,,17-18,,
2:16.0,,,17-18,,Defensive rebound by Z. Randolph
2:11.0,,,17-18,,Shooting foul by D. Booker (drawn by L. Stephenson)
2:11.0,,,17-18,,Technical foul by L. Stephenson
2:11.0,Phoenix full timeout,,17-18,,
2:11.0,,,17-18,,J. Green enters the game for Z. Randolph
2:11.0,D. Booker makes technical free throw,1,18-18,,
2:11.0,,,18-19,1,L. Stephenson makes free throw 1 of 2
2:11.0,,,18-20,1,L. Stephenson makes free throw 2 of 2
1:52.0,M. Teletovic makes 2-pt shot from 7 ft (assist by A. Goodwin),2,20-20,,
1:34.0,,,20-20,,L. Stephenson misses 2-pt shot from 5 ft
1:33.0,,,20-20,,Offensive rebound by L. Stephenson
1:29.0,,,20-22,2,L. Stephenson makes 2-pt shot from 1 ft
1:17.0,D. Booker makes 2-pt shot from 2 ft,2,22-22,,
1:17.0,,,22-22,,Memphis full timeout
1:17.0,J. Leuer enters the game for A. Len,,22-22,,
1:03.0,,,22-22,,L. Stephenson misses 2-pt shot from 4 ft
1:03.0,Defensive rebound by P. Tucker,,22-22,,
0:58.0,A. Goodwin makes 2-pt shot from 1 ft,2,24-22,,
0:48.0,,,24-22,,Shooting foul by J. Leuer (drawn by J. Green)
0:48.0,,,24-23,1,J. Green makes free throw 1 of 2
0:48.0,,,24-23,,J. Martin enters the game for R. Hollins
0:48.0,,,24-24,1,J. Green makes free throw 2 of 2
0:23.0,A. Goodwin misses 3-pt shot from 24 ft,,24-24,,
0:23.0,,,24-24,,Defensive rebound by V. Carter
0:19.0,,,24-24,,Turnover by V. Carter (bad pass)
0:03.0,D. Booker misses 3-pt shot from 25 ft,,24-24,,
0:03.0,Offensive rebound by P. Tucker,,24-24,,
0:01.0,P. Tucker misses 2-pt shot from 19 ft,,24-24,,
0:00.0,Offensive rebound by Team,,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Shooting foul by J. Martin (drawn by J. Leuer),,24-24,,
11:46.0,J. Leuer makes free throw 1 of 2,1,25-24,,
11:46.0,J. Leuer makes free throw 2 of 2,1,26-24,,
11:39.0,,,26-24,,Shooting foul by M. Teletovic (drawn by J. Green)
11:39.0,,,26-25,1,J. Green makes free throw 1 of 2
11:39.0,,,26-26,1,J. Green makes free throw 2 of 2
11:22.0,R. Price misses 3-pt shot from 26 ft,,26-26,,
11:22.0,,,26-26,,Defensive rebound by J. Green
11:12.0,,,26-26,,L. Stephenson misses 3-pt shot from 25 ft
11:11.0,,,26-26,,Offensive rebound by J. Green
11:10.0,,,26-26,,J. Martin misses 2-pt shot at rim
11:09.0,Defensive rebound by M. Teletovic,,26-26,,
11:03.0,M. Teletovic makes 3-pt shot from 26 ft (assist by A. Goodwin),3,29-26,,
10:48.0,,,29-26,,Turnover by J. Martin (bad pass)
10:36.0,M. Teletovic makes 3-pt shot from 27 ft (assist by J. Jenkins),3,32-26,,
10:31.0,,,32-26,,Memphis full timeout
10:31.0,,,32-26,,C. Andersen enters the game for J. Martin
10:16.0,,,32-26,,V. Carter misses 2-pt shot from 18 ft
10:15.0,Defensive rebound by J. Leuer,,32-26,,
10:04.0,Turnover by R. Price (bad pass; steal by V. Carter),,32-26,,
9:58.0,,,32-26,,M. Chalmers misses 3-pt shot from 22 ft
9:56.0,,,32-26,,Offensive rebound by C. Andersen
9:53.0,,,32-26,,M. Chalmers misses 3-pt shot from 23 ft
9:52.0,Defensive rebound by J. Leuer,,32-26,,
9:41.0,A. Goodwin makes 2-pt shot at rim,2,34-26,,
9:17.0,,,34-28,2,J. Green makes 2-pt shot from 11 ft (assist by M. Chalmers)
9:00.0,Turnover by J. Jenkins (bad pass),,34-28,,
8:47.0,,,34-28,,Shooting foul by J. Leuer (drawn by J. Green)
8:47.0,,,34-28,,J. Green misses free throw 1 of 2
8:47.0,,,34-28,,Offensive rebound by Team
8:47.0,,,34-29,1,J. Green makes free throw 2 of 2
8:38.0,Turnover by A. Goodwin (bad pass; steal by L. Stephenson),,34-29,,
8:24.0,,,34-29,,M. Chalmers misses 2-pt shot from 3 ft
8:24.0,Defensive rebound by Team,,34-29,,
8:05.0,,,34-29,,Personal foul by V. Carter (drawn by J. Leuer)
7:59.0,J. Leuer makes 2-pt shot from 12 ft,2,36-29,,
7:59.0,,,36-29,,Memphis full timeout
7:59.0,,,36-29,,M. Barnes enters the game for C. Andersen
7:46.0,,,36-29,,Shooting foul by J. Leuer (drawn by M. Chalmers)
7:46.0,,,36-30,1,M. Chalmers makes free throw 1 of 2
7:46.0,A. Len enters the game for J. Leuer,,36-30,,
7:46.0,,,36-31,1,M. Chalmers makes free throw 2 of 2
7:37.0,Turnover by A. Goodwin (lost ball; steal by M. Chalmers),,36-31,,
7:33.0,,,36-33,2,M. Chalmers makes 2-pt shot from 1 ft
7:08.0,A. Goodwin misses 3-pt shot from 24 ft,,36-33,,
7:07.0,,,36-33,,Defensive rebound by V. Carter
7:01.0,,,36-33,,L. Stephenson misses 2-pt shot from 2 ft (block by A. Len)
6:59.0,Defensive rebound by A. Len,,36-33,,
6:58.0,,,36-33,,M. Conley enters the game for L. Stephenson
6:52.0,Turnover by R. Price (bad pass; steal by M. Chalmers),,36-33,,
6:49.0,,,36-35,2,M. Chalmers makes 2-pt shot at rim
6:49.0,,,36-35,,Shooting foul by R. Price (drawn by M. Chalmers)
6:49.0,D. Booker enters the game for R. Price,,36-35,,
6:49.0,P. Tucker enters the game for A. Goodwin,,36-35,,
6:49.0,,,36-36,1,M. Chalmers makes free throw 1 of 1
6:38.0,,,36-36,,Personal foul by M. Chalmers (drawn by D. Booker)
6:33.0,M. Teletovic misses 3-pt shot from 24 ft,,36-36,,
6:33.0,Offensive rebound by A. Len,,36-36,,
6:32.0,Shooting foul by M. Conley (drawn by A. Len),,36-36,,
6:32.0,A. Len makes free throw 1 of 2,1,37-36,,
6:32.0,A. Len misses free throw 2 of 2,,37-36,,
6:31.0,,,37-36,,Defensive rebound by M. Barnes
6:15.0,,,37-39,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Chalmers)
6:02.0,M. Teletovic misses 2-pt shot from 18 ft,,37-39,,
6:01.0,,,37-39,,Defensive rebound by J. Green
5:58.0,Personal foul by P. Tucker (drawn by J. Green),,37-39,,
5:58.0,,,37-40,1,J. Green makes free throw 1 of 2
5:58.0,T. Chandler enters the game for M. Teletovic,,37-40,,
5:58.0,,,37-40,,J. Green misses free throw 2 of 2
5:57.0,Defensive rebound by T. Chandler,,37-40,,
5:38.0,,,37-40,,Personal foul by J. Green (drawn by A. Len)
5:38.0,A. Len makes free throw 1 of 2,1,38-40,,
5:38.0,,,38-40,,Z. Randolph enters the game for J. Green
5:38.0,A. Len misses free throw 2 of 2,,38-40,,
5:37.0,Offensive rebound by A. Len,,38-40,,
5:37.0,A. Len makes 2-pt shot from 1 ft,2,40-40,,
5:37.0,Shooting foul by V. Carter (drawn by A. Len),,40-40,,
5:37.0,A. Len makes free throw 1 of 1,1,41-40,,
5:19.0,,,41-42,2,M. Conley makes 2-pt shot from 10 ft
5:19.0,,,41-42,,Shooting foul by J. Jenkins (drawn by M. Conley)
5:19.0,,,41-43,1,M. Conley makes free throw 1 of 1
5:05.0,D. Booker misses 3-pt shot from 24 ft,,41-43,,
5:04.0,Offensive rebound by A. Len,,41-43,,
5:04.0,Shooting foul by M. Conley (drawn by A. Len),,41-43,,
5:04.0,A. Len makes free throw 1 of 2,1,42-43,,
5:04.0,P. Pressey enters the game for J. Jenkins,,42-43,,
5:04.0,A. Len misses free throw 2 of 2,,42-43,,
5:03.0,,,42-43,,Defensive rebound by Z. Randolph
4:55.0,,,42-43,,M. Chalmers misses 2-pt shot at rim
4:53.0,Defensive rebound by A. Len,,42-43,,
4:45.0,Turnover by P. Tucker (offensive foul),,42-43,,
4:45.0,Offensive foul by P. Tucker,,42-43,,
4:45.0,A. Goodwin enters the game for P. Tucker,,42-43,,
4:26.0,,,42-43,,V. Carter misses 2-pt shot from 21 ft
4:25.0,Defensive rebound by A. Len,,42-43,,
4:18.0,A. Len misses 2-pt shot from 1 ft (block by M. Barnes),,42-43,,
4:17.0,,,42-43,,Defensive rebound by V. Carter
4:00.0,,,42-43,,M. Conley misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by A. Len,,42-43,,
3:52.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,44-43,,
3:26.0,,,44-43,,V. Carter misses 2-pt shot from 20 ft
3:25.0,Defensive rebound by A. Goodwin,,44-43,,
3:19.0,D. Booker misses 3-pt shot from 26 ft,,44-43,,
3:18.0,,,44-43,,Defensive rebound by M. Conley
3:10.0,,,44-43,,Shooting foul by P. Pressey (drawn by M. Conley)
3:10.0,,,44-44,1,M. Conley makes free throw 1 of 2
3:10.0,,,44-44,,P. Hairston enters the game for V. Carter
3:10.0,,,44-45,1,M. Conley makes free throw 2 of 2
2:56.0,A. Len misses 2-pt shot from 19 ft,,44-45,,
2:54.0,Offensive rebound by T. Chandler,,44-45,,
2:54.0,T. Chandler makes 2-pt shot from 1 ft,2,46-45,,
2:34.0,,,46-48,3,M. Barnes makes 3-pt shot from 25 ft (assist by M. Conley)
2:28.0,,,46-48,,Personal foul by P. Hairston (drawn by A. Goodwin)
2:28.0,Phoenix full timeout,,46-48,,
2:28.0,M. Teletovic enters the game for P. Pressey,,46-48,,
2:28.0,,,46-48,,J. Green enters the game for M. Chalmers
2:28.0,A. Goodwin misses free throw 1 of 2,,46-48,,
2:28.0,Offensive rebound by Team,,46-48,,
2:28.0,A. Goodwin misses free throw 2 of 2,,46-48,,
2:27.0,,,46-48,,Defensive rebound by Z. Randolph
2:13.0,,,46-50,2,P. Hairston makes 2-pt shot from 1 ft (assist by J. Green)
1:56.0,D. Booker makes 3-pt shot from 27 ft (assist by A. Len),3,49-50,,
1:41.0,,,49-50,,P. Hairston misses 2-pt shot from 10 ft
1:39.0,Defensive rebound by A. Len,,49-50,,
1:26.0,Turnover by A. Len (traveling),,49-50,,
1:13.0,,,49-53,3,M. Barnes makes 3-pt shot from 24 ft (assist by Z. Randolph)
0:48.0,Shooting foul by M. Barnes (drawn by A. Goodwin),,49-53,,
0:48.0,A. Goodwin misses free throw 1 of 2,,49-53,,
0:48.0,Offensive rebound by Team,,49-53,,
0:48.0,A. Goodwin makes free throw 2 of 2,1,50-53,,
0:36.0,,,50-56,3,M. Conley makes 3-pt shot from 25 ft (assist by Z. Randolph)
0:12.0,D. Booker makes 3-pt shot from 28 ft (assist by A. Len),3,53-56,,
0:00.0,,,53-59,3,M. Conley makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,T. Chandler makes 2-pt shot from 5 ft (assist by A. Len),2,55-59,,
11:22.0,,,55-59,,M. Barnes misses 2-pt shot from 5 ft (block by A. Len)
11:21.0,Defensive rebound by P. Tucker,,55-59,,
11:11.0,Turnover by A. Len (bad pass),,55-59,,
