time,Memphis,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Koufos (M. Conley gains possession),,,,Jump ball: M. Gasol vs. K. Koufos (M. Conley gains possession)
11:43.0,,,0-0,,Personal foul by W. Cauley-Stein (drawn by M. Gasol)
11:33.0,C. Lee makes 2-pt shot from 7 ft (assist by M. Conley),2,2-0,,
11:12.0,,,2-0,,R. Rondo misses 2-pt shot from 13 ft
11:11.0,Defensive rebound by T. Allen,,2-0,,
10:47.0,T. Allen misses 2-pt shot from 12 ft,,2-0,,
10:47.0,,,2-0,,Defensive rebound by K. Koufos
10:41.0,,,2-2,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by R. Gay)
10:21.0,C. Lee misses 3-pt shot from 24 ft,,2-2,,
10:21.0,,,2-2,,Defensive rebound by B. McLemore
10:09.0,,,2-2,,R. Gay misses 2-pt shot from 9 ft
10:08.0,Defensive rebound by M. Gasol,,2-2,,
10:00.0,M. Conley makes 3-pt shot from 25 ft,3,5-2,,
9:48.0,,,5-2,,Offensive foul by K. Koufos
9:48.0,,,5-2,,Turnover by K. Koufos (offensive foul)
9:32.0,C. Lee makes 2-pt shot from 16 ft (assist by M. Gasol),2,7-2,,
9:10.0,,,7-2,,R. Gay misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by Z. Randolph,,7-2,,
8:49.0,Z. Randolph makes 2-pt shot from 10 ft (assist by T. Allen),2,9-2,,
8:38.0,,,9-4,2,R. Rondo makes 2-pt shot from 2 ft
8:15.0,Z. Randolph misses 2-pt shot from 17 ft,,9-4,,
8:14.0,,,9-4,,Defensive rebound by B. McLemore
8:08.0,Shooting block foul by M. Conley (drawn by R. Rondo),,9-4,,
8:08.0,,,9-4,,R. Rondo misses free throw 1 of 2
8:08.0,,,9-4,,Offensive rebound by Team
8:08.0,,,9-5,1,R. Rondo makes free throw 2 of 2
7:49.0,Z. Randolph misses 2-pt shot from 16 ft,,9-5,,
7:49.0,,,9-5,,Defensive rebound by R. Rondo
7:42.0,,,9-5,,K. Koufos misses 2-pt shot from 5 ft
7:42.0,Defensive rebound by M. Gasol,,9-5,,
7:23.0,M. Gasol misses 2-pt shot from 12 ft,,9-5,,
7:22.0,,,9-5,,Defensive rebound by R. Rondo
7:17.0,,,9-7,2,K. Koufos makes 2-pt shot from 3 ft (assist by B. McLemore)
6:50.0,M. Conley makes 2-pt shot from 20 ft,2,11-7,,
6:33.0,,,11-7,,B. McLemore misses 3-pt shot from 24 ft
6:32.0,,,11-7,,Offensive rebound by R. Gay
6:30.0,,,11-9,2,R. Gay makes 2-pt shot from 4 ft
6:12.0,M. Gasol makes 2-pt shot from 18 ft,2,13-9,,
6:06.0,,,13-9,,Shooting foul by T. Allen (drawn by R. Gay)
6:06.0,,,13-10,1,R. Gay makes free throw 1 of 2
6:06.0,,,13-10,,O. Casspi enters the game for W. Cauley-Stein
6:06.0,,,13-11,1,R. Gay makes free throw 2 of 2
5:50.0,M. Gasol makes 2-pt shot from 11 ft (assist by M. Conley),2,15-11,,
5:29.0,,,15-13,2,K. Koufos makes 2-pt shot from 3 ft (assist by B. McLemore)
5:08.0,M. Conley makes 2-pt shot from 7 ft (assist by M. Gasol),2,17-13,,
5:00.0,,,17-13,,Offensive charge foul by R. Gay
