time,Utah,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Plumlee (R. Hood gains possession),,,,Jump ball: R. Gobert vs. M. Plumlee (R. Hood gains possession)
11:47.0,Offensive foul by R. Gobert,,0-0,,
11:47.0,Turnover by R. Gobert (offensive foul),,0-0,,
11:27.0,,,0-3,3,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard)
11:02.0,R. Gobert misses 2-pt shot from 21 ft,,0-3,,
11:01.0,,,0-3,,Defensive rebound by N. Vonleh
10:51.0,,,0-6,3,N. Vonleh makes 3-pt shot from 24 ft (assist by M. Plumlee)
10:51.0,Utah full timeout,,0-6,,
10:38.0,R. Gobert misses 2-pt shot from 3 ft,,0-6,,
10:37.0,,,0-6,,Defensive rebound by A. Aminu
10:12.0,,,0-6,,M. Plumlee misses 2-pt shot from 3 ft (block by R. Gobert)
10:11.0,Defensive rebound by R. Hood,,0-6,,
10:00.0,R. Hood misses 2-pt shot from 14 ft (block by C. McCollum),,0-6,,
10:00.0,,,0-6,,Defensive rebound by Team
9:37.0,,,0-6,,N. Vonleh misses 2-pt shot from 21 ft
9:36.0,Defensive rebound by G. Hayward,,0-6,,
9:33.0,D. Favors misses 2-pt shot from 3 ft (block by C. McCollum),,0-6,,
9:33.0,,,0-6,,Defensive rebound by Team
9:16.0,,,0-8,2,C. McCollum makes 2-pt shot from 13 ft
9:06.0,Turnover by R. Gobert (bad pass),,0-8,,
8:53.0,,,0-8,,Offensive foul by N. Vonleh
8:53.0,,,0-8,,Turnover by N. Vonleh (offensive foul)
8:40.0,R. Neto misses 2-pt shot from 6 ft,,0-8,,
8:39.0,Offensive rebound by R. Gobert,,0-8,,
8:39.0,R. Gobert misses 2-pt shot from 1 ft,,0-8,,
8:37.0,,,0-8,,Defensive rebound by D. Lillard
8:27.0,,,0-8,,Turnover by N. Vonleh (bad pass)
8:07.0,G. Hayward makes 2-pt shot from 9 ft,2,2-8,,
7:57.0,,,2-8,,Shooting foul by R. Hood (drawn by D. Lillard)
7:57.0,,,2-9,1,D. Lillard makes free throw 1 of 2
7:57.0,,,2-9,,D. Lillard misses free throw 2 of 2
7:56.0,,,2-9,,Offensive rebound by N. Vonleh
7:53.0,,,2-9,,D. Lillard misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by D. Favors,,2-9,,
7:36.0,G. Hayward misses 3-pt shot from 24 ft,,2-9,,
7:35.0,Offensive rebound by D. Favors,,2-9,,
7:31.0,D. Favors misses 2-pt shot from 2 ft (block by M. Plumlee),,2-9,,
7:31.0,,,2-9,,Defensive rebound by Team
7:21.0,,,2-11,2,C. McCollum makes 2-pt shot from 10 ft
7:10.0,,,2-11,,Personal foul by A. Aminu (drawn by G. Hayward)
7:10.0,S. Mack enters the game for R. Neto,,2-11,,
6:56.0,R. Hood makes 2-pt shot from 9 ft,2,4-11,,
6:47.0,,,4-11,,D. Lillard misses 2-pt shot from 12 ft
6:46.0,,,4-11,,Offensive rebound by N. Vonleh
6:37.0,,,4-11,,C. McCollum misses 2-pt shot from 12 ft
6:36.0,,,4-11,,Offensive rebound by M. Plumlee
6:35.0,,,4-11,,Turnover by M. Plumlee (bad pass; steal by G. Hayward)
6:29.0,G. Hayward misses 2-pt shot from 17 ft,,4-11,,
6:27.0,,,4-11,,Defensive rebound by M. Plumlee
6:16.0,,,4-11,,M. Plumlee misses 2-pt shot from 4 ft
6:15.0,Defensive rebound by R. Hood,,4-11,,
6:13.0,Shooting foul by D. Lillard (drawn by S. Mack),,4-11,,
6:13.0,S. Mack misses free throw 1 of 2,,4-11,,
6:13.0,Offensive rebound by Team,,4-11,,
6:13.0,S. Mack makes free throw 2 of 2,1,5-11,,
5:58.0,,,5-11,,D. Lillard misses 2-pt shot from 4 ft
5:58.0,Defensive rebound by Team,,5-11,,
5:34.0,D. Favors makes 2-pt shot from 6 ft (assist by S. Mack),2,7-11,,
5:14.0,,,7-11,,M. Plumlee misses 2-pt shot from 4 ft (block by R. Gobert)
5:13.0,,,7-11,,Offensive rebound by A. Aminu
5:13.0,,,7-11,,Turnover by Team (shot clock)
5:13.0,C. Johnson enters the game for R. Hood,,7-11,,
5:13.0,,,7-11,,A. Crabbe enters the game for C. McCollum
5:13.0,,,7-11,,M. Leonard enters the game for N. Vonleh
5:06.0,G. Hayward misses 2-pt shot from 19 ft,,7-11,,
5:05.0,Offensive rebound by R. Gobert,,7-11,,
5:02.0,R. Gobert makes 2-pt shot at rim,2,9-11,,
4:41.0,,,9-11,,A. Crabbe misses 2-pt shot from 15 ft
4:39.0,,,9-11,,Offensive rebound by M. Plumlee
4:28.0,,,9-11,,M. Leonard misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by S. Mack,,9-11,,
4:18.0,R. Gobert misses 2-pt shot from 1 ft,,9-11,,
4:17.0,,,9-11,,Defensive rebound by M. Plumlee
4:12.0,,,9-11,,Turnover by D. Lillard (bad pass; steal by C. Johnson)
4:04.0,S. Mack makes 3-pt shot from 24 ft (assist by G. Hayward),3,12-11,,
4:04.0,,,12-11,,Portland full timeout
4:04.0,,,12-11,,G. Henderson enters the game for A. Aminu
4:04.0,T. Booker enters the game for R. Gobert,,12-11,,
3:39.0,,,12-11,,M. Leonard misses 2-pt shot from 19 ft
3:39.0,Defensive rebound by S. Mack,,12-11,,
3:20.0,T. Booker makes 2-pt shot from 2 ft,2,14-11,,
3:20.0,Shooting foul by M. Leonard (drawn by T. Booker),,14-11,,
3:20.0,,,14-11,,E. Davis enters the game for M. Plumlee
3:20.0,T. Booker makes free throw 1 of 1,1,15-11,,
3:12.0,Personal foul by S. Mack (drawn by D. Lillard),,15-11,,
3:03.0,,,15-11,,Turnover by D. Lillard (bad pass; steal by T. Booker)
2:57.0,G. Hayward misses 2-pt shot from 3 ft (block by M. Leonard),,15-11,,
2:55.0,Offensive rebound by C. Johnson,,15-11,,
2:55.0,C. Johnson makes 2-pt shot from 1 ft,2,17-11,,
2:42.0,,,17-11,,Turnover by D. Lillard (bad pass)
2:32.0,D. Favors makes 2-pt shot from 2 ft (assist by S. Mack),2,19-11,,
2:10.0,,,19-13,2,D. Lillard makes 2-pt shot from 7 ft
1:51.0,T. Booker makes 2-pt shot from 1 ft (assist by S. Mack),2,21-13,,
1:32.0,,,21-13,,Turnover by E. Davis (bad pass; steal by G. Hayward)
1:29.0,,,21-13,,Violation by M. Leonard (kicked ball)
1:29.0,T. Burke enters the game for S. Mack,,21-13,,
1:29.0,R. Hood enters the game for G. Hayward,,21-13,,
1:22.0,R. Hood misses 2-pt shot from 10 ft,,21-13,,
1:20.0,Offensive rebound by D. Favors,,21-13,,
1:05.0,D. Favors makes 2-pt shot from 4 ft,2,23-13,,
0:48.0,,,23-13,,A. Crabbe misses 3-pt shot from 23 ft
0:46.0,,,23-13,,Offensive rebound by E. Davis
0:36.0,,,23-16,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
0:32.0,,,23-16,,Personal foul by A. Crabbe (drawn by T. Burke)
0:26.0,D. Favors makes 2-pt shot from 13 ft (assist by T. Burke),2,25-16,,
0:09.0,,,25-18,2,D. Lillard makes 2-pt shot from 1 ft
0:02.0,T. Burke misses 3-pt shot from 24 ft,,25-18,,
0:01.0,,,25-18,,Defensive rebound by D. Lillard
0:00.0,,,25-18,,D. Lillard misses 3-pt shot from 66 ft
0:00.0,,,25-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,25-18,,G. Henderson misses 2-pt shot from 16 ft
11:40.0,Defensive rebound by T. Booker,,25-18,,
11:22.0,C. Johnson makes 2-pt shot from 14 ft (assist by T. Booker),2,27-18,,
11:07.0,,,27-18,,A. Crabbe misses 2-pt shot from 20 ft
11:06.0,Defensive rebound by T. Booker,,27-18,,
10:53.0,T. Booker misses 2-pt shot from 13 ft,,27-18,,
10:52.0,,,27-18,,Defensive rebound by A. Crabbe
10:40.0,,,27-18,,G. Henderson misses 3-pt shot from 22 ft
10:40.0,Defensive rebound by T. Booker,,27-18,,
10:33.0,C. Johnson misses 3-pt shot from 26 ft,,27-18,,
10:32.0,,,27-18,,Defensive rebound by G. Henderson
10:29.0,,,27-18,,Shooting foul by T. Burke (drawn by C. McCollum)
10:29.0,,,27-19,1,C. McCollum makes free throw 1 of 2
10:29.0,,,27-19,,M. Harkless enters the game for M. Leonard
10:29.0,,,27-19,,C. McCollum misses free throw 2 of 2
10:28.0,Defensive rebound by T. Booker,,27-19,,
10:07.0,T. Burke makes 3-pt shot from 26 ft (assist by C. Johnson),3,30-19,,
9:45.0,,,30-19,,C. McCollum misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by T. Burke,,30-19,,
9:36.0,T. Burke misses 2-pt shot from 17 ft,,30-19,,
9:34.0,Offensive rebound by R. Gobert,,30-19,,
9:25.0,T. Booker misses 2-pt shot from 2 ft,,30-19,,
9:24.0,T. Lyles enters the game for T. Booker,,30-19,,
9:24.0,Jump ball: E. Davis vs. C. Johnson (A. Crabbe gains possession),,,,Jump ball: E. Davis vs. C. Johnson (A. Crabbe gains possession)
9:24.0,,,30-19,,Defensive rebound by Team
9:14.0,,,30-19,,C. McCollum misses 2-pt shot from 12 ft
9:13.0,,,30-19,,Offensive rebound by M. Harkless
9:11.0,,,30-19,,M. Harkless misses 2-pt shot from 2 ft (block by T. Lyles)
9:09.0,,,30-19,,Offensive rebound by M. Harkless
9:09.0,,,30-21,2,E. Davis makes 2-pt shot at rim
9:09.0,,,30-21,,M. Harkless misses 2-pt shot at rim
9:09.0,,,30-21,,Offensive rebound by E. Davis
8:51.0,R. Hood makes 2-pt shot from 2 ft,2,32-21,,
8:37.0,,,32-23,2,E. Davis makes 2-pt shot from 2 ft (assist by G. Henderson)
8:17.0,R. Hood makes 2-pt shot from 13 ft,2,34-23,,
7:51.0,,,34-23,,G. Henderson misses 2-pt shot from 20 ft (block by T. Burke)
7:51.0,,,34-23,,Offensive rebound by Team
7:51.0,,,34-23,,Turnover by Team (shot clock)
7:51.0,Official timeout,,34-23,,
7:51.0,J. Ingles enters the game for C. Johnson,,34-23,,
7:42.0,,,34-23,,Personal foul by C. McCollum (drawn by R. Hood)
7:32.0,R. Hood misses 2-pt shot from 8 ft,,34-23,,
7:31.0,Offensive rebound by R. Gobert,,34-23,,
7:31.0,R. Gobert makes 2-pt shot at rim,2,36-23,,
7:16.0,,,36-23,,G. Henderson misses 3-pt shot from 24 ft
7:15.0,,,36-23,,Offensive rebound by Team
7:15.0,G. Hayward enters the game for R. Hood,,36-23,,
7:03.0,,,36-25,2,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum)
6:40.0,Turnover by T. Lyles (bad pass; steal by E. Davis),,36-25,,
6:31.0,,,36-27,2,E. Davis makes 2-pt shot at rim (assist by C. McCollum)
6:12.0,Turnover by R. Gobert (bad pass; steal by G. Henderson),,36-27,,
6:04.0,,,36-27,,G. Henderson misses 2-pt shot from 6 ft
6:04.0,Defensive rebound by R. Gobert,,36-27,,
5:57.0,T. Burke misses 2-pt shot from 4 ft,,36-27,,
5:56.0,,,36-27,,Defensive rebound by E. Davis
5:52.0,Personal foul by T. Burke (drawn by C. McCollum),,36-27,,
5:52.0,,,36-27,,Portland full timeout
5:52.0,D. Favors enters the game for R. Gobert,,36-27,,
5:52.0,S. Mack enters the game for T. Burke,,36-27,,
5:52.0,,,36-27,,D. Lillard enters the game for C. McCollum
5:52.0,,,36-27,,A. Aminu enters the game for A. Crabbe
5:50.0,,,36-27,,Shooting foul by T. Lyles (drawn by M. Harkless)
5:50.0,,,36-28,1,M. Harkless makes free throw 1 of 2
5:50.0,,,36-28,,M. Harkless misses free throw 2 of 2
5:50.0,Defensive rebound by T. Lyles,,36-28,,
5:33.0,J. Ingles makes 3-pt shot from 23 ft (assist by S. Mack),3,39-28,,
5:16.0,,,39-31,3,M. Harkless makes 3-pt shot from 24 ft (assist by D. Lillard)
4:54.0,S. Mack makes 2-pt shot from 9 ft,2,41-31,,
4:41.0,,,41-31,,A. Aminu misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by J. Ingles,,41-31,,
4:33.0,Shooting foul by M. Harkless (drawn by G. Hayward),,41-31,,
4:33.0,G. Hayward makes free throw 1 of 2,1,42-31,,
4:33.0,,,42-31,,M. Plumlee enters the game for E. Davis
4:33.0,T. Booker enters the game for T. Lyles,,42-31,,
4:33.0,G. Hayward makes free throw 2 of 2,1,43-31,,
4:19.0,,,43-31,,Shooting foul by D. Favors (drawn by M. Harkless)
4:19.0,,,43-32,1,M. Harkless makes free throw 1 of 2
4:19.0,,,43-32,,M. Harkless misses free throw 2 of 2
4:17.0,Defensive rebound by G. Hayward,,43-32,,
4:04.0,,,43-32,,Personal foul by A. Aminu (drawn by G. Hayward)
4:04.0,,,43-32,,C. McCollum enters the game for G. Henderson
3:55.0,D. Favors misses 2-pt shot from 19 ft,,43-32,,
3:54.0,,,43-32,,Defensive rebound by A. Aminu
3:42.0,,,43-34,2,A. Aminu makes 2-pt shot from 2 ft (assist by M. Plumlee)
3:23.0,S. Mack makes 2-pt shot from 7 ft (assist by D. Favors),2,45-34,,
3:16.0,Personal foul by G. Hayward (drawn by D. Lillard),,45-34,,
3:16.0,,,45-34,,D. Lillard misses free throw 1 of 2
3:16.0,,,45-34,,Offensive rebound by Team
3:16.0,R. Hood enters the game for J. Ingles,,45-34,,
3:16.0,R. Gobert enters the game for T. Booker,,45-34,,
3:16.0,,,45-35,1,D. Lillard makes free throw 2 of 2
2:59.0,S. Mack makes 2-pt shot from 6 ft,2,47-35,,
2:43.0,,,47-37,2,D. Lillard makes 2-pt shot from 13 ft
2:30.0,R. Hood makes 2-pt shot from 6 ft (assist by S. Mack),2,49-37,,
2:30.0,,,49-37,,Portland full timeout
2:30.0,Utah full timeout,,49-37,,
2:30.0,,,49-37,,N. Vonleh enters the game for M. Harkless
2:16.0,,,49-40,3,C. McCollum makes 3-pt shot from 24 ft (assist by A. Aminu)
1:53.0,G. Hayward makes 3-pt shot from 22 ft (assist by R. Hood),3,52-40,,
1:41.0,,,52-40,,D. Lillard misses 3-pt shot from 25 ft (block by S. Mack)
1:40.0,,,52-40,,Offensive rebound by N. Vonleh
1:39.0,,,52-40,,N. Vonleh misses 2-pt shot from 1 ft (block by D. Favors)
1:39.0,,,52-40,,Offensive rebound by Team
1:25.0,Personal foul by D. Favors (drawn by N. Vonleh),,52-40,,
1:07.0,,,52-40,,N. Vonleh misses 2-pt shot from 2 ft (block by R. Gobert)
1:05.0,,,52-40,,Offensive rebound by N. Vonleh
1:05.0,,,52-42,2,N. Vonleh makes 2-pt shot from 1 ft
0:55.0,,,52-42,,Personal foul by M. Plumlee (drawn by R. Gobert)
0:55.0,T. Booker enters the game for D. Favors,,52-42,,
0:55.0,Technical foul by R. Gobert,,52-42,,
0:55.0,,,52-43,1,D. Lillard makes technical free throw
0:48.0,S. Mack misses 2-pt shot from 7 ft,,52-43,,
0:48.0,,,52-43,,Defensive rebound by A. Aminu
0:40.0,,,52-45,2,C. McCollum makes 2-pt shot at rim
0:29.0,T. Booker misses 2-pt shot at rim,,52-45,,
0:29.0,,,52-45,,Defensive rebound by M. Plumlee
0:14.0,Personal take foul by R. Hood (drawn by M. Plumlee),,52-45,,
0:14.0,,,52-45,,M. Plumlee misses free throw 1 of 2
0:14.0,,,52-45,,Offensive rebound by Team
0:14.0,,,52-45,,M. Plumlee misses free throw 2 of 2
0:13.0,,,52-45,,Offensive rebound by A. Aminu
0:07.0,,,52-47,2,C. McCollum makes 2-pt shot from 1 ft (assist by A. Aminu)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-47,,D. Lillard misses 3-pt shot from 24 ft
11:43.0,,,52-47,,Offensive rebound by N. Vonleh
11:41.0,,,52-47,,Turnover by C. McCollum (step out of bounds)
11:25.0,D. Favors misses 2-pt shot from 15 ft,,52-47,,
11:24.0,Offensive rebound by R. Neto,,52-47,,
11:18.0,R. Neto makes 2-pt shot from 8 ft,2,54-47,,
11:11.0,,,54-47,,N. Vonleh misses 2-pt shot from 18 ft
11:10.0,Defensive rebound by Team,,54-47,,
11:10.0,,,54-47,,Loose ball foul by M. Plumlee (drawn by D. Favors)
11:03.0,,,54-47,,Violation by M. Plumlee (def goaltending)
11:03.0,R. Neto makes 2-pt shot from 2 ft,2,56-47,,
10:50.0,,,56-47,,M. Plumlee misses 2-pt shot from 1 ft
10:48.0,Defensive rebound by G. Hayward,,56-47,,
10:39.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward),2,58-47,,
10:32.0,,,58-47,,C. McCollum misses 2-pt shot from 11 ft
10:32.0,,,58-47,,Offensive rebound by N. Vonleh
10:28.0,,,58-47,,N. Vonleh misses 2-pt shot from 2 ft
10:27.0,Defensive rebound by Team,,58-47,,
10:15.0,R. Hood makes 2-pt shot from 15 ft,2,60-47,,
9:50.0,,,60-47,,M. Plumlee misses 2-pt shot from 2 ft (block by R. Gobert)
9:49.0,,,60-47,,Offensive rebound by M. Plumlee
9:48.0,,,60-49,2,M. Plumlee makes 2-pt shot from 1 ft
9:24.0,G. Hayward makes 2-pt shot from 8 ft,2,62-49,,
9:11.0,,,62-49,,A. Aminu misses 3-pt shot from 22 ft
9:10.0,Defensive rebound by D. Favors,,62-49,,
9:02.0,Turnover by R. Neto (bad pass; steal by A. Aminu),,62-49,,
9:01.0,Personal take foul by G. Hayward (drawn by A. Aminu),,62-49,,
8:50.0,,,62-52,3,D. Lillard makes 3-pt shot from 29 ft
8:33.0,Turnover by G. Hayward (bad pass; steal by M. Plumlee),,62-52,,
8:28.0,,,62-55,3,D. Lillard makes 3-pt shot from 25 ft (assist by M. Plumlee)
8:05.0,Turnover by R. Neto (traveling),,62-55,,
7:54.0,,,62-58,3,D. Lillard makes 3-pt shot from 25 ft
7:41.0,,,62-58,,Def 3 sec tech foul by M. Plumlee
7:41.0,G. Hayward makes technical free throw,1,63-58,,
7:33.0,R. Hood misses 3-pt shot from 24 ft,,63-58,,
7:33.0,,,63-58,,Defensive rebound by Team
7:33.0,Loose ball foul by R. Gobert (drawn by M. Plumlee),,63-58,,
7:19.0,,,63-61,3,D. Lillard makes 3-pt shot from 27 ft
7:13.0,Utah full timeout,,63-61,,
7:12.0,Turnover by D. Favors (bad pass; steal by M. Plumlee),,63-61,,
6:56.0,,,63-64,3,C. McCollum makes 3-pt shot from 24 ft (assist by A. Aminu)
6:45.0,Shooting foul by M. Plumlee (drawn by D. Favors),,63-64,,
6:45.0,D. Favors makes free throw 1 of 2,1,64-64,,
6:45.0,S. Mack enters the game for R. Neto,,64-64,,
6:45.0,D. Favors makes free throw 2 of 2,1,65-64,,
6:29.0,,,65-64,,D. Lillard misses 3-pt shot from 25 ft
6:28.0,,,65-64,,Offensive rebound by N. Vonleh
6:12.0,,,65-64,,C. McCollum misses 2-pt shot from 12 ft
6:11.0,Defensive rebound by R. Hood,,65-64,,
5:49.0,S. Mack makes 2-pt shot from 7 ft,2,67-64,,
5:38.0,,,67-64,,Turnover by N. Vonleh (bad pass; steal by G. Hayward)
5:34.0,,,67-64,,Personal foul by C. McCollum (drawn by G. Hayward)
5:34.0,,,67-64,,A. Crabbe enters the game for C. McCollum
5:34.0,C. Johnson enters the game for R. Hood,,67-64,,
5:29.0,S. Mack misses 3-pt shot from 24 ft,,67-64,,
5:29.0,,,67-64,,Defensive rebound by M. Plumlee
5:22.0,,,67-64,,Shooting foul by D. Favors (drawn by D. Lillard)
5:22.0,,,67-64,,D. Lillard misses free throw 1 of 2
5:22.0,,,67-64,,Offensive rebound by Team
5:22.0,T. Booker enters the game for D. Favors,,67-64,,
5:22.0,,,67-64,,M. Harkless enters the game for N. Vonleh
5:22.0,,,67-65,1,D. Lillard makes free throw 2 of 2
4:59.0,G. Hayward misses 2-pt shot from 12 ft,,67-65,,
4:58.0,,,67-65,,Defensive rebound by D. Lillard
4:53.0,,,67-65,,A. Crabbe misses 2-pt shot from 3 ft (block by C. Johnson)
4:50.0,,,67-65,,Offensive rebound by D. Lillard
4:50.0,,,67-67,2,D. Lillard makes 2-pt shot at rim
4:36.0,Turnover by S. Mack (bad pass; steal by M. Harkless),,67-67,,
4:35.0,Personal foul by S. Mack (drawn by D. Lillard),,67-67,,
4:24.0,,,67-67,,D. Lillard misses 3-pt shot from 22 ft
4:23.0,Defensive rebound by G. Hayward,,67-67,,
4:12.0,G. Hayward misses 2-pt shot from 1 ft (block by A. Aminu),,67-67,,
4:10.0,,,67-67,,Defensive rebound by M. Harkless
4:05.0,,,67-69,2,M. Plumlee makes 2-pt shot at rim (assist by M. Harkless)
3:40.0,Shooting foul by D. Lillard (drawn by G. Hayward),,67-69,,
