time,New York,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. R. Lopez,,,,Jump ball: A. Ajinca vs. R. Lopez
11:37.0,R. Lopez makes 2-pt shot from 2 ft (assist by J. Calderon),2,2-0,,
11:25.0,,,2-2,2,A. Ajinca makes 2-pt shot from 19 ft (assist by L. Babbitt)
11:09.0,Turnover by C. Anthony (lost ball; steal by J. Holiday),,2-2,,
11:03.0,,,2-4,2,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Holiday)
10:46.0,K. Porzingis makes 2-pt shot at rim (assist by S. Vujacic),2,4-4,,
10:29.0,,,4-6,2,L. Babbitt makes 2-pt shot from 14 ft
10:19.0,,,4-6,,Personal foul by O. Asik
10:12.0,,,4-6,,Violation by L. Babbitt (kicked ball)
10:05.0,S. Vujacic makes 2-pt shot from 19 ft (assist by J. Calderon),2,6-6,,
9:55.0,,,6-6,,A. Ajinca misses 2-pt shot from 20 ft
9:54.0,Defensive rebound by J. Calderon,,6-6,,
9:47.0,C. Anthony makes 3-pt shot from 26 ft (assist by J. Calderon),3,9-6,,
9:38.0,,,9-6,,J. Holiday misses 2-pt shot at rim
9:37.0,Defensive rebound by R. Lopez,,9-6,,
9:26.0,K. Porzingis makes 2-pt shot from 14 ft,2,11-6,,
9:12.0,,,11-6,,O. Asik misses 2-pt shot from 2 ft
9:11.0,Defensive rebound by R. Lopez,,11-6,,
8:52.0,R. Lopez misses 2-pt shot from 17 ft,,11-6,,
8:52.0,,,11-6,,Defensive rebound by O. Asik
8:44.0,,,11-6,,J. Holiday misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by S. Vujacic,,11-6,,
8:32.0,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Anthony),3,14-6,,
8:26.0,Personal block foul by J. Calderon,,14-6,,
8:26.0,,,14-6,,New Orleans full timeout
8:08.0,,,14-6,,J. Holiday misses 2-pt shot from 19 ft (block by K. Porzingis)
8:08.0,Defensive rebound by J. Calderon,,14-6,,
8:02.0,C. Anthony misses 3-pt shot from 27 ft,,14-6,,
8:01.0,,,14-6,,Defensive rebound by O. Asik
7:44.0,,,14-6,,Shooting foul by C. Anthony (drawn by D. Cunningham)
7:44.0,,,14-7,1,D. Cunningham makes free throw 1 of 2
7:44.0,,,14-7,,D. Cunningham misses free throw 2 of 2
7:43.0,,,14-7,,Offensive rebound by O. Asik
7:36.0,,,14-7,,Turnover by O. Asik (lost ball; steal by J. Calderon)
7:29.0,R. Lopez makes 2-pt shot at rim (assist by J. Calderon),2,16-7,,
7:10.0,,,16-9,2,A. Ajinca makes 2-pt shot from 7 ft
6:58.0,Shooting foul by L. Babbitt (drawn by R. Lopez),,16-9,,
6:58.0,R. Lopez misses free throw 1 of 2,,16-9,,
6:58.0,Offensive rebound by Team,,16-9,,
6:58.0,R. Lopez misses free throw 2 of 2,,16-9,,
6:57.0,,,16-9,,Defensive rebound by A. Ajinca
6:45.0,,,16-11,2,J. Holiday makes 2-pt shot from 18 ft (assist by D. Cunningham)
6:28.0,J. Calderon makes 3-pt shot from 26 ft (assist by S. Vujacic),3,19-11,,
6:13.0,Violation by S. Vujacic (kicked ball),,19-11,,
6:06.0,,,19-11,,Turnover by O. Asik (lost ball)
5:47.0,S. Vujacic makes 2-pt shot from 18 ft (assist by C. Anthony),2,21-11,,
5:24.0,,,21-13,2,O. Asik makes 2-pt shot at rim (assist by L. Babbitt)
5:06.0,J. Calderon misses 3-pt shot from 24 ft,,21-13,,
5:05.0,,,21-13,,Defensive rebound by L. Babbitt
4:56.0,,,21-13,,J. Holiday misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by C. Anthony,,21-13,,
4:33.0,K. Porzingis misses 3-pt shot from 26 ft,,21-13,,
4:32.0,,,21-13,,Defensive rebound by J. Holiday
4:26.0,,,21-15,2,A. Ajinca makes 2-pt shot from 2 ft (assist by J. Holiday)
4:19.0,New York full timeout,,21-15,,
4:19.0,,,21-15,,A. Gee enters the game for O. Asik
4:15.0,Turnover by J. Calderon (lost ball; steal by J. Holiday),,21-15,,
4:00.0,,,21-15,,New Orleans full timeout
4:00.0,A. Afflalo enters the game for J. Calderon,,21-15,,
4:00.0,J. Grant enters the game for S. Vujacic,,21-15,,
3:56.0,,,21-17,2,J. Holiday makes 2-pt shot from 13 ft
3:56.0,Loose ball foul by J. Grant,,21-17,,
3:56.0,,,21-18,1,A. Ajinca makes free throw 1 of 1
3:36.0,J. Grant misses 2-pt shot from 11 ft,,21-18,,
3:36.0,,,21-18,,Defensive rebound by J. Holiday
3:25.0,Personal foul by J. Grant,,21-18,,
3:25.0,D. Williams enters the game for C. Anthony,,21-18,,
3:20.0,,,21-18,,J. Holiday misses 2-pt shot from 5 ft (block by R. Lopez)
3:18.0,Defensive rebound by Team,,21-18,,
3:18.0,Jump ball: J. Holiday vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: J. Holiday vs. R. Lopez (K. Porzingis gains possession)
3:06.0,K. Porzingis misses 2-pt shot from 20 ft,,21-18,,
3:05.0,,,21-18,,Defensive rebound by A. Ajinca
2:58.0,,,21-18,,Turnover by A. Ajinca (lost ball; steal by K. Porzingis)
2:49.0,D. Williams makes 2-pt shot from 1 ft,2,23-18,,
2:35.0,,,23-18,,L. Babbitt misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by A. Afflalo,,23-18,,
2:19.0,R. Lopez makes 2-pt shot at rim,2,25-18,,
2:11.0,,,25-18,,A. Gee misses 2-pt shot from 2 ft
2:11.0,,,25-18,,Offensive rebound by Team
2:11.0,,,25-18,,Turnover by A. Gee (traveling)
2:11.0,,,25-18,,T. Douglas enters the game for A. Ajinca
2:11.0,,,25-18,,J. Hamilton enters the game for L. Babbitt
2:11.0,,,25-18,,K. Perkins enters the game for J. Holiday
2:11.0,L. Galloway enters the game for K. Porzingis,,25-18,,
2:00.0,,,25-18,,Personal foul by J. Hamilton
1:47.0,L. Galloway misses 3-pt shot from 26 ft,,25-18,,
1:46.0,,,25-18,,Defensive rebound by J. Hamilton
1:29.0,,,25-18,,Shooting foul by A. Afflalo (drawn by A. Gee)
1:29.0,,,25-18,,A. Gee misses free throw 1 of 2
1:29.0,,,25-18,,Offensive rebound by Team
1:29.0,,,25-18,,A. Gee misses free throw 2 of 2
1:29.0,Defensive rebound by D. Williams,,25-18,,
1:08.0,D. Williams misses 2-pt shot from 18 ft,,25-18,,
1:07.0,,,25-18,,Defensive rebound by T. Douglas
1:00.0,,,25-18,,T. Douglas misses 2-pt shot from 2 ft (block by R. Lopez)
1:00.0,,,25-18,,Offensive rebound by A. Gee
0:58.0,,,25-20,2,A. Gee makes 2-pt shot at rim
0:40.0,R. Lopez makes 2-pt shot at rim (assist by J. Grant),2,27-20,,
0:40.0,Shooting foul by J. Hamilton (drawn by R. Lopez),,27-20,,
0:40.0,R. Lopez makes free throw 1 of 1,1,28-20,,
0:29.0,,,28-22,2,D. Cunningham makes 2-pt shot from 19 ft (assist by A. Gee)
0:09.0,J. Grant misses 2-pt shot at rim,,28-22,,
0:08.0,,,28-22,,Defensive rebound by D. Cunningham
0:03.0,,,28-24,2,A. Gee makes 2-pt shot from 1 ft (assist by T. Douglas)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,28-24,,Violation by Team (delay of game)
11:46.0,,,28-24,,Turnover by A. Gee (lost ball; steal by L. Galloway)
11:42.0,L. Galloway makes 2-pt shot from 1 ft,2,30-24,,
11:27.0,,,30-24,,D. Cunningham misses 2-pt shot from 1 ft
11:26.0,Defensive rebound by D. Williams,,30-24,,
11:12.0,D. Williams makes 2-pt shot from 4 ft,2,32-24,,
10:57.0,,,32-26,2,T. Douglas makes 2-pt shot from 19 ft
10:34.0,Turnover by D. Williams (lost ball; steal by A. Gee),,32-26,,
10:30.0,,,32-28,2,A. Gee makes 2-pt shot from 1 ft (assist by T. Douglas)
10:06.0,L. Galloway makes 2-pt shot from 10 ft,2,34-28,,
9:53.0,,,34-28,,Turnover by T. Douglas (lost ball; steal by L. Galloway)
9:43.0,Shooting foul by K. Perkins (drawn by L. Galloway),,34-28,,
9:43.0,L. Galloway makes free throw 1 of 2,1,35-28,,
9:43.0,,,35-28,,T. Frazier enters the game for D. Cunningham
9:43.0,L. Galloway makes free throw 2 of 2,1,36-28,,
9:34.0,,,36-31,3,T. Douglas makes 3-pt shot from 26 ft
9:15.0,L. Galloway misses 3-pt shot from 25 ft,,36-31,,
9:14.0,,,36-31,,Defensive rebound by J. Hamilton
9:01.0,,,36-31,,T. Douglas misses 2-pt shot from 19 ft
9:00.0,Defensive rebound by A. Afflalo,,36-31,,
8:52.0,A. Afflalo misses 3-pt shot from 26 ft,,36-31,,
8:51.0,Offensive rebound by Team,,36-31,,
8:51.0,Official timeout,,36-31,,
8:44.0,D. Williams misses 2-pt shot from 3 ft,,36-31,,
8:43.0,,,36-31,,Defensive rebound by K. Perkins
8:33.0,,,36-31,,T. Frazier misses 2-pt shot from 15 ft
8:32.0,Defensive rebound by K. Seraphin,,36-31,,
8:20.0,K. Seraphin makes 2-pt shot from 16 ft (assist by J. Grant),2,38-31,,
8:09.0,,,38-31,,T. Frazier misses 2-pt shot from 2 ft
8:08.0,,,38-31,,Offensive rebound by K. Perkins
8:04.0,,,38-31,,Shooting foul by K. Seraphin (drawn by A. Gee)
8:04.0,,,38-32,1,A. Gee makes free throw 1 of 2
8:04.0,,,38-32,,A. Gee misses free throw 2 of 2
8:03.0,Defensive rebound by K. Seraphin,,38-32,,
7:47.0,K. Seraphin makes 2-pt shot at rim (assist by J. Grant),2,40-32,,
7:30.0,,,40-32,,A. Gee misses 2-pt shot from 1 ft
7:30.0,Defensive rebound by Team,,40-32,,
7:19.0,A. Afflalo misses 2-pt shot from 13 ft,,40-32,,
7:19.0,,,40-32,,Defensive rebound by K. Perkins
7:09.0,,,40-32,,J. Hamilton misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by K. Seraphin,,40-32,,
6:49.0,J. Grant misses 3-pt shot from 27 ft,,40-32,,
6:48.0,,,40-32,,Defensive rebound by T. Douglas
6:38.0,,,40-35,3,T. Douglas makes 3-pt shot from 24 ft (assist by T. Frazier)
6:24.0,K. Seraphin misses 2-pt shot from 1 ft (block by K. Perkins),,40-35,,
6:23.0,,,40-35,,Defensive rebound by J. Hamilton
6:18.0,,,40-37,2,J. Hamilton makes 2-pt shot from 2 ft
6:08.0,Turnover by D. Williams (lost ball; steal by A. Gee),,40-37,,
6:02.0,,,40-39,2,A. Gee makes 2-pt shot at rim
6:02.0,New York full timeout,,40-39,,
6:02.0,R. Lopez enters the game for A. Afflalo,,40-39,,
6:02.0,J. Calderon enters the game for J. Grant,,40-39,,
6:02.0,S. Vujacic enters the game for D. Williams,,40-39,,
6:02.0,C. Anthony enters the game for L. Galloway,,40-39,,
6:02.0,K. Porzingis enters the game for K. Seraphin,,40-39,,
5:47.0,Turnover by R. Lopez (lost ball; steal by T. Frazier),,40-39,,
5:34.0,,,40-39,,T. Frazier misses 2-pt shot from 20 ft
5:33.0,Defensive rebound by K. Porzingis,,40-39,,
5:21.0,Turnover by R. Lopez (lost ball; steal by T. Frazier),,40-39,,
5:21.0,Personal foul by K. Porzingis,,40-39,,
5:21.0,,,40-39,,A. Ajinca enters the game for J. Hamilton
5:21.0,,,40-39,,D. Cunningham enters the game for K. Perkins
4:58.0,,,40-39,,A. Ajinca misses 2-pt shot from 16 ft
4:57.0,Defensive rebound by K. Porzingis,,40-39,,
4:41.0,C. Anthony makes 2-pt shot from 20 ft,2,42-39,,
4:34.0,Personal foul by S. Vujacic,,42-39,,
4:34.0,,,42-39,,J. Holiday enters the game for T. Douglas
4:16.0,,,42-39,,J. Holiday misses 2-pt shot from 15 ft
4:15.0,Defensive rebound by C. Anthony,,42-39,,
4:02.0,R. Lopez misses 2-pt shot from 7 ft,,42-39,,
4:01.0,,,42-39,,Defensive rebound by A. Gee
3:52.0,,,42-39,,Shooting foul by R. Lopez (drawn by A. Ajinca)
3:52.0,,,42-40,1,A. Ajinca makes free throw 1 of 2
3:52.0,,,42-41,1,A. Ajinca makes free throw 2 of 2
3:37.0,C. Anthony misses 2-pt shot from 13 ft,,42-41,,
3:36.0,,,42-41,,Defensive rebound by T. Frazier
3:27.0,,,42-44,3,J. Holiday makes 3-pt shot from 24 ft (assist by D. Cunningham)
3:08.0,S. Vujacic misses 3-pt shot from 25 ft,,42-44,,
3:07.0,,,42-44,,Defensive rebound by T. Frazier
3:04.0,Personal foul by K. Porzingis,,42-44,,
3:04.0,,,42-44,,T. Frazier misses free throw 1 of 2
3:04.0,,,42-44,,Offensive rebound by Team
3:04.0,L. Galloway enters the game for S. Vujacic,,42-44,,
3:04.0,,,42-45,1,T. Frazier makes free throw 2 of 2
2:54.0,J. Calderon misses 3-pt shot from 26 ft,,42-45,,
2:53.0,Offensive rebound by R. Lopez,,42-45,,
2:49.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Lopez),3,45-45,,
2:41.0,,,45-45,,Turnover by T. Frazier (lost ball; steal by K. Porzingis)
2:23.0,C. Anthony misses 2-pt shot from 12 ft,,45-45,,
2:22.0,,,45-45,,Defensive rebound by A. Ajinca
2:18.0,,,45-45,,Turnover by A. Gee (lost ball; steal by L. Galloway)
2:15.0,C. Anthony makes 3-pt shot from 24 ft (assist by J. Calderon),3,48-45,,
1:49.0,,,48-45,,D. Cunningham misses 2-pt shot from 16 ft
1:48.0,Defensive rebound by L. Galloway,,48-45,,
1:35.0,L. Galloway makes 2-pt shot at rim (assist by K. Porzingis),2,50-45,,
1:22.0,,,50-45,,D. Cunningham misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by C. Anthony,,50-45,,
1:08.0,K. Porzingis misses 2-pt shot from 13 ft,,50-45,,
1:07.0,,,50-45,,Defensive rebound by A. Ajinca
1:00.0,,,50-45,,A. Gee misses 2-pt shot at rim (block by K. Porzingis)
1:00.0,Defensive rebound by C. Anthony,,50-45,,
0:46.0,,,50-45,,Personal foul by A. Ajinca
0:46.0,,,50-45,,New Orleans full timeout
0:38.0,R. Lopez makes 2-pt shot from 8 ft (assist by L. Galloway),2,52-45,,
0:28.0,,,52-47,2,A. Ajinca makes 2-pt shot from 18 ft (assist by J. Holiday)
0:09.0,R. Lopez makes 2-pt shot at rim (assist by C. Anthony),2,54-47,,
0:01.0,,,54-47,,Shooting foul by J. Calderon (drawn by D. Cunningham)
0:01.0,,,54-48,1,D. Cunningham makes free throw 1 of 2
0:01.0,,,54-49,1,D. Cunningham makes free throw 2 of 2
0:00.0,L. Galloway misses 3-pt shot from 53 ft,,54-49,,
0:00.0,Offensive rebound by Team,,54-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,54-49,,D. Cunningham misses 3-pt shot from 24 ft
11:45.0,Defensive rebound by Team,,54-49,,
11:25.0,Turnover by S. Vujacic (bad pass),,54-49,,
11:13.0,,,54-49,,A. Ajinca misses 2-pt shot from 17 ft
11:12.0,Defensive rebound by S. Vujacic,,54-49,,
10:55.0,R. Lopez misses 2-pt shot from 11 ft,,54-49,,
10:54.0,,,54-49,,Defensive rebound by D. Cunningham
10:45.0,,,54-49,,T. Douglas misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by C. Anthony,,54-49,,
10:25.0,C. Anthony makes 3-pt shot from 24 ft (assist by R. Lopez),3,57-49,,
10:15.0,,,57-49,,Turnover by J. Holiday (lost ball; steal by J. Calderon)
9:59.0,K. Porzingis misses 2-pt shot from 14 ft,,57-49,,
9:58.0,,,57-49,,Defensive rebound by A. Ajinca
9:47.0,,,57-49,,A. Gee misses 2-pt shot from 19 ft
9:46.0,Defensive rebound by J. Calderon,,57-49,,
9:32.0,R. Lopez makes 2-pt shot at rim (assist by K. Porzingis),2,59-49,,
9:24.0,,,59-49,,Turnover by J. Holiday (lost ball; steal by S. Vujacic)
9:09.0,Turnover by K. Porzingis (lost ball; steal by J. Holiday),,59-49,,
9:04.0,,,59-49,,Turnover by T. Douglas (traveling)
8:49.0,C. Anthony misses 3-pt shot from 26 ft,,59-49,,
8:49.0,,,59-49,,Defensive rebound by J. Holiday
8:43.0,,,59-49,,Shooting foul by S. Vujacic (drawn by D. Cunningham)
8:43.0,,,59-50,1,D. Cunningham makes free throw 1 of 2
8:43.0,,,59-51,1,D. Cunningham makes free throw 2 of 2
8:32.0,,,59-51,,Personal foul by A. Gee
8:18.0,C. Anthony misses 3-pt shot from 28 ft,,59-51,,
8:17.0,,,59-51,,Defensive rebound by T. Douglas
8:11.0,,,59-51,,L. Babbitt enters the game for A. Gee
8:01.0,,,59-51,,A. Ajinca misses 2-pt shot from 4 ft (block by K. Porzingis)
7:59.0,Defensive rebound by K. Porzingis,,59-51,,
7:42.0,,,59-51,,Loose ball foul by A. Ajinca
7:33.0,S. Vujacic misses 2-pt shot from 20 ft,,59-51,,
7:32.0,,,59-51,,Defensive rebound by J. Holiday
7:24.0,,,59-54,3,J. Holiday makes 3-pt shot from 25 ft
7:01.0,R. Lopez misses 2-pt shot from 2 ft (block by A. Ajinca),,59-54,,
6:59.0,,,59-54,,Defensive rebound by L. Babbitt
6:42.0,,,59-57,3,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Holiday)
6:25.0,K. Porzingis misses 2-pt shot from 18 ft,,59-57,,
6:24.0,,,59-57,,Defensive rebound by A. Ajinca
6:12.0,,,59-57,,A. Ajinca misses 2-pt shot from 18 ft
6:11.0,Defensive rebound by J. Calderon,,59-57,,
6:06.0,,,59-57,,Personal foul by A. Ajinca
6:06.0,A. Afflalo enters the game for S. Vujacic,,59-57,,
5:49.0,A. Afflalo misses 2-pt shot from 15 ft,,59-57,,
5:48.0,,,59-57,,Defensive rebound by D. Cunningham
5:30.0,,,59-60,3,D. Cunningham makes 3-pt shot from 25 ft (assist by A. Ajinca)
5:01.0,C. Anthony misses 3-pt shot from 30 ft,,59-60,,
5:00.0,Offensive rebound by K. Porzingis,,59-60,,
4:58.0,Shooting foul by D. Cunningham (drawn by K. Porzingis),,59-60,,
4:58.0,,,59-60,,New Orleans full timeout
4:58.0,,,59-60,,K. Perkins enters the game for A. Ajinca
4:58.0,K. Seraphin enters the game for R. Lopez,,59-60,,
4:58.0,K. Porzingis misses free throw 1 of 2,,59-60,,
4:58.0,Offensive rebound by Team,,59-60,,
4:58.0,K. Porzingis misses free throw 2 of 2,,59-60,,
4:58.0,,,59-60,,Defensive rebound by K. Perkins
4:41.0,,,59-62,2,J. Holiday makes 2-pt shot from 4 ft
4:21.0,C. Anthony misses 3-pt shot from 24 ft,,59-62,,
4:21.0,,,59-62,,Defensive rebound by K. Perkins
4:14.0,,,59-64,2,T. Douglas makes 2-pt shot from 3 ft (assist by J. Holiday)
3:56.0,A. Afflalo misses 3-pt shot from 27 ft,,59-64,,
3:56.0,Offensive rebound by Team,,59-64,,
3:56.0,,,59-64,,Loose ball foul by L. Babbitt
3:56.0,K. Porzingis makes free throw 1 of 2,1,60-64,,
3:56.0,L. Galloway enters the game for J. Calderon,,60-64,,
3:56.0,K. Porzingis makes free throw 2 of 2,1,61-64,,
3:50.0,,,61-64,,J. Holiday misses 3-pt shot from 24 ft
3:49.0,Defensive rebound by K. Seraphin,,61-64,,
3:35.0,C. Anthony misses 2-pt shot from 17 ft,,61-64,,
3:34.0,,,61-64,,Defensive rebound by L. Babbitt
3:19.0,,,61-64,,Shooting foul by K. Seraphin (drawn by L. Babbitt)
3:19.0,,,61-65,1,L. Babbitt makes free throw 1 of 2
3:19.0,,,61-65,,T. Frazier enters the game for J. Holiday
3:19.0,,,61-66,1,L. Babbitt makes free throw 2 of 2
3:03.0,C. Anthony misses 2-pt shot from 2 ft,,61-66,,
3:02.0,,,61-66,,Defensive rebound by K. Perkins
2:44.0,New York full timeout,,61-66,,
2:44.0,D. Williams enters the game for C. Anthony,,61-66,,
2:43.0,,,61-66,,Turnover by T. Douglas (bad pass)
2:25.0,K. Seraphin misses 2-pt shot from 6 ft,,61-66,,
2:24.0,,,61-66,,Defensive rebound by L. Babbitt
2:05.0,,,61-66,,T. Douglas misses 2-pt shot from 13 ft
2:04.0,Defensive rebound by K. Porzingis,,61-66,,
1:54.0,A. Afflalo misses 2-pt shot from 7 ft,,61-66,,
1:53.0,,,61-66,,Defensive rebound by K. Perkins
1:46.0,,,61-66,,T. Frazier misses 2-pt shot from 2 ft
1:45.0,Defensive rebound by K. Porzingis,,61-66,,
1:30.0,K. Seraphin misses 2-pt shot from 15 ft,,61-66,,
1:29.0,,,61-66,,Defensive rebound by T. Frazier
1:10.0,,,61-68,2,L. Babbitt makes 2-pt shot from 6 ft (assist by T. Frazier)
0:59.0,K. Porzingis makes 3-pt shot from 24 ft (assist by L. Galloway),3,64-68,,
0:48.0,,,64-68,,L. Babbitt misses 2-pt shot from 12 ft
0:46.0,Defensive rebound by K. Porzingis,,64-68,,
0:28.0,K. Seraphin misses 2-pt shot from 8 ft,,64-68,,
0:27.0,,,64-68,,Defensive rebound by T. Frazier
0:06.0,,,64-68,,T. Douglas misses 2-pt shot from 10 ft
0:05.0,,,64-68,,Offensive rebound by T. Douglas
0:01.0,,,64-68,,T. Douglas misses 2-pt shot from 8 ft
0:00.0,Defensive rebound by K. Porzingis,,64-68,,
0:00.0,L. Galloway misses 3-pt shot from 61 ft,,64-68,,
0:00.0,Offensive rebound by Team,,64-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,C. Anthony makes 2-pt shot from 22 ft (assist by A. Afflalo),2,66-68,,
11:32.0,,,66-68,,J. Holiday misses 2-pt shot from 14 ft
11:31.0,,,66-68,,Offensive rebound by K. Perkins
11:31.0,,,66-68,,Shooting foul by L. Galloway (drawn by K. Perkins)
11:31.0,,,66-68,,K. Perkins misses free throw 1 of 2
