time,Memphis,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Jordan (J. Redick gains possession),,,,Jump ball: M. Gasol vs. D. Jordan (J. Redick gains possession)
11:46.0,Personal foul by M. Gasol (drawn by J. Redick),,0-0,,
11:37.0,,,0-0,,B. Griffin misses 2-pt shot from 5 ft
11:35.0,Defensive rebound by C. Lee,,0-0,,
11:27.0,Turnover by M. Gasol (bad pass),,0-0,,
11:19.0,,,0-0,,C. Paul misses 2-pt shot from 16 ft
11:18.0,Defensive rebound by Z. Randolph,,0-0,,
10:57.0,M. Conley misses 3-pt shot from 25 ft,,0-0,,
10:54.0,,,0-0,,Defensive rebound by C. Paul
10:50.0,,,0-0,,Turnover by L. Stephenson (bad pass; steal by C. Lee)
10:45.0,T. Allen misses 2-pt shot at rim (block by D. Jordan),,0-0,,
10:45.0,Offensive rebound by Team,,0-0,,
10:32.0,Z. Randolph misses 2-pt shot from 16 ft,,0-0,,
10:32.0,,,0-0,,Defensive rebound by B. Griffin
10:20.0,,,0-2,2,B. Griffin makes 2-pt shot from 19 ft
10:00.0,Z. Randolph misses 2-pt shot from 18 ft,,0-2,,
10:00.0,Offensive rebound by Team,,0-2,,
9:57.0,Z. Randolph makes 2-pt shot at rim (assist by M. Conley),2,2-2,,
9:40.0,,,2-4,2,D. Jordan makes 2-pt shot from 1 ft (assist by J. Redick)
9:27.0,M. Conley misses 2-pt shot from 12 ft,,2-4,,
9:26.0,Offensive rebound by M. Conley,,2-4,,
9:23.0,M. Conley makes 2-pt shot from 6 ft,2,4-4,,
9:13.0,,,4-6,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
8:57.0,Turnover by T. Allen (bad pass; steal by C. Paul),,4-6,,
8:49.0,,,4-6,,Turnover by B. Griffin (lost ball; steal by C. Lee)
8:41.0,T. Allen misses 2-pt shot from 19 ft,,4-6,,
8:40.0,,,4-6,,Defensive rebound by Team
8:33.0,,,4-6,,C. Paul misses 2-pt shot from 6 ft
8:32.0,,,4-6,,Offensive rebound by D. Jordan
8:29.0,,,4-8,2,D. Jordan makes 2-pt shot from 2 ft
8:12.0,M. Conley makes 3-pt shot from 23 ft (assist by C. Lee),3,7-8,,
8:00.0,,,7-11,3,L. Stephenson makes 3-pt shot from 24 ft
7:49.0,T. Allen makes 2-pt shot from 1 ft,2,9-11,,
7:49.0,Violation by Team (delay of game),,9-11,,
7:37.0,,,9-11,,Turnover by L. Stephenson (bad pass; steal by Z. Randolph)
7:32.0,C. Lee misses 3-pt shot from 24 ft,,9-11,,
7:32.0,Offensive rebound by Team,,9-11,,
7:32.0,,,9-11,,Loose ball foul by C. Paul (drawn by Z. Randolph)
7:20.0,Z. Randolph makes 2-pt shot from 14 ft,2,11-11,,
6:57.0,,,11-11,,L. Stephenson misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by M. Conley,,11-11,,
6:50.0,M. Conley makes 2-pt shot from 17 ft,2,13-11,,
6:50.0,,,13-11,,LA Clippers full timeout
6:50.0,J. Green enters the game for M. Gasol,,13-11,,
6:26.0,,,13-13,2,J. Redick makes 2-pt shot from 14 ft (assist by L. Stephenson)
6:12.0,J. Green misses 2-pt shot from 19 ft,,13-13,,
6:11.0,,,13-13,,Defensive rebound by D. Jordan
6:09.0,Personal foul by J. Green (drawn by B. Griffin),,13-13,,
6:00.0,,,13-13,,Turnover by J. Redick (bad pass; steal by C. Lee)
5:53.0,C. Lee makes 2-pt shot at rim,2,15-13,,
5:38.0,,,15-13,,L. Stephenson misses 2-pt shot at rim
5:35.0,Defensive rebound by Z. Randolph,,15-13,,
5:26.0,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley),2,17-13,,
5:09.0,,,17-13,,Shooting foul by T. Allen (drawn by J. Redick)
5:09.0,Technical foul by T. Allen (drawn by J. Redick),,17-13,,
5:09.0,,,17-14,1,J. Redick makes technical free throw
5:09.0,,,17-15,1,J. Redick makes free throw 1 of 2
5:09.0,,,17-15,,A. Rivers enters the game for C. Paul
