time,Houston,pts.away,score,pts.home,Oklahoma City
2:37.0,Offensive rebound by J. Terry,,24-18,,
2:26.0,M. Beasley misses 2-pt shot from 15 ft,,24-18,,
2:25.0,Offensive rebound by D. Howard,,24-18,,
2:22.0,T. Ariza makes 3-pt shot from 24 ft (assist by D. Howard),3,27-18,,
2:19.0,,,27-18,,Oklahoma City full timeout
2:02.0,,,27-20,2,E. Kanter makes 2-pt shot from 14 ft
1:51.0,Turnover by M. Beasley (lost ball; steal by R. Foye),,27-20,,
1:43.0,,,27-23,3,C. Payne makes 3-pt shot from 24 ft (assist by R. Foye)
1:25.0,C. Brewer misses 2-pt shot from 8 ft,,27-23,,
1:24.0,Offensive rebound by T. Ariza,,27-23,,
1:11.0,M. Beasley misses 2-pt shot from 2 ft,,27-23,,
1:11.0,Offensive rebound by Team,,27-23,,
1:11.0,Turnover by M. Beasley (traveling),,27-23,,
1:06.0,,,27-23,,D. Waiters misses 2-pt shot from 1 ft (block by M. Beasley)
1:05.0,Defensive rebound by D. Howard,,27-23,,
1:00.0,C. Brewer misses 2-pt shot from 2 ft,,27-23,,
1:00.0,,,27-23,,Defensive rebound by Team
0:45.0,,,27-25,2,K. Durant makes 2-pt shot at rim
0:32.0,T. Ariza misses 3-pt shot from 24 ft,,27-25,,
0:31.0,,,27-25,,Defensive rebound by K. Durant
0:23.0,,,27-28,3,K. Durant makes 3-pt shot from 24 ft
0:09.0,,,27-28,,Personal take foul by C. Payne
0:09.0,J. Harden enters the game for D. Howard,,27-28,,
0:01.0,J. Harden misses 3-pt shot from 24 ft,,27-28,,
0:01.0,,,27-28,,Defensive rebound by E. Kanter
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by T. Ariza,,27-28,,
11:40.0,Violation by C. Brewer (kicked ball),,27-28,,
11:37.0,,,27-31,3,D. Waiters makes 3-pt shot from 24 ft (assist by K. Durant)
11:21.0,,,27-31,,Personal foul by K. Durant
11:14.0,T. Ariza misses 3-pt shot from 24 ft,,27-31,,
11:12.0,,,27-31,,Defensive rebound by K. Durant
11:08.0,Personal foul by C. Brewer,,27-31,,
11:08.0,P. Beverley enters the game for C. Brewer,,27-31,,
10:57.0,,,27-31,,R. Foye misses 3-pt shot from 22 ft
10:56.0,,,27-31,,Offensive rebound by D. Waiters
10:48.0,,,27-31,,C. Payne misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by P. Beverley,,27-31,,
10:37.0,Turnover by J. Terry (lost ball; steal by R. Foye),,27-31,,
10:34.0,,,27-31,,Turnover by K. Durant (bad pass)
10:09.0,P. Beverley misses 3-pt shot from 22 ft,,27-31,,
10:09.0,,,27-31,,Defensive rebound by E. Kanter
9:54.0,,,27-31,,K. Durant misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by D. Howard,,27-31,,
9:42.0,J. Harden misses 2-pt shot from 3 ft,,27-31,,
9:41.0,Offensive rebound by D. Howard,,27-31,,
9:41.0,D. Howard makes 2-pt shot from 1 ft,2,29-31,,
9:29.0,,,29-31,,K. Durant misses 2-pt shot from 2 ft
