time,Miami,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: A. Drummond vs. H. Whiteside (G. Dragic gains possession)
11:42.0,D. Wade misses 2-pt shot at rim (block by A. Drummond),,0-0,,
11:41.0,Offensive rebound by G. Green,,0-0,,
11:38.0,G. Green misses 2-pt shot from 16 ft,,0-0,,
11:35.0,Offensive rebound by G. Green,,0-0,,
11:34.0,G. Green makes 2-pt shot at rim,2,2-0,,
11:20.0,Def 3 sec tech foul by H. Whiteside,,2-0,,
11:20.0,,,2-1,1,K. Caldwell-Pope makes technical free throw
11:08.0,,,2-3,2,A. Drummond makes 2-pt shot from 6 ft (assist by E. Ilyasova)
10:56.0,H. Whiteside misses 2-pt shot from 1 ft (block by A. Drummond),,2-3,,
10:53.0,Offensive rebound by Team,,2-3,,
10:47.0,Turnover by G. Dragic (bad pass),,2-3,,
10:37.0,,,2-3,,E. Ilyasova misses 2-pt shot from 1 ft
10:36.0,,,2-3,,Offensive rebound by A. Drummond
10:35.0,,,2-3,,A. Drummond misses 2-pt shot from 3 ft
10:34.0,,,2-3,,Offensive rebound by Team
10:30.0,,,2-3,,R. Jackson misses 2-pt shot from 18 ft
10:29.0,,,2-3,,Offensive rebound by M. Morris
10:28.0,,,2-3,,K. Caldwell-Pope misses 3-pt shot from 29 ft
10:28.0,Defensive rebound by D. Wade,,2-3,,
10:10.0,D. Wade makes 2-pt shot from 17 ft,2,4-3,,
9:52.0,,,4-3,,A. Drummond misses 2-pt shot from 3 ft (block by H. Whiteside)
9:50.0,Defensive rebound by D. Wade,,4-3,,
9:40.0,C. Bosh misses 2-pt shot from 20 ft,,4-3,,
9:39.0,Offensive rebound by H. Whiteside,,4-3,,
9:32.0,G. Green misses 2-pt shot from 9 ft,,4-3,,
9:32.0,,,4-3,,Defensive rebound by M. Morris
9:25.0,,,4-3,,Shooting foul by H. Whiteside (drawn by E. Ilyasova)
9:25.0,,,4-4,1,E. Ilyasova makes free throw 1 of 2
9:25.0,,,4-5,1,E. Ilyasova makes free throw 2 of 2
9:08.0,Turnover by D. Wade (traveling),,4-5,,
8:47.0,,,4-5,,M. Morris misses 2-pt shot from 13 ft
8:46.0,Defensive rebound by C. Bosh,,4-5,,
8:33.0,H. Whiteside makes 2-pt shot at rim (assist by C. Bosh),2,6-5,,
8:18.0,,,6-5,,E. Ilyasova misses 3-pt shot from 26 ft
8:18.0,Defensive rebound by G. Green,,6-5,,
