time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. A. Bogut (R. Westbrook gains possession)
11:43.0,A. Roberson misses 3-pt shot from 24 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by D. Green
11:37.0,,,0-0,,D. Green misses 2-pt shot from 2 ft
11:36.0,Defensive rebound by R. Westbrook,,0-0,,
11:24.0,S. Adams misses 2-pt shot from 10 ft,,0-0,,
11:22.0,Offensive rebound by A. Roberson,,0-0,,
11:09.0,S. Adams misses 2-pt shot from 3 ft (block by D. Green),,0-0,,
11:07.0,,,0-0,,Defensive rebound by S. Curry
10:50.0,,,0-2,2,D. Green makes 2-pt shot from 2 ft (assist by A. Iguodala)
10:29.0,S. Adams misses 2-pt shot from 4 ft,,0-2,,
10:27.0,Offensive rebound by A. Roberson,,0-2,,
10:27.0,A. Roberson makes 2-pt shot from 1 ft,2,2-2,,
10:11.0,,,2-2,,Turnover by D. Green (bad pass)
9:58.0,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook),2,4-2,,
9:34.0,,,4-2,,D. Green misses 2-pt shot from 4 ft
9:34.0,,,4-2,,Offensive rebound by S. Curry
9:14.0,,,4-2,,K. Thompson misses 3-pt shot from 23 ft
9:14.0,,,4-2,,Offensive rebound by A. Bogut
8:59.0,,,4-2,,S. Curry misses 2-pt shot from 5 ft
8:59.0,Defensive rebound by S. Adams,,4-2,,
8:44.0,S. Ibaka misses 2-pt shot from 19 ft,,4-2,,
8:41.0,Offensive rebound by S. Adams,,4-2,,
8:41.0,S. Adams misses 2-pt shot from 1 ft,,4-2,,
8:38.0,Offensive rebound by S. Adams,,4-2,,
8:38.0,S. Adams makes 2-pt shot at rim,2,6-2,,
8:19.0,,,6-4,2,D. Green makes 2-pt shot from 18 ft
7:55.0,R. Westbrook makes 2-pt shot from 18 ft,2,8-4,,
7:39.0,,,8-4,,D. Green misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by A. Roberson,,8-4,,
7:21.0,S. Ibaka misses 3-pt shot from 23 ft,,8-4,,
7:19.0,,,8-4,,Defensive rebound by A. Iguodala
7:02.0,,,8-7,3,S. Curry makes 3-pt shot from 29 ft
6:39.0,S. Ibaka makes 3-pt shot from 26 ft (assist by R. Westbrook),3,11-7,,
6:27.0,,,11-10,3,S. Curry makes 3-pt shot from 25 ft
6:09.0,R. Westbrook misses 2-pt shot from 13 ft,,11-10,,
6:09.0,Offensive rebound by Team,,11-10,,
6:08.0,Oklahoma City full timeout,,11-10,,
6:03.0,R. Westbrook misses 2-pt shot from 15 ft,,11-10,,
6:03.0,,,11-10,,Defensive rebound by D. Green
5:53.0,,,11-10,,S. Curry misses 2-pt shot from 17 ft
5:52.0,Defensive rebound by A. Roberson,,11-10,,
5:45.0,K. Durant makes 3-pt shot from 28 ft (assist by R. Westbrook),3,14-10,,
5:25.0,,,14-10,,A. Iguodala misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by K. Durant,,14-10,,
5:09.0,A. Roberson misses 3-pt shot from 24 ft,,14-10,,
5:08.0,,,14-10,,Defensive rebound by K. Thompson
4:51.0,,,14-12,2,A. Bogut makes 2-pt shot from 1 ft (assist by S. Curry)
4:34.0,K. Durant makes 2-pt shot from 17 ft,2,16-12,,
4:24.0,,,16-12,,K. Thompson misses 2-pt shot from 11 ft
4:24.0,,,16-12,,Offensive rebound by K. Thompson
4:24.0,,,16-12,,Shooting foul by S. Adams (drawn by K. Thompson)
4:24.0,,,16-12,,K. Thompson misses free throw 1 of 2
4:24.0,,,16-12,,Offensive rebound by Team
4:24.0,,,16-12,,H. Barnes enters the game for A. Bogut
4:24.0,D. Waiters enters the game for A. Roberson,,16-12,,
4:24.0,,,16-13,1,K. Thompson makes free throw 2 of 2
4:07.0,R. Westbrook misses 3-pt shot from 24 ft,,16-13,,
4:07.0,Offensive rebound by S. Adams,,16-13,,
3:59.0,R. Westbrook misses 2-pt shot from 17 ft,,16-13,,
3:59.0,,,16-13,,Defensive rebound by H. Barnes
3:53.0,,,16-13,,Turnover by H. Barnes (lost ball; steal by R. Westbrook)
3:48.0,Offensive foul by D. Waiters,,16-13,,
3:48.0,Turnover by D. Waiters (offensive foul),,16-13,,
3:38.0,,,16-15,2,S. Curry makes 2-pt shot at rim
3:19.0,S. Ibaka makes 2-pt shot from 4 ft (assist by R. Westbrook),2,18-15,,
3:12.0,,,18-15,,K. Thompson misses 2-pt shot from 3 ft
3:12.0,,,18-15,,Offensive rebound by K. Thompson
3:12.0,,,18-15,,K. Thompson misses 2-pt shot from 3 ft
3:10.0,Defensive rebound by K. Durant,,18-15,,
2:58.0,R. Westbrook makes 3-pt shot from 26 ft (assist by K. Durant),3,21-15,,
2:52.0,,,21-15,,S. Curry misses 3-pt shot from 29 ft
2:51.0,Defensive rebound by S. Ibaka,,21-15,,
2:34.0,Shooting foul by D. Green (drawn by D. Waiters),,21-15,,
2:34.0,,,21-15,,Golden State full timeout
2:34.0,,,21-15,,S. Livingston enters the game for A. Iguodala
2:34.0,,,21-15,,F. Ezeli enters the game for K. Thompson
2:34.0,E. Kanter enters the game for S. Adams,,21-15,,
2:34.0,A. Roberson enters the game for K. Durant,,21-15,,
2:34.0,D. Waiters misses free throw 1 of 2,,21-15,,
2:34.0,Offensive rebound by Team,,21-15,,
2:34.0,D. Waiters makes free throw 2 of 2,1,22-15,,
2:22.0,,,22-17,2,F. Ezeli makes 2-pt shot at rim (assist by S. Curry)
2:08.0,D. Waiters misses 3-pt shot from 26 ft,,22-17,,
2:07.0,,,22-17,,Defensive rebound by S. Livingston
1:43.0,,,22-17,,S. Livingston misses 2-pt shot from 12 ft
1:42.0,,,22-17,,Offensive rebound by D. Green
