time,Indiana,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. I. Mahinmi (L. Allen gains possession),,,,Jump ball: C. Andersen vs. I. Mahinmi (L. Allen gains possession)
11:39.0,P. George makes 3-pt shot from 25 ft,3,3-0,,
11:22.0,,,3-0,,L. Deng misses 3-pt shot from 23 ft
11:21.0,Defensive rebound by I. Mahinmi,,3-0,,
11:14.0,,,3-0,,Personal foul by C. Andersen (drawn by I. Mahinmi)
11:04.0,,,3-0,,Personal foul by D. Wade (drawn by C. Miles)
10:59.0,P. George misses 2-pt shot from 18 ft,,3-0,,
10:58.0,Offensive rebound by L. Allen,,3-0,,
10:53.0,Turnover by C. Miles (lost ball; steal by C. Andersen),,3-0,,
10:47.0,,,3-0,,D. Wade misses 2-pt shot from 16 ft
10:46.0,,,3-0,,Offensive rebound by Team
10:46.0,Loose ball foul by M. Ellis (drawn by C. Andersen),,3-0,,
10:36.0,,,3-0,,C. Andersen misses 2-pt shot from 17 ft
10:35.0,Defensive rebound by C. Miles,,3-0,,
10:25.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,5-0,,
10:17.0,,,5-0,,Offensive foul by G. Dragic
10:17.0,,,5-0,,Turnover by G. Dragic (offensive foul)
10:08.0,C. Miles makes 3-pt shot from 24 ft (assist by M. Ellis),3,8-0,,
10:08.0,Shooting foul by D. Wade (drawn by C. Miles),,8-0,,
10:08.0,C. Miles makes free throw 1 of 1,1,9-0,,
9:53.0,,,9-2,2,G. Dragic makes 2-pt shot from 1 ft
9:47.0,C. Miles makes 3-pt shot from 24 ft (assist by M. Ellis),3,12-2,,
9:28.0,Loose ball foul by P. George (drawn by C. Bosh),,12-2,,
9:21.0,,,12-2,,Shooting foul by L. Allen (drawn by C. Bosh)
9:21.0,,,12-2,,C. Bosh misses free throw 1 of 2
9:21.0,,,12-2,,Offensive rebound by Team
9:21.0,,,12-3,1,C. Bosh makes free throw 2 of 2
9:07.0,P. George makes 3-pt shot from 23 ft (assist by M. Ellis),3,15-3,,
9:07.0,,,15-3,,Miami full timeout
8:50.0,,,15-5,2,D. Wade makes 2-pt shot from 2 ft
8:36.0,C. Miles misses 3-pt shot from 24 ft,,15-5,,
8:35.0,,,15-5,,Defensive rebound by C. Andersen
8:24.0,,,15-5,,Shooting foul by L. Allen (drawn by D. Wade)
8:24.0,,,15-6,1,D. Wade makes free throw 1 of 2
8:24.0,,,15-7,1,D. Wade makes free throw 2 of 2
8:11.0,M. Ellis misses 2-pt shot from 8 ft,,15-7,,
8:10.0,Offensive rebound by I. Mahinmi,,15-7,,
8:09.0,I. Mahinmi makes 2-pt shot from 1 ft,2,17-7,,
7:52.0,,,17-9,2,C. Bosh makes 2-pt shot from 19 ft (assist by D. Wade)
7:45.0,Shooting foul by C. Andersen (drawn by I. Mahinmi),,17-9,,
7:45.0,I. Mahinmi makes free throw 1 of 2,1,18-9,,
7:45.0,I. Mahinmi makes free throw 2 of 2,1,19-9,,
7:28.0,,,19-9,,C. Andersen misses 2-pt shot from 1 ft (block by I. Mahinmi)
7:27.0,,,19-9,,Offensive rebound by C. Andersen
7:25.0,,,19-11,2,C. Andersen makes 2-pt shot from 1 ft
7:20.0,Shooting foul by C. Andersen (drawn by P. George),,19-11,,
7:20.0,P. George makes free throw 1 of 2,1,20-11,,
7:20.0,,,20-11,,A. Stoudemire enters the game for C. Andersen
7:20.0,P. George makes free throw 2 of 2,1,21-11,,
7:04.0,,,21-11,,C. Bosh misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by P. George,,21-11,,
6:57.0,P. George misses 2-pt shot from 16 ft,,21-11,,
6:56.0,,,21-11,,Defensive rebound by D. Wade
6:47.0,,,21-11,,L. Deng misses 3-pt shot from 23 ft
6:46.0,,,21-11,,Offensive rebound by Team
6:46.0,J. Hill enters the game for L. Allen,,21-11,,
6:46.0,M. Turner enters the game for I. Mahinmi,,21-11,,
6:46.0,Personal foul by C. Miles (drawn by L. Deng),,21-11,,
6:46.0,,,21-12,1,L. Deng makes free throw 1 of 2
6:46.0,,,21-13,1,L. Deng makes free throw 2 of 2
6:34.0,C. Miles misses 3-pt shot from 24 ft (block by D. Wade),,21-13,,
6:33.0,Offensive rebound by J. Hill,,21-13,,
6:28.0,C. Miles misses 3-pt shot from 23 ft,,21-13,,
6:27.0,,,21-13,,Defensive rebound by C. Bosh
6:22.0,,,21-15,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
6:21.0,Indiana full timeout,,21-15,,
6:21.0,,,21-15,,J. Winslow enters the game for C. Bosh
6:02.0,M. Turner misses 2-pt shot at rim,,21-15,,
6:01.0,,,21-15,,Defensive rebound by J. Winslow
5:54.0,,,21-15,,A. Stoudemire misses 2-pt shot from 1 ft
5:53.0,,,21-15,,Offensive rebound by D. Wade
5:53.0,,,21-15,,D. Wade misses 2-pt shot from 2 ft
5:52.0,,,21-15,,Offensive rebound by A. Stoudemire
5:51.0,,,21-15,,A. Stoudemire misses 2-pt shot from 1 ft
5:50.0,,,21-15,,Offensive rebound by A. Stoudemire
5:49.0,,,21-15,,Turnover by A. Stoudemire (lost ball; steal by C. Miles)
5:38.0,P. George misses 2-pt shot from 11 ft,,21-15,,
5:37.0,Offensive rebound by Team,,21-15,,
5:24.0,J. Hill misses 2-pt shot from 2 ft,,21-15,,
5:23.0,,,21-15,,Defensive rebound by L. Deng
5:12.0,,,21-17,2,G. Dragic makes 2-pt shot from 2 ft
5:01.0,,,21-17,,Violation by L. Deng (kicked ball)
4:49.0,M. Ellis misses 2-pt shot from 17 ft,,21-17,,
4:48.0,,,21-17,,Defensive rebound by D. Wade
4:46.0,C. Budinger enters the game for C. Miles,,21-17,,
4:34.0,,,21-17,,G. Dragic misses 2-pt shot from 12 ft
4:33.0,Defensive rebound by C. Budinger,,21-17,,
4:23.0,P. George misses 3-pt shot from 24 ft,,21-17,,
4:22.0,Offensive rebound by Team,,21-17,,
4:08.0,M. Ellis makes 2-pt shot from 12 ft,2,23-17,,
3:48.0,,,23-17,,D. Wade misses 2-pt shot from 14 ft
3:47.0,Defensive rebound by J. Hill,,23-17,,
3:33.0,J. Hill makes 2-pt shot from 17 ft (assist by M. Ellis),2,25-17,,
