time,LA Clippers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. A. Len (R. Price gains possession),,,,Jump ball: C. Aldrich vs. A. Len (R. Price gains possession)
11:46.0,,,0-0,,Turnover by R. Price (lost ball; steal by C. Aldrich)
11:36.0,Turnover by P. Prigioni (lost ball; steal by D. Booker),,0-0,,
11:26.0,,,0-2,2,J. Leuer makes 2-pt shot from 1 ft (assist by A. Len)
11:04.0,P. Pierce makes 2-pt shot from 18 ft,2,2-2,,
10:53.0,,,2-2,,D. Booker misses 2-pt shot from 19 ft
10:52.0,,,2-2,,Offensive rebound by J. Leuer
10:48.0,,,2-4,2,J. Leuer makes 2-pt shot at rim
10:33.0,P. Pierce misses 3-pt shot from 24 ft,,2-4,,
10:32.0,,,2-4,,Defensive rebound by A. Len
10:25.0,,,2-4,,P. Tucker misses 3-pt shot from 23 ft
10:24.0,Defensive rebound by P. Prigioni,,2-4,,
10:09.0,Turnover by C. Aldrich (3 sec),,2-4,,
9:54.0,,,2-4,,R. Price misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by C. Aldrich,,2-4,,
9:39.0,C. Aldrich makes 2-pt shot from 3 ft (assist by P. Prigioni),2,4-4,,
9:29.0,,,4-4,,A. Len misses 2-pt shot from 20 ft
9:29.0,Defensive rebound by P. Pierce,,4-4,,
9:19.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,4-4,,
9:18.0,,,4-4,,Defensive rebound by D. Booker
9:13.0,,,4-4,,Offensive charge foul by D. Booker
9:13.0,,,4-4,,Turnover by D. Booker (offensive foul)
9:06.0,Shooting foul by P. Tucker (drawn by C. Aldrich),,4-4,,
9:06.0,C. Aldrich makes free throw 1 of 2,1,5-4,,
9:06.0,C. Aldrich makes free throw 2 of 2,1,6-4,,
8:57.0,,,6-4,,Turnover by P. Tucker (bad pass)
8:41.0,Turnover by P. Pierce (lost ball; steal by J. Leuer),,6-4,,
8:37.0,,,6-6,2,P. Tucker makes 2-pt shot from 1 ft (assist by R. Price)
8:37.0,,,6-6,,Shooting foul by C. Aldrich (drawn by P. Tucker)
8:37.0,,,6-7,1,P. Tucker makes free throw 1 of 1
8:28.0,Turnover by P. Prigioni (lost ball; steal by P. Tucker),,6-7,,
8:22.0,,,6-10,3,D. Booker makes 3-pt shot from 25 ft (assist by J. Leuer)
8:09.0,C. Aldrich makes 2-pt shot at rim (assist by L. Mbah a Moute),2,8-10,,
7:46.0,,,8-10,,P. Tucker misses 2-pt shot from 10 ft
7:44.0,Defensive rebound by P. Pierce,,8-10,,
7:38.0,P. Pierce misses 2-pt shot from 3 ft (block by J. Leuer),,8-10,,
7:38.0,Offensive rebound by Team,,8-10,,
7:28.0,A. Rivers misses 2-pt shot from 18 ft,,8-10,,
7:28.0,,,8-10,,Defensive rebound by P. Tucker
7:19.0,,,8-10,,J. Leuer misses 2-pt shot from 20 ft
7:18.0,,,8-10,,Offensive rebound by P. Tucker
7:15.0,,,8-12,2,P. Tucker makes 2-pt shot from 1 ft
7:03.0,P. Prigioni misses 3-pt shot from 23 ft,,8-12,,
7:02.0,,,8-12,,Defensive rebound by J. Leuer
6:52.0,,,8-12,,Shooting foul by C. Aldrich (drawn by A. Len)
6:52.0,,,8-12,,A. Len misses free throw 1 of 2
6:52.0,,,8-12,,Offensive rebound by Team
6:52.0,J. Ayres enters the game for C. Aldrich,,8-12,,
6:52.0,,,8-12,,A. Len misses free throw 2 of 2
6:51.0,,,8-12,,Offensive rebound by J. Leuer
6:35.0,,,8-12,,R. Price misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by P. Prigioni,,8-12,,
6:16.0,J. Ayres misses 2-pt shot from 8 ft,,8-12,,
6:15.0,,,8-12,,Defensive rebound by J. Leuer
6:08.0,,,8-12,,Turnover by D. Booker (lost ball; steal by P. Prigioni)
6:04.0,W. Johnson enters the game for P. Pierce,,8-12,,
6:04.0,J. Green enters the game for L. Mbah a Moute,,8-12,,
5:53.0,P. Prigioni misses 3-pt shot from 23 ft,,8-12,,
5:52.0,,,8-12,,Defensive rebound by P. Tucker
5:43.0,,,8-12,,Turnover by R. Price (lost ball; steal by P. Prigioni)
