time,Boston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Johnson (J. Teague gains possession),,,,Jump ball: A. Horford vs. A. Johnson (J. Teague gains possession)
11:46.0,,,0-2,2,J. Teague makes 2-pt shot at rim (assist by A. Horford)
11:32.0,A. Bradley misses 2-pt shot from 19 ft,,0-2,,
11:30.0,,,0-2,,Defensive rebound by P. Millsap
11:15.0,,,0-4,2,P. Millsap makes 2-pt shot from 6 ft (assist by K. Bazemore)
11:07.0,A. Bradley misses 2-pt shot from 1 ft (block by P. Millsap),,0-4,,
11:07.0,Offensive rebound by Team,,0-4,,
11:01.0,A. Bradley makes 2-pt shot from 19 ft (assist by I. Thomas),2,2-4,,
10:48.0,,,2-7,3,K. Bazemore makes 3-pt shot from 24 ft (assist by J. Teague)
10:27.0,J. Sullinger misses 2-pt shot from 8 ft,,2-7,,
10:25.0,Offensive rebound by A. Johnson,,2-7,,
10:20.0,A. Bradley misses 3-pt shot from 24 ft,,2-7,,
10:19.0,,,2-7,,Defensive rebound by P. Millsap
10:09.0,,,2-7,,Turnover by P. Millsap (lost ball; steal by J. Sullinger)
9:58.0,Turnover by I. Thomas (lost ball; steal by P. Millsap),,2-7,,
9:53.0,,,2-9,2,P. Millsap makes 2-pt shot at rim
9:40.0,J. Sullinger makes 2-pt shot from 19 ft (assist by J. Crowder),2,4-9,,
9:28.0,,,4-9,,K. Bazemore misses 2-pt shot from 1 ft (block by A. Johnson)
9:24.0,Defensive rebound by J. Sullinger,,4-9,,
9:21.0,J. Crowder makes 2-pt shot from 1 ft (assist by J. Sullinger),2,6-9,,
9:16.0,,,6-11,2,P. Millsap makes 2-pt shot from 1 ft (assist by A. Horford)
9:16.0,Boston full timeout,,6-11,,
9:08.0,Shooting foul by K. Korver (drawn by J. Crowder),,6-11,,
9:08.0,J. Crowder makes free throw 1 of 2,1,7-11,,
9:08.0,J. Crowder misses free throw 2 of 2,,7-11,,
9:07.0,,,7-11,,Defensive rebound by P. Millsap
8:54.0,Personal foul by J. Sullinger,,7-11,,
8:39.0,,,7-13,2,K. Bazemore makes 2-pt shot at rim (assist by K. Korver)
8:34.0,,,7-13,,Shooting block foul by K. Korver (drawn by J. Crowder)
8:34.0,J. Crowder makes free throw 1 of 2,1,8-13,,
8:34.0,,,8-13,,T. Sefolosha enters the game for K. Korver
8:34.0,J. Crowder makes free throw 2 of 2,1,9-13,,
8:14.0,,,9-13,,J. Teague misses 2-pt shot from 4 ft
8:10.0,Defensive rebound by A. Johnson,,9-13,,
8:05.0,J. Sullinger misses 2-pt shot from 19 ft,,9-13,,
8:04.0,,,9-13,,Defensive rebound by P. Millsap
7:51.0,,,9-13,,A. Horford misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by A. Bradley,,9-13,,
7:38.0,Turnover by J. Sullinger (lost ball; steal by K. Bazemore),,9-13,,
7:34.0,,,9-15,2,K. Bazemore makes 2-pt shot at rim
7:17.0,,,9-15,,Personal foul by J. Teague
7:08.0,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas),2,11-15,,
6:53.0,,,11-15,,A. Horford misses 2-pt shot from 1 ft
6:52.0,,,11-15,,Offensive rebound by P. Millsap
6:41.0,,,11-15,,A. Horford misses 3-pt shot from 23 ft
6:39.0,Defensive rebound by J. Crowder,,11-15,,
6:32.0,A. Bradley misses 3-pt shot from 24 ft,,11-15,,
6:31.0,,,11-15,,Defensive rebound by A. Horford
6:22.0,,,11-15,,Turnover by P. Millsap (bad pass)
6:22.0,,,11-15,,T. Hardaway enters the game for K. Bazemore
6:22.0,,,11-15,,K. Humphries enters the game for A. Horford
6:22.0,M. Smart enters the game for J. Sullinger,,11-15,,
6:09.0,I. Thomas makes 2-pt shot at rim,2,13-15,,
5:55.0,,,13-15,,J. Teague misses 2-pt shot from 2 ft (block by A. Johnson)
5:55.0,,,13-15,,Offensive rebound by Team
5:48.0,,,13-18,3,J. Teague makes 3-pt shot from 25 ft (assist by P. Millsap)
5:30.0,I. Thomas makes 2-pt shot from 14 ft,2,15-18,,
5:13.0,,,15-20,2,K. Humphries makes 2-pt shot from 19 ft (assist by P. Millsap)
4:59.0,A. Bradley makes 3-pt shot from 24 ft (assist by A. Johnson),3,18-20,,
4:53.0,,,18-20,,Atlanta full timeout
4:53.0,E. Turner enters the game for J. Crowder,,18-20,,
4:47.0,,,18-22,2,J. Teague makes 2-pt shot at rim (assist by T. Sefolosha)
4:29.0,A. Johnson misses 2-pt shot at rim (block by P. Millsap),,18-22,,
4:26.0,Offensive rebound by A. Johnson,,18-22,,
4:26.0,A. Johnson misses 2-pt shot from 2 ft,,18-22,,
4:26.0,,,18-22,,Defensive rebound by P. Millsap
4:26.0,Personal foul by A. Bradley,,18-22,,
4:26.0,,,18-22,,D. Schroder enters the game for J. Teague
4:04.0,,,18-22,,K. Humphries misses 2-pt shot from 10 ft
4:02.0,Defensive rebound by E. Turner,,18-22,,
3:57.0,E. Turner makes 2-pt shot from 15 ft,2,20-22,,
3:40.0,,,20-22,,Shooting foul by A. Johnson (drawn by K. Humphries)
3:40.0,,,20-22,,K. Humphries misses free throw 1 of 2
3:40.0,,,20-22,,Offensive rebound by Team
3:40.0,,,20-23,1,K. Humphries makes free throw 2 of 2
3:26.0,Turnover by E. Turner (lost ball; steal by K. Humphries),,20-23,,
3:17.0,,,20-23,,P. Millsap misses 2-pt shot from 1 ft
3:16.0,,,20-23,,Offensive rebound by Team
3:16.0,,,20-23,,M. Scott enters the game for K. Humphries
3:16.0,K. Olynyk enters the game for I. Thomas,,20-23,,
3:10.0,,,20-25,2,D. Schroder makes 2-pt shot from 18 ft
2:55.0,,,20-25,,Personal foul by T. Sefolosha
2:45.0,A. Johnson makes 2-pt shot from 5 ft (assist by M. Smart),2,22-25,,
2:37.0,,,22-25,,Turnover by T. Sefolosha (step out of bounds)
2:37.0,,,22-25,,A. Horford enters the game for P. Millsap
2:27.0,M. Smart makes 3-pt shot from 25 ft (assist by E. Turner),3,25-25,,
2:14.0,Personal block foul by A. Bradley,,25-25,,
1:58.0,,,25-25,,T. Hardaway misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by M. Smart,,25-25,,
1:49.0,A. Johnson makes 2-pt shot from 1 ft (assist by K. Olynyk),2,27-25,,
1:31.0,,,27-28,3,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder)
1:15.0,M. Smart makes 3-pt shot from 25 ft (assist by E. Turner),3,30-28,,
1:00.0,,,30-28,,D. Schroder misses 2-pt shot from 1 ft
0:59.0,Defensive rebound by A. Johnson,,30-28,,
0:53.0,Shooting foul by M. Scott (drawn by K. Olynyk),,30-28,,
0:53.0,K. Olynyk makes free throw 1 of 2,1,31-28,,
0:53.0,J. Jerebko enters the game for A. Bradley,,31-28,,
0:53.0,K. Olynyk makes free throw 2 of 2,1,32-28,,
0:40.0,,,32-31,3,D. Schroder makes 3-pt shot from 24 ft (assist by A. Horford)
0:22.0,E. Turner misses 3-pt shot from 24 ft,,32-31,,
0:21.0,Offensive rebound by M. Smart,,32-31,,
0:20.0,M. Smart misses 2-pt shot from 1 ft,,32-31,,
0:19.0,,,32-31,,Defensive rebound by T. Sefolosha
0:00.0,,,32-34,3,D. Schroder makes 3-pt shot from 26 ft (assist by A. Horford)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by K. Olynyk (lost ball; steal by A. Horford),,32-34,,
11:37.0,,,32-34,,D. Schroder misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by M. Smart,,32-34,,
11:21.0,M. Smart misses 3-pt shot from 22 ft,,32-34,,
11:19.0,Offensive rebound by J. Jerebko,,32-34,,
11:15.0,J. Jerebko misses 3-pt shot from 23 ft (block by A. Horford),,32-34,,
11:15.0,Offensive rebound by Team,,32-34,,
11:10.0,K. Olynyk makes 3-pt shot from 24 ft (assist by E. Turner),3,35-34,,
10:59.0,,,35-36,2,T. Hardaway makes 2-pt shot at rim (assist by A. Horford)
10:42.0,,,35-36,,K. Korver enters the game for T. Hardaway
10:35.0,Offensive charge foul by M. Smart,,35-36,,
10:35.0,Turnover by M. Smart (offensive foul),,35-36,,
10:11.0,,,35-36,,A. Horford misses 2-pt shot from 7 ft
10:10.0,,,35-36,,Offensive rebound by Team
10:10.0,,,35-36,,Turnover by Team (shot clock)
9:58.0,Shooting foul by A. Horford (drawn by K. Olynyk),,35-36,,
9:58.0,K. Olynyk makes free throw 1 of 2,1,36-36,,
9:58.0,,,36-36,,K. Bazemore enters the game for T. Sefolosha
9:58.0,K. Olynyk misses free throw 2 of 2,,36-36,,
9:56.0,,,36-36,,Defensive rebound by A. Horford
9:48.0,,,36-36,,K. Korver misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by Team,,36-36,,
9:34.0,E. Turner makes 2-pt shot at rim,2,38-36,,
9:18.0,,,38-36,,D. Schroder misses 2-pt shot at rim (block by K. Olynyk)
9:16.0,Defensive rebound by J. Jerebko,,38-36,,
9:11.0,J. Crowder makes 3-pt shot from 22 ft (assist by E. Turner),3,41-36,,
9:11.0,Shooting foul by K. Bazemore (drawn by J. Crowder),,41-36,,
9:11.0,J. Crowder misses free throw 1 of 1,,41-36,,
9:09.0,,,41-36,,Defensive rebound by M. Scott
9:03.0,,,41-38,2,K. Bazemore makes 2-pt shot from 1 ft
9:03.0,Boston full timeout,,41-38,,
9:03.0,,,41-38,,T. Sefolosha enters the game for K. Korver
9:03.0,,,41-38,,P. Millsap enters the game for M. Scott
8:51.0,M. Smart makes 2-pt shot from 1 ft,2,43-38,,
8:33.0,,,43-38,,P. Millsap misses 2-pt shot from 15 ft
8:33.0,Defensive rebound by Team,,43-38,,
8:33.0,,,43-38,,Loose ball foul by A. Horford
8:33.0,,,43-38,,M. Scott enters the game for A. Horford
8:33.0,,,43-38,,K. Korver enters the game for T. Sefolosha
8:24.0,Turnover by M. Smart (lost ball; steal by K. Bazemore),,43-38,,
8:09.0,Personal foul by K. Olynyk,,43-38,,
8:09.0,T. Zeller enters the game for K. Olynyk,,43-38,,
8:05.0,Personal foul by M. Smart,,43-38,,
8:05.0,,,43-38,,J. Teague enters the game for D. Schroder
8:03.0,,,43-38,,Turnover by K. Bazemore (lost ball; steal by J. Crowder)
7:52.0,J. Jerebko misses 2-pt shot at rim (block by K. Bazemore),,43-38,,
7:52.0,Offensive rebound by T. Zeller,,43-38,,
7:52.0,Shooting foul by K. Bazemore (drawn by T. Zeller),,43-38,,
7:52.0,T. Zeller misses free throw 1 of 2,,43-38,,
7:52.0,Offensive rebound by Team,,43-38,,
7:52.0,T. Zeller makes free throw 2 of 2,1,44-38,,
7:42.0,,,44-38,,K. Bazemore misses 3-pt shot from 24 ft
7:39.0,,,44-38,,Offensive rebound by M. Scott
7:29.0,,,44-41,3,K. Bazemore makes 3-pt shot from 24 ft (assist by J. Teague)
7:21.0,Turnover by J. Jerebko (lost ball; steal by K. Bazemore),,44-41,,
7:17.0,,,44-43,2,K. Bazemore makes 2-pt shot from 1 ft
7:11.0,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner),2,46-43,,
7:11.0,Shooting foul by J. Teague (drawn by T. Zeller),,46-43,,
7:11.0,I. Thomas enters the game for J. Jerebko,,46-43,,
7:11.0,T. Zeller misses free throw 1 of 1,,46-43,,
7:09.0,,,46-43,,Defensive rebound by K. Bazemore
6:58.0,,,46-43,,P. Millsap misses 2-pt shot from 8 ft
6:56.0,,,46-43,,Offensive rebound by P. Millsap
6:55.0,,,46-45,2,P. Millsap makes 2-pt shot at rim
6:49.0,Turnover by E. Turner (lost ball; steal by P. Millsap),,46-45,,
6:43.0,Personal foul by E. Turner,,46-45,,
6:36.0,,,46-45,,K. Korver misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by Team,,46-45,,
6:19.0,I. Thomas makes 2-pt shot from 1 ft (assist by T. Zeller),2,48-45,,
6:01.0,,,48-48,3,P. Millsap makes 3-pt shot from 24 ft (assist by K. Bazemore)
5:43.0,E. Turner makes 3-pt shot from 23 ft (assist by I. Thomas),3,51-48,,
5:37.0,,,51-48,,Atlanta full timeout
5:37.0,,,51-48,,T. Sefolosha enters the game for K. Bazemore
5:37.0,A. Bradley enters the game for M. Smart,,51-48,,
5:24.0,,,51-51,3,J. Teague makes 3-pt shot from 25 ft (assist by M. Scott)
5:01.0,,,51-51,,A. Horford enters the game for M. Scott
4:58.0,J. Crowder misses 3-pt shot from 24 ft,,51-51,,
4:57.0,,,51-51,,Defensive rebound by T. Sefolosha
4:49.0,,,51-53,2,J. Teague makes 2-pt shot from 10 ft
4:33.0,A. Bradley makes 2-pt shot from 2 ft,2,53-53,,
4:16.0,Personal foul by I. Thomas,,53-53,,
4:16.0,M. Smart enters the game for E. Turner,,53-53,,
4:16.0,,,53-53,,K. Bazemore enters the game for T. Sefolosha
4:09.0,,,53-55,2,A. Horford makes 2-pt shot from 6 ft (assist by J. Teague)
3:59.0,I. Thomas misses 3-pt shot from 25 ft,,53-55,,
3:58.0,Offensive rebound by J. Crowder,,53-55,,
3:57.0,J. Crowder misses 2-pt shot from 1 ft,,53-55,,
3:55.0,,,53-55,,Defensive rebound by P. Millsap
3:42.0,,,53-58,3,A. Horford makes 3-pt shot from 23 ft (assist by J. Teague)
3:22.0,I. Thomas misses 2-pt shot from 2 ft,,53-58,,
3:21.0,Offensive rebound by Team,,53-58,,
3:21.0,,,53-58,,T. Sefolosha enters the game for K. Korver
3:21.0,K. Olynyk enters the game for T. Zeller,,53-58,,
3:21.0,A. Johnson enters the game for J. Crowder,,53-58,,
3:21.0,,,53-58,,M. Scott enters the game for A. Horford
3:12.0,M. Smart makes 3-pt shot from 24 ft (assist by A. Johnson),3,56-58,,
2:56.0,,,56-58,,P. Millsap misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by K. Olynyk,,56-58,,
