time,Denver,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,E. Mudiay misses 2-pt shot from 20 ft,,0-0,,
12:00.0,Jump ball: D. Cousins vs. N. Jokic (D. Gallinari gains possession),,,,Jump ball: D. Cousins vs. N. Jokic (D. Gallinari gains possession)
11:42.0,,,0-0,,Defensive rebound by Q. Acy
11:28.0,,,0-0,,Turnover by D. Cousins (lost ball; steal by E. Mudiay)
11:18.0,D. Gallinari makes 3-pt shot from 24 ft,3,3-0,,
11:12.0,,,3-0,,Shooting foul by N. Jokic (drawn by D. Cousins)
11:12.0,,,3-1,1,D. Cousins makes free throw 1 of 2
11:12.0,,,3-2,1,D. Cousins makes free throw 2 of 2
10:48.0,G. Harris misses 3-pt shot from 23 ft,,3-2,,
10:48.0,,,3-2,,Defensive rebound by D. Cousins
10:35.0,,,3-5,3,R. Gay makes 3-pt shot from 24 ft
10:23.0,Turnover by D. Gallinari (lost ball),,3-5,,
10:14.0,Personal foul by E. Mudiay,,3-5,,
10:08.0,,,3-5,,R. Rondo misses 2-pt shot from 21 ft
10:06.0,Defensive rebound by Team,,3-5,,
10:02.0,,,3-5,,Personal foul by B. McLemore
9:59.0,Turnover by N. Jokic (lost ball; steal by R. Rondo),,3-5,,
9:55.0,Personal foul by N. Jokic,,3-5,,
9:55.0,J. Nurkic enters the game for N. Jokic,,3-5,,
9:46.0,,,3-5,,R. Rondo misses 2-pt shot from 1 ft (block by K. Faried)
9:44.0,Defensive rebound by K. Faried,,3-5,,
9:39.0,G. Harris makes 2-pt shot from 1 ft (assist by E. Mudiay),2,5-5,,
9:22.0,,,5-5,,Turnover by D. Cousins (lost ball; steal by E. Mudiay)
9:20.0,E. Mudiay makes 2-pt shot from 1 ft,2,7-5,,
9:09.0,,,7-5,,Shooting foul by J. Nurkic (drawn by D. Cousins)
9:09.0,,,7-6,1,D. Cousins makes free throw 1 of 2
9:09.0,,,7-7,1,D. Cousins makes free throw 2 of 2
8:56.0,E. Mudiay misses 2-pt shot from 6 ft,,7-7,,
8:55.0,Offensive rebound by K. Faried,,7-7,,
8:42.0,J. Nurkic misses 2-pt shot from 1 ft,,7-7,,
8:41.0,Offensive rebound by J. Nurkic,,7-7,,
8:41.0,J. Nurkic misses 2-pt shot from 1 ft,,7-7,,
8:40.0,,,7-7,,Defensive rebound by Q. Acy
8:31.0,,,7-7,,Turnover by D. Cousins (lost ball; steal by G. Harris)
8:27.0,,,7-7,,Violation by Q. Acy (def goaltending)
8:27.0,G. Harris makes 2-pt shot from 1 ft,2,9-7,,
8:12.0,,,9-10,3,R. Rondo makes 3-pt shot from 24 ft (assist by D. Cousins)
7:56.0,Turnover by E. Mudiay (lost ball; steal by R. Gay),,9-10,,
7:52.0,,,9-10,,Turnover by R. Rondo (lost ball)
7:37.0,Shooting foul by R. Gay (drawn by D. Gallinari),,9-10,,
7:37.0,D. Gallinari makes free throw 1 of 2,1,10-10,,
7:37.0,D. Gallinari makes free throw 2 of 2,1,11-10,,
7:21.0,,,11-13,3,R. Gay makes 3-pt shot from 24 ft (assist by R. Rondo)
6:57.0,D. Gallinari misses 3-pt shot from 25 ft,,11-13,,
6:56.0,,,11-13,,Defensive rebound by D. Cousins
6:54.0,Personal foul by D. Gallinari,,11-13,,
6:54.0,,,11-14,1,R. Gay makes free throw 1 of 2
6:54.0,,,11-15,1,R. Gay makes free throw 2 of 2
6:35.0,Turnover by E. Mudiay (lost ball; steal by D. Cousins),,11-15,,
6:22.0,,,11-18,3,R. Rondo makes 3-pt shot from 23 ft
6:22.0,Denver full timeout,,11-18,,
6:05.0,J. Nurkic makes 2-pt shot at rim (assist by G. Harris),2,13-18,,
5:45.0,,,13-20,2,D. Cousins makes 2-pt shot from 3 ft
5:34.0,G. Harris misses 3-pt shot from 24 ft,,13-20,,
5:33.0,,,13-20,,Defensive rebound by D. Cousins
5:24.0,,,13-20,,D. Cousins misses 2-pt shot from 7 ft (block by J. Nurkic)
5:21.0,Defensive rebound by J. Nurkic,,13-20,,
5:03.0,E. Mudiay misses 3-pt shot from 25 ft,,13-20,,
5:02.0,,,13-20,,Defensive rebound by D. Cousins
4:54.0,,,13-20,,R. Gay misses 2-pt shot from 7 ft (block by J. Nurkic)
4:51.0,Defensive rebound by K. Faried,,13-20,,
4:51.0,,,13-20,,Violation by D. Cousins (kicked ball)
4:37.0,D. Gallinari makes 3-pt shot from 23 ft (assist by J. Nurkic),3,16-20,,
4:24.0,,,16-20,,Offensive foul by B. McLemore
4:24.0,,,16-20,,Turnover by B. McLemore (offensive foul)
4:24.0,,,16-20,,Technical foul by R. Rondo
4:24.0,Technical foul by J. Nurkic,,16-20,,
4:24.0,,,16-20,,W. Cauley-Stein enters the game for Q. Acy
