time,Indiana,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-0,,D. Carroll misses 3-pt shot from 24 ft
12:00.0,Jump ball: I. Mahinmi vs. J. Valanciunas (P. Patterson gains possession),,,,Jump ball: I. Mahinmi vs. J. Valanciunas (P. Patterson gains possession)
11:42.0,Defensive rebound by P. George,,0-0,,
11:21.0,Turnover by P. George (lost ball; steal by D. Carroll),,0-0,,
11:12.0,,,0-2,2,D. DeRozan makes 2-pt shot from 4 ft (assist by K. Lowry)
10:54.0,Turnover by G. Hill (lost ball; steal by D. DeRozan),,0-2,,
10:49.0,,,0-4,2,K. Lowry makes 2-pt shot from 1 ft
10:35.0,Offensive charge foul by I. Mahinmi,,0-4,,
10:35.0,Turnover by I. Mahinmi (offensive foul),,0-4,,
10:13.0,,,0-4,,P. Patterson misses 3-pt shot from 23 ft
10:12.0,Defensive rebound by P. George,,0-4,,
10:00.0,M. Turner misses 2-pt shot from 10 ft,,0-4,,
10:00.0,,,0-4,,Defensive rebound by D. Carroll
9:46.0,,,0-4,,K. Lowry misses 2-pt shot from 1 ft (block by I. Mahinmi)
9:44.0,Defensive rebound by M. Ellis,,0-4,,
9:36.0,P. George makes 3-pt shot from 25 ft (assist by M. Ellis),3,3-4,,
9:22.0,,,3-4,,D. DeRozan misses 2-pt shot from 8 ft
9:22.0,Defensive rebound by I. Mahinmi,,3-4,,
9:03.0,I. Mahinmi misses 2-pt shot from 14 ft,,3-4,,
9:03.0,,,3-4,,Defensive rebound by J. Valanciunas
8:58.0,,,3-4,,Shooting foul by P. George (drawn by D. DeRozan)
8:58.0,,,3-5,1,D. DeRozan makes free throw 1 of 2
8:58.0,,,3-6,1,D. DeRozan makes free throw 2 of 2
8:45.0,M. Ellis misses 3-pt shot from 25 ft,,3-6,,
8:44.0,,,3-6,,Defensive rebound by P. Patterson
8:35.0,,,3-8,2,J. Valanciunas makes 2-pt shot from 15 ft (assist by K. Lowry)
8:22.0,M. Ellis makes 2-pt shot from 6 ft,2,5-8,,
8:14.0,,,5-8,,Shooting foul by I. Mahinmi (drawn by K. Lowry)
8:14.0,,,5-8,,K. Lowry misses free throw 1 of 2
8:14.0,,,5-8,,Offensive rebound by Team
8:14.0,S. Hill enters the game for I. Mahinmi,,5-8,,
8:14.0,,,5-9,1,K. Lowry makes free throw 2 of 2
8:02.0,G. Hill makes 3-pt shot from 23 ft (assist by M. Ellis),3,8-9,,
7:53.0,,,8-9,,D. DeRozan misses 2-pt shot from 12 ft
7:52.0,,,8-9,,Offensive rebound by J. Valanciunas
7:49.0,,,8-11,2,J. Valanciunas makes 2-pt shot from 2 ft
7:39.0,P. George makes 3-pt shot from 25 ft (assist by M. Ellis),3,11-11,,
7:22.0,,,11-13,2,D. DeRozan makes 2-pt shot from 8 ft (assist by K. Lowry)
7:11.0,M. Ellis makes 2-pt shot from 2 ft,2,13-13,,
6:59.0,,,13-16,3,D. DeRozan makes 3-pt shot from 24 ft (assist by P. Patterson)
6:43.0,P. George makes 2-pt shot from 14 ft,2,15-16,,
6:24.0,,,15-18,2,D. DeRozan makes 2-pt shot from 21 ft (assist by P. Patterson)
6:18.0,Indiana full timeout,,15-18,,
6:09.0,Shooting foul by J. Valanciunas (drawn by P. George),,15-18,,
6:09.0,P. George makes free throw 1 of 2,1,16-18,,
6:09.0,P. George makes free throw 2 of 2,1,17-18,,
5:49.0,,,17-20,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan)
5:27.0,M. Turner makes 2-pt shot from 6 ft (assist by M. Ellis),2,19-20,,
4:59.0,,,19-20,,P. Patterson misses 2-pt shot from 7 ft
4:59.0,Defensive rebound by P. George,,19-20,,
4:50.0,P. George misses 2-pt shot from 7 ft,,19-20,,
4:49.0,,,19-20,,Defensive rebound by J. Valanciunas
4:41.0,,,19-20,,D. DeRozan misses 2-pt shot from 15 ft
4:40.0,Defensive rebound by M. Turner,,19-20,,
4:30.0,M. Turner misses 2-pt shot from 20 ft,,19-20,,
4:29.0,,,19-20,,Defensive rebound by J. Valanciunas
4:18.0,,,19-20,,Turnover by K. Lowry (lost ball; steal by P. George)
4:13.0,P. George makes 2-pt shot at rim,2,21-20,,
3:42.0,,,21-20,,Turnover by K. Lowry (bad pass)
3:26.0,P. George misses 2-pt shot from 16 ft,,21-20,,
3:25.0,,,21-20,,Defensive rebound by D. DeRozan
3:18.0,,,21-20,,D. Carroll misses 3-pt shot from 23 ft
3:18.0,,,21-20,,Offensive rebound by P. Patterson
3:16.0,,,21-20,,P. Patterson misses 2-pt shot from 2 ft
3:15.0,,,21-20,,Offensive rebound by P. Patterson
3:12.0,,,21-22,2,P. Patterson makes 2-pt shot from 2 ft
3:03.0,,,21-22,,Personal block foul by J. Valanciunas
3:03.0,,,21-22,,B. Biyombo enters the game for J. Valanciunas
3:03.0,,,21-22,,C. Joseph enters the game for K. Lowry
2:52.0,M. Ellis misses 2-pt shot from 20 ft,,21-22,,
2:52.0,,,21-22,,Defensive rebound by B. Biyombo
2:37.0,,,21-24,2,C. Joseph makes 2-pt shot from 17 ft
2:20.0,M. Ellis makes 2-pt shot from 2 ft,2,23-24,,
2:14.0,,,23-24,,Toronto full timeout
2:14.0,,,23-24,,N. Powell enters the game for P. Patterson
2:14.0,R. Stuckey enters the game for G. Hill,,23-24,,
2:04.0,,,23-26,2,D. DeRozan makes 2-pt shot from 15 ft (assist by C. Joseph)
1:46.0,M. Ellis misses 2-pt shot from 5 ft,,23-26,,
1:45.0,,,23-26,,Defensive rebound by B. Biyombo
1:36.0,,,23-26,,D. DeRozan misses 2-pt shot from 1 ft (block by M. Turner)
1:34.0,Defensive rebound by S. Hill,,23-26,,
1:30.0,M. Ellis misses 2-pt shot at rim (block by C. Joseph),,23-26,,
1:28.0,,,23-26,,Defensive rebound by D. Carroll
1:18.0,,,23-28,2,C. Joseph makes 2-pt shot from 3 ft
1:02.0,Offensive foul by P. George,,23-28,,
1:02.0,Turnover by P. George (offensive foul),,23-28,,
1:02.0,T. Lawson enters the game for M. Ellis,,23-28,,
1:02.0,C. Miles enters the game for P. George,,23-28,,
0:47.0,,,23-28,,D. DeRozan misses 2-pt shot from 14 ft
0:46.0,Defensive rebound by S. Hill,,23-28,,
0:31.0,C. Miles misses 3-pt shot from 24 ft,,23-28,,
0:30.0,Offensive rebound by T. Lawson,,23-28,,
0:26.0,M. Turner misses 2-pt shot from 8 ft,,23-28,,
0:25.0,,,23-28,,Defensive rebound by N. Powell
0:02.0,,,23-28,,D. DeRozan misses 2-pt shot from 9 ft
0:02.0,Defensive rebound by C. Miles,,23-28,,
0:00.0,C. Miles misses 3-pt shot from 54 ft (block by D. Carroll),,23-28,,
0:00.0,Offensive rebound by Team,,23-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,R. Stuckey makes 2-pt shot from 11 ft,2,25-28,,
11:27.0,,,25-28,,B. Biyombo misses 2-pt shot at rim
11:26.0,Defensive rebound by C. Miles,,25-28,,
11:14.0,P. George makes 3-pt shot from 24 ft,3,28-28,,
10:57.0,,,28-30,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
10:37.0,R. Stuckey makes 3-pt shot from 25 ft (assist by T. Lawson),3,31-30,,
10:10.0,,,31-33,3,N. Powell makes 3-pt shot from 23 ft (assist by C. Joseph)
9:53.0,Shooting foul by B. Biyombo (drawn by T. Lawson),,31-33,,
9:53.0,T. Lawson misses free throw 1 of 2,,31-33,,
9:53.0,Offensive rebound by Team,,31-33,,
9:53.0,T. Lawson makes free throw 2 of 2,1,32-33,,
9:39.0,,,32-33,,K. Lowry misses 2-pt shot from 5 ft
9:38.0,,,32-33,,Offensive rebound by K. Lowry
9:36.0,,,32-33,,K. Lowry misses 2-pt shot from 3 ft
9:36.0,,,32-33,,Offensive rebound by B. Biyombo
9:36.0,,,32-33,,Shooting foul by C. Miles (drawn by B. Biyombo)
9:36.0,,,32-33,,B. Biyombo misses free throw 1 of 2
9:36.0,,,32-33,,Offensive rebound by Team
9:36.0,,,32-33,,B. Biyombo misses free throw 2 of 2
9:35.0,Defensive rebound by C. Miles,,32-33,,
9:19.0,T. Lawson misses 2-pt shot from 2 ft,,32-33,,
9:17.0,,,32-33,,Defensive rebound by B. Biyombo
9:11.0,,,32-36,3,N. Powell makes 3-pt shot from 24 ft (assist by C. Joseph)
