time,San Antonio,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. N. Vucevic (D. Green gains possession),,,,Jump ball: T. Duncan vs. N. Vucevic (D. Green gains possession)
11:44.0,K. Leonard misses 2-pt shot from 9 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by A. Gordon
11:29.0,,,0-0,,N. Vucevic misses 2-pt shot from 10 ft
11:28.0,Defensive rebound by D. Green,,0-0,,
11:11.0,L. Aldridge misses 2-pt shot from 10 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by A. Gordon
10:59.0,,,0-0,,A. Gordon misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by T. Duncan,,0-0,,
10:42.0,Turnover by R. McCallum (step out of bounds),,0-0,,
10:29.0,,,0-0,,Shooting foul by L. Aldridge (drawn by A. Gordon)
10:29.0,,,0-0,,A. Gordon misses free throw 1 of 2
10:29.0,,,0-0,,Offensive rebound by Team
10:29.0,,,0-1,1,A. Gordon makes free throw 2 of 2
10:13.0,R. McCallum misses 2-pt shot from 11 ft,,0-1,,
10:12.0,,,0-1,,Defensive rebound by N. Vucevic
10:05.0,,,0-3,2,N. Vucevic makes 2-pt shot from 17 ft (assist by A. Gordon)
9:49.0,T. Duncan misses 2-pt shot from 7 ft,,0-3,,
9:47.0,Offensive rebound by L. Aldridge,,0-3,,
9:43.0,L. Aldridge misses 2-pt shot from 8 ft,,0-3,,
9:42.0,Offensive rebound by Team,,0-3,,
9:33.0,Shooting foul by V. Oladipo (drawn by D. Green),,0-3,,
9:33.0,D. Green makes free throw 1 of 2,1,1-3,,
9:33.0,D. Green makes free throw 2 of 2,1,2-3,,
9:20.0,,,2-3,,Shooting foul by D. Green (drawn by E. Fournier)
9:20.0,,,2-4,1,E. Fournier makes free throw 1 of 2
9:20.0,,,2-5,1,E. Fournier makes free throw 2 of 2
9:03.0,K. Leonard makes 2-pt shot from 14 ft (assist by T. Duncan),2,4-5,,
8:52.0,,,4-5,,N. Vucevic misses 2-pt shot from 19 ft
8:51.0,Defensive rebound by R. McCallum,,4-5,,
8:42.0,Offensive foul by K. Leonard,,4-5,,
8:42.0,Turnover by K. Leonard (offensive foul),,4-5,,
8:28.0,,,4-5,,E. Fournier misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by Team,,4-5,,
8:07.0,T. Duncan misses 2-pt shot from 10 ft,,4-5,,
8:06.0,,,4-5,,Defensive rebound by V. Oladipo
7:59.0,,,4-5,,E. Payton misses 3-pt shot from 24 ft
7:57.0,,,4-5,,Offensive rebound by E. Payton
7:51.0,,,4-7,2,E. Payton makes 2-pt shot from 7 ft
7:29.0,T. Duncan misses 2-pt shot from 7 ft,,4-7,,
7:27.0,Offensive rebound by K. Leonard,,4-7,,
7:23.0,D. Green misses 3-pt shot from 24 ft,,4-7,,
7:22.0,,,4-7,,Defensive rebound by N. Vucevic
7:14.0,,,4-7,,N. Vucevic misses 2-pt shot from 2 ft (block by T. Duncan)
7:14.0,,,4-7,,Offensive rebound by Team
7:06.0,,,4-9,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
6:53.0,L. Aldridge makes 2-pt shot from 17 ft (assist by R. McCallum),2,6-9,,
6:35.0,,,6-9,,Turnover by V. Oladipo (bad pass)
6:19.0,K. Leonard makes 2-pt shot from 13 ft,2,8-9,,
6:06.0,,,8-11,2,V. Oladipo makes 2-pt shot from 15 ft (assist by E. Payton)
6:06.0,San Antonio full timeout,,8-11,,
6:06.0,P. Mills enters the game for T. Duncan,,8-11,,
6:06.0,B. Diaw enters the game for R. McCallum,,8-11,,
5:54.0,L. Aldridge misses 2-pt shot from 6 ft,,8-11,,
5:53.0,,,8-11,,Defensive rebound by N. Vucevic
5:40.0,,,8-13,2,E. Payton makes 2-pt shot from 9 ft (assist by A. Gordon)
5:14.0,L. Aldridge makes 2-pt shot from 14 ft (assist by P. Mills),2,10-13,,
5:00.0,,,10-13,,E. Fournier misses 2-pt shot from 18 ft
4:59.0,Defensive rebound by K. Leonard,,10-13,,
