time,LA Lakers,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:35.0,J. Clarkson misses 2-pt shot from 21 ft,,0-0,,
12:00.0,Jump ball: R. Hibbert vs. M. Plumlee (J. Clarkson gains possession),,,,Jump ball: R. Hibbert vs. M. Plumlee (J. Clarkson gains possession)
11:33.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:21.0,,,0-2,2,J. Parker makes 2-pt shot from 16 ft (assist by O. Mayo)
10:58.0,K. Bryant misses 3-pt shot from 28 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by M. Plumlee
10:49.0,,,0-4,2,M. Plumlee makes 2-pt shot at rim (assist by K. Middleton)
10:29.0,R. Hibbert misses 2-pt shot from 18 ft,,0-4,,
10:27.0,,,0-4,,Defensive rebound by J. Parker
10:19.0,,,0-6,2,G. Antetokounmpo makes 2-pt shot at rim
10:05.0,R. Hibbert misses 2-pt shot from 3 ft,,0-6,,
10:04.0,,,0-6,,Defensive rebound by M. Plumlee
9:57.0,,,0-6,,J. Parker misses 2-pt shot from 7 ft
9:56.0,Defensive rebound by J. Randle,,0-6,,
9:46.0,,,0-6,,Personal foul by O. Mayo
9:35.0,K. Bryant makes 2-pt shot from 11 ft,2,2-6,,
9:21.0,,,2-6,,G. Antetokounmpo misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by J. Randle,,2-6,,
9:11.0,Turnover by J. Clarkson (lost ball),,2-6,,
8:59.0,,,2-6,,J. Parker misses 2-pt shot from 20 ft
8:58.0,,,2-6,,Offensive rebound by G. Antetokounmpo
8:55.0,,,2-8,2,G. Antetokounmpo makes 2-pt shot at rim
8:42.0,K. Bryant misses 2-pt shot from 11 ft,,2-8,,
8:37.0,,,2-8,,Defensive rebound by O. Mayo
8:35.0,Personal foul by K. Bryant,,2-8,,
8:29.0,,,2-8,,J. Parker misses 2-pt shot from 10 ft
8:27.0,Defensive rebound by K. Bryant,,2-8,,
8:17.0,R. Hibbert makes 2-pt shot at rim (assist by D. Russell),2,4-8,,
8:06.0,,,4-8,,K. Middleton misses 2-pt shot from 20 ft
8:04.0,Defensive rebound by K. Bryant,,4-8,,
7:59.0,J. Clarkson makes 2-pt shot at rim,2,6-8,,
7:44.0,,,6-8,,G. Antetokounmpo misses 2-pt shot from 4 ft
7:43.0,,,6-8,,Offensive rebound by M. Plumlee
7:35.0,,,6-11,3,K. Middleton makes 3-pt shot from 24 ft
7:14.0,D. Russell makes 3-pt shot from 24 ft (assist by J. Clarkson),3,9-11,,
7:00.0,,,9-11,,O. Mayo misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by K. Bryant,,9-11,,
6:41.0,Turnover by J. Clarkson (lost ball; steal by J. Parker),,9-11,,
6:35.0,,,9-13,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
6:25.0,J. Randle misses 2-pt shot from 15 ft,,9-13,,
6:24.0,,,9-13,,Defensive rebound by J. Parker
6:14.0,,,9-15,2,M. Plumlee makes 2-pt shot at rim (assist by J. Parker)
6:00.0,Shooting foul by J. Parker (drawn by K. Bryant),,9-15,,
6:00.0,K. Bryant makes free throw 1 of 2,1,10-15,,
6:00.0,L. Williams enters the game for J. Clarkson,,10-15,,
6:00.0,K. Bryant makes free throw 2 of 2,1,11-15,,
5:48.0,,,11-15,,Turnover by J. Parker (lost ball; steal by K. Bryant)
5:31.0,K. Bryant misses 2-pt shot from 20 ft,,11-15,,
5:30.0,,,11-15,,Defensive rebound by G. Antetokounmpo
5:30.0,Personal foul by K. Bryant,,11-15,,
5:30.0,,,11-15,,Milwaukee full timeout
5:30.0,,,11-15,,G. Monroe enters the game for M. Plumlee
5:30.0,,,11-15,,M. Carter-Williams enters the game for O. Mayo
