time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (H. Barnes gains possession),,,,Jump ball: S. Adams vs. A. Bogut (H. Barnes gains possession)
11:44.0,,,0-0,,S. Curry misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by A. Roberson,,0-0,,
11:24.0,A. Roberson misses 2-pt shot from 6 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by D. Green
11:15.0,,,0-3,3,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut)
10:50.0,Turnover by A. Roberson (step out of bounds),,0-3,,
10:32.0,,,0-3,,K. Thompson misses 2-pt shot from 13 ft
10:32.0,,,0-3,,Offensive rebound by A. Bogut
10:26.0,,,0-3,,K. Thompson misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by K. Durant,,0-3,,
10:20.0,Turnover by K. Durant (lost ball; steal by K. Thompson),,0-3,,
10:11.0,,,0-6,3,D. Green makes 3-pt shot from 26 ft (assist by K. Thompson)
10:09.0,Oklahoma City full timeout,,0-6,,
10:01.0,R. Westbrook makes 2-pt shot from 2 ft,2,2-6,,
9:47.0,,,2-6,,Turnover by A. Bogut (lost ball)
9:29.0,R. Westbrook misses 2-pt shot from 3 ft,,2-6,,
9:29.0,Offensive rebound by Team,,2-6,,
9:19.0,S. Adams misses 2-pt shot from 4 ft,,2-6,,
9:19.0,Offensive rebound by S. Ibaka,,2-6,,
9:04.0,K. Durant misses 2-pt shot from 17 ft,,2-6,,
9:03.0,Offensive rebound by R. Westbrook,,2-6,,
9:01.0,R. Westbrook misses 2-pt shot from 2 ft,,2-6,,
8:59.0,,,2-6,,Defensive rebound by A. Bogut
8:46.0,,,2-6,,Turnover by S. Curry (lost ball; steal by K. Durant)
8:43.0,K. Durant makes 2-pt shot from 2 ft,2,4-6,,
8:43.0,Shooting foul by D. Green (drawn by K. Durant),,4-6,,
8:43.0,K. Durant makes free throw 1 of 1,1,5-6,,
8:25.0,,,5-6,,H. Barnes misses 2-pt shot at rim
8:25.0,Defensive rebound by S. Adams,,5-6,,
8:15.0,K. Durant misses 2-pt shot from 2 ft,,5-6,,
8:15.0,,,5-6,,Defensive rebound by H. Barnes
8:07.0,,,5-9,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
7:47.0,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook),3,8-9,,
7:32.0,Personal foul by A. Roberson,,8-9,,
7:32.0,,,8-9,,A. Iguodala enters the game for H. Barnes
7:30.0,,,8-9,,Offensive foul by A. Bogut
7:30.0,,,8-9,,Turnover by A. Bogut (offensive foul)
7:19.0,Turnover by K. Durant (lost ball; steal by A. Iguodala),,8-9,,
7:07.0,,,8-9,,A. Iguodala misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by K. Durant,,8-9,,
6:57.0,Turnover by K. Durant (lost ball; steal by A. Iguodala),,8-9,,
6:49.0,,,8-9,,Turnover by D. Green (lost ball; steal by S. Ibaka)
6:36.0,Turnover by R. Westbrook (bad pass),,8-9,,
6:36.0,,,8-9,,F. Ezeli enters the game for A. Bogut
6:25.0,,,8-11,2,K. Thompson makes 2-pt shot from 15 ft (assist by S. Curry)
6:11.0,,,8-11,,Personal foul by F. Ezeli
6:01.0,K. Durant makes 2-pt shot from 11 ft (assist by R. Westbrook),2,10-11,,
5:47.0,,,10-13,2,F. Ezeli makes 2-pt shot from 4 ft (assist by S. Curry)
5:35.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,12-13,,
5:21.0,,,12-13,,A. Iguodala misses 2-pt shot from 12 ft
5:21.0,Defensive rebound by S. Adams,,12-13,,
5:21.0,,,12-13,,Personal foul by F. Ezeli
5:21.0,E. Kanter enters the game for S. Adams,,12-13,,
5:21.0,D. Waiters enters the game for K. Durant,,12-13,,
5:21.0,,,12-13,,H. Barnes enters the game for F. Ezeli
5:06.0,E. Kanter misses 2-pt shot from 3 ft,,12-13,,
5:05.0,,,12-13,,Defensive rebound by A. Iguodala
4:55.0,,,12-16,3,S. Curry makes 3-pt shot from 25 ft
4:42.0,Oklahoma City full timeout,,12-16,,
4:37.0,R. Westbrook makes 2-pt shot from 15 ft (assist by E. Kanter),2,14-16,,
4:20.0,,,14-18,2,S. Curry makes 2-pt shot from 6 ft
4:20.0,,,14-18,,Shooting foul by E. Kanter (drawn by S. Curry)
4:20.0,R. Foye enters the game for A. Roberson,,14-18,,
4:20.0,,,14-18,,S. Livingston enters the game for K. Thompson
