time,Portland,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Plumlee (C. McCollum gains possession),,,,Jump ball: T. Duncan vs. M. Plumlee (C. McCollum gains possession)
11:37.0,N. Vonleh misses 2-pt shot from 20 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by D. Green
11:26.0,,,0-0,,T. Duncan misses 2-pt shot from 8 ft
11:25.0,Defensive rebound by M. Plumlee,,0-0,,
11:17.0,D. Lillard misses 3-pt shot from 25 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by T. Duncan
11:04.0,,,0-0,,Shooting foul by M. Plumlee (drawn by L. Aldridge)
11:04.0,,,0-1,1,L. Aldridge makes free throw 1 of 2
11:04.0,,,0-1,,L. Aldridge misses free throw 2 of 2
11:03.0,Defensive rebound by A. Aminu,,0-1,,
10:46.0,C. McCollum misses 2-pt shot from 17 ft,,0-1,,
10:45.0,Offensive rebound by A. Aminu,,0-1,,
10:41.0,A. Aminu makes 3-pt shot from 23 ft,3,3-1,,
10:25.0,,,3-3,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
10:10.0,N. Vonleh makes 2-pt shot from 11 ft (assist by A. Aminu),2,5-3,,
9:56.0,,,5-3,,L. Aldridge misses 2-pt shot from 20 ft
9:55.0,Defensive rebound by N. Vonleh,,5-3,,
9:44.0,M. Plumlee misses 2-pt shot from 2 ft (block by T. Duncan),,5-3,,
9:42.0,,,5-3,,Defensive rebound by T. Duncan
9:26.0,,,5-5,2,T. Parker makes 2-pt shot from 1 ft
9:08.0,M. Plumlee misses 2-pt shot from 8 ft (block by D. Green),,5-5,,
9:07.0,Offensive rebound by M. Plumlee,,5-5,,
9:01.0,D. Lillard makes 2-pt shot from 7 ft (assist by M. Plumlee),2,7-5,,
8:43.0,,,7-7,2,T. Parker makes 2-pt shot from 2 ft (assist by L. Aldridge)
8:27.0,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard),3,10-7,,
8:09.0,,,10-7,,T. Parker misses 2-pt shot from 15 ft
8:08.0,Defensive rebound by N. Vonleh,,10-7,,
7:56.0,N. Vonleh misses 2-pt shot from 18 ft,,10-7,,
7:55.0,,,10-7,,Defensive rebound by L. Aldridge
7:43.0,,,10-9,2,T. Duncan makes 2-pt shot from 9 ft
7:21.0,C. McCollum misses 2-pt shot from 13 ft,,10-9,,
7:20.0,,,10-9,,Defensive rebound by L. Aldridge
6:59.0,,,10-11,2,K. Leonard makes 2-pt shot from 2 ft (assist by T. Parker)
6:40.0,C. McCollum makes 2-pt shot at rim (assist by M. Plumlee),2,12-11,,
6:14.0,,,12-13,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
5:49.0,D. Lillard misses 2-pt shot from 1 ft,,12-13,,
5:48.0,,,12-13,,Defensive rebound by L. Aldridge
5:40.0,,,12-15,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
5:40.0,Portland full timeout,,12-15,,
5:40.0,A. Crabbe enters the game for C. McCollum,,12-15,,
5:15.0,A. Aminu misses 2-pt shot from 18 ft,,12-15,,
5:14.0,Offensive rebound by N. Vonleh,,12-15,,
5:14.0,N. Vonleh makes 2-pt shot at rim,2,14-15,,
4:52.0,,,14-15,,Shooting foul by A. Crabbe (drawn by D. Green)
4:52.0,,,14-16,1,D. Green makes free throw 1 of 2
4:52.0,,,14-16,,B. Diaw enters the game for T. Duncan
4:52.0,,,14-16,,P. Mills enters the game for T. Parker
4:52.0,,,14-16,,M. Ginobili enters the game for K. Leonard
4:52.0,E. Davis enters the game for M. Plumlee,,14-16,,
4:52.0,G. Henderson enters the game for A. Aminu,,14-16,,
