time,Philadelphia,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. N. Noel (R. Rondo gains possession),,,,Jump ball: D. Cousins vs. N. Noel (R. Rondo gains possession)
11:45.0,,,0-0,,Turnover by D. Cousins (bad pass; steal by I. Smith)
11:38.0,J. Grant makes 2-pt shot from 1 ft (assist by I. Smith),2,2-0,,
11:27.0,,,2-0,,D. Cousins misses 2-pt shot from 2 ft
11:26.0,,,2-0,,Offensive rebound by D. Cousins
11:26.0,,,2-2,2,D. Cousins makes 2-pt shot from 2 ft
11:03.0,I. Smith makes 2-pt shot from 16 ft,2,4-2,,
10:45.0,,,4-4,2,D. Cousins makes 2-pt shot at rim (assist by B. McLemore)
10:35.0,I. Canaan misses 3-pt shot from 23 ft,,4-4,,
10:34.0,,,4-4,,Defensive rebound by R. Gay
10:29.0,,,4-4,,Turnover by O. Casspi (lost ball; steal by I. Canaan)
10:18.0,J. Sampson misses 3-pt shot from 22 ft,,4-4,,
10:17.0,Offensive rebound by J. Grant,,4-4,,
10:13.0,I. Smith makes 2-pt shot from 1 ft,2,6-4,,
10:02.0,,,6-4,,R. Gay misses 2-pt shot from 2 ft (block by J. Sampson)
10:01.0,Defensive rebound by I. Smith,,6-4,,
9:56.0,I. Smith misses 2-pt shot from 7 ft,,6-4,,
9:55.0,Offensive rebound by J. Sampson,,6-4,,
9:55.0,J. Sampson misses 2-pt shot from 3 ft,,6-4,,
9:55.0,,,6-4,,Defensive rebound by B. McLemore
9:49.0,,,6-4,,O. Casspi misses 2-pt shot from 2 ft
9:48.0,,,6-4,,Offensive rebound by O. Casspi
9:42.0,,,6-7,3,B. McLemore makes 3-pt shot from 25 ft
9:20.0,I. Canaan misses 3-pt shot from 25 ft,,6-7,,
9:19.0,,,6-7,,Defensive rebound by R. Gay
9:07.0,Violation by N. Noel (kicked ball),,6-7,,
8:59.0,,,6-9,2,D. Cousins makes 2-pt shot from 4 ft (assist by R. Rondo)
8:51.0,Turnover by J. Sampson (lost ball),,6-9,,
8:41.0,,,6-9,,Shooting foul by J. Sampson (drawn by R. Rondo)
8:41.0,,,6-9,,R. Rondo misses free throw 1 of 2
8:41.0,,,6-9,,Offensive rebound by Team
8:41.0,,,6-9,,R. Rondo misses free throw 2 of 2
8:40.0,Defensive rebound by I. Canaan,,6-9,,
8:35.0,Shooting foul by B. McLemore (drawn by I. Smith),,6-9,,
8:35.0,I. Smith makes free throw 1 of 2,1,7-9,,
8:35.0,I. Smith misses free throw 2 of 2,,7-9,,
8:34.0,,,7-9,,Defensive rebound by R. Gay
8:20.0,,,7-11,2,D. Cousins makes 2-pt shot from 20 ft (assist by R. Rondo)
8:11.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,9-11,,
8:11.0,Shooting foul by R. Gay (drawn by N. Noel),,9-11,,
8:11.0,N. Noel misses free throw 1 of 1,,9-11,,
8:09.0,,,9-11,,Defensive rebound by O. Casspi
7:46.0,,,9-11,,R. Rondo misses 3-pt shot from 24 ft (block by I. Smith)
7:44.0,Defensive rebound by J. Sampson,,9-11,,
7:40.0,J. Sampson misses 2-pt shot from 3 ft,,9-11,,
7:39.0,Offensive rebound by J. Grant,,9-11,,
7:39.0,J. Grant misses 2-pt shot from 1 ft,,9-11,,
7:38.0,Offensive rebound by J. Sampson,,9-11,,
7:36.0,J. Sampson misses 2-pt shot from 7 ft,,9-11,,
7:35.0,,,9-11,,Defensive rebound by D. Cousins
7:20.0,,,9-11,,B. McLemore misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by N. Noel,,9-11,,
7:15.0,,,9-11,,Personal foul by B. McLemore (drawn by I. Smith)
6:58.0,Turnover by J. Sampson (lost ball; steal by R. Rondo),,9-11,,
6:53.0,,,9-11,,Turnover by B. McLemore (lost ball)
6:38.0,N. Noel misses 2-pt shot from 6 ft,,9-11,,
6:36.0,Offensive rebound by J. Sampson,,9-11,,
6:36.0,J. Sampson makes 2-pt shot from 2 ft,2,11-11,,
6:32.0,,,11-11,,Offensive charge foul by R. Gay
6:32.0,,,11-11,,Turnover by R. Gay (offensive foul)
6:32.0,Philadelphia full timeout,,11-11,,
6:32.0,N. Stauskas enters the game for J. Sampson,,11-11,,
6:21.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,13-11,,
6:02.0,,,13-14,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo)
5:44.0,N. Noel makes 2-pt shot at rim (assist by N. Stauskas),2,15-14,,
5:32.0,,,15-16,2,R. Rondo makes 2-pt shot from 1 ft
5:20.0,N. Stauskas misses 3-pt shot from 23 ft,,15-16,,
5:19.0,,,15-16,,Defensive rebound by D. Cousins
5:17.0,,,15-16,,Turnover by D. Cousins (bad pass)
5:17.0,,,15-16,,D. Collison enters the game for O. Casspi
5:17.0,H. Thompson enters the game for I. Canaan,,15-16,,
5:17.0,R. Covington enters the game for J. Grant,,15-16,,
5:17.0,J. Okafor enters the game for N. Noel,,15-16,,
5:07.0,H. Thompson makes 2-pt shot from 2 ft (assist by R. Covington),2,17-16,,
5:07.0,Shooting foul by D. Cousins (drawn by H. Thompson),,17-16,,
5:07.0,,,17-16,,M. Belinelli enters the game for B. McLemore
5:07.0,H. Thompson makes free throw 1 of 1,1,18-16,,
4:55.0,,,18-18,2,M. Belinelli makes 2-pt shot from 19 ft (assist by R. Rondo)
