time,Charlotte,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Jefferson (D. Rose gains possession),,,,Jump ball: P. Gasol vs. A. Jefferson (D. Rose gains possession)
11:37.0,,,0-0,,D. Rose misses 2-pt shot from 18 ft
11:35.0,Defensive rebound by N. Batum,,0-0,,
11:26.0,K. Walker misses 3-pt shot from 23 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by D. McDermott
11:08.0,,,0-0,,Turnover by P. Gasol (bad pass; steal by A. Jefferson)
11:00.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,3-0,,
10:46.0,,,3-2,2,P. Gasol makes 2-pt shot from 16 ft (assist by J. Butler)
10:20.0,A. Jefferson makes 2-pt shot from 12 ft,2,5-2,,
10:08.0,,,5-2,,Turnover by N. Mirotic (lost ball; steal by M. Williams)
9:55.0,M. Williams misses 3-pt shot from 22 ft,,5-2,,
9:54.0,,,5-2,,Defensive rebound by P. Gasol
9:45.0,,,5-4,2,P. Gasol makes 2-pt shot from 20 ft (assist by D. Rose)
9:33.0,M. Williams misses 3-pt shot from 26 ft,,5-4,,
9:30.0,,,5-4,,Defensive rebound by P. Gasol
9:26.0,,,5-6,2,D. Rose makes 2-pt shot from 8 ft
9:08.0,N. Batum misses 2-pt shot from 9 ft,,5-6,,
9:07.0,,,5-6,,Defensive rebound by P. Gasol
8:56.0,,,5-6,,N. Mirotic misses 2-pt shot from 6 ft
8:55.0,Defensive rebound by N. Batum,,5-6,,
8:50.0,N. Batum misses 2-pt shot from 2 ft,,5-6,,
8:49.0,,,5-6,,Defensive rebound by P. Gasol
8:41.0,,,5-6,,D. Rose misses 2-pt shot from 5 ft
8:38.0,Defensive rebound by K. Walker,,5-6,,
8:31.0,K. Walker makes 2-pt shot from 15 ft,2,7-6,,
8:17.0,,,7-8,2,D. McDermott makes 2-pt shot from 17 ft (assist by P. Gasol)
8:01.0,A. Jefferson misses 2-pt shot from 2 ft (block by P. Gasol),,7-8,,
8:00.0,,,7-8,,Defensive rebound by P. Gasol
7:49.0,,,7-8,,J. Butler misses 2-pt shot from 17 ft
7:47.0,Defensive rebound by K. Walker,,7-8,,
7:37.0,K. Walker makes 2-pt shot from 10 ft,2,9-8,,
7:22.0,,,9-8,,P. Gasol misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by K. Walker,,9-8,,
7:10.0,,,9-8,,Def 3 sec tech foul by P. Gasol
7:10.0,N. Batum makes technical free throw,1,10-8,,
6:56.0,N. Batum makes 3-pt shot from 25 ft,3,13-8,,
6:36.0,,,13-10,2,P. Gasol makes 2-pt shot from 3 ft (assist by N. Mirotic)
6:36.0,,,13-10,,Shooting foul by P. Hairston (drawn by P. Gasol)
6:36.0,,,13-11,1,P. Gasol makes free throw 1 of 1
6:22.0,N. Batum makes 2-pt shot from 19 ft (assist by K. Walker),2,15-11,,
6:12.0,,,15-13,2,D. McDermott makes 2-pt shot from 1 ft (assist by N. Mirotic)
6:12.0,,,15-13,,Shooting foul by P. Hairston (drawn by D. McDermott)
6:12.0,F. Kaminsky enters the game for P. Hairston,,15-13,,
6:12.0,J. Lamb enters the game for M. Williams,,15-13,,
6:12.0,,,15-14,1,D. McDermott makes free throw 1 of 1
5:59.0,K. Walker misses 2-pt shot from 13 ft,,15-14,,
5:58.0,,,15-14,,Defensive rebound by P. Gasol
5:45.0,,,15-14,,Turnover by J. Butler (bad pass; steal by N. Batum)
5:34.0,F. Kaminsky makes 2-pt shot from 4 ft,2,17-14,,
5:22.0,,,17-14,,D. McDermott misses 2-pt shot from 19 ft
5:21.0,Defensive rebound by A. Jefferson,,17-14,,
5:08.0,F. Kaminsky misses 2-pt shot from 10 ft,,17-14,,
5:07.0,,,17-14,,Defensive rebound by D. McDermott
5:01.0,,,17-14,,D. Rose misses 2-pt shot from 19 ft
5:00.0,Defensive rebound by J. Lamb,,17-14,,
4:49.0,A. Jefferson makes 2-pt shot from 15 ft (assist by K. Walker),2,19-14,,
4:47.0,,,19-14,,Chicago full timeout
4:47.0,,,19-14,,T. Snell enters the game for D. McDermott
4:47.0,,,19-14,,K. Hinrich enters the game for N. Mirotic
4:47.0,,,19-14,,J. Noah enters the game for D. Rose
4:36.0,,,19-14,,J. Butler misses 2-pt shot from 4 ft
4:34.0,,,19-14,,Offensive rebound by J. Noah
4:34.0,,,19-16,2,J. Noah makes 2-pt shot from 1 ft
4:18.0,A. Jefferson misses 2-pt shot from 18 ft,,19-16,,
4:17.0,,,19-16,,Defensive rebound by J. Butler
4:07.0,,,19-18,2,J. Butler makes 2-pt shot at rim (assist by P. Gasol)
3:55.0,S. Hawes enters the game for A. Jefferson,,19-18,,
3:47.0,K. Walker makes 2-pt shot from 20 ft,2,21-18,,
3:31.0,,,21-18,,T. Snell misses 2-pt shot from 21 ft
3:30.0,Defensive rebound by F. Kaminsky,,21-18,,
3:19.0,F. Kaminsky misses 3-pt shot from 25 ft,,21-18,,
3:18.0,,,21-18,,Defensive rebound by P. Gasol
3:07.0,,,21-20,2,J. Butler makes 2-pt shot from 15 ft (assist by J. Noah)
2:51.0,J. Lamb misses 3-pt shot from 24 ft,,21-20,,
2:50.0,,,21-20,,Defensive rebound by P. Gasol
2:45.0,,,21-20,,J. Butler misses 2-pt shot from 12 ft
2:43.0,Defensive rebound by N. Batum,,21-20,,
2:39.0,,,21-20,,Personal foul by T. Snell (drawn by N. Batum)
2:39.0,Charlotte full timeout,,21-20,,
2:39.0,,,21-20,,T. Gibson enters the game for P. Gasol
2:39.0,J. Lin enters the game for N. Batum,,21-20,,
2:27.0,F. Kaminsky misses 3-pt shot from 24 ft,,21-20,,
2:27.0,,,21-20,,Defensive rebound by Team
2:18.0,Personal foul by F. Kaminsky (drawn by T. Gibson),,21-20,,
2:10.0,,,21-20,,T. Snell misses 3-pt shot from 24 ft
2:09.0,Defensive rebound by S. Hawes,,21-20,,
1:55.0,K. Walker misses 2-pt shot from 16 ft,,21-20,,
1:54.0,,,21-20,,Defensive rebound by T. Snell
1:43.0,,,21-20,,T. Snell misses 2-pt shot from 18 ft
1:40.0,,,21-20,,Offensive rebound by J. Noah
1:34.0,,,21-20,,T. Gibson misses 2-pt shot from 2 ft (block by K. Walker)
1:34.0,,,21-20,,Offensive rebound by Team
1:20.0,,,21-20,,T. Gibson misses 2-pt shot from 16 ft
1:18.0,,,21-20,,Offensive rebound by J. Noah
1:18.0,,,21-20,,Shooting foul by S. Hawes (drawn by J. Noah)
1:18.0,,,21-20,,J. Noah misses free throw 1 of 2
1:18.0,,,21-20,,Offensive rebound by Team
1:18.0,,,21-21,1,J. Noah makes free throw 2 of 2
1:11.0,Turnover by K. Walker (lost ball),,21-21,,
1:00.0,,,21-21,,Turnover by J. Butler (lost ball; steal by K. Walker)
0:55.0,K. Walker misses 2-pt shot at rim (block by T. Snell),,21-21,,
0:53.0,,,21-21,,Defensive rebound by J. Butler
0:50.0,,,21-23,2,K. Hinrich makes 2-pt shot from 19 ft (assist by J. Butler)
0:38.0,,,21-23,,Personal foul by K. Hinrich (drawn by K. Walker)
0:38.0,,,21-23,,E. Moore enters the game for J. Butler
0:31.0,J. Lin misses 2-pt shot from 21 ft,,21-23,,
0:30.0,,,21-23,,Defensive rebound by J. Noah
0:18.0,,,21-23,,K. Hinrich misses 2-pt shot from 20 ft
0:15.0,Defensive rebound by J. Lin,,21-23,,
0:01.0,K. Walker makes 2-pt shot from 11 ft,2,23-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,S. Hawes misses 2-pt shot from 15 ft,,23-23,,
11:35.0,,,23-23,,Defensive rebound by T. Gibson
11:28.0,,,23-23,,J. Noah misses 2-pt shot from 6 ft
11:26.0,,,23-23,,Offensive rebound by J. Noah
11:21.0,,,23-26,3,E. Moore makes 3-pt shot from 22 ft (assist by J. Noah)
11:07.0,J. Lin misses 2-pt shot at rim (block by D. Rose),,23-26,,
11:07.0,Offensive rebound by Team,,23-26,,
10:59.0,Shooting foul by E. Moore (drawn by J. Lamb),,23-26,,
10:59.0,J. Lamb makes free throw 1 of 2,1,24-26,,
10:59.0,J. Lamb misses free throw 2 of 2,,24-26,,
10:56.0,,,24-26,,Defensive rebound by J. Noah
10:42.0,,,24-28,2,T. Gibson makes 2-pt shot from 16 ft (assist by D. Rose)
10:20.0,S. Hawes makes 2-pt shot at rim (assist by M. Williams),2,26-28,,
10:07.0,,,26-28,,Turnover by T. Snell (lost ball; steal by J. Lin)
10:04.0,Shooting foul by J. Noah (drawn by J. Lamb),,26-28,,
10:04.0,J. Lamb makes free throw 1 of 2,1,27-28,,
10:04.0,,,27-28,,D. McDermott enters the game for T. Snell
10:04.0,J. Lamb makes free throw 2 of 2,1,28-28,,
9:49.0,P. Hairston enters the game for F. Kaminsky,,28-28,,
9:44.0,,,28-28,,D. McDermott misses 2-pt shot from 16 ft
9:42.0,Defensive rebound by M. Williams,,28-28,,
9:34.0,J. Lamb makes 2-pt shot from 1 ft (assist by S. Hawes),2,30-28,,
9:21.0,,,30-31,3,D. McDermott makes 3-pt shot from 25 ft (assist by D. Rose)
9:03.0,J. Lin misses 2-pt shot from 8 ft,,30-31,,
9:02.0,Offensive rebound by S. Hawes,,30-31,,
9:02.0,S. Hawes misses 2-pt shot from 1 ft,,30-31,,
9:00.0,,,30-31,,Defensive rebound by J. Noah
8:52.0,,,30-31,,T. Gibson misses 2-pt shot from 19 ft
8:50.0,Defensive rebound by P. Hairston,,30-31,,
8:40.0,S. Hawes misses 2-pt shot from 13 ft,,30-31,,
8:39.0,,,30-31,,Defensive rebound by J. Noah
8:34.0,,,30-31,,Shooting foul by J. Lin (drawn by D. Rose)
8:34.0,,,30-31,,Chicago full timeout
8:34.0,,,30-31,,N. Mirotic enters the game for J. Noah
8:34.0,N. Batum enters the game for P. Hairston,,30-31,,
8:34.0,,,30-32,1,D. Rose makes free throw 1 of 2
8:34.0,,,30-33,1,D. Rose makes free throw 2 of 2
8:21.0,Turnover by N. Batum (traveling),,30-33,,
8:11.0,,,30-35,2,T. Gibson makes 2-pt shot at rim (assist by D. Rose)
7:58.0,,,30-35,,Personal foul by D. Rose (drawn by J. Lin)
7:58.0,,,30-35,,J. Butler enters the game for D. McDermott
7:44.0,Turnover by Team (shot clock),,30-35,,
7:31.0,,,30-35,,J. Butler misses 3-pt shot from 24 ft
7:28.0,Defensive rebound by J. Lamb,,30-35,,
7:24.0,N. Batum misses 2-pt shot from 2 ft,,30-35,,
7:23.0,,,30-35,,Defensive rebound by N. Mirotic
7:20.0,,,30-35,,Shooting foul by M. Williams (drawn by J. Butler)
