time,LA Lakers,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. R. Hibbert (K. Lowry gains possession),,,,Jump ball: B. Biyombo vs. R. Hibbert (K. Lowry gains possession)
11:42.0,,,0-3,3,T. Ross makes 3-pt shot from 23 ft (assist by L. Scola)
11:21.0,J. Clarkson misses 3-pt shot from 26 ft,,0-3,,
11:21.0,,,0-3,,Defensive rebound by T. Ross
11:04.0,,,0-3,,L. Scola misses 2-pt shot from 4 ft
11:03.0,Defensive rebound by L. Nance,,0-3,,
10:51.0,R. Hibbert makes 2-pt shot from 5 ft,2,2-3,,
10:33.0,,,2-3,,T. Ross misses 2-pt shot from 15 ft
10:33.0,Defensive rebound by K. Bryant,,2-3,,
10:22.0,L. Williams makes 3-pt shot from 25 ft (assist by K. Bryant),3,5-3,,
10:01.0,,,5-3,,Turnover by D. DeRozan (bad pass; steal by K. Bryant)
9:54.0,J. Clarkson makes 2-pt shot from 14 ft (assist by K. Bryant),2,7-3,,
9:29.0,,,7-3,,B. Biyombo misses 2-pt shot from 9 ft
9:28.0,Defensive rebound by K. Bryant,,7-3,,
9:18.0,K. Bryant makes 2-pt shot from 14 ft (assist by R. Hibbert),2,9-3,,
8:59.0,,,9-3,,T. Ross misses 2-pt shot from 18 ft (block by R. Hibbert)
8:58.0,,,9-3,,Offensive rebound by T. Ross
8:54.0,,,9-5,2,D. DeRozan makes 2-pt shot from 9 ft
8:28.0,R. Hibbert makes 2-pt shot from 15 ft,2,11-5,,
8:18.0,,,11-8,3,K. Lowry makes 3-pt shot from 26 ft
7:51.0,L. Williams misses 3-pt shot from 26 ft,,11-8,,
7:50.0,,,11-8,,Defensive rebound by D. DeRozan
7:38.0,,,11-8,,T. Ross misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by K. Bryant,,11-8,,
7:27.0,,,11-8,,Violation by D. DeRozan (def goaltending)
7:27.0,J. Clarkson makes 2-pt shot at rim (assist by K. Bryant),2,13-8,,
7:15.0,,,13-8,,K. Lowry misses 2-pt shot from 20 ft
7:15.0,Defensive rebound by K. Bryant,,13-8,,
7:05.0,K. Bryant makes 2-pt shot from 11 ft,2,15-8,,
6:55.0,,,15-8,,Toronto full timeout
6:47.0,,,15-8,,Shooting foul by K. Bryant (drawn by B. Biyombo)
6:47.0,,,15-8,,B. Biyombo misses free throw 1 of 2
6:47.0,,,15-8,,Offensive rebound by Team
6:47.0,,,15-9,1,B. Biyombo makes free throw 2 of 2
6:35.0,Turnover by L. Williams (traveling),,15-9,,
6:25.0,,,15-9,,T. Ross misses 3-pt shot from 27 ft
6:24.0,Defensive rebound by K. Bryant,,15-9,,
6:16.0,J. Clarkson misses 2-pt shot from 4 ft,,15-9,,
6:15.0,,,15-9,,Defensive rebound by B. Biyombo
6:06.0,,,15-9,,D. DeRozan misses 2-pt shot from 11 ft
6:05.0,,,15-9,,Offensive rebound by B. Biyombo
6:00.0,,,15-9,,K. Lowry misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by L. Williams,,15-9,,
5:47.0,L. Nance misses 2-pt shot from 17 ft,,15-9,,
5:46.0,,,15-9,,Defensive rebound by D. DeRozan
5:34.0,,,15-12,3,T. Ross makes 3-pt shot from 25 ft (assist by L. Scola)
5:15.0,K. Bryant misses 2-pt shot from 16 ft,,15-12,,
5:15.0,,,15-12,,Defensive rebound by L. Scola
5:05.0,,,15-12,,L. Scola misses 2-pt shot from 8 ft
5:04.0,,,15-12,,Offensive rebound by B. Biyombo
5:04.0,,,15-12,,Shooting foul by R. Hibbert (drawn by B. Biyombo)
5:04.0,,,15-12,,B. Biyombo misses free throw 1 of 2
5:04.0,,,15-12,,Offensive rebound by Team
5:04.0,,,15-12,,P. Patterson enters the game for L. Scola
5:04.0,D. Russell enters the game for L. Williams,,15-12,,
5:04.0,,,15-12,,B. Biyombo misses free throw 2 of 2
5:03.0,Defensive rebound by R. Hibbert,,15-12,,
4:51.0,Turnover by K. Bryant (bad pass; steal by T. Ross),,15-12,,
4:46.0,,,15-14,2,T. Ross makes 2-pt shot at rim
4:29.0,,,15-14,,Def 3 sec tech foul by P. Patterson
4:29.0,K. Bryant misses technical free throw,,15-14,,
4:29.0,Offensive rebound by Team,,15-14,,
4:14.0,K. Bryant misses 2-pt shot from 12 ft,,15-14,,
4:14.0,,,15-14,,Defensive rebound by B. Biyombo
4:04.0,,,15-16,2,B. Biyombo makes 2-pt shot from 2 ft (assist by K. Lowry)
3:52.0,M. World Peace enters the game for K. Bryant,,15-16,,
3:52.0,J. Randle enters the game for L. Nance,,15-16,,
3:45.0,R. Hibbert misses 2-pt shot from 3 ft,,15-16,,
3:45.0,Offensive rebound by J. Randle,,15-16,,
3:44.0,J. Randle makes 2-pt shot from 1 ft,2,17-16,,
3:44.0,Shooting foul by T. Ross (drawn by J. Randle),,17-16,,
3:44.0,J. Randle makes free throw 1 of 1,1,18-16,,
3:31.0,,,18-18,2,B. Biyombo makes 2-pt shot at rim (assist by D. DeRozan)
3:21.0,,,18-18,,Personal foul by B. Biyombo (drawn by D. Russell)
3:21.0,M. Huertas enters the game for J. Clarkson,,18-18,,
3:09.0,J. Randle misses 2-pt shot from 6 ft,,18-18,,
3:09.0,,,18-18,,Defensive rebound by B. Biyombo
2:57.0,,,18-18,,P. Patterson misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by M. World Peace,,18-18,,
2:52.0,,,18-18,,Violation by T. Ross (kicked ball)
2:52.0,LA Lakers full timeout,,18-18,,
2:52.0,R. Sacre enters the game for R. Hibbert,,18-18,,
2:52.0,,,18-18,,J. Johnson enters the game for B. Biyombo
2:52.0,,,18-18,,C. Joseph enters the game for D. DeRozan
2:37.0,R. Sacre misses 2-pt shot from 9 ft,,18-18,,
2:36.0,,,18-18,,Defensive rebound by K. Lowry
2:29.0,,,18-20,2,J. Johnson makes 2-pt shot at rim (assist by K. Lowry)
2:11.0,M. Huertas misses 2-pt shot from 9 ft,,18-20,,
2:10.0,,,18-20,,Defensive rebound by Team
1:57.0,,,18-23,3,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry)
1:41.0,D. Russell misses 2-pt shot from 19 ft,,18-23,,
1:41.0,,,18-23,,Defensive rebound by K. Lowry
1:17.0,,,18-23,,C. Joseph misses 3-pt shot from 37 ft
1:17.0,Defensive rebound by J. Randle,,18-23,,
1:10.0,Shooting foul by K. Lowry (drawn by M. Huertas),,18-23,,
1:10.0,M. Huertas makes free throw 1 of 2,1,19-23,,
1:10.0,M. Huertas makes free throw 2 of 2,1,20-23,,
0:58.0,,,20-23,,K. Lowry misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by M. Huertas,,20-23,,
0:34.0,J. Randle makes 2-pt shot from 9 ft,2,22-23,,
0:17.0,,,22-23,,Shooting foul by M. World Peace (drawn by T. Ross)
0:17.0,,,22-24,1,T. Ross makes free throw 1 of 2
0:17.0,,,22-25,1,T. Ross makes free throw 2 of 2
0:00.0,D. Russell misses 3-pt shot from 22 ft,,22-25,,
0:00.0,Offensive rebound by Team,,22-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,D. Russell misses 2-pt shot from 19 ft,,22-25,,
11:38.0,,,22-25,,Defensive rebound by N. Powell
11:25.0,,,22-25,,P. Patterson misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by D. Russell,,22-25,,
11:15.0,J. Randle misses 2-pt shot from 2 ft,,22-25,,
11:14.0,Offensive rebound by R. Sacre,,22-25,,
11:14.0,Shooting foul by N. Powell (drawn by R. Sacre),,22-25,,
11:14.0,R. Sacre makes free throw 1 of 2,1,23-25,,
11:14.0,K. Bryant enters the game for M. World Peace,,23-25,,
11:14.0,R. Sacre makes free throw 2 of 2,1,24-25,,
11:04.0,,,24-27,2,D. DeRozan makes 2-pt shot from 12 ft
10:46.0,R. Sacre misses 2-pt shot from 4 ft,,24-27,,
10:46.0,Offensive rebound by J. Randle,,24-27,,
10:43.0,J. Randle misses 2-pt shot from 1 ft,,24-27,,
10:43.0,,,24-27,,Defensive rebound by D. DeRozan
10:37.0,,,24-27,,N. Powell misses 3-pt shot from 23 ft
10:37.0,Defensive rebound by J. Randle,,24-27,,
10:23.0,J. Randle makes 2-pt shot at rim,2,26-27,,
10:04.0,,,26-27,,Turnover by N. Powell (traveling)
9:51.0,M. Huertas misses 2-pt shot from 17 ft,,26-27,,
9:47.0,,,26-27,,Defensive rebound by Team
9:32.0,,,26-27,,Shooting foul by R. Sacre (drawn by C. Joseph)
9:32.0,,,26-28,1,C. Joseph makes free throw 1 of 2
9:32.0,L. Williams enters the game for M. Huertas,,26-28,,
9:32.0,,,26-28,,C. Joseph misses free throw 2 of 2
9:31.0,Defensive rebound by K. Bryant,,26-28,,
9:22.0,Turnover by K. Bryant (bad pass; steal by C. Joseph),,26-28,,
9:16.0,,,26-30,2,D. DeRozan makes 2-pt shot from 3 ft (assist by P. Patterson)
9:05.0,Turnover by D. Russell (bad pass; steal by J. Johnson),,26-30,,
9:02.0,,,26-30,,Shooting foul by L. Williams (drawn by C. Joseph)
9:02.0,,,26-31,1,C. Joseph makes free throw 1 of 2
9:02.0,,,26-32,1,C. Joseph makes free throw 2 of 2
8:46.0,Shooting foul by J. Johnson (drawn by R. Sacre),,26-32,,
8:46.0,Official timeout,,26-32,,
8:46.0,R. Sacre misses free throw 1 of 2,,26-32,,
8:46.0,Offensive rebound by Team,,26-32,,
8:46.0,R. Sacre makes free throw 2 of 2,1,27-32,,
8:29.0,,,27-32,,P. Patterson misses 3-pt shot from 26 ft
8:29.0,Defensive rebound by D. Russell,,27-32,,
8:15.0,K. Bryant misses 2-pt shot from 17 ft,,27-32,,
8:14.0,,,27-32,,Defensive rebound by N. Powell
7:55.0,,,27-34,2,C. Joseph makes 2-pt shot from 17 ft
7:30.0,J. Randle misses 2-pt shot from 1 ft,,27-34,,
7:29.0,Offensive rebound by R. Sacre,,27-34,,
7:29.0,R. Sacre misses 2-pt shot from 1 ft,,27-34,,
7:29.0,Offensive rebound by J. Randle,,27-34,,
7:29.0,J. Randle makes 2-pt shot from 1 ft,2,29-34,,
7:29.0,Shooting foul by J. Johnson (drawn by J. Randle),,29-34,,
7:29.0,J. Clarkson enters the game for D. Russell,,29-34,,
7:29.0,L. Nance enters the game for R. Sacre,,29-34,,
7:29.0,,,29-34,,K. Lowry enters the game for J. Johnson
7:29.0,,,29-34,,L. Scola enters the game for N. Powell
7:29.0,J. Randle makes free throw 1 of 1,1,30-34,,
7:12.0,Personal foul by J. Randle (drawn by C. Joseph),,30-34,,
7:12.0,M. World Peace enters the game for K. Bryant,,30-34,,
7:02.0,,,30-34,,Turnover by L. Scola (bad pass)
6:51.0,L. Williams misses 2-pt shot from 3 ft,,30-34,,
6:51.0,,,30-34,,Defensive rebound by P. Patterson
6:31.0,,,30-37,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
6:14.0,Turnover by L. Nance (lost ball; steal by L. Scola),,30-37,,
6:05.0,,,30-37,,D. DeRozan misses 2-pt shot from 22 ft
6:04.0,Defensive rebound by L. Nance,,30-37,,
5:54.0,L. Williams makes 2-pt shot from 7 ft,2,32-37,,
5:45.0,,,32-37,,Toronto full timeout
5:45.0,,,32-37,,B. Biyombo enters the game for P. Patterson
5:45.0,,,32-37,,T. Ross enters the game for C. Joseph
5:45.0,R. Hibbert enters the game for J. Randle,,32-37,,
5:33.0,,,32-40,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
5:10.0,R. Hibbert misses 2-pt shot from 18 ft,,32-40,,
5:10.0,,,32-40,,Defensive rebound by D. DeRozan
4:48.0,,,32-40,,Shooting foul by L. Nance (drawn by K. Lowry)
4:48.0,,,32-41,1,K. Lowry makes free throw 1 of 2
4:48.0,,,32-42,1,K. Lowry makes free throw 2 of 2
4:35.0,M. World Peace misses 2-pt shot from 3 ft,,32-42,,
4:35.0,Offensive rebound by R. Hibbert,,32-42,,
4:35.0,Shooting foul by L. Scola (drawn by R. Hibbert),,32-42,,
4:35.0,R. Hibbert makes free throw 1 of 2,1,33-42,,
4:35.0,R. Hibbert makes free throw 2 of 2,1,34-42,,
4:21.0,,,34-42,,D. DeRozan misses 2-pt shot from 12 ft
4:20.0,Defensive rebound by J. Clarkson,,34-42,,
4:13.0,,,34-42,,Shooting block foul by L. Scola (drawn by J. Clarkson)
4:13.0,J. Clarkson makes free throw 1 of 2,1,35-42,,
4:13.0,J. Clarkson makes free throw 2 of 2,1,36-42,,
4:03.0,,,36-42,,B. Biyombo misses 2-pt shot from 4 ft (block by L. Nance)
4:03.0,,,36-42,,Offensive rebound by B. Biyombo
4:02.0,Jump ball: B. Biyombo vs. L. Nance,,,,Jump ball: B. Biyombo vs. L. Nance
3:48.0,,,36-42,,Turnover by Team (shot clock)
3:48.0,K. Bryant enters the game for M. World Peace,,36-42,,
3:37.0,L. Williams misses 2-pt shot from 18 ft,,36-42,,
3:37.0,,,36-42,,Defensive rebound by B. Biyombo
3:17.0,,,36-42,,L. Scola misses 2-pt shot from 3 ft
3:16.0,Defensive rebound by J. Clarkson,,36-42,,
3:09.0,J. Clarkson misses 2-pt shot from 2 ft,,36-42,,
3:08.0,Offensive rebound by L. Nance,,36-42,,
3:05.0,L. Nance makes 2-pt shot at rim,2,38-42,,
2:48.0,,,38-45,3,K. Lowry makes 3-pt shot from 27 ft (assist by D. DeRozan)
2:32.0,Turnover by J. Clarkson (lost ball),,38-45,,
2:32.0,LA Lakers full timeout,,38-45,,
2:32.0,,,38-45,,C. Joseph enters the game for L. Scola
2:32.0,,,38-45,,P. Patterson enters the game for D. DeRozan
2:22.0,,,38-48,3,K. Lowry makes 3-pt shot from 26 ft (assist by C. Joseph)
2:08.0,L. Nance makes 2-pt shot from 8 ft,2,40-48,,
1:52.0,,,40-48,,Shooting foul by L. Nance (drawn by B. Biyombo)
1:52.0,,,40-49,1,B. Biyombo makes free throw 1 of 2
1:52.0,,,40-50,1,B. Biyombo makes free throw 2 of 2
1:41.0,K. Bryant makes 2-pt shot from 2 ft,2,42-50,,
1:27.0,,,42-50,,P. Patterson misses 2-pt shot from 7 ft
1:26.0,,,42-50,,Offensive rebound by B. Biyombo
1:23.0,,,42-50,,B. Biyombo misses 2-pt shot from 2 ft (block by L. Nance)
1:22.0,Defensive rebound by L. Williams,,42-50,,
1:10.0,Offensive foul by R. Hibbert,,42-50,,
1:10.0,Turnover by R. Hibbert (offensive foul),,42-50,,
0:57.0,,,42-52,2,K. Lowry makes 2-pt shot at rim
0:37.0,J. Clarkson misses 2-pt shot from 6 ft (block by B. Biyombo),,42-52,,
0:35.0,,,42-52,,Defensive rebound by K. Lowry
0:27.0,,,42-52,,K. Lowry misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by R. Hibbert,,42-52,,
0:00.0,J. Clarkson misses 3-pt shot from 26 ft,,42-52,,
0:00.0,,,42-52,,Defensive rebound by B. Biyombo
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
