time,Philadelphia,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Grant (I. Canaan gains possession),,,,Jump ball: C. Capela vs. J. Grant (I. Canaan gains possession)
11:37.0,J. Okafor misses 2-pt shot from 9 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by D. Howard
11:26.0,,,0-0,,J. Harden misses 2-pt shot from 15 ft
11:25.0,Defensive rebound by Team,,0-0,,
11:21.0,Turnover by R. Covington (kicked ball),,0-0,,
11:09.0,,,0-0,,C. Capela misses 2-pt shot from 3 ft (block by R. Covington)
11:08.0,,,0-0,,Offensive rebound by D. Howard
11:07.0,,,0-2,2,C. Capela makes 2-pt shot at rim (assist by D. Howard)
10:45.0,Jump ball: D. Howard vs. J. Sampson (J. Grant gains possession),,,,Jump ball: D. Howard vs. J. Sampson (J. Grant gains possession)
10:38.0,I. Canaan misses 3-pt shot from 25 ft,,0-2,,
10:38.0,,,0-2,,Defensive rebound by C. Capela
10:27.0,Personal foul by J. Okafor (drawn by D. Howard),,0-2,,
10:17.0,,,0-2,,Shooting foul by J. Grant (drawn by C. Capela)
10:17.0,,,0-2,,C. Capela misses free throw 1 of 2
10:17.0,,,0-2,,Offensive rebound by Team
10:17.0,,,0-3,1,C. Capela makes free throw 2 of 2
10:04.0,J. Grant misses 2-pt shot from 15 ft,,0-3,,
10:04.0,,,0-3,,Defensive rebound by D. Howard
9:52.0,,,0-3,,D. Howard misses 2-pt shot from 3 ft
9:51.0,Defensive rebound by I. Canaan,,0-3,,
9:32.0,J. Okafor makes 2-pt shot from 13 ft,2,2-3,,
9:21.0,,,2-3,,Turnover by J. Harden (bad pass; steal by J. Okafor)
9:15.0,J. Okafor misses 2-pt shot from 2 ft,,2-3,,
9:14.0,Offensive rebound by J. Sampson,,2-3,,
9:13.0,J. Sampson makes 2-pt shot from 2 ft,2,4-3,,
8:52.0,,,4-5,2,D. Howard makes 2-pt shot from 5 ft (assist by J. Harden)
8:32.0,I. Canaan misses 2-pt shot from 5 ft (block by C. Capela),,4-5,,
8:31.0,,,4-5,,Defensive rebound by C. Capela
8:25.0,,,4-7,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
8:13.0,R. Covington makes 3-pt shot from 25 ft,3,7-7,,
8:06.0,,,7-10,3,J. Harden makes 3-pt shot from 25 ft
7:48.0,J. Okafor misses 2-pt shot from 9 ft,,7-10,,
7:47.0,,,7-10,,Defensive rebound by D. Howard
7:44.0,,,7-10,,T. Jones enters the game for C. Capela
7:36.0,,,7-12,2,T. Ariza makes 2-pt shot at rim (assist by P. Beverley)
7:22.0,,,7-12,,Violation by T. Jones (def goaltending)
7:22.0,I. Canaan makes 2-pt shot from 1 ft (assist by J. Okafor),2,9-12,,
7:10.0,,,9-15,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden)
7:09.0,Philadelphia full timeout,,9-15,,
