time,Toronto,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. P. Gasol (L. Scola gains possession),,,,Jump ball: B. Biyombo vs. P. Gasol (L. Scola gains possession)
11:46.0,D. DeRozan makes 2-pt shot from 15 ft,2,2-0,,
11:26.0,,,2-0,,J. Butler misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by B. Biyombo,,2-0,,
11:12.0,D. DeRozan misses 2-pt shot from 15 ft,,2-0,,
11:11.0,,,2-0,,Defensive rebound by P. Gasol
11:08.0,,,2-0,,Turnover by N. Mirotic (lost ball)
10:52.0,D. Carroll misses 2-pt shot from 16 ft,,2-0,,
10:50.0,,,2-0,,Defensive rebound by N. Mirotic
10:46.0,Personal foul by L. Scola (drawn by T. Gibson),,2-0,,
10:35.0,,,2-0,,Shooting foul by D. Carroll (drawn by P. Gasol)
10:35.0,,,2-1,1,P. Gasol makes free throw 1 of 2
10:35.0,,,2-1,,P. Gasol misses free throw 2 of 2
10:34.0,Defensive rebound by L. Scola,,2-1,,
10:16.0,K. Lowry misses 2-pt shot from 14 ft (block by D. Rose),,2-1,,
10:14.0,,,2-1,,Defensive rebound by D. Rose
10:10.0,,,2-3,2,D. Rose makes 2-pt shot from 2 ft
9:55.0,,,2-3,,Personal foul by D. Rose (drawn by K. Lowry)
9:41.0,D. Carroll misses 2-pt shot from 6 ft,,2-3,,
9:40.0,Offensive rebound by B. Biyombo,,2-3,,
9:38.0,B. Biyombo misses 2-pt shot from 2 ft (block by P. Gasol),,2-3,,
9:36.0,Offensive rebound by L. Scola,,2-3,,
9:35.0,L. Scola makes 2-pt shot from 1 ft,2,4-3,,
9:18.0,,,4-3,,Turnover by P. Gasol (bad pass; steal by K. Lowry)
9:12.0,Shooting foul by N. Mirotic (drawn by D. DeRozan),,4-3,,
9:12.0,D. DeRozan makes free throw 1 of 2,1,5-3,,
9:12.0,D. DeRozan misses free throw 2 of 2,,5-3,,
9:11.0,,,5-3,,Defensive rebound by N. Mirotic
8:58.0,,,5-6,3,D. Rose makes 3-pt shot from 24 ft (assist by J. Butler)
8:37.0,L. Scola makes 2-pt shot from 5 ft (assist by K. Lowry),2,7-6,,
8:23.0,,,7-8,2,P. Gasol makes 2-pt shot from 13 ft (assist by D. Rose)
8:11.0,D. Carroll makes 2-pt shot at rim (assist by D. DeRozan),2,9-8,,
8:03.0,,,9-8,,Turnover by J. Butler (lost ball; steal by K. Lowry)
7:57.0,L. Scola makes 2-pt shot from 15 ft (assist by D. DeRozan),2,11-8,,
7:43.0,,,11-8,,T. Gibson misses 2-pt shot from 16 ft
7:42.0,Defensive rebound by B. Biyombo,,11-8,,
7:25.0,B. Biyombo misses 2-pt shot from 14 ft,,11-8,,
7:24.0,,,11-8,,Defensive rebound by N. Mirotic
7:18.0,,,11-8,,P. Gasol misses 2-pt shot from 2 ft
7:15.0,,,11-8,,Offensive rebound by T. Gibson
7:15.0,,,11-10,2,T. Gibson makes 2-pt shot at rim
6:52.0,D. DeRozan makes 2-pt shot from 15 ft,2,13-10,,
6:42.0,,,13-12,2,D. Rose makes 2-pt shot from 16 ft
6:30.0,D. DeRozan misses 2-pt shot from 3 ft (block by P. Gasol),,13-12,,
6:28.0,,,13-12,,Defensive rebound by N. Mirotic
6:23.0,,,13-12,,J. Butler misses 2-pt shot from 1 ft
6:21.0,Defensive rebound by B. Biyombo,,13-12,,
6:17.0,Toronto full timeout,,13-12,,
6:17.0,J. Valanciunas enters the game for B. Biyombo,,13-12,,
6:07.0,K. Lowry misses 2-pt shot from 3 ft,,13-12,,
6:05.0,,,13-12,,Defensive rebound by T. Gibson
5:52.0,,,13-12,,J. Butler misses 2-pt shot from 19 ft
5:51.0,Defensive rebound by K. Lowry,,13-12,,
5:44.0,L. Scola makes 2-pt shot from 2 ft (assist by K. Lowry),2,15-12,,
5:27.0,,,15-14,2,P. Gasol makes 2-pt shot from 15 ft (assist by D. Rose)
5:16.0,Turnover by L. Scola (bad pass; steal by P. Gasol),,15-14,,
5:10.0,,,15-16,2,N. Mirotic makes 2-pt shot from 2 ft (assist by J. Butler)
4:42.0,D. Carroll misses 3-pt shot from 24 ft,,15-16,,
4:37.0,,,15-16,,Defensive rebound by N. Mirotic
4:28.0,,,15-16,,N. Mirotic misses 3-pt shot from 24 ft (block by L. Scola)
4:26.0,,,15-16,,Offensive rebound by T. Gibson
4:24.0,,,15-16,,N. Mirotic misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by J. Valanciunas,,15-16,,
4:13.0,L. Scola makes 2-pt shot from 15 ft,2,17-16,,
4:01.0,,,17-16,,D. Rose misses 2-pt shot from 2 ft
4:00.0,Defensive rebound by L. Scola,,17-16,,
3:54.0,L. Scola makes 2-pt shot from 11 ft (assist by D. DeRozan),2,19-16,,
3:51.0,,,19-16,,Chicago full timeout
3:51.0,,,19-16,,B. Portis enters the game for T. Gibson
3:51.0,,,19-16,,A. Brooks enters the game for D. Rose
3:51.0,T. Ross enters the game for D. Carroll,,19-16,,
3:34.0,,,19-16,,P. Gasol misses 2-pt shot from 7 ft
3:33.0,Defensive rebound by K. Lowry,,19-16,,
3:29.0,Shooting foul by A. Brooks (drawn by K. Lowry),,19-16,,
3:29.0,K. Lowry makes free throw 1 of 2,1,20-16,,
3:29.0,,,20-16,,T. Snell enters the game for N. Mirotic
3:29.0,K. Lowry makes free throw 2 of 2,1,21-16,,
3:12.0,,,21-16,,Turnover by P. Gasol (lost ball)
3:03.0,Turnover by K. Lowry (bad pass),,21-16,,
2:53.0,,,21-18,2,J. Butler makes 2-pt shot at rim (assist by P. Gasol)
2:30.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,23-18,,
2:09.0,,,23-18,,P. Gasol misses 2-pt shot from 5 ft
2:06.0,Defensive rebound by K. Lowry,,23-18,,
1:53.0,J. Valanciunas makes 2-pt shot from 16 ft (assist by K. Lowry),2,25-18,,
1:41.0,,,25-18,,B. Portis misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by D. DeRozan,,25-18,,
1:32.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan),2,27-18,,
1:21.0,,,27-20,2,A. Brooks makes 2-pt shot from 2 ft
1:03.0,T. Ross misses 3-pt shot from 24 ft,,27-20,,
1:02.0,Offensive rebound by D. DeRozan,,27-20,,
0:53.0,J. Valanciunas misses 2-pt shot from 3 ft (block by P. Gasol),,27-20,,
0:51.0,,,27-20,,Defensive rebound by T. Snell
0:36.0,,,27-23,3,T. Snell makes 3-pt shot from 25 ft (assist by P. Gasol)
0:32.0,K. Lowry makes 3-pt shot from 25 ft,3,30-23,,
0:17.0,,,30-23,,A. Brooks misses 2-pt shot from 2 ft
0:15.0,Defensive rebound by L. Scola,,30-23,,
0:00.0,Shooting foul by A. Brooks (drawn by K. Lowry),,30-23,,
0:00.0,K. Lowry makes free throw 1 of 2,1,31-23,,
0:00.0,,,31-23,,T. Gibson enters the game for P. Gasol
0:00.0,,,31-23,,K. Hinrich enters the game for J. Butler
0:00.0,K. Lowry makes free throw 2 of 2,1,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,32-25,2,B. Portis makes 2-pt shot from 13 ft (assist by A. Brooks)
11:23.0,J. Johnson misses 2-pt shot from 1 ft (block by T. Gibson),,32-25,,
11:21.0,,,32-25,,Defensive rebound by T. Snell
11:19.0,,,32-25,,T. Snell misses 2-pt shot from 1 ft (block by T. Ross)
11:16.0,Defensive rebound by B. Biyombo,,32-25,,
10:57.0,C. Joseph misses 2-pt shot from 5 ft,,32-25,,
10:56.0,,,32-25,,Defensive rebound by B. Portis
10:47.0,,,32-25,,B. Portis misses 2-pt shot from 9 ft
10:46.0,,,32-25,,Offensive rebound by B. Portis
10:38.0,,,32-25,,A. Brooks misses 2-pt shot from 7 ft
10:37.0,Defensive rebound by C. Joseph,,32-25,,
10:13.0,C. Joseph makes 2-pt shot from 18 ft,2,34-25,,
10:07.0,,,34-27,2,A. Brooks makes 2-pt shot from 1 ft
10:07.0,,,34-27,,Shooting foul by B. Biyombo (drawn by A. Brooks)
10:07.0,,,34-28,1,A. Brooks makes free throw 1 of 1
9:50.0,P. Patterson misses 3-pt shot from 24 ft,,34-28,,
9:49.0,,,34-28,,Defensive rebound by T. Snell
9:41.0,,,34-28,,T. Snell misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by B. Biyombo,,34-28,,
9:33.0,J. Johnson makes 2-pt shot from 1 ft,2,36-28,,
9:25.0,,,36-30,2,A. Brooks makes 2-pt shot from 7 ft
9:25.0,,,36-30,,Shooting foul by C. Joseph (drawn by A. Brooks)
9:25.0,,,36-31,1,A. Brooks makes free throw 1 of 1
9:05.0,T. Ross misses 2-pt shot from 15 ft,,36-31,,
9:04.0,,,36-31,,Defensive rebound by T. Snell
8:56.0,,,36-33,2,B. Portis makes 2-pt shot from 4 ft
8:39.0,T. Ross makes 2-pt shot from 6 ft (assist by P. Patterson),2,38-33,,
8:20.0,,,38-35,2,B. Portis makes 2-pt shot from 7 ft
8:01.0,J. Johnson misses 3-pt shot from 25 ft,,38-35,,
8:00.0,,,38-35,,Defensive rebound by T. Gibson
7:45.0,,,38-37,2,A. Brooks makes 2-pt shot from 1 ft
7:36.0,Toronto full timeout,,38-37,,
7:36.0,,,38-37,,D. Rose enters the game for K. Hinrich
7:25.0,J. Johnson misses 2-pt shot from 2 ft (block by T. Snell),,38-37,,
7:22.0,,,38-37,,Defensive rebound by T. Snell
7:00.0,,,38-37,,D. Rose misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by Team,,38-37,,
6:47.0,P. Patterson misses 3-pt shot from 24 ft,,38-37,,
6:47.0,,,38-37,,Defensive rebound by Team
6:37.0,,,38-39,2,A. Brooks makes 2-pt shot from 9 ft
6:37.0,,,38-39,,Shooting foul by C. Joseph (drawn by A. Brooks)
6:37.0,K. Lowry enters the game for C. Joseph,,38-39,,
6:37.0,,,38-40,1,A. Brooks makes free throw 1 of 1
6:20.0,P. Patterson makes 2-pt shot from 9 ft (assist by J. Johnson),2,40-40,,
6:02.0,,,40-42,2,B. Portis makes 2-pt shot from 19 ft (assist by D. Rose)
5:47.0,P. Patterson misses 2-pt shot from 2 ft,,40-42,,
5:46.0,Offensive rebound by P. Patterson,,40-42,,
5:46.0,P. Patterson misses 2-pt shot from 2 ft,,40-42,,
5:43.0,Offensive rebound by P. Patterson,,40-42,,
5:43.0,P. Patterson misses 2-pt shot from 2 ft,,40-42,,
5:42.0,,,40-42,,Defensive rebound by T. Gibson
5:34.0,,,40-42,,A. Brooks misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by B. Biyombo,,40-42,,
5:23.0,K. Lowry misses 2-pt shot from 18 ft,,40-42,,
5:22.0,,,40-42,,Defensive rebound by A. Brooks
5:04.0,,,40-42,,T. Snell misses 2-pt shot from 20 ft
5:03.0,Defensive rebound by P. Patterson,,40-42,,
4:57.0,K. Lowry makes 2-pt shot from 1 ft,2,42-42,,
4:50.0,,,42-42,,Chicago full timeout
4:50.0,L. Scola enters the game for B. Biyombo,,42-42,,
4:50.0,D. DeRozan enters the game for J. Johnson,,42-42,,
4:50.0,J. Valanciunas enters the game for P. Patterson,,42-42,,
4:50.0,,,42-42,,P. Gasol enters the game for B. Portis
4:50.0,,,42-42,,J. Butler enters the game for T. Snell
4:43.0,Personal foul by J. Valanciunas (drawn by P. Gasol),,42-42,,
4:35.0,,,42-42,,D. Rose misses 2-pt shot from 9 ft
4:34.0,,,42-42,,Offensive rebound by T. Gibson
4:34.0,,,42-42,,T. Gibson misses 2-pt shot from 1 ft
4:34.0,,,42-42,,Offensive rebound by P. Gasol
4:34.0,,,42-44,2,P. Gasol makes 2-pt shot from 1 ft
4:34.0,,,42-44,,Shooting foul by J. Valanciunas (drawn by P. Gasol)
4:34.0,,,42-44,,P. Gasol misses free throw 1 of 1
4:34.0,Defensive rebound by T. Ross,,42-44,,
4:19.0,Turnover by J. Valanciunas (lost ball),,42-44,,
3:57.0,,,42-44,,D. Rose misses 2-pt shot from 3 ft (block by L. Scola)
3:56.0,Defensive rebound by K. Lowry,,42-44,,
3:50.0,T. Ross misses 3-pt shot from 26 ft,,42-44,,
3:49.0,,,42-44,,Defensive rebound by P. Gasol
3:35.0,,,42-44,,J. Butler misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by K. Lowry,,42-44,,
3:22.0,K. Lowry makes 2-pt shot from 18 ft (assist by D. DeRozan),2,44-44,,
3:15.0,,,44-44,,Shooting foul by T. Ross (drawn by D. Rose)
3:15.0,,,44-44,,D. Rose misses free throw 1 of 2
3:15.0,,,44-44,,Offensive rebound by Team
3:15.0,D. Carroll enters the game for T. Ross,,44-44,,
3:15.0,,,44-45,1,D. Rose makes free throw 2 of 2
2:59.0,Turnover by D. DeRozan (bad pass; steal by J. Butler),,44-45,,
2:46.0,,,44-45,,A. Brooks misses 3-pt shot from 25 ft
2:45.0,,,44-45,,Offensive rebound by T. Gibson
