time,Indiana,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. C. Zeller (M. Williams gains possession),,,,Jump ball: I. Mahinmi vs. C. Zeller (M. Williams gains possession)
11:44.0,,,0-0,,N. Batum misses 2-pt shot from 20 ft
11:43.0,Defensive rebound by I. Mahinmi,,0-0,,
11:28.0,P. George makes 2-pt shot from 14 ft (assist by G. Hill),2,2-0,,
11:14.0,,,2-0,,Turnover by C. Lee (bad pass; steal by M. Ellis)
11:06.0,S. Hill misses 3-pt shot from 23 ft,,2-0,,
11:04.0,Offensive rebound by I. Mahinmi,,2-0,,
11:04.0,I. Mahinmi makes 2-pt shot from 1 ft,2,4-0,,
10:48.0,,,4-2,2,N. Batum makes 2-pt shot at rim
10:31.0,P. George misses 2-pt shot from 2 ft,,4-2,,
10:29.0,,,4-2,,Defensive rebound by C. Lee
10:19.0,,,4-5,3,C. Lee makes 3-pt shot from 23 ft (assist by C. Zeller)
9:57.0,I. Mahinmi misses 2-pt shot from 1 ft,,4-5,,
9:56.0,,,4-5,,Defensive rebound by C. Zeller
9:50.0,,,4-8,3,K. Walker makes 3-pt shot from 25 ft
9:35.0,P. George misses 2-pt shot from 19 ft,,4-8,,
9:34.0,,,4-8,,Defensive rebound by C. Zeller
9:25.0,,,4-8,,K. Walker misses 2-pt shot from 1 ft
9:24.0,Defensive rebound by P. George,,4-8,,
9:16.0,I. Mahinmi misses 2-pt shot from 19 ft,,4-8,,
9:12.0,Offensive rebound by S. Hill,,4-8,,
9:12.0,S. Hill makes 2-pt shot from 1 ft,2,6-8,,
8:58.0,,,6-8,,N. Batum misses 3-pt shot from 25 ft
8:56.0,Defensive rebound by M. Ellis,,6-8,,
8:45.0,P. George makes 2-pt shot from 20 ft,2,8-8,,
8:31.0,,,8-8,,Turnover by K. Walker (bad pass; steal by G. Hill)
8:19.0,G. Hill misses 2-pt shot from 17 ft,,8-8,,
8:18.0,,,8-8,,Defensive rebound by N. Batum
8:07.0,,,8-10,2,N. Batum makes 2-pt shot from 1 ft
7:46.0,G. Hill misses 2-pt shot from 21 ft,,8-10,,
7:46.0,,,8-10,,Defensive rebound by Team
7:34.0,,,8-13,3,N. Batum makes 3-pt shot from 23 ft (assist by K. Walker)
7:34.0,Indiana full timeout,,8-13,,
7:25.0,S. Hill makes 3-pt shot from 24 ft (assist by M. Ellis),3,11-13,,
7:07.0,,,11-15,2,M. Williams makes 2-pt shot at rim (assist by N. Batum)
6:52.0,G. Hill makes 2-pt shot from 11 ft,2,13-15,,
6:30.0,,,13-15,,N. Batum misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by P. George,,13-15,,
6:22.0,P. George makes 3-pt shot from 25 ft,3,16-15,,
6:06.0,,,16-15,,Shooting foul by M. Ellis (drawn by C. Lee)
6:06.0,,,16-15,,C. Lee misses free throw 1 of 2
6:06.0,,,16-15,,Offensive rebound by Team
6:06.0,,,16-16,1,C. Lee makes free throw 2 of 2
5:55.0,M. Ellis misses 3-pt shot from 25 ft,,16-16,,
5:53.0,,,16-16,,Defensive rebound by M. Williams
5:44.0,,,16-16,,K. Walker misses 2-pt shot from 14 ft
5:43.0,Defensive rebound by I. Mahinmi,,16-16,,
5:35.0,P. George misses 2-pt shot from 14 ft,,16-16,,
5:34.0,Offensive rebound by I. Mahinmi,,16-16,,
5:27.0,P. George misses 3-pt shot from 22 ft,,16-16,,
5:26.0,,,16-16,,Defensive rebound by K. Walker
5:17.0,,,16-16,,C. Zeller misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by G. Hill,,16-16,,
5:09.0,I. Mahinmi misses 2-pt shot at rim (block by N. Batum),,16-16,,
5:07.0,Offensive rebound by M. Ellis,,16-16,,
5:07.0,M. Ellis misses 2-pt shot from 1 ft (block by C. Zeller),,16-16,,
5:04.0,,,16-16,,Defensive rebound by N. Batum
4:52.0,,,16-16,,Turnover by N. Batum (bad pass; steal by P. George)
4:45.0,G. Hill makes 2-pt shot from 19 ft (assist by P. George),2,18-16,,
4:45.0,,,18-16,,Charlotte full timeout
4:45.0,,,18-16,,A. Jefferson enters the game for C. Zeller
4:45.0,R. Stuckey enters the game for G. Hill,,18-16,,
4:25.0,,,18-16,,Turnover by N. Batum (bad pass; steal by P. George)
4:09.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis),2,20-16,,
3:45.0,,,20-18,2,A. Jefferson makes 2-pt shot from 7 ft
3:30.0,P. George misses 2-pt shot at rim (block by A. Jefferson),,20-18,,
3:28.0,Offensive rebound by P. George,,20-18,,
