time,Atlanta,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Horford (T. Gibson gains possession),,,,Jump ball: P. Gasol vs. A. Horford (T. Gibson gains possession)
11:44.0,,,0-2,2,T. Gibson makes 2-pt shot from 2 ft (assist by E. Moore)
11:20.0,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague),2,2-2,,
11:03.0,,,2-5,3,D. Rose makes 3-pt shot from 22 ft (assist by M. Dunleavy)
10:46.0,Turnover by P. Millsap (bad pass; steal by M. Dunleavy),,2-5,,
10:40.0,,,2-5,,Turnover by P. Gasol (bad pass)
10:23.0,A. Horford misses 2-pt shot from 6 ft,,2-5,,
10:23.0,,,2-5,,Defensive rebound by P. Gasol
10:09.0,,,2-5,,D. Rose misses 2-pt shot from 15 ft
10:09.0,Defensive rebound by A. Horford,,2-5,,
10:09.0,,,2-5,,Personal foul by T. Gibson (drawn by P. Millsap)
9:57.0,K. Korver misses 2-pt shot from 14 ft,,2-5,,
9:56.0,Offensive rebound by P. Millsap,,2-5,,
9:47.0,J. Teague makes 3-pt shot from 27 ft,3,5-5,,
9:37.0,,,5-5,,Shooting foul by P. Millsap (drawn by M. Dunleavy)
9:37.0,,,5-6,1,M. Dunleavy makes free throw 1 of 2
9:37.0,,,5-7,1,M. Dunleavy makes free throw 2 of 2
9:24.0,J. Teague misses 2-pt shot from 17 ft,,5-7,,
9:23.0,,,5-7,,Defensive rebound by E. Moore
9:20.0,,,5-7,,Turnover by E. Moore (bad pass; steal by K. Bazemore)
9:18.0,K. Bazemore makes 2-pt shot from 1 ft,2,7-7,,
9:04.0,,,7-9,2,E. Moore makes 2-pt shot from 19 ft (assist by P. Gasol)
8:39.0,J. Teague misses 2-pt shot from 2 ft (block by T. Gibson),,7-9,,
8:39.0,Offensive rebound by Team,,7-9,,
8:39.0,,,7-9,,Loose ball foul by M. Dunleavy (drawn by A. Horford)
8:31.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,9-9,,
8:22.0,,,9-11,2,D. Rose makes 2-pt shot at rim
8:11.0,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague),3,12-11,,
7:51.0,,,12-11,,T. Gibson misses 2-pt shot from 6 ft
7:50.0,Defensive rebound by A. Horford,,12-11,,
7:40.0,K. Bazemore misses 2-pt shot from 1 ft,,12-11,,
7:38.0,,,12-11,,Defensive rebound by E. Moore
7:31.0,,,12-13,2,D. Rose makes 2-pt shot from 6 ft
7:16.0,A. Horford misses 2-pt shot at rim,,12-13,,
7:15.0,,,12-13,,Defensive rebound by P. Gasol
6:54.0,,,12-13,,D. Rose misses 2-pt shot from 3 ft (block by P. Millsap)
6:51.0,,,12-13,,Offensive rebound by D. Rose
6:50.0,,,12-13,,D. Rose misses 2-pt shot from 1 ft
6:49.0,,,12-13,,Offensive rebound by T. Gibson
6:44.0,,,12-15,2,D. Rose makes 2-pt shot from 15 ft (assist by T. Gibson)
6:31.0,A. Horford misses 3-pt shot from 23 ft,,12-15,,
6:30.0,,,12-15,,Defensive rebound by T. Gibson
6:18.0,,,12-15,,M. Dunleavy misses 3-pt shot from 26 ft
6:17.0,,,12-15,,Offensive rebound by P. Gasol
6:14.0,,,12-17,2,P. Gasol makes 2-pt shot from 1 ft
6:14.0,Atlanta full timeout,,12-17,,
6:14.0,,,12-17,,D. McDermott enters the game for M. Dunleavy
6:14.0,M. Muscala enters the game for A. Horford,,12-17,,
6:00.0,P. Millsap misses 2-pt shot from 21 ft,,12-17,,
5:59.0,,,12-17,,Defensive rebound by D. McDermott
5:48.0,,,12-19,2,D. McDermott makes 2-pt shot from 1 ft (assist by P. Gasol)
5:23.0,P. Millsap misses 3-pt shot from 25 ft,,12-19,,
5:22.0,,,12-19,,Defensive rebound by P. Gasol
5:14.0,,,12-19,,Turnover by E. Moore (bad pass)
5:14.0,T. Sefolosha enters the game for K. Bazemore,,12-19,,
5:00.0,P. Millsap makes 2-pt shot from 2 ft (assist by M. Muscala),2,14-19,,
4:52.0,,,14-19,,Turnover by D. McDermott (bad pass; steal by P. Millsap)
4:52.0,,,14-19,,Personal foul by T. Gibson (drawn by P. Millsap)
4:52.0,,,14-19,,B. Portis enters the game for T. Gibson
4:39.0,M. Muscala misses 2-pt shot from 20 ft,,14-19,,
4:38.0,Offensive rebound by P. Millsap,,14-19,,
4:34.0,K. Korver makes 2-pt shot from 19 ft (assist by P. Millsap),2,16-19,,
4:20.0,,,16-19,,D. Rose misses 2-pt shot from 11 ft
4:19.0,Defensive rebound by J. Teague,,16-19,,
4:15.0,J. Teague makes 2-pt shot from 2 ft,2,18-19,,
4:04.0,Personal foul by M. Muscala (drawn by P. Gasol),,18-19,,
4:04.0,,,18-19,,K. Hinrich enters the game for D. Rose
4:04.0,D. Schroder enters the game for K. Korver,,18-19,,
4:04.0,T. Hardaway enters the game for J. Teague,,18-19,,
3:55.0,,,18-21,2,P. Gasol makes 2-pt shot at rim (assist by E. Moore)
3:35.0,T. Sefolosha misses 3-pt shot from 24 ft,,18-21,,
3:34.0,Offensive rebound by M. Muscala,,18-21,,
3:29.0,D. Schroder makes 2-pt shot from 14 ft,2,20-21,,
3:12.0,,,20-21,,D. McDermott misses 2-pt shot from 1 ft (block by T. Sefolosha)
3:12.0,Defensive rebound by Team,,20-21,,
2:57.0,D. Schroder makes 3-pt shot from 24 ft (assist by P. Millsap),3,23-21,,
2:57.0,,,23-21,,Chicago full timeout
2:45.0,,,23-23,2,P. Gasol makes 2-pt shot from 9 ft (assist by E. Moore)
2:45.0,,,23-23,,Shooting foul by M. Muscala (drawn by P. Gasol)
2:45.0,,,23-23,,T. Snell enters the game for E. Moore
2:45.0,,,23-23,,P. Gasol misses free throw 1 of 1
2:43.0,Defensive rebound by T. Hardaway,,23-23,,
2:33.0,Offensive foul by P. Millsap,,23-23,,
2:33.0,Turnover by P. Millsap (offensive foul),,23-23,,
2:33.0,M. Scott enters the game for P. Millsap,,23-23,,
2:33.0,A. Horford enters the game for M. Muscala,,23-23,,
2:12.0,,,23-25,2,D. McDermott makes 2-pt shot from 2 ft (assist by K. Hinrich)
1:58.0,D. Schroder misses 3-pt shot from 25 ft,,23-25,,
1:57.0,Offensive rebound by M. Scott,,23-25,,
1:56.0,M. Scott misses 2-pt shot from 1 ft (block by B. Portis),,23-25,,
1:54.0,,,23-25,,Defensive rebound by B. Portis
1:47.0,,,23-27,2,K. Hinrich makes 2-pt shot from 21 ft
1:31.0,D. Schroder makes 2-pt shot from 2 ft,2,25-27,,
1:10.0,,,25-27,,D. McDermott misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by T. Hardaway,,25-27,,
0:55.0,Jump ball: K. Hinrich vs. T. Sefolosha (T. Hardaway gains possession),,,,Jump ball: K. Hinrich vs. T. Sefolosha (T. Hardaway gains possession)
0:49.0,T. Hardaway misses 2-pt shot from 22 ft,,25-27,,
0:47.0,,,25-27,,Defensive rebound by B. Portis
0:32.0,,,25-27,,Turnover by K. Hinrich (bad pass; steal by D. Schroder)
