time,Atlanta,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. D. Jordan (C. Paul gains possession),,,,Jump ball: A. Horford vs. D. Jordan (C. Paul gains possession)
11:40.0,,,0-0,,J. Redick misses 3-pt shot from 30 ft
11:40.0,,,0-0,,Offensive rebound by J. Green
11:37.0,,,0-2,2,J. Green makes 2-pt shot from 2 ft
11:23.0,J. Teague makes 3-pt shot from 26 ft (assist by A. Horford),3,3-2,,
11:09.0,,,3-5,3,P. Pierce makes 3-pt shot from 26 ft (assist by C. Paul)
10:57.0,A. Horford misses 2-pt shot from 13 ft,,3-5,,
10:56.0,,,3-5,,Defensive rebound by D. Jordan
10:46.0,,,3-7,2,C. Paul makes 2-pt shot from 16 ft
10:34.0,Turnover by K. Korver (bad pass),,3-7,,
10:21.0,,,3-7,,C. Paul misses 2-pt shot from 4 ft
10:18.0,Defensive rebound by J. Teague,,3-7,,
10:07.0,,,3-7,,Violation by P. Pierce (kicked ball)
9:57.0,A. Horford misses 3-pt shot from 25 ft,,3-7,,
9:56.0,,,3-7,,Defensive rebound by J. Green
9:46.0,,,3-9,2,J. Green makes 2-pt shot from 2 ft
9:46.0,,,3-9,,Shooting foul by A. Horford (drawn by J. Green)
9:46.0,,,3-9,,J. Green misses free throw 1 of 1
9:43.0,Defensive rebound by P. Millsap,,3-9,,
9:32.0,K. Bazemore misses 2-pt shot from 3 ft (block by D. Jordan),,3-9,,
9:30.0,Offensive rebound by P. Millsap,,3-9,,
9:26.0,P. Millsap makes 2-pt shot from 3 ft (assist by K. Bazemore),2,5-9,,
9:16.0,,,5-9,,P. Pierce misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by A. Horford,,5-9,,
9:08.0,K. Bazemore misses 2-pt shot from 16 ft,,5-9,,
9:07.0,Offensive rebound by A. Horford,,5-9,,
8:58.0,P. Millsap makes 2-pt shot from 4 ft (assist by K. Korver),2,7-9,,
8:58.0,Shooting foul by P. Pierce (drawn by P. Millsap),,7-9,,
8:58.0,P. Millsap misses free throw 1 of 1,,7-9,,
8:56.0,,,7-9,,Defensive rebound by D. Jordan
8:44.0,,,7-12,3,C. Paul makes 3-pt shot from 27 ft
8:14.0,A. Horford misses 2-pt shot from 11 ft,,7-12,,
8:12.0,,,7-12,,Defensive rebound by D. Jordan
8:08.0,,,7-12,,Shooting foul by P. Millsap (drawn by P. Pierce)
8:08.0,,,7-13,1,P. Pierce makes free throw 1 of 2
8:08.0,,,7-14,1,P. Pierce makes free throw 2 of 2
7:49.0,K. Bazemore makes 2-pt shot from 2 ft (assist by P. Millsap),2,9-14,,
7:39.0,,,9-14,,J. Redick misses 3-pt shot from 27 ft
7:38.0,Defensive rebound by P. Millsap,,9-14,,
7:34.0,P. Millsap makes 2-pt shot from 4 ft,2,11-14,,
7:34.0,Shooting foul by J. Green (drawn by P. Millsap),,11-14,,
7:34.0,K. Humphries enters the game for A. Horford,,11-14,,
7:34.0,P. Millsap makes free throw 1 of 1,1,12-14,,
7:17.0,,,12-16,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
6:58.0,P. Millsap misses 2-pt shot from 16 ft,,12-16,,
6:55.0,,,12-16,,Defensive rebound by C. Paul
6:42.0,,,12-16,,J. Redick misses 3-pt shot from 23 ft
6:41.0,Defensive rebound by P. Millsap,,12-16,,
6:30.0,K. Humphries misses 2-pt shot from 4 ft (block by D. Jordan),,12-16,,
6:29.0,Offensive rebound by P. Millsap,,12-16,,
6:29.0,P. Millsap makes 2-pt shot from 1 ft,2,14-16,,
6:12.0,,,14-19,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
6:01.0,K. Korver makes 3-pt shot from 26 ft (assist by K. Humphries),3,17-19,,
