time,Portland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Plumlee (D. Green gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (D. Green gains possession)
11:45.0,,,0-0,,Turnover by A. Bogut (lost ball; steal by C. McCollum)
11:34.0,A. Aminu misses 2-pt shot from 16 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by A. Bogut
11:26.0,,,0-0,,D. Green misses 3-pt shot from 27 ft
11:24.0,Defensive rebound by M. Plumlee,,0-0,,
11:11.0,A. Aminu makes 3-pt shot from 25 ft (assist by M. Plumlee),3,3-0,,
10:57.0,,,3-3,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Livingston)
10:39.0,M. Harkless misses 2-pt shot from 2 ft (block by A. Bogut),,3-3,,
10:38.0,,,3-3,,Defensive rebound by D. Green
10:33.0,,,3-3,,D. Green misses 2-pt shot from 1 ft (block by A. Aminu)
10:31.0,Defensive rebound by M. Plumlee,,3-3,,
10:22.0,M. Harkless misses 3-pt shot from 23 ft,,3-3,,
10:21.0,Offensive rebound by M. Plumlee,,3-3,,
10:19.0,Shooting foul by D. Green (drawn by M. Harkless),,3-3,,
10:19.0,M. Harkless misses free throw 1 of 2,,3-3,,
10:19.0,Offensive rebound by Team,,3-3,,
10:19.0,M. Harkless misses free throw 2 of 2,,3-3,,
10:19.0,,,3-3,,Defensive rebound by Team
10:19.0,Loose ball foul by M. Plumlee,,3-3,,
10:02.0,,,3-3,,S. Livingston misses 2-pt shot from 16 ft
10:01.0,Defensive rebound by C. McCollum,,3-3,,
9:55.0,Shooting foul by S. Livingston (drawn by C. McCollum),,3-3,,
9:55.0,C. McCollum makes free throw 1 of 2,1,4-3,,
9:55.0,C. McCollum makes free throw 2 of 2,1,5-3,,
9:45.0,,,5-3,,D. Green misses 2-pt shot from 7 ft
9:44.0,,,5-3,,Offensive rebound by A. Bogut
9:38.0,,,5-3,,K. Thompson misses 2-pt shot from 22 ft
9:37.0,Defensive rebound by A. Aminu,,5-3,,
9:29.0,D. Lillard makes 3-pt shot from 25 ft (assist by M. Plumlee),3,8-3,,
9:10.0,,,8-3,,S. Livingston misses 2-pt shot from 12 ft
9:09.0,Defensive rebound by M. Plumlee,,8-3,,
8:56.0,C. McCollum makes 2-pt shot from 17 ft,2,10-3,,
8:56.0,,,10-3,,Golden State full timeout
8:40.0,,,10-3,,H. Barnes misses 2-pt shot from 9 ft
8:37.0,Defensive rebound by Team,,10-3,,
8:25.0,C. McCollum misses 3-pt shot from 26 ft,,10-3,,
8:24.0,Offensive rebound by M. Harkless,,10-3,,
8:23.0,M. Harkless makes 2-pt shot from 1 ft,2,12-3,,
8:09.0,Personal foul by M. Harkless,,12-3,,
7:59.0,,,12-5,2,H. Barnes makes 2-pt shot from 22 ft (assist by K. Thompson)
7:43.0,D. Lillard misses 2-pt shot from 11 ft,,12-5,,
7:40.0,Offensive rebound by M. Harkless,,12-5,,
7:40.0,M. Harkless makes 2-pt shot at rim,2,14-5,,
7:23.0,,,14-5,,K. Thompson misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by A. Aminu,,14-5,,
7:16.0,C. McCollum makes 3-pt shot from 23 ft (assist by A. Aminu),3,17-5,,
7:05.0,,,17-5,,K. Thompson misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by M. Harkless,,17-5,,
7:01.0,Turnover by M. Harkless (lost ball),,17-5,,
6:40.0,Personal foul by M. Harkless,,17-5,,
6:40.0,G. Henderson enters the game for M. Harkless,,17-5,,
6:40.0,,,17-5,,A. Iguodala enters the game for H. Barnes
6:29.0,,,17-5,,S. Livingston misses 2-pt shot from 13 ft (block by C. McCollum)
6:28.0,,,17-5,,Offensive rebound by S. Livingston
6:27.0,,,17-5,,S. Livingston misses 2-pt shot from 14 ft
6:24.0,Defensive rebound by M. Plumlee,,17-5,,
6:17.0,C. McCollum makes 2-pt shot from 22 ft (assist by M. Plumlee),2,19-5,,
6:00.0,,,19-7,2,A. Bogut makes 2-pt shot from 11 ft (assist by A. Iguodala)
5:34.0,C. McCollum misses 2-pt shot from 11 ft,,19-7,,
5:34.0,,,19-7,,Defensive rebound by A. Bogut
5:21.0,,,19-9,2,D. Green makes 2-pt shot from 5 ft
