time,Atlanta,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Vucevic (P. Millsap gains possession),,,,Jump ball: A. Horford vs. N. Vucevic (P. Millsap gains possession)
11:51.0,Turnover by J. Teague (bad pass; steal by E. Payton),,0-0,,
11:47.0,,,0-0,,Shooting foul by J. Teague (drawn by E. Payton)
11:47.0,,,0-0,,E. Payton misses free throw 1 of 2
11:47.0,,,0-0,,Offensive rebound by Team
11:47.0,,,0-0,,E. Payton misses free throw 2 of 2
11:47.0,Defensive rebound by K. Bazemore,,0-0,,
11:28.0,Turnover by P. Millsap (bad pass; steal by E. Fournier),,0-0,,
11:21.0,,,0-2,2,N. Vucevic makes 2-pt shot from 9 ft
11:04.0,A. Horford makes 2-pt shot from 18 ft (assist by K. Bazemore),2,2-2,,
10:52.0,,,2-2,,Turnover by C. Frye (bad pass; steal by P. Millsap)
10:51.0,,,2-2,,Personal foul by T. Harris (drawn by P. Millsap)
10:37.0,Turnover by J. Teague (lost ball; steal by E. Payton),,2-2,,
10:32.0,,,2-4,2,T. Harris makes 2-pt shot from 2 ft (assist by N. Vucevic)
10:15.0,P. Millsap misses 2-pt shot from 8 ft,,2-4,,
10:14.0,,,2-4,,Defensive rebound by N. Vucevic
10:06.0,,,2-4,,Turnover by C. Frye (bad pass; steal by A. Horford)
9:51.0,A. Horford misses 2-pt shot from 5 ft,,2-4,,
9:50.0,,,2-4,,Defensive rebound by N. Vucevic
9:39.0,,,2-6,2,E. Payton makes 2-pt shot from 14 ft (assist by N. Vucevic)
9:19.0,K. Bazemore makes 2-pt shot from 2 ft (assist by K. Korver),2,4-6,,
9:02.0,,,4-6,,N. Vucevic misses 2-pt shot from 2 ft (block by P. Millsap)
9:00.0,Defensive rebound by A. Horford,,4-6,,
8:53.0,A. Horford makes 2-pt shot from 17 ft (assist by K. Bazemore),2,6-6,,
8:37.0,,,6-9,3,C. Frye makes 3-pt shot from 24 ft (assist by E. Fournier)
8:17.0,A. Horford misses 2-pt shot from 1 ft (block by T. Harris),,6-9,,
8:17.0,Offensive rebound by Team,,6-9,,
8:15.0,P. Millsap makes 2-pt shot from 16 ft (assist by K. Korver),2,8-9,,
7:56.0,,,8-11,2,T. Harris makes 2-pt shot from 17 ft (assist by C. Frye)
7:42.0,Shooting foul by E. Payton (drawn by J. Teague),,8-11,,
7:42.0,J. Teague makes free throw 1 of 2,1,9-11,,
7:42.0,J. Teague makes free throw 2 of 2,1,10-11,,
7:27.0,,,10-13,2,N. Vucevic makes 2-pt shot from 18 ft
7:04.0,Turnover by A. Horford (bad pass; steal by E. Payton),,10-13,,
6:59.0,,,10-13,,E. Payton misses 2-pt shot from 1 ft
6:59.0,,,10-13,,Offensive rebound by Team
6:52.0,,,10-13,,T. Harris misses 2-pt shot from 13 ft
6:51.0,Defensive rebound by A. Horford,,10-13,,
6:28.0,K. Bazemore makes 2-pt shot from 12 ft,2,12-13,,
6:06.0,,,12-15,2,E. Fournier makes 2-pt shot from 2 ft
5:56.0,Turnover by A. Horford (bad pass; steal by E. Payton),,12-15,,
5:48.0,,,12-15,,Turnover by C. Frye (bad pass)
5:48.0,,,12-15,,Orlando full timeout
5:48.0,T. Splitter enters the game for A. Horford,,12-15,,
5:48.0,T. Sefolosha enters the game for K. Korver,,12-15,,
5:34.0,,,12-15,,Personal foul by T. Harris (drawn by T. Sefolosha)
