time,Minnesota,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: K. Towns vs. H. Whiteside (C. Bosh gains possession)
11:45.0,,,0-0,,Turnover by H. Whiteside (traveling)
11:33.0,K. Towns makes 2-pt shot from 17 ft,2,2-0,,
11:07.0,,,2-0,,G. Dragic misses 2-pt shot from 14 ft
11:06.0,,,2-0,,Offensive rebound by C. Bosh
10:51.0,,,2-2,2,G. Dragic makes 2-pt shot at rim
10:39.0,Shooting foul by G. Dragic (drawn by R. Rubio),,2-2,,
10:39.0,R. Rubio makes free throw 1 of 2,1,3-2,,
10:39.0,R. Rubio makes free throw 2 of 2,1,4-2,,
10:28.0,,,4-5,3,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic)
10:16.0,A. Wiggins makes 2-pt shot from 17 ft,2,6-5,,
9:52.0,,,6-5,,C. Bosh misses 3-pt shot from 23 ft
9:51.0,Defensive rebound by K. Towns,,6-5,,
9:41.0,R. Rubio misses 2-pt shot from 16 ft,,6-5,,
9:40.0,,,6-5,,Defensive rebound by H. Whiteside
9:36.0,,,6-5,,Shooting foul by K. Towns (drawn by G. Dragic)
9:36.0,,,6-6,1,G. Dragic makes free throw 1 of 2
9:36.0,,,6-7,1,G. Dragic makes free throw 2 of 2
9:23.0,A. Wiggins misses 3-pt shot from 26 ft,,6-7,,
9:22.0,,,6-7,,Defensive rebound by L. Deng
9:14.0,,,6-9,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
8:56.0,R. Rubio misses 2-pt shot from 16 ft,,6-9,,
8:55.0,Offensive rebound by T. Prince,,6-9,,
8:46.0,K. Garnett makes 2-pt shot from 17 ft (assist by T. Prince),2,8-9,,
8:35.0,,,8-9,,D. Wade misses 2-pt shot from 21 ft
8:34.0,Defensive rebound by Team,,8-9,,
8:22.0,Turnover by K. Towns (traveling),,8-9,,
8:07.0,,,8-11,2,D. Wade makes 2-pt shot from 1 ft (assist by G. Dragic)
7:53.0,A. Wiggins makes 2-pt shot from 16 ft (assist by R. Rubio),2,10-11,,
