time,New York,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: D. Favors vs. R. Lopez (K. Porzingis gains possession)
11:43.0,C. Anthony misses 2-pt shot from 16 ft,,0-0,,
11:41.0,Offensive rebound by J. Calderon,,0-0,,
11:30.0,K. Porzingis makes 2-pt shot from 7 ft,2,2-0,,
11:12.0,,,2-3,3,G. Hayward makes 3-pt shot from 24 ft
10:56.0,C. Anthony misses 2-pt shot from 19 ft,,2-3,,
10:55.0,,,2-3,,Defensive rebound by T. Lyles
10:42.0,,,2-6,3,G. Hayward makes 3-pt shot from 24 ft (assist by T. Lyles)
10:27.0,A. Afflalo misses 3-pt shot from 24 ft,,2-6,,
10:25.0,Offensive rebound by K. Porzingis,,2-6,,
10:22.0,K. Porzingis misses 2-pt shot from 4 ft,,2-6,,
10:21.0,,,2-6,,Defensive rebound by T. Lyles
9:59.0,,,2-9,3,R. Neto makes 3-pt shot from 24 ft
9:42.0,K. Porzingis misses 2-pt shot from 16 ft,,2-9,,
9:41.0,,,2-9,,Defensive rebound by R. Neto
9:32.0,Personal foul by K. Porzingis (drawn by G. Hayward),,2-9,,
9:20.0,,,2-11,2,D. Favors makes 2-pt shot from 10 ft (assist by R. Neto)
9:01.0,K. Porzingis misses 2-pt shot from 11 ft,,2-11,,
9:00.0,,,2-11,,Defensive rebound by D. Favors
8:50.0,,,2-11,,T. Lyles misses 2-pt shot from 7 ft
8:49.0,Defensive rebound by A. Afflalo,,2-11,,
8:42.0,A. Afflalo makes 2-pt shot from 11 ft,2,4-11,,
8:28.0,,,4-11,,G. Hayward misses 2-pt shot from 3 ft (block by R. Lopez)
8:28.0,,,4-11,,Offensive rebound by Team
8:17.0,,,4-13,2,D. Favors makes 2-pt shot from 14 ft (assist by R. Hood)
8:01.0,R. Lopez misses 2-pt shot from 1 ft,,4-13,,
8:01.0,,,4-13,,Defensive rebound by T. Lyles
7:43.0,,,4-13,,D. Favors misses 2-pt shot from 4 ft
7:43.0,Defensive rebound by K. Porzingis,,4-13,,
7:33.0,K. Porzingis misses 3-pt shot from 25 ft,,4-13,,
7:32.0,,,4-13,,Defensive rebound by T. Lyles
