time,New York,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: A. Horford vs. R. Lopez (K. Porzingis gains possession)
11:40.0,C. Anthony makes 2-pt shot from 12 ft,2,2-0,,
11:25.0,,,2-0,,K. Korver misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by C. Anthony,,2-0,,
11:03.0,A. Afflalo makes 2-pt shot from 16 ft (assist by R. Lopez),2,4-0,,
10:53.0,,,4-0,,A. Horford misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by C. Anthony,,4-0,,
10:37.0,K. Porzingis misses 2-pt shot from 20 ft,,4-0,,
10:36.0,,,4-0,,Defensive rebound by K. Bazemore
10:27.0,,,4-0,,A. Horford misses 2-pt shot from 17 ft
10:26.0,Defensive rebound by A. Afflalo,,4-0,,
10:11.0,K. Porzingis makes 3-pt shot from 24 ft (assist by C. Anthony),3,7-0,,
9:54.0,,,7-2,2,A. Horford makes 2-pt shot from 1 ft (assist by P. Millsap)
9:43.0,R. Lopez makes 2-pt shot from 6 ft (assist by J. Calderon),2,9-2,,
9:25.0,,,9-2,,K. Bazemore misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by J. Calderon,,9-2,,
9:09.0,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony),3,12-2,,
9:08.0,,,12-2,,Atlanta full timeout
8:52.0,,,12-2,,P. Millsap misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by C. Anthony,,12-2,,
8:42.0,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Calderon),2,14-2,,
8:34.0,,,14-4,2,P. Millsap makes 2-pt shot from 1 ft (assist by A. Horford)
8:18.0,K. Porzingis misses 2-pt shot from 12 ft,,14-4,,
8:17.0,Offensive rebound by C. Anthony,,14-4,,
8:17.0,C. Anthony makes 2-pt shot at rim,2,16-4,,
8:03.0,,,16-4,,J. Teague misses 2-pt shot from 18 ft
8:00.0,Defensive rebound by R. Lopez,,16-4,,
7:51.0,C. Anthony makes 2-pt shot from 18 ft (assist by R. Lopez),2,18-4,,
7:34.0,,,18-4,,J. Teague misses 2-pt shot from 6 ft
7:33.0,Defensive rebound by C. Anthony,,18-4,,
7:20.0,K. Porzingis misses 3-pt shot from 25 ft,,18-4,,
7:19.0,,,18-4,,Defensive rebound by A. Horford
7:03.0,,,18-4,,J. Teague misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by C. Anthony,,18-4,,
6:46.0,Turnover by A. Afflalo (step out of bounds),,18-4,,
6:46.0,,,18-4,,T. Splitter enters the game for A. Horford
6:46.0,,,18-4,,T. Sefolosha enters the game for K. Korver
6:46.0,L. Thomas enters the game for K. Porzingis,,18-4,,
6:34.0,,,18-6,2,J. Teague makes 2-pt shot at rim (assist by K. Bazemore)
6:26.0,Turnover by L. Thomas (bad pass; steal by K. Bazemore),,18-6,,
6:19.0,,,18-6,,Turnover by K. Bazemore (bad pass; steal by L. Thomas)
6:05.0,,,18-6,,Personal foul by T. Sefolosha (drawn by C. Anthony)
6:05.0,New York full timeout,,18-6,,
5:50.0,L. Thomas makes 2-pt shot from 10 ft (assist by J. Calderon),2,20-6,,
5:33.0,L. Galloway enters the game for J. Calderon,,20-6,,
5:26.0,,,20-6,,T. Splitter misses 2-pt shot from 10 ft
5:24.0,Defensive rebound by A. Afflalo,,20-6,,
5:08.0,Shooting foul by K. Bazemore (drawn by C. Anthony),,20-6,,
5:08.0,C. Anthony misses free throw 1 of 2,,20-6,,
5:08.0,Offensive rebound by Team,,20-6,,
5:08.0,,,20-6,,D. Schroder enters the game for J. Teague
5:08.0,K. O'Quinn enters the game for R. Lopez,,20-6,,
5:08.0,C. Anthony makes free throw 2 of 2,1,21-6,,
4:56.0,,,21-8,2,D. Schroder makes 2-pt shot from 14 ft
4:37.0,C. Anthony makes 2-pt shot from 18 ft,2,23-8,,
4:20.0,Personal foul by L. Thomas (drawn by K. Bazemore),,23-8,,
4:20.0,J. Grant enters the game for A. Afflalo,,23-8,,
4:09.0,,,23-8,,K. Bazemore misses 2-pt shot at rim
4:07.0,,,23-8,,Offensive rebound by T. Splitter
4:07.0,,,23-10,2,T. Splitter makes 2-pt shot at rim
3:53.0,K. O'Quinn misses 2-pt shot from 20 ft,,23-10,,
3:52.0,,,23-10,,Defensive rebound by P. Millsap
3:31.0,,,23-10,,Shooting foul by K. O'Quinn (drawn by P. Millsap)
3:31.0,,,23-11,1,P. Millsap makes free throw 1 of 2
3:31.0,D. Williams enters the game for C. Anthony,,23-11,,
3:31.0,,,23-12,1,P. Millsap makes free throw 2 of 2
3:23.0,L. Thomas makes 2-pt shot from 19 ft,2,25-12,,
3:02.0,,,25-15,3,K. Bazemore makes 3-pt shot from 23 ft
2:48.0,Turnover by L. Galloway (bad pass; steal by D. Schroder),,25-15,,
2:43.0,,,25-17,2,T. Sefolosha makes 2-pt shot at rim (assist by K. Bazemore)
2:36.0,,,25-17,,Personal foul by T. Splitter (drawn by K. O'Quinn)
2:36.0,,,25-17,,A. Horford enters the game for T. Splitter
2:18.0,D. Williams makes 3-pt shot from 23 ft (assist by L. Galloway),3,28-17,,
2:14.0,,,28-17,,Turnover by A. Horford (bad pass; steal by J. Grant)
2:09.0,L. Galloway makes 2-pt shot from 18 ft (assist by J. Grant),2,30-17,,
1:53.0,,,30-19,2,A. Horford makes 2-pt shot from 1 ft (assist by P. Millsap)
1:53.0,,,30-19,,Shooting foul by J. Grant (drawn by A. Horford)
1:53.0,,,30-20,1,A. Horford makes free throw 1 of 1
1:28.0,Turnover by Team (shot clock),,30-20,,
1:28.0,,,30-20,,M. Scott enters the game for K. Bazemore
1:28.0,,,30-20,,K. Korver enters the game for P. Millsap
1:17.0,,,30-20,,D. Schroder misses 2-pt shot from 17 ft
1:16.0,Defensive rebound by L. Galloway,,30-20,,
1:05.0,L. Thomas makes 2-pt shot from 20 ft (assist by L. Galloway),2,32-20,,
0:54.0,,,32-20,,K. Korver misses 3-pt shot from 24 ft
0:53.0,Defensive rebound by D. Williams,,32-20,,
0:45.0,L. Galloway misses 3-pt shot from 24 ft,,32-20,,
0:43.0,,,32-20,,Defensive rebound by T. Sefolosha
0:29.0,,,32-20,,A. Horford misses 2-pt shot from 5 ft
0:27.0,Defensive rebound by L. Galloway,,32-20,,
0:23.0,D. Williams misses 2-pt shot from 1 ft (block by M. Scott),,32-20,,
0:23.0,Offensive rebound by Team,,32-20,,
0:12.0,D. Williams misses 2-pt shot from 6 ft,,32-20,,
0:11.0,,,32-20,,Defensive rebound by K. Korver
0:03.0,,,32-22,2,D. Schroder makes 2-pt shot at rim
0:00.0,J. Grant misses 3-pt shot from 45 ft,,32-22,,
0:00.0,Offensive rebound by Team,,32-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Violation by K. Porzingis (def goaltending),,32-22,,
11:47.0,,,32-24,2,D. Schroder makes 2-pt shot from 1 ft (assist by A. Horford)
11:28.0,K. Porzingis makes 2-pt shot from 17 ft (assist by L. Galloway),2,34-24,,
11:17.0,,,34-27,3,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder)
11:00.0,L. Galloway makes 3-pt shot from 24 ft (assist by K. O'Quinn),3,37-27,,
10:40.0,,,37-29,2,L. Patterson makes 2-pt shot from 1 ft
10:26.0,Turnover by J. Grant (traveling),,37-29,,
10:26.0,J. Calderon enters the game for J. Grant,,37-29,,
10:12.0,,,37-29,,K. Korver misses 3-pt shot from 23 ft
10:10.0,Defensive rebound by J. Calderon,,37-29,,
9:59.0,Turnover by K. Porzingis (bad pass; steal by D. Schroder),,37-29,,
9:53.0,,,37-32,3,L. Patterson makes 3-pt shot from 25 ft (assist by D. Schroder)
9:27.0,Turnover by K. O'Quinn (bad pass),,37-32,,
9:11.0,,,37-32,,L. Patterson misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by J. Calderon,,37-32,,
9:05.0,D. Williams makes 2-pt shot from 2 ft (assist by J. Calderon),2,39-32,,
8:47.0,,,39-34,2,M. Scott makes 2-pt shot from 13 ft (assist by D. Schroder)
8:29.0,K. Porzingis misses 2-pt shot from 18 ft,,39-34,,
8:28.0,Offensive rebound by Team,,39-34,,
8:28.0,Official timeout,,39-34,,
8:28.0,,,39-34,,T. Sefolosha enters the game for K. Korver
8:28.0,A. Afflalo enters the game for K. Porzingis,,39-34,,
8:28.0,C. Anthony enters the game for L. Galloway,,39-34,,
