time,Philadelphia,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. N. Noel (K. Marshall gains possession),,,,Jump ball: T. Mozgov vs. N. Noel (K. Marshall gains possession)
11:44.0,K. Marshall makes 2-pt shot from 17 ft,2,2-0,,
11:20.0,,,2-0,,K. Irving misses 2-pt shot from 1 ft
11:18.0,Defensive rebound by I. Canaan,,2-0,,
11:01.0,J. Okafor misses 2-pt shot from 16 ft,,2-0,,
11:00.0,,,2-0,,Defensive rebound by L. James
10:52.0,,,2-2,2,L. James makes 2-pt shot from 1 ft
10:34.0,R. Covington misses 2-pt shot from 10 ft,,2-2,,
10:33.0,,,2-2,,Defensive rebound by L. James
10:21.0,,,2-4,2,T. Mozgov makes 2-pt shot from 18 ft (assist by K. Irving)
10:04.0,J. Okafor makes 2-pt shot from 11 ft (assist by K. Marshall),2,4-4,,
9:40.0,,,4-6,2,K. Love makes 2-pt shot from 11 ft (assist by J. Smith)
9:23.0,J. Okafor makes 2-pt shot at rim,2,6-6,,
9:11.0,,,6-6,,K. Love misses 2-pt shot at rim (block by N. Noel)
9:09.0,Defensive rebound by J. Okafor,,6-6,,
8:46.0,N. Noel misses 2-pt shot from 5 ft,,6-6,,
8:46.0,,,6-6,,Defensive rebound by K. Love
8:44.0,,,6-6,,Turnover by K. Love (bad pass; steal by R. Covington)
8:36.0,I. Canaan makes 3-pt shot from 24 ft (assist by K. Marshall),3,9-6,,
8:23.0,,,9-6,,K. Irving misses 2-pt shot from 16 ft
8:21.0,Defensive rebound by N. Noel,,9-6,,
8:10.0,R. Covington misses 3-pt shot from 25 ft,,9-6,,
8:10.0,,,9-6,,Defensive rebound by T. Mozgov
8:05.0,Personal foul by R. Covington (drawn by K. Love),,9-6,,
8:05.0,,,9-6,,M. Dellavedova enters the game for K. Irving
7:58.0,,,9-6,,M. Dellavedova misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by N. Noel,,9-6,,
7:41.0,K. Marshall misses 3-pt shot from 25 ft,,9-6,,
7:40.0,,,9-6,,Defensive rebound by K. Love
7:28.0,,,9-6,,Shooting foul by J. Okafor (drawn by T. Mozgov)
7:28.0,,,9-7,1,T. Mozgov makes free throw 1 of 2
7:28.0,,,9-8,1,T. Mozgov makes free throw 2 of 2
7:17.0,N. Noel makes 2-pt shot from 11 ft (assist by K. Marshall),2,11-8,,
6:58.0,,,11-8,,Turnover by M. Dellavedova (lost ball; steal by I. Canaan)
6:54.0,I. Canaan misses 2-pt shot from 1 ft,,11-8,,
6:53.0,,,11-8,,Defensive rebound by Team
6:53.0,Personal foul by R. Covington (drawn by M. Dellavedova),,11-8,,
6:53.0,H. Thompson enters the game for R. Covington,,11-8,,
6:40.0,,,11-8,,T. Mozgov misses 2-pt shot at rim
6:36.0,Defensive rebound by K. Marshall,,11-8,,
6:25.0,Shooting foul by K. Love (drawn by N. Noel),,11-8,,
6:25.0,N. Noel makes free throw 1 of 2,1,12-8,,
6:25.0,N. Noel makes free throw 2 of 2,1,13-8,,
6:11.0,,,13-10,2,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Love)
5:57.0,J. Okafor misses 2-pt shot from 14 ft,,13-10,,
5:56.0,,,13-10,,Defensive rebound by L. James
5:51.0,,,13-12,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
5:51.0,Philadelphia full timeout,,13-12,,
5:51.0,,,13-12,,I. Shumpert enters the game for J. Smith
