time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. M. Gortat (J. Dudley gains possession),,,,Jump ball: B. Biyombo vs. M. Gortat (J. Dudley gains possession)
11:44.0,,,0-2,2,B. Beal makes 2-pt shot from 21 ft (assist by O. Porter)
11:30.0,,,0-2,,Personal foul by B. Beal (drawn by B. Biyombo)
11:14.0,K. Lowry makes 3-pt shot from 28 ft (assist by D. Carroll),3,3-2,,
10:56.0,,,3-4,2,M. Gortat makes 2-pt shot from 7 ft (assist by B. Beal)
10:34.0,D. DeRozan makes 2-pt shot from 9 ft,2,5-4,,
10:19.0,,,5-4,,J. Wall misses 2-pt shot from 11 ft
10:19.0,Defensive rebound by Team,,5-4,,
10:19.0,,,5-4,,Loose ball foul by M. Gortat (drawn by B. Biyombo)
10:02.0,K. Lowry misses 2-pt shot from 18 ft,,5-4,,
10:00.0,Offensive rebound by L. Scola,,5-4,,
9:46.0,D. Carroll misses 2-pt shot from 11 ft,,5-4,,
9:45.0,Offensive rebound by L. Scola,,5-4,,
9:42.0,L. Scola makes 2-pt shot at rim,2,7-4,,
9:31.0,,,7-4,,J. Dudley misses 3-pt shot from 22 ft
9:30.0,Defensive rebound by B. Biyombo,,7-4,,
9:21.0,K. Lowry misses 2-pt shot from 15 ft,,7-4,,
9:20.0,,,7-4,,Defensive rebound by J. Dudley
9:10.0,,,7-4,,J. Wall misses 3-pt shot from 22 ft
9:09.0,Defensive rebound by D. DeRozan,,7-4,,
8:56.0,D. DeRozan makes 2-pt shot from 1 ft (assist by B. Biyombo),2,9-4,,
8:45.0,,,9-6,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
8:30.0,D. DeRozan misses 2-pt shot from 13 ft,,9-6,,
8:29.0,,,9-6,,Defensive rebound by M. Gortat
8:19.0,,,9-8,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
8:05.0,Turnover by L. Scola (bad pass; steal by M. Gortat),,9-8,,
7:56.0,,,9-8,,B. Beal misses 3-pt shot from 26 ft
7:54.0,Defensive rebound by L. Scola,,9-8,,
7:45.0,Turnover by K. Lowry (bad pass),,9-8,,
7:33.0,,,9-10,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
7:19.0,Turnover by K. Lowry (bad pass),,9-10,,
7:06.0,,,9-10,,O. Porter misses 3-pt shot from 23 ft
7:05.0,Defensive rebound by K. Lowry,,9-10,,
6:58.0,L. Scola misses 2-pt shot from 1 ft,,9-10,,
6:56.0,,,9-10,,Defensive rebound by M. Gortat
6:50.0,,,9-10,,J. Wall misses 2-pt shot from 18 ft
6:48.0,Defensive rebound by B. Biyombo,,9-10,,
6:30.0,L. Scola misses 3-pt shot from 23 ft,,9-10,,
6:28.0,,,9-10,,Defensive rebound by J. Wall
6:17.0,,,9-10,,J. Wall misses 2-pt shot from 12 ft
6:16.0,Defensive rebound by B. Biyombo,,9-10,,
6:09.0,D. Carroll misses 3-pt shot from 25 ft,,9-10,,
6:09.0,,,9-10,,Defensive rebound by Team
6:09.0,,,9-10,,Washington full timeout
5:45.0,,,9-10,,J. Wall misses 2-pt shot from 20 ft
5:44.0,Defensive rebound by K. Lowry,,9-10,,
5:22.0,D. Carroll misses 2-pt shot from 8 ft,,9-10,,
5:21.0,,,9-10,,Defensive rebound by M. Gortat
5:06.0,,,9-10,,J. Wall misses 2-pt shot from 17 ft
5:04.0,Defensive rebound by K. Lowry,,9-10,,
5:03.0,Offensive foul by K. Lowry,,9-10,,
5:03.0,Turnover by K. Lowry (offensive foul),,9-10,,
4:51.0,,,9-12,2,J. Dudley makes 2-pt shot from 21 ft (assist by B. Beal)
4:29.0,D. DeRozan misses 2-pt shot from 14 ft,,9-12,,
4:28.0,,,9-12,,Defensive rebound by M. Gortat
4:18.0,,,9-15,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Dudley)
3:56.0,Turnover by D. Carroll (lost ball; steal by B. Beal),,9-15,,
3:56.0,Clear path foul by D. Carroll,,9-15,,
3:56.0,,,9-15,,R. Sessions enters the game for J. Wall
3:56.0,,,9-16,1,B. Beal makes clear path free throw 1 of 2
3:56.0,,,9-17,1,B. Beal makes clear path free throw 2 of 2
3:56.0,P. Patterson enters the game for D. Carroll,,9-17,,
3:56.0,C. Joseph enters the game for L. Scola,,9-17,,
3:43.0,,,9-17,,M. Gortat misses 2-pt shot from 2 ft (block by B. Biyombo)
3:40.0,,,9-17,,Offensive rebound by R. Sessions
3:39.0,Shooting foul by J. Dudley (drawn by K. Lowry),,9-17,,
3:39.0,,,9-17,,Turnover by J. Dudley (offensive foul)
3:39.0,K. Lowry makes free throw 1 of 2,1,10-17,,
3:39.0,,,10-17,,G. Temple enters the game for J. Dudley
3:39.0,K. Lowry misses free throw 2 of 2,,10-17,,
3:38.0,,,10-17,,Defensive rebound by M. Gortat
3:16.0,,,10-17,,M. Gortat misses 2-pt shot from 15 ft
3:14.0,,,10-17,,Offensive rebound by B. Beal
