time,Charlotte,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,W. Ellington misses 2-pt shot from 6 ft
12:00.0,Jump ball: B. Lopez vs. C. Zeller (T. Young gains possession),,,,Jump ball: B. Lopez vs. C. Zeller (T. Young gains possession)
11:43.0,,,0-0,,Offensive rebound by W. Ellington
11:42.0,,,0-2,2,W. Ellington makes 2-pt shot from 3 ft
11:19.0,C. Lee makes 2-pt shot from 9 ft,2,2-2,,
11:01.0,,,2-2,,T. Young misses 2-pt shot from 8 ft
11:00.0,Defensive rebound by C. Zeller,,2-2,,
10:49.0,K. Walker misses 3-pt shot from 24 ft,,2-2,,
10:48.0,Offensive rebound by F. Kaminsky,,2-2,,
10:38.0,F. Kaminsky makes 3-pt shot from 22 ft (assist by K. Walker),3,5-2,,
10:22.0,,,5-2,,Turnover by B. Lopez (lost ball; steal by K. Walker)
10:11.0,F. Kaminsky misses 3-pt shot from 26 ft,,5-2,,
10:10.0,,,5-2,,Defensive rebound by B. Bogdanovic
9:49.0,,,5-2,,Shooting foul by C. Zeller (drawn by B. Lopez)
9:49.0,,,5-3,1,B. Lopez makes free throw 1 of 2
9:49.0,,,5-4,1,B. Lopez makes free throw 2 of 2
9:29.0,F. Kaminsky makes 2-pt shot from 13 ft,2,7-4,,
9:14.0,,,7-6,2,B. Lopez makes 2-pt shot from 15 ft
9:01.0,N. Batum misses 3-pt shot from 23 ft,,7-6,,
8:59.0,,,7-6,,Defensive rebound by D. Sloan
8:44.0,,,7-6,,T. Young misses 2-pt shot from 15 ft
8:43.0,Defensive rebound by C. Zeller,,7-6,,
8:26.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum),3,10-6,,
8:13.0,,,10-6,,Turnover by T. Young (bad pass)
7:57.0,C. Zeller misses 2-pt shot from 14 ft,,10-6,,
7:56.0,,,10-6,,Defensive rebound by D. Sloan
7:46.0,,,10-6,,B. Lopez misses 2-pt shot from 9 ft
7:45.0,Defensive rebound by C. Lee,,10-6,,
7:30.0,K. Walker misses 3-pt shot from 25 ft,,10-6,,
7:29.0,,,10-6,,Defensive rebound by T. Young
7:19.0,,,10-8,2,T. Young makes 2-pt shot from 3 ft (assist by D. Sloan)
7:00.0,,,10-8,,Personal foul by B. Bogdanovic
6:48.0,F. Kaminsky misses 2-pt shot from 17 ft,,10-8,,
6:47.0,,,10-8,,Defensive rebound by B. Bogdanovic
6:35.0,,,10-8,,D. Sloan misses 3-pt shot from 23 ft
6:34.0,Defensive rebound by F. Kaminsky,,10-8,,
6:25.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,12-8,,
6:03.0,,,12-8,,T. Young misses 2-pt shot from 2 ft (block by F. Kaminsky)
6:02.0,,,12-8,,Offensive rebound by T. Young
6:01.0,,,12-8,,T. Young misses 2-pt shot from 3 ft
5:59.0,Defensive rebound by C. Zeller,,12-8,,
5:40.0,F. Kaminsky makes 2-pt shot from 5 ft,2,14-8,,
5:33.0,,,14-8,,Brooklyn full timeout
5:33.0,A. Jefferson enters the game for C. Zeller,,14-8,,
5:33.0,,,14-8,,R. Hollis-Jefferson enters the game for W. Ellington
5:33.0,J. Lin enters the game for C. Lee,,14-8,,
5:25.0,,,14-10,2,B. Lopez makes 2-pt shot from 19 ft (assist by D. Sloan)
5:06.0,N. Batum makes 2-pt shot from 1 ft (assist by A. Jefferson),2,16-10,,
4:47.0,,,16-10,,D. Sloan misses 2-pt shot from 19 ft
4:46.0,Defensive rebound by K. Walker,,16-10,,
4:25.0,F. Kaminsky misses 2-pt shot from 15 ft,,16-10,,
4:24.0,,,16-10,,Defensive rebound by T. Young
4:18.0,,,16-10,,Turnover by T. Young (bad pass)
3:59.0,,,16-10,,Personal foul by R. Hollis-Jefferson
3:48.0,J. Lin misses 2-pt shot from 14 ft,,16-10,,
3:47.0,,,16-10,,Defensive rebound by B. Lopez
3:41.0,,,16-10,,B. Bogdanovic misses 3-pt shot from 24 ft
3:39.0,Defensive rebound by F. Kaminsky,,16-10,,
3:30.0,J. Lin makes 2-pt shot from 3 ft,2,18-10,,
3:18.0,,,18-12,2,T. Young makes 2-pt shot from 1 ft
3:03.0,A. Jefferson misses 2-pt shot from 8 ft,,18-12,,
3:02.0,,,18-12,,Defensive rebound by B. Bogdanovic
2:42.0,,,18-12,,Turnover by T. Young (lost ball)
2:42.0,Charlotte full timeout,,18-12,,
2:42.0,C. Lee enters the game for N. Batum,,18-12,,
2:42.0,S. Hawes enters the game for F. Kaminsky,,18-12,,
2:26.0,C. Lee makes 3-pt shot from 26 ft (assist by A. Jefferson),3,21-12,,
2:14.0,Personal foul by C. Lee,,21-12,,
2:14.0,,,21-12,,M. Brown enters the game for B. Bogdanovic
2:05.0,,,21-14,2,R. Hollis-Jefferson makes 2-pt shot from 17 ft (assist by B. Lopez)
1:41.0,C. Lee misses 3-pt shot from 23 ft,,21-14,,
1:39.0,,,21-14,,Defensive rebound by M. Brown
1:22.0,,,21-14,,R. Hollis-Jefferson misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by S. Hawes,,21-14,,
1:03.0,J. Lin makes 2-pt shot from 2 ft (assist by C. Lee),2,23-14,,
0:46.0,,,23-14,,Turnover by M. Brown (lost ball; steal by C. Lee)
0:42.0,J. Lin makes 2-pt shot from 2 ft (assist by C. Lee),2,25-14,,
0:42.0,,,25-14,,Brooklyn full timeout
0:42.0,,,25-14,,S. Larkin enters the game for D. Sloan
0:32.0,,,25-14,,M. Brown misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by S. Hawes,,25-14,,
0:16.0,K. Walker misses 2-pt shot from 20 ft,,25-14,,
0:15.0,,,25-14,,Defensive rebound by M. Brown
0:02.0,,,25-14,,Turnover by T. Young (lost ball; steal by C. Lee)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,25-14,,Personal foul by S. Kilpatrick
11:48.0,J. Lamb misses free throw 1 of 2,,25-14,,
11:48.0,Offensive rebound by Team,,25-14,,
11:48.0,J. Lamb makes free throw 2 of 2,1,26-14,,
11:33.0,,,26-14,,M. Brown misses 3-pt shot from 24 ft
11:32.0,Defensive rebound by C. Lee,,26-14,,
11:22.0,J. Lamb misses 3-pt shot from 25 ft,,26-14,,
11:21.0,,,26-14,,Defensive rebound by T. Robinson
11:08.0,,,26-16,2,S. Kilpatrick makes 2-pt shot from 10 ft
10:53.0,,,26-16,,Personal foul by H. Sims
10:45.0,S. Hawes misses 3-pt shot from 24 ft,,26-16,,
10:44.0,,,26-16,,Defensive rebound by M. Brown
10:31.0,,,26-16,,H. Sims misses 2-pt shot from 17 ft
10:30.0,Defensive rebound by J. Lamb,,26-16,,
10:26.0,Turnover by J. Lamb (lost ball; steal by M. Brown),,26-16,,
10:25.0,Personal foul by C. Lee,,26-16,,
10:12.0,,,26-18,2,S. Kilpatrick makes 2-pt shot from 19 ft (assist by S. Larkin)
9:55.0,S. Hawes makes 2-pt shot from 2 ft (assist by A. Jefferson),2,28-18,,
9:40.0,,,28-18,,T. Robinson misses 2-pt shot from 1 ft
9:39.0,Defensive rebound by J. Lin,,28-18,,
9:28.0,Turnover by S. Hawes (bad pass),,28-18,,
9:14.0,Violation by S. Hawes (kicked ball),,28-18,,
9:14.0,Personal foul by J. Lamb,,28-18,,
9:05.0,,,28-18,,M. Brown misses 2-pt shot from 19 ft
9:04.0,Defensive rebound by C. Lee,,28-18,,
8:50.0,J. Lin misses 3-pt shot from 24 ft,,28-18,,
8:49.0,,,28-18,,Defensive rebound by H. Sims
8:39.0,,,28-18,,Shooting foul by A. Jefferson (drawn by M. Brown)
8:39.0,Official timeout,,28-18,,
8:39.0,,,28-19,1,M. Brown makes free throw 1 of 2
8:39.0,,,28-20,1,M. Brown makes free throw 2 of 2
8:37.0,,,28-20,,Personal foul by T. Robinson
8:17.0,A. Jefferson misses 2-pt shot from 17 ft,,28-20,,
8:16.0,,,28-20,,Defensive rebound by T. Robinson
8:07.0,,,28-20,,Offensive foul by H. Sims
8:07.0,,,28-20,,Turnover by H. Sims (offensive foul)
8:07.0,C. Zeller enters the game for A. Jefferson,,28-20,,
7:57.0,C. Lee misses 2-pt shot from 15 ft,,28-20,,
7:56.0,,,28-20,,Defensive rebound by H. Sims
7:44.0,,,28-20,,Shooting foul by S. Hawes (drawn by T. Robinson)
7:44.0,,,28-20,,T. Robinson misses free throw 1 of 2
7:44.0,,,28-20,,Offensive rebound by Team
7:44.0,,,28-20,,T. Robinson misses free throw 2 of 2
7:44.0,Defensive rebound by C. Lee,,28-20,,
7:30.0,C. Zeller makes 2-pt shot from 1 ft (assist by J. Lin),2,30-20,,
7:14.0,,,30-20,,S. Larkin misses 2-pt shot from 16 ft
7:13.0,Defensive rebound by C. Zeller,,30-20,,
7:01.0,C. Lee misses 3-pt shot from 24 ft,,30-20,,
7:00.0,Offensive rebound by J. Lamb,,30-20,,
6:58.0,J. Lamb makes 2-pt shot from 1 ft,2,32-20,,
6:49.0,Personal foul by J. Lamb,,32-20,,
6:49.0,,,32-21,1,S. Kilpatrick makes free throw 1 of 2
6:49.0,N. Batum enters the game for C. Lee,,32-21,,
6:49.0,,,32-21,,B. Lopez enters the game for H. Sims
6:49.0,,,32-22,1,S. Kilpatrick makes free throw 2 of 2
6:24.0,J. Lin makes 3-pt shot from 26 ft,3,35-22,,
6:07.0,,,35-24,2,S. Kilpatrick makes 2-pt shot from 8 ft (assist by B. Lopez)
5:52.0,C. Zeller makes 2-pt shot from 2 ft (assist by J. Lin),2,37-24,,
5:26.0,,,37-27,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by B. Lopez)
5:15.0,J. Lin misses 2-pt shot from 19 ft,,37-27,,
5:14.0,,,37-27,,Defensive rebound by M. Brown
5:03.0,,,37-27,,Turnover by B. Lopez (step out of bounds)
5:03.0,,,37-27,,Brooklyn full timeout
5:03.0,F. Kaminsky enters the game for S. Hawes,,37-27,,
5:03.0,K. Walker enters the game for J. Lamb,,37-27,,
5:03.0,,,37-27,,B. Bogdanovic enters the game for M. Brown
4:48.0,N. Batum misses 2-pt shot from 23 ft,,37-27,,
4:47.0,,,37-27,,Defensive rebound by T. Robinson
4:35.0,,,37-27,,S. Kilpatrick misses 2-pt shot from 8 ft
4:34.0,Defensive rebound by F. Kaminsky,,37-27,,
4:19.0,J. Lin misses 2-pt shot from 5 ft,,37-27,,
4:18.0,,,37-27,,Defensive rebound by S. Larkin
4:12.0,,,37-30,3,S. Kilpatrick makes 3-pt shot from 23 ft (assist by S. Larkin)
3:53.0,K. Walker misses 2-pt shot from 18 ft,,37-30,,
3:52.0,,,37-30,,Defensive rebound by T. Robinson
3:36.0,,,37-30,,Shooting foul by C. Zeller (drawn by B. Lopez)
3:36.0,,,37-31,1,B. Lopez makes free throw 1 of 2
3:36.0,,,37-31,,T. Young enters the game for T. Robinson
3:36.0,C. Lee enters the game for J. Lin,,37-31,,
3:36.0,,,37-32,1,B. Lopez makes free throw 2 of 2
3:15.0,N. Batum makes 2-pt shot from 16 ft,2,39-32,,
3:04.0,,,39-32,,Turnover by S. Larkin (lost ball; steal by C. Lee)
2:54.0,N. Batum makes 3-pt shot from 23 ft (assist by C. Lee),3,42-32,,
2:54.0,,,42-32,,Brooklyn full timeout
2:54.0,,,42-32,,D. Sloan enters the game for S. Larkin
2:54.0,,,42-32,,W. Ellington enters the game for S. Kilpatrick
2:54.0,A. Jefferson enters the game for C. Zeller,,42-32,,
2:38.0,,,42-34,2,B. Lopez makes 2-pt shot from 5 ft
2:12.0,N. Batum misses 3-pt shot from 26 ft,,42-34,,
2:11.0,,,42-34,,Defensive rebound by W. Ellington
2:02.0,,,42-34,,W. Ellington misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by A. Jefferson,,42-34,,
1:45.0,A. Jefferson makes 2-pt shot from 16 ft (assist by K. Walker),2,44-34,,
1:32.0,,,44-34,,B. Bogdanovic misses 2-pt shot from 8 ft (block by F. Kaminsky)
1:30.0,,,44-34,,Offensive rebound by B. Lopez
1:24.0,,,44-34,,B. Bogdanovic misses 2-pt shot from 23 ft
1:24.0,Defensive rebound by A. Jefferson,,44-34,,
1:17.0,Turnover by K. Walker (bad pass),,44-34,,
1:02.0,,,44-34,,D. Sloan misses 2-pt shot from 2 ft
1:01.0,Defensive rebound by F. Kaminsky,,44-34,,
0:52.0,K. Walker misses 2-pt shot from 2 ft,,44-34,,
0:51.0,,,44-34,,Defensive rebound by D. Sloan
0:44.0,,,44-34,,B. Lopez misses 2-pt shot from 6 ft
0:43.0,Defensive rebound by A. Jefferson,,44-34,,
0:35.0,C. Lee misses 2-pt shot from 19 ft,,44-34,,
0:34.0,Offensive rebound by Team,,44-34,,
0:34.0,,,44-34,,Loose ball foul by T. Young
0:13.0,A. Jefferson misses 2-pt shot from 13 ft,,44-34,,
0:12.0,,,44-34,,Defensive rebound by B. Lopez
0:08.0,,,44-34,,Shooting foul by N. Batum (drawn by B. Bogdanovic)
0:08.0,,,44-35,1,B. Bogdanovic makes free throw 1 of 2
0:08.0,,,44-35,,M. Brown enters the game for B. Lopez
0:08.0,,,44-36,1,B. Bogdanovic makes free throw 2 of 2
0:00.0,K. Walker makes 2-pt shot from 2 ft,2,46-36,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,K. Walker makes 3-pt shot from 22 ft (assist by C. Zeller),3,49-36,,
11:26.0,,,49-36,,D. Sloan misses 3-pt shot from 22 ft
11:25.0,Defensive rebound by F. Kaminsky,,49-36,,
11:16.0,F. Kaminsky misses 3-pt shot from 28 ft,,49-36,,
11:15.0,,,49-36,,Defensive rebound by W. Ellington
11:00.0,,,49-36,,Shooting foul by F. Kaminsky (drawn by B. Lopez)
11:00.0,,,49-37,1,B. Lopez makes free throw 1 of 2
11:00.0,,,49-38,1,B. Lopez makes free throw 2 of 2
10:49.0,N. Batum misses 2-pt shot from 16 ft,,49-38,,
10:48.0,,,49-38,,Defensive rebound by B. Lopez
10:36.0,,,49-40,2,B. Lopez makes 2-pt shot from 10 ft
10:26.0,F. Kaminsky makes 2-pt shot at rim (assist by K. Walker),2,51-40,,
10:06.0,,,51-40,,W. Ellington misses 2-pt shot from 18 ft
10:05.0,Defensive rebound by K. Walker,,51-40,,
10:04.0,,,51-40,,Personal foul by W. Ellington
9:52.0,K. Walker makes 2-pt shot from 8 ft,2,53-40,,
9:32.0,,,53-40,,B. Lopez misses 2-pt shot from 6 ft (block by C. Zeller)
9:30.0,Defensive rebound by F. Kaminsky,,53-40,,
9:24.0,K. Walker makes 2-pt shot from 1 ft,2,55-40,,
9:24.0,,,55-40,,Brooklyn full timeout
9:08.0,,,55-40,,T. Young misses 2-pt shot from 9 ft
9:07.0,Defensive rebound by C. Zeller,,55-40,,
8:57.0,,,55-40,,Personal foul by B. Bogdanovic
8:45.0,K. Walker misses 2-pt shot from 18 ft,,55-40,,
8:44.0,,,55-40,,Defensive rebound by T. Young
8:26.0,,,55-40,,B. Lopez misses 2-pt shot from 5 ft
8:25.0,Defensive rebound by C. Lee,,55-40,,
8:11.0,Shooting foul by D. Sloan (drawn by F. Kaminsky),,55-40,,
8:11.0,F. Kaminsky makes free throw 1 of 2,1,56-40,,
8:11.0,,,56-40,,S. Kilpatrick enters the game for W. Ellington
8:11.0,,,56-40,,R. Hollis-Jefferson enters the game for B. Bogdanovic
8:11.0,F. Kaminsky makes free throw 2 of 2,1,57-40,,
7:48.0,,,57-42,2,T. Young makes 2-pt shot from 4 ft (assist by D. Sloan)
7:34.0,N. Batum misses 3-pt shot from 23 ft,,57-42,,
7:32.0,,,57-42,,Defensive rebound by T. Young
7:24.0,,,57-44,2,T. Young makes 2-pt shot from 5 ft
7:04.0,Turnover by F. Kaminsky (lost ball; steal by R. Hollis-Jefferson),,57-44,,
6:53.0,,,57-44,,Shooting foul by N. Batum (drawn by R. Hollis-Jefferson)
6:53.0,,,57-44,,R. Hollis-Jefferson misses free throw 1 of 2
6:53.0,,,57-44,,Offensive rebound by Team
6:53.0,,,57-44,,S. Larkin enters the game for D. Sloan
