time,Detroit,pts.away,score,pts.home,Golden State
3:20.0,,,86-104,2,D. Green makes 2-pt shot from 8 ft
2:55.0,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by A. Drummond),2,88-104,,
2:38.0,,,88-104,,Turnover by A. Iguodala (lost ball; steal by S. Blake)
2:31.0,S. Johnson makes 2-pt shot from 1 ft (assist by S. Blake),2,90-104,,
2:09.0,,,90-104,,A. Iguodala misses 2-pt shot from 13 ft
2:08.0,,,90-104,,Offensive rebound by Team
2:08.0,Personal foul by A. Drummond (drawn by F. Ezeli),,90-104,,
2:08.0,,,90-104,,Golden State full timeout
1:55.0,,,90-104,,Turnover by S. Curry (bad pass; steal by M. Morris)
1:51.0,S. Johnson makes 2-pt shot from 2 ft (assist by M. Morris),2,92-104,,
1:51.0,Shooting foul by A. Iguodala (drawn by S. Johnson),,92-104,,
1:51.0,S. Johnson misses free throw 1 of 1,,92-104,,
1:49.0,,,92-104,,Defensive rebound by D. Green
1:34.0,,,92-104,,D. Green misses 2-pt shot at rim
1:33.0,,,92-104,,Offensive rebound by D. Green
1:33.0,,,92-104,,D. Green misses 2-pt shot at rim
1:32.0,,,92-104,,Offensive rebound by D. Green
1:31.0,,,92-107,3,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green)
1:14.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,92-107,,
1:13.0,,,92-107,,Defensive rebound by F. Ezeli
0:59.0,,,92-109,2,K. Thompson makes 2-pt shot from 11 ft
0:43.0,S. Blake misses 2-pt shot from 18 ft,,92-109,,
0:41.0,,,92-109,,Defensive rebound by D. Green
0:27.0,,,92-109,,K. Thompson misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by S. Johnson,,92-109,,
0:21.0,S. Johnson makes 3-pt shot from 26 ft,3,95-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
