time,Detroit,pts.away,score,pts.home,Golden State
1:23.0,Defensive rebound by A. Drummond,,15-21,,
1:08.0,,,15-21,,Personal foul by A. Iguodala (drawn by M. Morris)
0:56.0,M. Morris misses 2-pt shot from 20 ft,,15-21,,
0:55.0,,,15-21,,Defensive rebound by S. Livingston
0:48.0,,,15-24,3,H. Barnes makes 3-pt shot from 24 ft (assist by S. Livingston)
0:33.0,A. Drummond misses 2-pt shot from 8 ft,,15-24,,
0:32.0,,,15-24,,Defensive rebound by A. Bogut
0:10.0,,,15-27,3,A. Iguodala makes 3-pt shot from 25 ft (assist by A. Bogut)
0:01.0,S. Johnson misses 2-pt shot from 6 ft,,15-27,,
0:00.0,,,15-27,,Defensive rebound by A. Iguodala
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by A. Baynes (lost ball),,15-27,,
11:30.0,,,15-27,,A. Iguodala misses 2-pt shot from 21 ft
11:29.0,Defensive rebound by S. Johnson,,15-27,,
11:22.0,S. Johnson makes 2-pt shot from 2 ft,2,17-27,,
11:07.0,,,17-27,,H. Barnes misses 2-pt shot from 18 ft
11:07.0,Defensive rebound by S. Blake,,17-27,,
10:56.0,M. Morris makes 2-pt shot from 13 ft,2,19-27,,
10:36.0,Personal foul by M. Morris (drawn by A. Bogut),,19-27,,
10:24.0,,,19-29,2,S. Livingston makes 2-pt shot from 16 ft
10:06.0,M. Morris makes 2-pt shot from 17 ft,2,21-29,,
9:52.0,,,21-29,,S. Livingston misses 2-pt shot from 14 ft
9:51.0,Defensive rebound by A. Baynes,,21-29,,
9:43.0,Turnover by S. Blake (bad pass; steal by L. Barbosa),,21-29,,
9:38.0,,,21-31,2,A. Iguodala makes 2-pt shot at rim (assist by L. Barbosa)
9:18.0,Turnover by A. Baynes (traveling),,21-31,,
9:05.0,,,21-31,,Turnover by H. Barnes (lost ball)
9:05.0,,,21-31,,M. Speights enters the game for A. Bogut
8:51.0,M. Morris makes 2-pt shot from 9 ft,2,23-31,,
8:37.0,,,23-31,,M. Speights misses 2-pt shot from 1 ft
8:35.0,,,23-31,,Offensive rebound by S. Livingston
8:35.0,,,23-31,,S. Livingston misses 2-pt shot at rim
8:33.0,Defensive rebound by M. Morris,,23-31,,
8:30.0,,,23-31,,Personal foul by L. Barbosa (drawn by M. Morris)
8:30.0,Official timeout,,23-31,,
8:30.0,K. Caldwell-Pope enters the game for S. Johnson,,23-31,,
8:30.0,,,23-31,,K. Thompson enters the game for A. Iguodala
8:23.0,Shooting foul by M. Speights (drawn by M. Morris),,23-31,,
8:23.0,M. Morris misses free throw 1 of 3,,23-31,,
8:23.0,Offensive rebound by Team,,23-31,,
8:23.0,M. Morris makes free throw 2 of 3,1,24-31,,
8:23.0,M. Morris misses free throw 3 of 3,,24-31,,
8:21.0,Offensive rebound by M. Morris,,24-31,,
8:14.0,A. Baynes makes 2-pt shot from 8 ft,2,26-31,,
7:56.0,,,26-31,,M. Speights misses 2-pt shot from 6 ft
7:56.0,Defensive rebound by A. Baynes,,26-31,,
7:47.0,S. Blake makes 3-pt shot from 25 ft,3,29-31,,
7:35.0,,,29-31,,K. Thompson misses 2-pt shot from 18 ft
7:34.0,,,29-31,,Offensive rebound by M. Speights
7:33.0,,,29-31,,S. Curry enters the game for S. Livingston
7:33.0,,,29-31,,D. Green enters the game for H. Barnes
7:25.0,,,29-34,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
7:10.0,S. Blake makes 2-pt shot from 19 ft (assist by A. Baynes),2,31-34,,
6:55.0,,,31-37,3,L. Barbosa makes 3-pt shot from 26 ft (assist by K. Thompson)
6:44.0,Detroit full timeout,,31-37,,
6:44.0,S. Johnson enters the game for A. Tolliver,,31-37,,
6:34.0,M. Morris misses 2-pt shot from 15 ft,,31-37,,
