time,Indiana,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. I. Mahinmi (L. Allen gains possession),,,,Jump ball: A. Johnson vs. I. Mahinmi (L. Allen gains possession)
11:42.0,L. Allen misses 2-pt shot from 21 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by A. Johnson
11:28.0,,,0-0,,A. Bradley misses 2-pt shot from 20 ft
11:27.0,Defensive rebound by I. Mahinmi,,0-0,,
11:18.0,M. Ellis makes 2-pt shot from 10 ft,2,2-0,,
11:08.0,,,2-0,,J. Sullinger misses 2-pt shot from 20 ft
11:06.0,,,2-0,,Offensive rebound by A. Johnson
11:05.0,,,2-0,,Turnover by A. Johnson (bad pass; steal by I. Mahinmi)
10:48.0,I. Mahinmi makes 2-pt shot from 5 ft (assist by P. George),2,4-0,,
10:30.0,,,4-0,,A. Bradley misses 2-pt shot from 22 ft
10:28.0,,,4-0,,Offensive rebound by A. Johnson
10:21.0,,,4-0,,Turnover by A. Bradley (lost ball; steal by M. Ellis)
10:13.0,I. Mahinmi makes 2-pt shot from 3 ft (assist by M. Ellis),2,6-0,,
10:00.0,,,6-0,,Turnover by I. Thomas (lost ball; steal by G. Hill)
9:52.0,G. Hill makes 2-pt shot from 13 ft,2,8-0,,
9:52.0,,,8-0,,Boston full timeout
9:41.0,,,8-2,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Bradley)
9:31.0,,,8-2,,Def 3 sec tech foul by J. Sullinger
9:31.0,P. George makes technical free throw,1,9-2,,
9:27.0,L. Allen misses 2-pt shot from 3 ft,,9-2,,
9:26.0,,,9-2,,Defensive rebound by A. Johnson
9:14.0,,,9-2,,Turnover by J. Sullinger (lost ball; steal by I. Mahinmi)
9:11.0,Turnover by M. Ellis (discontinued dribble),,9-2,,
8:58.0,,,9-2,,I. Thomas misses 2-pt shot from 12 ft
8:57.0,,,9-2,,Offensive rebound by A. Johnson
