time,Washington,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-0,,K. Irving misses 3-pt shot from 24 ft
12:00.0,Jump ball: M. Gortat vs. T. Mozgov (J. Smith gains possession),,,,Jump ball: M. Gortat vs. T. Mozgov (J. Smith gains possession)
11:42.0,Defensive rebound by M. Morris,,0-0,,
11:21.0,M. Morris misses 2-pt shot from 11 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by L. James
11:11.0,,,0-0,,L. James misses 2-pt shot from 1 ft
11:10.0,Defensive rebound by M. Gortat,,0-0,,
11:00.0,M. Gortat misses 2-pt shot from 12 ft,,0-0,,
11:00.0,,,0-0,,Defensive rebound by L. James
10:41.0,,,0-0,,J. Smith misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by J. Wall,,0-0,,
10:31.0,G. Temple misses 3-pt shot from 25 ft,,0-0,,
10:31.0,,,0-0,,Defensive rebound by I. Shumpert
10:20.0,,,0-2,2,K. Irving makes 2-pt shot from 1 ft (assist by I. Shumpert)
10:04.0,J. Wall makes 2-pt shot from 12 ft,2,2-2,,
9:45.0,,,2-4,2,T. Mozgov makes 2-pt shot from 7 ft (assist by L. James)
9:29.0,M. Gortat makes 2-pt shot at rim (assist by M. Morris),2,4-4,,
9:09.0,,,4-4,,I. Shumpert misses 2-pt shot from 20 ft
9:09.0,Defensive rebound by M. Gortat,,4-4,,
8:57.0,J. Wall makes 2-pt shot from 19 ft,2,6-4,,
8:43.0,,,6-6,2,K. Irving makes 2-pt shot from 13 ft
8:19.0,O. Porter misses 2-pt shot from 19 ft,,6-6,,
8:19.0,,,6-6,,Defensive rebound by L. James
8:01.0,,,6-6,,L. James misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by O. Porter,,6-6,,
7:52.0,O. Porter misses 3-pt shot from 24 ft,,6-6,,
7:51.0,,,6-6,,Defensive rebound by L. James
7:33.0,,,6-6,,K. Irving misses 2-pt shot from 1 ft
7:32.0,,,6-6,,Offensive rebound by T. Mozgov
7:32.0,,,6-8,2,T. Mozgov makes 2-pt shot at rim
7:05.0,G. Temple misses 3-pt shot from 23 ft,,6-8,,
7:04.0,Offensive rebound by O. Porter,,6-8,,
7:04.0,Shooting foul by J. Smith (drawn by O. Porter),,6-8,,
7:04.0,O. Porter misses free throw 1 of 2,,6-8,,
7:04.0,Offensive rebound by Team,,6-8,,
7:04.0,O. Porter makes free throw 2 of 2,1,7-8,,
6:51.0,,,7-10,2,T. Mozgov makes 2-pt shot at rim (assist by J. Smith)
6:30.0,J. Wall misses 3-pt shot from 24 ft,,7-10,,
6:29.0,,,7-10,,Defensive rebound by L. James
6:26.0,,,7-10,,Shooting foul by J. Wall (drawn by J. Smith)
6:26.0,,,7-11,1,J. Smith makes free throw 1 of 2
6:26.0,B. Beal enters the game for G. Temple,,7-11,,
6:26.0,,,7-12,1,J. Smith makes free throw 2 of 2
6:06.0,Turnover by B. Beal (bad pass; steal by L. James),,7-12,,
6:00.0,,,7-14,2,L. James makes 2-pt shot at rim
5:53.0,Turnover by B. Beal (bad pass; steal by L. James),,7-14,,
5:50.0,,,7-16,2,L. James makes 2-pt shot at rim
5:50.0,Washington full timeout,,7-16,,
5:33.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,10-16,,
5:17.0,,,10-19,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving)
4:55.0,M. Gortat misses 2-pt shot from 13 ft,,10-19,,
4:55.0,,,10-19,,Defensive rebound by T. Mozgov
4:36.0,,,10-19,,L. James misses 2-pt shot from 16 ft
4:36.0,Defensive rebound by O. Porter,,10-19,,
4:27.0,J. Wall makes 2-pt shot from 17 ft,2,12-19,,
4:14.0,,,12-19,,K. Irving misses 2-pt shot from 6 ft
4:13.0,,,12-19,,Offensive rebound by T. Mozgov
4:09.0,Personal foul by J. Wall (drawn by K. Irving),,12-19,,
4:09.0,,,12-19,,T. Thompson enters the game for T. Mozgov
4:09.0,R. Sessions enters the game for J. Wall,,12-19,,
4:01.0,,,12-19,,K. Irving misses 2-pt shot from 11 ft (block by M. Gortat)
3:59.0,,,12-19,,Offensive rebound by K. Irving
3:56.0,,,12-19,,Shooting foul by M. Gortat (drawn by T. Thompson)
3:56.0,,,12-20,1,K. Irving makes free throw 1 of 2
3:56.0,,,12-21,1,K. Irving makes free throw 2 of 2
3:40.0,,,12-21,,Personal foul by I. Shumpert (drawn by M. Gortat)
3:40.0,,,12-21,,R. Jefferson enters the game for I. Shumpert
3:33.0,B. Beal misses 2-pt shot from 16 ft,,12-21,,
3:33.0,Offensive rebound by M. Morris,,12-21,,
3:21.0,M. Morris makes 2-pt shot from 5 ft,2,14-21,,
3:08.0,,,14-23,2,K. Irving makes 2-pt shot from 8 ft
3:05.0,,,14-23,,Violation by Team (jump ball)
