time,New York,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Lopez (T. Gibson gains possession),,,,Jump ball: P. Gasol vs. R. Lopez (T. Gibson gains possession)
11:43.0,,,0-0,,D. Rose misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by K. Porzingis,,0-0,,
11:24.0,K. Porzingis makes 2-pt shot from 23 ft (assist by J. Calderon),2,2-0,,
11:13.0,,,2-2,2,T. Gibson makes 2-pt shot from 2 ft
11:13.0,,,2-2,,Shooting foul by K. Porzingis (drawn by T. Gibson)
11:13.0,,,2-3,1,T. Gibson makes free throw 1 of 1
10:58.0,C. Anthony misses 2-pt shot from 22 ft,,2-3,,
10:57.0,Offensive rebound by K. Porzingis,,2-3,,
10:51.0,S. Vujacic makes 3-pt shot from 22 ft (assist by C. Anthony),3,5-3,,
10:32.0,,,5-3,,J. Butler misses 2-pt shot from 20 ft
10:31.0,Defensive rebound by J. Calderon,,5-3,,
10:08.0,K. Porzingis makes 3-pt shot from 24 ft (assist by S. Vujacic),3,8-3,,
9:57.0,,,8-5,2,P. Gasol makes 2-pt shot from 21 ft (assist by D. Rose)
9:30.0,Turnover by Team (shot clock),,8-5,,
9:18.0,,,8-5,,P. Gasol misses 3-pt shot from 24 ft
9:17.0,,,8-5,,Offensive rebound by T. Gibson
9:10.0,,,8-5,,Chicago full timeout
9:00.0,,,8-5,,P. Gasol misses 2-pt shot from 3 ft (block by R. Lopez)
8:58.0,Defensive rebound by C. Anthony,,8-5,,
8:41.0,K. Porzingis misses 3-pt shot from 24 ft,,8-5,,
8:40.0,,,8-5,,Defensive rebound by P. Gasol
8:25.0,,,8-7,2,T. Gibson makes 2-pt shot from 1 ft (assist by P. Gasol)
8:03.0,C. Anthony makes 2-pt shot from 9 ft,2,10-7,,
7:44.0,,,10-7,,M. Dunleavy misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by K. Porzingis,,10-7,,
7:31.0,R. Lopez makes 2-pt shot from 8 ft (assist by C. Anthony),2,12-7,,
7:24.0,,,12-9,2,D. Rose makes 2-pt shot from 1 ft
7:10.0,C. Anthony misses 2-pt shot from 19 ft,,12-9,,
7:09.0,,,12-9,,Defensive rebound by P. Gasol
7:05.0,,,12-11,2,D. Rose makes 2-pt shot from 4 ft
7:05.0,,,12-11,,Shooting foul by J. Calderon (drawn by D. Rose)
7:05.0,,,12-12,1,D. Rose makes free throw 1 of 1
6:51.0,S. Vujacic makes 3-pt shot from 24 ft (assist by R. Lopez),3,15-12,,
6:34.0,,,15-12,,D. Rose misses 2-pt shot from 13 ft
