time,Charlotte,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. C. Zeller (K. Walker gains possession),,,,Jump ball: M. Plumlee vs. C. Zeller (K. Walker gains possession)
11:37.0,M. Williams misses 2-pt shot from 19 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by J. Parker
11:14.0,,,0-0,,K. Middleton misses 2-pt shot from 16 ft (block by N. Batum)
11:11.0,Defensive rebound by K. Walker,,0-0,,
11:01.0,K. Walker misses 3-pt shot from 24 ft,,0-0,,
10:59.0,,,0-0,,Defensive rebound by G. Antetokounmpo
10:53.0,,,0-0,,O. Mayo misses 3-pt shot from 23 ft
10:51.0,Defensive rebound by K. Walker,,0-0,,
10:43.0,C. Zeller misses 2-pt shot from 19 ft,,0-0,,
10:41.0,,,0-0,,Defensive rebound by J. Parker
10:25.0,,,0-0,,Shooting foul by F. Kaminsky (drawn by J. Parker)
10:25.0,,,0-1,1,J. Parker makes free throw 1 of 2
10:25.0,,,0-2,1,J. Parker makes free throw 2 of 2
10:14.0,K. Walker misses 2-pt shot from 2 ft,,0-2,,
10:13.0,Offensive rebound by C. Zeller,,0-2,,
10:08.0,C. Zeller makes 2-pt shot at rim,2,2-2,,
10:01.0,,,2-4,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:36.0,M. Williams misses 3-pt shot from 23 ft,,2-4,,
9:35.0,,,2-4,,Defensive rebound by K. Middleton
9:29.0,,,2-6,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton)
9:10.0,C. Zeller makes 2-pt shot from 14 ft,2,4-6,,
8:59.0,,,4-8,2,J. Parker makes 2-pt shot from 1 ft (assist by K. Middleton)
8:42.0,Turnover by N. Batum (lost ball; steal by K. Middleton),,4-8,,
8:40.0,,,4-8,,Turnover by O. Mayo (bad pass)
8:21.0,N. Batum misses 3-pt shot from 26 ft,,4-8,,
8:19.0,,,4-8,,Defensive rebound by G. Antetokounmpo
8:03.0,,,4-8,,Turnover by K. Middleton (lost ball; steal by K. Walker)
7:52.0,K. Walker makes 3-pt shot from 25 ft,3,7-8,,
7:39.0,,,7-10,2,J. Parker makes 2-pt shot at rim
7:22.0,C. Zeller misses 2-pt shot from 13 ft,,7-10,,
7:21.0,Offensive rebound by M. Williams,,7-10,,
7:09.0,M. Williams makes 2-pt shot from 1 ft,2,9-10,,
7:01.0,,,9-10,,J. Parker misses 2-pt shot from 17 ft
7:01.0,Defensive rebound by Team,,9-10,,
7:01.0,,,9-10,,Loose ball foul by M. Plumlee
7:00.0,,,9-10,,G. Monroe enters the game for M. Plumlee
6:48.0,N. Batum misses 2-pt shot from 19 ft,,9-10,,
6:46.0,,,9-10,,Defensive rebound by J. Parker
6:41.0,,,9-10,,G. Antetokounmpo misses 2-pt shot from 13 ft
6:38.0,Defensive rebound by M. Williams,,9-10,,
6:30.0,C. Zeller makes 2-pt shot from 2 ft (assist by K. Walker),2,11-10,,
6:13.0,,,11-10,,G. Monroe misses 2-pt shot from 2 ft
6:11.0,Defensive rebound by F. Kaminsky,,11-10,,
6:01.0,M. Williams misses 2-pt shot from 7 ft,,11-10,,
6:00.0,Offensive rebound by Team,,11-10,,
6:00.0,A. Jefferson enters the game for C. Zeller,,11-10,,
6:00.0,,,11-10,,M. Carter-Williams enters the game for O. Mayo
5:57.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,14-10,,
5:39.0,,,14-10,,J. Parker misses 2-pt shot from 17 ft
5:37.0,Defensive rebound by A. Jefferson,,14-10,,
5:29.0,,,14-10,,Personal foul by G. Monroe
5:29.0,,,14-10,,Milwaukee full timeout
5:29.0,,,14-10,,R. Vaughn enters the game for J. Parker
5:26.0,Turnover by M. Williams (lost ball; steal by G. Monroe),,14-10,,
5:19.0,,,14-10,,G. Antetokounmpo misses 2-pt shot from 4 ft
5:16.0,Defensive rebound by A. Jefferson,,14-10,,
5:16.0,Shooting foul by M. Carter-Williams (drawn by K. Walker),,14-10,,
5:16.0,K. Walker misses free throw 1 of 2,,14-10,,
5:16.0,Offensive rebound by Team,,14-10,,
5:16.0,J. Lin enters the game for N. Batum,,14-10,,
5:16.0,K. Walker makes free throw 2 of 2,1,15-10,,
4:59.0,,,15-10,,Shooting foul by A. Jefferson (drawn by G. Monroe)
