time,Orlando,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: D. Favors vs. N. Vucevic (C. Frye gains possession)
11:46.0,T. Harris makes 2-pt shot from 20 ft (assist by N. Vucevic),2,2-0,,
11:22.0,,,2-2,2,T. Booker makes 2-pt shot from 1 ft (assist by R. Neto)
11:09.0,E. Payton makes 2-pt shot from 1 ft,2,4-2,,
10:52.0,,,4-5,3,G. Hayward makes 3-pt shot from 23 ft (assist by D. Favors)
10:31.0,T. Harris misses 2-pt shot from 1 ft,,4-5,,
10:31.0,Offensive rebound by N. Vucevic,,4-5,,
10:28.0,N. Vucevic makes 2-pt shot from 2 ft,2,6-5,,
10:09.0,,,6-5,,R. Hood misses 2-pt shot from 6 ft
10:09.0,,,6-5,,Offensive rebound by Team
10:03.0,,,6-5,,Turnover by G. Hayward (lost ball; steal by E. Payton)
9:53.0,C. Frye makes 3-pt shot from 24 ft (assist by E. Payton),3,9-5,,
9:35.0,,,9-5,,R. Neto misses 2-pt shot from 21 ft
9:34.0,Defensive rebound by C. Frye,,9-5,,
9:25.0,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Payton),2,11-5,,
9:10.0,,,11-5,,D. Favors misses 2-pt shot from 19 ft
9:09.0,Defensive rebound by E. Payton,,11-5,,
9:01.0,E. Payton misses 2-pt shot from 2 ft,,11-5,,
9:01.0,,,11-5,,Defensive rebound by D. Favors
8:52.0,,,11-8,3,G. Hayward makes 3-pt shot from 24 ft
8:39.0,,,11-8,,Shooting block foul by R. Hood (drawn by T. Harris)
8:39.0,T. Harris makes free throw 1 of 2,1,12-8,,
8:39.0,T. Harris makes free throw 2 of 2,1,13-8,,
8:19.0,,,13-10,2,G. Hayward makes 2-pt shot from 3 ft
8:00.0,T. Harris makes 3-pt shot from 24 ft (assist by E. Payton),3,16-10,,
7:39.0,,,16-10,,T. Booker misses 3-pt shot from 23 ft
7:38.0,Defensive rebound by E. Fournier,,16-10,,
7:20.0,C. Frye misses 3-pt shot from 23 ft,,16-10,,
7:19.0,,,16-10,,Defensive rebound by R. Neto
