time,Portland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. M. Plumlee (K. Faried gains possession),,,,Jump ball: N. Jokic vs. M. Plumlee (K. Faried gains possession)
11:42.0,,,0-0,,G. Harris misses 2-pt shot from 12 ft
11:41.0,,,0-0,,Offensive rebound by J. Nelson
11:34.0,,,0-0,,K. Faried misses 2-pt shot from 8 ft
11:32.0,Defensive rebound by N. Vonleh,,0-0,,
11:07.0,C. McCollum makes 2-pt shot from 1 ft (assist by A. Crabbe),2,2-0,,
10:57.0,,,2-0,,G. Harris misses 2-pt shot from 14 ft
10:56.0,Defensive rebound by A. Crabbe,,2-0,,
10:52.0,Shooting foul by K. Faried (drawn by M. Plumlee),,2-0,,
10:52.0,M. Plumlee makes free throw 1 of 2,1,3-0,,
10:52.0,M. Plumlee makes free throw 2 of 2,1,4-0,,
10:39.0,,,4-2,2,K. Faried makes 2-pt shot from 2 ft (assist by J. Nelson)
10:27.0,Turnover by C. McCollum (bad pass; steal by D. Gallinari),,4-2,,
10:24.0,,,4-2,,Shooting foul by A. Aminu (drawn by D. Gallinari)
10:24.0,,,4-2,,D. Gallinari misses free throw 1 of 2
10:24.0,,,4-2,,Offensive rebound by Team
10:24.0,,,4-3,1,D. Gallinari makes free throw 2 of 2
10:08.0,A. Aminu makes 2-pt shot from 15 ft,2,6-3,,
9:50.0,,,6-3,,K. Faried misses 2-pt shot from 4 ft
9:50.0,,,6-3,,Offensive rebound by N. Jokic
9:44.0,,,6-3,,N. Jokic misses 2-pt shot from 1 ft (block by M. Plumlee)
9:42.0,Defensive rebound by C. McCollum,,6-3,,
9:37.0,A. Aminu misses 3-pt shot from 27 ft,,6-3,,
9:36.0,,,6-3,,Defensive rebound by G. Harris
9:27.0,,,6-5,2,J. Nelson makes 2-pt shot from 2 ft (assist by G. Harris)
9:13.0,M. Plumlee misses 2-pt shot from 2 ft (block by D. Gallinari),,6-5,,
9:09.0,,,6-5,,Defensive rebound by N. Jokic
9:04.0,,,6-5,,Shooting foul by A. Crabbe (drawn by D. Gallinari)
9:04.0,,,6-6,1,D. Gallinari makes free throw 1 of 2
9:04.0,,,6-7,1,D. Gallinari makes free throw 2 of 2
8:49.0,C. McCollum makes 3-pt shot from 24 ft (assist by A. Aminu),3,9-7,,
8:31.0,,,9-10,3,G. Harris makes 3-pt shot from 25 ft (assist by D. Gallinari)
7:59.0,A. Aminu misses 2-pt shot from 13 ft,,9-10,,
7:59.0,,,9-10,,Defensive rebound by K. Faried
7:43.0,,,9-10,,N. Jokic misses 2-pt shot from 3 ft
7:42.0,,,9-10,,Offensive rebound by K. Faried
7:42.0,,,9-10,,K. Faried misses 2-pt shot from 1 ft
7:40.0,Defensive rebound by A. Aminu,,9-10,,
7:23.0,C. McCollum misses 3-pt shot from 22 ft,,9-10,,
7:22.0,,,9-10,,Defensive rebound by N. Jokic
7:02.0,,,9-10,,G. Harris misses 2-pt shot from 14 ft
7:01.0,,,9-10,,Offensive rebound by J. Nelson
6:39.0,,,9-10,,D. Gallinari misses 2-pt shot from 2 ft
6:39.0,,,9-10,,Offensive rebound by N. Jokic
