time,Utah,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Johnson (J. Sullinger gains possession),,,,Jump ball: R. Gobert vs. A. Johnson (J. Sullinger gains possession)
11:42.0,,,0-2,2,A. Johnson makes 2-pt shot at rim (assist by J. Crowder)
11:18.0,Turnover by R. Gobert (bad pass; steal by J. Crowder),,0-2,,
11:12.0,,,0-5,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
10:58.0,S. Mack misses 2-pt shot from 1 ft,,0-5,,
10:57.0,Offensive rebound by R. Gobert,,0-5,,
10:57.0,R. Gobert makes 2-pt shot at rim,2,2-5,,
10:34.0,,,2-5,,A. Bradley misses 2-pt shot from 17 ft
10:33.0,Defensive rebound by R. Hood,,2-5,,
10:17.0,R. Gobert makes 2-pt shot at rim (assist by S. Mack),2,4-5,,
9:58.0,,,4-5,,A. Johnson misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by D. Favors,,4-5,,
9:40.0,G. Hayward misses 3-pt shot from 25 ft,,4-5,,
9:39.0,,,4-5,,Defensive rebound by A. Johnson
9:33.0,,,4-5,,I. Thomas misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by D. Favors,,4-5,,
9:21.0,G. Hayward misses 2-pt shot from 1 ft,,4-5,,
9:20.0,Offensive rebound by G. Hayward,,4-5,,
9:16.0,S. Mack misses 3-pt shot from 25 ft,,4-5,,
9:15.0,,,4-5,,Defensive rebound by J. Sullinger
8:59.0,,,4-5,,J. Sullinger misses 2-pt shot from 21 ft
8:58.0,Defensive rebound by D. Favors,,4-5,,
8:43.0,D. Favors misses 2-pt shot from 2 ft (block by A. Johnson),,4-5,,
8:41.0,Offensive rebound by D. Favors,,4-5,,
8:39.0,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors),3,7-5,,
8:21.0,,,7-5,,I. Thomas misses 2-pt shot from 10 ft
8:20.0,Defensive rebound by D. Favors,,7-5,,
8:04.0,D. Favors misses 2-pt shot from 19 ft,,7-5,,
8:03.0,,,7-5,,Defensive rebound by J. Sullinger
